table_id,row_id,sex_and_field_of_highest_degree_full_path,sex_and_field_of_highest_degree_level_1,sex_and_field_of_highest_degree_level_2,sex_and_field_of_highest_degree_level_3,sex_and_field_of_highest_degree_level_4,sex_and_field_of_highest_degree_hierarchy_depth,field_total,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability,field_type_of_disability_hearing,field_type_of_disability_seeing,field_type_of_disability_walking,field_type_of_disability_lifting,field_type_of_disability_cognitive
6839,r014,"Both sexes, all fields -> Female -> S&E fields -> Physical and related sciences","Both sexes, all fields",Female,S&E fields,Physical and related sciences,4,96000,8000,,19000,5000,,61000,2000,86000,10000,1000,5000,,3000,4000
6839,r015,"Both sexes, all fields -> Female -> S&E fields -> Social and related sciences","Both sexes, all fields",Female,S&E fields,Social and related sciences,4,322000,37000,S,31000,25000,,222000,6000,294000,28000,7000,12000,4000,4000,6000
6839,r016,"Both sexes, all fields -> Female -> S&E fields -> Engineering","Both sexes, all fields",Female,S&E fields,Engineering,4,310000,30000,,108000,14000,,151000,6000,297000,13000,1000,8000,,2000,3000
6839,r017,"Both sexes, all fields -> Female -> S&E-related fields","Both sexes, all fields",Female,S&E-related fields,,3,147000,13000,,32000,7000,,92000,3000,139000,9000,1000,S,S,S,S
6839,r018,"Both sexes, all fields -> Female -> Non-S&E fields","Both sexes, all fields",Female,Non-S&E fields,,3,471000,32000,S,37000,59000,2000,327000,14000,431000,41000,15000,19000,9000,12000,4000
6839,r019,"Both sexes, all fields -> Male","Both sexes, all fields",Male,,,2,4803000,351000,9000,929000,214000,19000,3209000,73000,4304000,499000,194000,251000,40000,36000,91000
6839,r020,"Both sexes, all fields -> Male -> S&E fields","Both sexes, all fields",Male,S&E fields,,3,3738000,235000,6000,810000,148000,15000,2463000,61000,3405000,333000,134000,153000,29000,28000,65000
6839,r021,"Both sexes, all fields -> Male -> S&E fields -> Biological, agricultural, and environmental life sciences","Both sexes, all fields",Male,S&E fields,"Biological, agricultural, and environmental life sciences",4,359000,17000,1000,64000,10000,0.05,261000,7000,335000,25000,9000,12000,4000,S,7000
6839,r022,"Both sexes, all fields -> Male -> S&E fields -> Computer and mathematical sciences","Both sexes, all fields",Male,S&E fields,Computer and mathematical sciences,4,1091000,49000,,254000,64000,5000,699000,19000,986000,105000,39000,52000,8000,9000,25000
6839,r023,"Both sexes, all fields -> Male -> S&E fields -> Physical and related sciences","Both sexes, all fields",Male,S&E fields,Physical and related sciences,4,270000,11000,,50000,10000,,194000,3000,244000,26000,11000,13000,2000,2000,3000
6839,r024,"Both sexes, all fields -> Male -> S&E fields -> Social and related sciences","Both sexes, all fields",Male,S&E fields,Social and related sciences,4,357000,28000,S,24000,17000,,281000,6000,325000,32000,17000,9000,2000,S,5000
6839,r025,"Both sexes, all fields -> Male -> S&E fields -> Engineering","Both sexes, all fields",Male,S&E fields,Engineering,4,1660000,130000,S,417000,48000,8000,1028000,26000,1516000,144000,59000,67000,12000,15000,24000
6839,r026,"Both sexes, all fields -> Male -> S&E-related fields","Both sexes, all fields",Male,S&E-related fields,,3,235000,21000,,49000,15000,,146000,S,210000,25000,14000,13000,S,1000,S
6839,r027,"Both sexes, all fields -> Male -> Non-S&E fields","Both sexes, all fields",Male,Non-S&E fields,,3,830000,95000,S,70000,51000,,600000,8000,689000,140000,46000,85000,11000,7000,23000
