table_id,row_id,sex_race_or_ethnicity_and_field_of_highest_degree_full_path,sex_race_or_ethnicity_and_field_of_highest_degree_level_1,sex_race_or_ethnicity_and_field_of_highest_degree_level_2,sex_race_or_ethnicity_and_field_of_highest_degree_level_3,sex_race_or_ethnicity_and_field_of_highest_degree_level_4,sex_race_or_ethnicity_and_field_of_highest_degree_hierarchy_depth,field_s_e_occupations_all_s_e,field_s_e_occupations_in_field,field_s_e_occupations_out_of_field,field_s_e_related_occupations,field_non_s_e_occupations
4404,r026,"All employed S&E highest degree holders -> American Indian or Alaska Native -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,American Indian or Alaska Native,All S&E fields,"Biological, agricultural, and environmental life sciences",4,26.2,21.0,s,12.7,61.1
4404,r027,All employed S&E highest degree holders -> American Indian or Alaska Native -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,American Indian or Alaska Native,All S&E fields,Physical and related sciences,4,s,s,s,s,s
4404,r028,All employed S&E highest degree holders -> American Indian or Alaska Native -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,American Indian or Alaska Native,All S&E fields,Social and related sciences,4,s,s,s,s,88.5
4404,r029,All employed S&E highest degree holders -> American Indian or Alaska Native -> All S&E fields -> Engineering,All employed S&E highest degree holders,American Indian or Alaska Native,All S&E fields,Engineering,4,66.9,47.4,s,s,s
4404,r030,All employed S&E highest degree holders -> Black or African American,All employed S&E highest degree holders,Black or African American,,,2,,,,,
4404,r031,All employed S&E highest degree holders -> Black or African American -> All S&E fields,All employed S&E highest degree holders,Black or African American,All S&E fields,,3,25.0,18.2,6.9,14.4,60.6
4404,r032,All employed S&E highest degree holders -> Black or African American -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,Black or African American,All S&E fields,Computer and mathematical sciences,4,49.4,45.3,4.1,11.6,39.0
4404,r033,"All employed S&E highest degree holders -> Black or African American -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,Black or African American,All S&E fields,"Biological, agricultural, and environmental life sciences",4,17.8,8.1,9.7,40.5,41.7
4404,r034,All employed S&E highest degree holders -> Black or African American -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,Black or African American,All S&E fields,Physical and related sciences,4,34.4,22.6,11.9,7.0,58.6
4404,r035,All employed S&E highest degree holders -> Black or African American -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,Black or African American,All S&E fields,Social and related sciences,4,7.9,5.2,2.7,7.7,84.4
4404,r036,All employed S&E highest degree holders -> Black or African American -> All S&E fields -> Engineering,All employed S&E highest degree holders,Black or African American,All S&E fields,Engineering,4,49.8,29.2,20.6,18.7,31.5
4404,r037,All employed S&E highest degree holders -> Hispanic or Latino,All employed S&E highest degree holders,Hispanic or Latino,,,2,,,,,
4404,r038,All employed S&E highest degree holders -> Hispanic or Latino -> All S&E fields,All employed S&E highest degree holders,Hispanic or Latino,All S&E fields,,3,31.1,23.6,7.5,14.5,54.4
4404,r039,All employed S&E highest degree holders -> Hispanic or Latino -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,Hispanic or Latino,All S&E fields,Computer and mathematical sciences,4,53.2,51.5,1.7,13.7,33.1
4404,r040,"All employed S&E highest degree holders -> Hispanic or Latino -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,Hispanic or Latino,All S&E fields,"Biological, agricultural, and environmental life sciences",4,31.6,22.9,8.6,31.2,37.2
4404,r041,All employed S&E highest degree holders -> Hispanic or Latino -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,Hispanic or Latino,All S&E fields,Physical and related sciences,4,44.3,30.9,13.4,16.6,39.1
4404,r042,All employed S&E highest degree holders -> Hispanic or Latino -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,Hispanic or Latino,All S&E fields,Social and related sciences,4,13.5,8.3,5.2,6.4,80.1
4404,r043,All employed S&E highest degree holders -> Hispanic or Latino -> All S&E fields -> Engineering,All employed S&E highest degree holders,Hispanic or Latino,All S&E fields,Engineering,4,48.7,35.5,13.1,18.8,32.6
4404,r044,All employed S&E highest degree holders -> White,All employed S&E highest degree holders,White,,,2,,,,,
4404,r045,All employed S&E highest degree holders -> White -> All S&E fields,All employed S&E highest degree holders,White,All S&E fields,,3,35.4,27.0,8.3,13.7,51.0
4404,r046,All employed S&E highest degree holders -> White -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,White,All S&E fields,Computer and mathematical sciences,4,56.9,53.6,3.3,13.8,29.2
4404,r047,"All employed S&E highest degree holders -> White -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,White,All S&E fields,"Biological, agricultural, and environmental life sciences",4,27.7,18.8,8.9,25.1,47.2
4404,r048,All employed S&E highest degree holders -> White -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,White,All S&E fields,Physical and related sciences,4,45.1,27.3,17.8,21.9,33.0
4404,r049,All employed S&E highest degree holders -> White -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,White,All S&E fields,Social and related sciences,4,14.7,8.7,6.0,6.7,78.6
4404,r050,All employed S&E highest degree holders -> White -> All S&E fields -> Engineering,All employed S&E highest degree holders,White,All S&E fields,Engineering,4,57.2,44.2,12.9,14.5,28.3
4404,r051,All employed S&E highest degree holders -> Native Hawaiian or Other Pacific Islander,All employed S&E highest degree holders,Native Hawaiian or Other Pacific Islander,,,2,,,,,
4404,r052,All employed S&E highest degree holders -> Native Hawaiian or Other Pacific Islander -> All S&E fields,All employed S&E highest degree holders,Native Hawaiian or Other Pacific Islander,All S&E fields,,3,28.7,27.2,1.6,6.7,64.6
4404,r053,All employed S&E highest degree holders -> Native Hawaiian or Other Pacific Islander -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,Native Hawaiian or Other Pacific Islander,All S&E fields,Computer and mathematical sciences,4,s,s,s,s,78.4
4404,r054,"All employed S&E highest degree holders -> Native Hawaiian or Other Pacific Islander -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,Native Hawaiian or Other Pacific Islander,All S&E fields,"Biological, agricultural, and environmental life sciences",4,s,s,s,s,78.9
4404,r055,All employed S&E highest degree holders -> Native Hawaiian or Other Pacific Islander -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,Native Hawaiian or Other Pacific Islander,All S&E fields,Physical and related sciences,4,s,s,s,s,s
4404,r056,All employed S&E highest degree holders -> Native Hawaiian or Other Pacific Islander -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,Native Hawaiian or Other Pacific Islander,All S&E fields,Social and related sciences,4,s,s,s,s,90.3
4404,r057,All employed S&E highest degree holders -> Native Hawaiian or Other Pacific Islander -> All S&E fields -> Engineering,All employed S&E highest degree holders,Native Hawaiian or Other Pacific Islander,All S&E fields,Engineering,4,70.3,67.1,s,s,14.0
4404,r058,All employed S&E highest degree holders -> More than one race,All employed S&E highest degree holders,More than one race,,,2,,,,,
4404,r059,All employed S&E highest degree holders -> More than one race -> All S&E fields,All employed S&E highest degree holders,More than one race,All S&E fields,,3,34.0,26.1,7.9,10.6,55.4
4404,r060,All employed S&E highest degree holders -> More than one race -> All S&E fields -> Computer and mathematical sciences,All employed S&E highest degree holders,More than one race,All S&E fields,Computer and mathematical sciences,4,62.8,62.1,s,5.0,32.2
4404,r061,"All employed S&E highest degree holders -> More than one race -> All S&E fields -> Biological, agricultural, and environmental life sciences",All employed S&E highest degree holders,More than one race,All S&E fields,"Biological, agricultural, and environmental life sciences",4,26.0,16.9,9.1,23.1,50.9
4404,r062,All employed S&E highest degree holders -> More than one race -> All S&E fields -> Physical and related sciences,All employed S&E highest degree holders,More than one race,All S&E fields,Physical and related sciences,4,35.7,21.6,14.1,22.9,41.4
4404,r063,All employed S&E highest degree holders -> More than one race -> All S&E fields -> Social and related sciences,All employed S&E highest degree holders,More than one race,All S&E fields,Social and related sciences,4,11.3,5.7,5.6,7.9,80.8
4404,r064,All employed S&E highest degree holders -> More than one race -> All S&E fields -> Engineering,All employed S&E highest degree holders,More than one race,All S&E fields,Engineering,4,65.1,46.2,18.9,8.3,26.6
