table_id,row_id,employment_sector_and_field_of_study_full_path,employment_sector_and_field_of_study_level_1,employment_sector_and_field_of_study_level_2,employment_sector_and_field_of_study_level_3,employment_sector_and_field_of_study_level_4,employment_sector_and_field_of_study_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_hispanic_or_latinoa_median_salary,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_median_salary,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_median_salary,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_median_salary,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_median_salary,field_not_hispanic_or_latinob_other_racec_se
8146,r011,All sectors -> 4-year educational institution<sup>d</sup>,All sectors,4-year educational institution<sup>d</sup>,,,2,99000,1000,91000,1500,92000,6000,100000,2000,91000,2000,100000,1000,95000,4500
8146,r012,All sectors -> 4-year educational institution<sup>d</sup> -> Science,All sectors,4-year educational institution<sup>d</sup>,Science,,3,95000,1000,89000,1000,88000,4500,95000,2000,90000,1000,97000,1000,93000,4500
8146,r013,"All sectors -> 4-year educational institution<sup>d</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,4-year educational institution<sup>d</sup>,Science,"Biological, agricultural, and environmental life sciences",4,94000,2000,85000,4000,89000,25000,90000,3000,90000,3500,96000,2000,89000,8500
8146,r014,All sectors -> 4-year educational institution<sup>d</sup> -> Science -> Computer and information sciences,All sectors,4-year educational institution<sup>d</sup>,Science,Computer and information sciences,4,110000,2500,104000,16000,,,100000,6500,95000,5000,113000,4500,198000,49000
8146,r015,All sectors -> 4-year educational institution<sup>d</sup> -> Science -> Mathematics and statistics,All sectors,4-year educational institution<sup>d</sup>,Science,Mathematics and statistics,4,92000,2500,86000,3500,,,92000,5000,80000,9000,94000,2500,83000,15000
8146,r016,"All sectors -> 4-year educational institution<sup>d</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,4-year educational institution<sup>d</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,91000,2000,84000,2500,,,88000,5000,73000,7500,93000,2000,95000,12000
8146,r017,All sectors -> 4-year educational institution<sup>d</sup> -> Science -> Psychology,All sectors,4-year educational institution<sup>d</sup>,Science,Psychology,4,95000,2000,89000,3500,,,95000,4000,92000,6000,97000,2000,92000,5500
8146,r018,All sectors -> 4-year educational institution<sup>d</sup> -> Science -> Social sciences,All sectors,4-year educational institution<sup>d</sup>,Science,Social sciences,4,98000,2000,95000,1500,84000,10500,100000,2000,92000,3000,99000,2000,86000,5000
8146,r019,All sectors -> 4-year educational institution<sup>d</sup> -> Engineering,All sectors,4-year educational institution<sup>d</sup>,Engineering,,3,109000,1500,99000,2500,,,105000,3500,103000,4000,112000,3000,114000,13000
8146,r020,All sectors -> 4-year educational institution<sup>d</sup> -> Health,All sectors,4-year educational institution<sup>d</sup>,Health,,3,100000,1000,86000,5000,,,98000,9000,90000,4000,100000,3000,101000,18000
8146,r021,All sectors -> Other educational institution<sup>e</sup>,All sectors,Other educational institution<sup>e</sup>,,,2,79000,500,77000,5500,65000,26000,79000,6000,88000,5500,79000,1000,75000,7500
8146,r022,All sectors -> Other educational institution<sup>e</sup> -> Science,All sectors,Other educational institution<sup>e</sup>,Science,,3,79000,1000,77000,5500,65000,26000,79000,6500,89000,5500,79000,1000,73000,3000
8146,r023,"All sectors -> Other educational institution<sup>e</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Other educational institution<sup>e</sup>,Science,"Biological, agricultural, and environmental life sciences",4,73000,3000,65000,7000,,,76000,21000,68000,6000,73000,3500,85000,8500
8146,r024,All sectors -> Other educational institution<sup>e</sup> -> Science -> Computer and information sciences,All sectors,Other educational institution<sup>e</sup>,Science,Computer and information sciences,4,78000,3500,,,,,,,S,S,78000,5500,,
8146,r025,All sectors -> Other educational institution<sup>e</sup> -> Science -> Mathematics and statistics,All sectors,Other educational institution<sup>e</sup>,Science,Mathematics and statistics,4,79000,3500,74000,13500,,,89000,8000,,,76000,3500,,
8146,r026,"All sectors -> Other educational institution<sup>e</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Other educational institution<sup>e</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,72000,3500,64000,12500,,,67000,7000,98000,24000,74000,3500,,
8146,r027,All sectors -> Other educational institution<sup>e</sup> -> Science -> Psychology,All sectors,Other educational institution<sup>e</sup>,Science,Psychology,4,90000,1500,93000,6500,S,S,84000,22500,92000,8000,89000,2500,,
8146,r028,All sectors -> Other educational institution<sup>e</sup> -> Science -> Social sciences,All sectors,Other educational institution<sup>e</sup>,Science,Social sciences,4,85000,5000,77000,9500,,,100000,7000,89000,3500,80000,4500,73000,4500
8146,r029,All sectors -> Other educational institution<sup>e</sup> -> Engineering,All sectors,Other educational institution<sup>e</sup>,Engineering,,3,70000,13000,86000,18000,,,84000,40500,71000,8000,66000,5000,,
8146,r030,All sectors -> Other educational institution<sup>e</sup> -> Health,All sectors,Other educational institution<sup>e</sup>,Health,,3,103000,9000,68000,12000,,,,,77000,11000,111000,12000,,
8146,r031,"All sectors -> Private, for profit<sup>f</sup>",All sectors,"Private, for profit<sup>f</sup>",,,2,156000,1500,142000,5000,122000,29000,155000,2000,129000,4000,160000,1000,150000,3500
8146,r032,"All sectors -> Private, for profit<sup>f</sup> -> Science",All sectors,"Private, for profit<sup>f</sup>",Science,,3,154000,2500,139000,5500,120000,17500,155000,4000,129000,5000,155000,1500,139000,9000
8146,r033,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,"Private, for profit<sup>f</sup>",Science,"Biological, agricultural, and environmental life sciences",4,150000,500,128000,5000,,,149000,3500,126000,7500,150000,4000,139000,5500
8146,r034,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Computer and information sciences",All sectors,"Private, for profit<sup>f</sup>",Science,Computer and information sciences,4,190000,3000,186000,22500,,,193000,6500,186000,13500,189000,8000,224000,69000
8146,r035,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Mathematics and statistics",All sectors,"Private, for profit<sup>f</sup>",Science,Mathematics and statistics,4,170000,5500,154000,9000,,,166000,7000,132000,4500,174000,5500,S,S
8146,r036,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,"Private, for profit<sup>f</sup>",Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,150000,500,139000,8500,121000,18000,149000,5500,129000,7000,153000,4000,149000,17000
8146,r037,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Psychology",All sectors,"Private, for profit<sup>f</sup>",Science,Psychology,4,125000,4000,113000,11000,,,140000,12000,100000,9000,126000,4500,101000,16500
8146,r038,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Social sciences",All sectors,"Private, for profit<sup>f</sup>",Science,Social sciences,4,171000,4500,181000,13500,,,164000,16500,132000,23000,174000,6500,146000,35000
8146,r039,"All sectors -> Private, for profit<sup>f</sup> -> Engineering",All sectors,"Private, for profit<sup>f</sup>",Engineering,,3,160000,500,149000,3000,188000,69500,155000,3000,132000,7000,165000,1500,160000,6500
8146,r040,"All sectors -> Private, for profit<sup>f</sup> -> Health",All sectors,"Private, for profit<sup>f</sup>",Health,,3,150000,6000,134000,31000,,,153000,8000,114000,7000,150000,5500,156000,13000
8146,r041,"All sectors -> Private, nonprofit",All sectors,"Private, nonprofit",,,2,125000,2000,100000,5000,127000,20000,120000,3500,122000,9500,129000,3000,118000,17000
8146,r042,"All sectors -> Private, nonprofit -> Science",All sectors,"Private, nonprofit",Science,,3,120000,1500,96000,3000,S,S,109000,6500,122000,14000,124000,4000,119000,14500
8146,r043,"All sectors -> Private, nonprofit -> Science -> Biological, agricultural, and environmental life sciences",All sectors,"Private, nonprofit",Science,"Biological, agricultural, and environmental life sciences",4,118000,5500,91000,8500,,,98000,10500,145000,30500,122000,4500,100000,30500
8146,r044,"All sectors -> Private, nonprofit -> Science -> Computer and information sciences",All sectors,"Private, nonprofit",Science,Computer and information sciences,4,125000,8500,0.05,0.05,,,103000,9000,,,131000,5500,,
8146,r045,"All sectors -> Private, nonprofit -> Science -> Mathematics and statistics",All sectors,"Private, nonprofit",Science,Mathematics and statistics,4,147000,24500,,,,,87000,32500,S,S,173000,22500,S,S
8146,r046,"All sectors -> Private, nonprofit -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,"Private, nonprofit",Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,138000,5500,95000,33000,,,116000,17000,135000,37000,143000,6500,104000,27500
8146,r047,"All sectors -> Private, nonprofit -> Science -> Psychology",All sectors,"Private, nonprofit",Science,Psychology,4,109000,1000,95000,5000,,,103000,9500,101000,17500,110000,3000,115000,21500
8146,r048,"All sectors -> Private, nonprofit -> Science -> Social sciences",All sectors,"Private, nonprofit",Science,Social sciences,4,131000,4500,97000,4000,,,187000,21500,116000,15000,131000,5000,120000,13500
8146,r049,"All sectors -> Private, nonprofit -> Engineering",All sectors,"Private, nonprofit",Engineering,,3,142000,4500,134000,4500,S,S,140000,5000,128000,2500,148000,7000,84000,29500
8146,r050,"All sectors -> Private, nonprofit -> Health",All sectors,"Private, nonprofit",Health,,3,137000,8500,140000,27000,,,112000,17500,102000,23500,144000,4500,,
8146,r051,All sectors -> Federal government,All sectors,Federal government,,,2,131000,2500,119000,1500,131000,10500,135000,5500,120000,3500,134000,2000,120000,7000
8146,r052,All sectors -> Federal government -> Science,All sectors,Federal government,Science,,3,130000,500,119000,2000,118000,13500,135000,7000,114000,4500,130000,2500,114000,7500
8146,r053,"All sectors -> Federal government -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Federal government,Science,"Biological, agricultural, and environmental life sciences",4,125000,2000,114000,9500,0.05,0.05,125000,7000,114000,6000,128000,3500,108000,10500
8146,r054,All sectors -> Federal government -> Science -> Computer and information sciences,All sectors,Federal government,Science,Computer and information sciences,4,150000,10000,,,,,173000,24000,141000,9000,147000,15500,,
8146,r055,All sectors -> Federal government -> Science -> Mathematics and statistics,All sectors,Federal government,Science,Mathematics and statistics,4,135000,8000,S,S,,,S,S,,,139000,8500,,
8146,r056,"All sectors -> Federal government -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Federal government,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,142000,5000,113000,10000,,,151000,11500,116000,10500,144000,5000,111000,12000
8146,r057,All sectors -> Federal government -> Science -> Psychology,All sectors,Federal government,Science,Psychology,4,118000,3000,112000,6000,,,141000,14000,103000,3500,116000,3000,124000,10500
8146,r058,All sectors -> Federal government -> Science -> Social sciences,All sectors,Federal government,Science,Social sciences,4,143000,4500,129000,15000,,,148000,19000,115000,20000,144000,4500,S,S
8146,r059,All sectors -> Federal government -> Engineering,All sectors,Federal government,Engineering,,3,139000,2000,124000,3500,,,135000,9000,142000,4000,140000,2500,135000,8000
8146,r060,All sectors -> Federal government -> Health,All sectors,Federal government,Health,,3,139000,5500,93000,23000,,,131000,16500,128000,14500,139000,5500,,
8146,r061,All sectors -> State or local government,All sectors,State or local government,,,2,105000,3000,93000,5000,S,S,105000,5500,93000,7000,105000,2000,111000,20000
8146,r062,All sectors -> State or local government -> Science,All sectors,State or local government,Science,,3,100000,4000,89000,6000,,,104000,8500,91000,5500,104000,4000,92000,16000
8146,r063,"All sectors -> State or local government -> Science -> Biological, agricultural, and environmental life sciences",All sectors,State or local government,Science,"Biological, agricultural, and environmental life sciences",4,95000,4500,87000,10000,,,95000,11500,106000,19000,94000,5000,81000,20500
8146,r064,All sectors -> State or local government -> Science -> Computer and information sciences,All sectors,State or local government,Science,Computer and information sciences,4,147000,10000,,,,,S,S,,,S,S,,
8146,r065,All sectors -> State or local government -> Science -> Mathematics and statistics,All sectors,State or local government,Science,Mathematics and statistics,4,111000,11500,,,,,,,,,,,,
8146,r066,"All sectors -> State or local government -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,State or local government,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,106000,8500,85000,5000,,,97000,4500,103000,10000,115000,15500,90000,31500
8146,r067,All sectors -> State or local government -> Science -> Psychology,All sectors,State or local government,Science,Psychology,4,104000,3000,96000,11000,,,105000,10500,87000,9500,105000,4000,,
8146,r068,All sectors -> State or local government -> Science -> Social sciences,All sectors,State or local government,Science,Social sciences,4,94000,4000,95000,20000,,,103000,10000,88000,8000,94000,5000,,
8146,r069,All sectors -> State or local government -> Engineering,All sectors,State or local government,Engineering,,3,110000,10500,115000,29500,,,100000,9000,99000,17500,136000,19500,,
8146,r070,All sectors -> State or local government -> Health,All sectors,State or local government,Health,,3,115000,8500,,,,,135000,17500,109000,20000,110000,9500,,
8146,r071,All sectors -> Self-employed<sup>g</sup>,All sectors,Self-employed<sup>g</sup>,,,2,109000,9500,79000,11000,,,118000,19500,89000,26500,115000,7000,113000,17500
8146,r072,All sectors -> Self-employed<sup>g</sup> -> Science,All sectors,Self-employed<sup>g</sup>,Science,,3,118000,10000,74000,11500,,,129000,18500,93000,27000,116000,5500,110000,17500
8146,r073,"All sectors -> Self-employed<sup>g</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Self-employed<sup>g</sup>,Science,"Biological, agricultural, and environmental life sciences",4,88000,13500,55000,13000,,,S,S,S,S,89000,12500,S,S
8146,r074,All sectors -> Self-employed<sup>g</sup> -> Science -> Computer and information sciences,All sectors,Self-employed<sup>g</sup>,Science,Computer and information sciences,4,S,S,,,,,,,,,S,S,,
8146,r075,All sectors -> Self-employed<sup>g</sup> -> Science -> Mathematics and statistics,All sectors,Self-employed<sup>g</sup>,Science,Mathematics and statistics,4,143000,32000,,,,,S,S,,,S,S,,
8146,r076,"All sectors -> Self-employed<sup>g</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Self-employed<sup>g</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,94000,33500,110000,34500,,,126000,14000,,,S,S,,
8146,r077,All sectors -> Self-employed<sup>g</sup> -> Science -> Psychology,All sectors,Self-employed<sup>g</sup>,Science,Psychology,4,121000,5000,90000,12000,,,,,100000,32000,123000,5500,,
8146,r078,All sectors -> Self-employed<sup>g</sup> -> Science -> Social sciences,All sectors,Self-employed<sup>g</sup>,Science,Social sciences,4,79000,18000,S,S,,,S,S,S,S,95000,19000,,
8146,r079,All sectors -> Self-employed<sup>g</sup> -> Engineering,All sectors,Self-employed<sup>g</sup>,Engineering,,3,96000,4500,139000,40500,,,100000,18500,,,93000,5500,,
8146,r080,All sectors -> Self-employed<sup>g</sup> -> Health,All sectors,Self-employed<sup>g</sup>,Health,,3,93000,24000,,,,,,,S,S,108000,44500,,
8146,r081,All sectors -> Other sector<sup>h</sup>,All sectors,Other sector<sup>h</sup>,,,2,140000,7000,159000,18500,,,135000,11500,120000,25500,140000,7500,159000,47500
8146,r082,All sectors -> Other sector<sup>h</sup> -> Science,All sectors,Other sector<sup>h</sup>,Science,,3,130000,8500,167000,29000,,,129000,9000,116000,29500,128000,11000,158000,50500
8146,r083,"All sectors -> Other sector<sup>h</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Other sector<sup>h</sup>,Science,"Biological, agricultural, and environmental life sciences",4,98000,14000,,,,,122000,25500,77000,15000,91000,14000,S,S
8146,r084,All sectors -> Other sector<sup>h</sup> -> Science -> Computer and information sciences,All sectors,Other sector<sup>h</sup>,Science,Computer and information sciences,4,S,S,,,,,S,S,,,,,,
8146,r085,All sectors -> Other sector<sup>h</sup> -> Science -> Mathematics and statistics,All sectors,Other sector<sup>h</sup>,Science,Mathematics and statistics,4,155000,62500,,,,,,,,,,,,
8146,r086,"All sectors -> Other sector<sup>h</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Other sector<sup>h</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,121000,8000,0.05,0.05,,,88000,24500,,,123000,26500,,
8146,r087,All sectors -> Other sector<sup>h</sup> -> Science -> Psychology,All sectors,Other sector<sup>h</sup>,Science,Psychology,4,96000,19500,,,,,,,,,77000,17500,,
8146,r088,All sectors -> Other sector<sup>h</sup> -> Science -> Social sciences,All sectors,Other sector<sup>h</sup>,Science,Social sciences,4,175000,22500,195000,8500,,,145000,46000,,,188000,29500,,
8146,r089,All sectors -> Other sector<sup>h</sup> -> Engineering,All sectors,Other sector<sup>h</sup>,Engineering,,3,148000,5500,146000,17000,,,144000,9500,S,S,149000,5000,,
8146,r090,All sectors -> Other sector<sup>h</sup> -> Health,All sectors,Other sector<sup>h</sup>,Health,,3,115000,12500,,,,,,,S,S,109000,19000,,
