table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_level_3,_b_state_and_outlying_area_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
7308,r072,All states and outlying areas -> Michigan -> Institutions (number),All states and outlying areas,Michigan,Institutions (number),3,17,15,6,3,12,2,3
7308,r073,All states and outlying areas -> Minnesota,All states and outlying areas,Minnesota,,2,,,,,,,
7308,r074,All states and outlying areas -> Minnesota -> Obligations ($thousands),All states and outlying areas,Minnesota,Obligations ($thousands),3,494618.6,449222.5,2352.3,0.0,33949.6,2653.9,6440.4
7308,r075,All states and outlying areas -> Minnesota -> Institutions (number),All states and outlying areas,Minnesota,Institutions (number),3,23,22,2,0,16,1,3
7308,r076,All states and outlying areas -> Mississippi,All states and outlying areas,Mississippi,,2,,,,,,,
7308,r077,All states and outlying areas -> Mississippi -> Obligations ($thousands),All states and outlying areas,Mississippi,Obligations ($thousands),3,174523.6,164564.1,496.9,0.0,6572.0,0.0,2890.7
7308,r078,All states and outlying areas -> Mississippi -> Institutions (number),All states and outlying areas,Mississippi,Institutions (number),3,8,8,2,0,8,0,4
7308,r079,All states and outlying areas -> Missouri,All states and outlying areas,Missouri,,2,,,,,,,
7308,r080,All states and outlying areas -> Missouri -> Obligations ($thousands),All states and outlying areas,Missouri,Obligations ($thousands),3,759192.9,711623.8,2704.4,399.0,38544.1,1287.5,4634.1
7308,r081,All states and outlying areas -> Missouri -> Institutions (number),All states and outlying areas,Missouri,Institutions (number),3,16,15,2,2,14,3,6
7308,r082,All states and outlying areas -> Montana,All states and outlying areas,Montana,,2,,,,,,,
7308,r083,All states and outlying areas -> Montana -> Obligations ($thousands),All states and outlying areas,Montana,Obligations ($thousands),3,120073.2,105315.9,2147.9,0.0,8312.2,599.3,3697.9
7308,r084,All states and outlying areas -> Montana -> Institutions (number),All states and outlying areas,Montana,Institutions (number),3,11,10,2,0,10,1,2
7308,r085,All states and outlying areas -> Nebraska,All states and outlying areas,Nebraska,,2,,,,,,,
7308,r086,All states and outlying areas -> Nebraska -> Obligations ($thousands),All states and outlying areas,Nebraska,Obligations ($thousands),3,213409.1,192029.7,0.0,0.0,11165.2,2696.2,7518.0
7308,r087,All states and outlying areas -> Nebraska -> Institutions (number),All states and outlying areas,Nebraska,Institutions (number),3,7,7,0,0,6,2,2
7308,r088,All states and outlying areas -> Nevada,All states and outlying areas,Nevada,,2,,,,,,,
7308,r089,All states and outlying areas -> Nevada -> Obligations ($thousands),All states and outlying areas,Nevada,Obligations ($thousands),3,92760.8,82258.1,1083.1,0.0,4379.0,0.0,5040.6
7308,r090,All states and outlying areas -> Nevada -> Institutions (number),All states and outlying areas,Nevada,Institutions (number),3,5,5,1,0,4,0,2
7308,r091,All states and outlying areas -> New Hampshire,All states and outlying areas,New Hampshire,,2,,,,,,,
7308,r092,All states and outlying areas -> New Hampshire -> Obligations ($thousands),All states and outlying areas,New Hampshire,Obligations ($thousands),3,164638.3,158396.8,0.0,0.0,4573.5,0.0,1668.0
7308,r093,All states and outlying areas -> New Hampshire -> Institutions (number),All states and outlying areas,New Hampshire,Institutions (number),3,6,6,0,0,3,0,3
7308,r094,All states and outlying areas -> New Jersey,All states and outlying areas,New Jersey,,2,,,,,,,
7308,r095,All states and outlying areas -> New Jersey -> Obligations ($thousands),All states and outlying areas,New Jersey,Obligations ($thousands),3,502910.2,462886.4,4405.9,450.0,25093.5,2779.3,7295.2
7308,r096,All states and outlying areas -> New Jersey -> Institutions (number),All states and outlying areas,New Jersey,Institutions (number),3,21,20,4,1,15,1,4
7308,r097,All states and outlying areas -> New Mexico,All states and outlying areas,New Mexico,,2,,,,,,,
7308,r098,All states and outlying areas -> New Mexico -> Obligations ($thousands),All states and outlying areas,New Mexico,Obligations ($thousands),3,205130.8,176963.1,6.8,0.0,26560.1,0.0,1600.9
7308,r099,All states and outlying areas -> New Mexico -> Institutions (number),All states and outlying areas,New Mexico,Institutions (number),3,6,6,1,0,5,0,3
7308,r100,All states and outlying areas -> New York,All states and outlying areas,New York,,2,,,,,,,
7308,r101,All states and outlying areas -> New York -> Obligations ($thousands),All states and outlying areas,New York,Obligations ($thousands),3,3330002.7,3142649.4,49895.6,1730.8,108497.6,9369.1,17860.4
7308,r102,All states and outlying areas -> New York -> Institutions (number),All states and outlying areas,New York,Institutions (number),3,95,91,13,3,58,13,15
7308,r103,All states and outlying areas -> North Carolina,All states and outlying areas,North Carolina,,2,,,,,,,
7308,r104,All states and outlying areas -> North Carolina -> Obligations ($thousands),All states and outlying areas,North Carolina,Obligations ($thousands),3,1633195.0,1504813.3,18452.4,0.0,84347.9,4484.6,21096.8
7308,r105,All states and outlying areas -> North Carolina -> Institutions (number),All states and outlying areas,North Carolina,Institutions (number),3,26,25,6,0,19,3,8
7308,r106,All states and outlying areas -> North Dakota,All states and outlying areas,North Dakota,,2,,,,,,,
7308,r107,All states and outlying areas -> North Dakota -> Obligations ($thousands),All states and outlying areas,North Dakota,Obligations ($thousands),3,99801.7,86291.6,948.4,0.0,6793.1,330.1,5438.6
7308,r108,All states and outlying areas -> North Dakota -> Institutions (number),All states and outlying areas,North Dakota,Institutions (number),3,9,7,1,0,9,2,3
7308,r109,All states and outlying areas -> Ohio,All states and outlying areas,Ohio,,2,,,,,,,
7308,r110,All states and outlying areas -> Ohio -> Obligations ($thousands),All states and outlying areas,Ohio,Obligations ($thousands),3,962786.8,911173.5,14003.7,500.0,29742.4,2124.9,5242.3
7308,r111,All states and outlying areas -> Ohio -> Institutions (number),All states and outlying areas,Ohio,Institutions (number),3,30,29,7,1,20,3,8
7308,r112,All states and outlying areas -> Oklahoma,All states and outlying areas,Oklahoma,,2,,,,,,,
7308,r113,All states and outlying areas -> Oklahoma -> Obligations ($thousands),All states and outlying areas,Oklahoma,Obligations ($thousands),3,230013.8,215532.0,707.4,116.8,10393.4,2019.4,1244.8
7308,r114,All states and outlying areas -> Oklahoma -> Institutions (number),All states and outlying areas,Oklahoma,Institutions (number),3,8,8,2,1,6,2,4
7308,r115,All states and outlying areas -> Oregon,All states and outlying areas,Oregon,,2,,,,,,,
7308,r116,All states and outlying areas -> Oregon -> Obligations ($thousands),All states and outlying areas,Oregon,Obligations ($thousands),3,579066.0,522088.8,27573.0,195.0,20573.2,849.9,7786.0
7308,r117,All states and outlying areas -> Oregon -> Institutions (number),All states and outlying areas,Oregon,Institutions (number),3,15,15,3,1,9,2,3
7308,r118,All states and outlying areas -> Pennsylvania,All states and outlying areas,Pennsylvania,,2,,,,,,,
7308,r119,All states and outlying areas -> Pennsylvania -> Obligations ($thousands),All states and outlying areas,Pennsylvania,Obligations ($thousands),3,2325359.4,2212251.4,7373.9,816.3,86930.6,3688.2,14299.2
7308,r120,All states and outlying areas -> Pennsylvania -> Institutions (number),All states and outlying areas,Pennsylvania,Institutions (number),3,43,42,11,2,21,4,7
7308,r121,All states and outlying areas -> Rhode Island,All states and outlying areas,Rhode Island,,2,,,,,,,
7308,r122,All states and outlying areas -> Rhode Island -> Obligations ($thousands),All states and outlying areas,Rhode Island,Obligations ($thousands),3,226333.7,216144.3,1276.1,0.0,6186.4,0.0,2727.0
7308,r123,All states and outlying areas -> Rhode Island -> Institutions (number),All states and outlying areas,Rhode Island,Institutions (number),3,5,5,1,0,2,0,2
7308,r124,All states and outlying areas -> South Carolina,All states and outlying areas,South Carolina,,2,,,,,,,
7308,r125,All states and outlying areas -> South Carolina -> Obligations ($thousands),All states and outlying areas,South Carolina,Obligations ($thousands),3,296517.0,266734.3,1877.7,201.9,21740.3,415.5,5547.2
7308,r126,All states and outlying areas -> South Carolina -> Institutions (number),All states and outlying areas,South Carolina,Institutions (number),3,13,12,3,1,8,1,2
7308,r127,All states and outlying areas -> South Dakota,All states and outlying areas,South Dakota,,2,,,,,,,
7308,r128,All states and outlying areas -> South Dakota -> Obligations ($thousands),All states and outlying areas,South Dakota,Obligations ($thousands),3,45103.1,37483.5,1547.6,0.0,4354.5,0.0,1717.6
7308,r129,All states and outlying areas -> South Dakota -> Institutions (number),All states and outlying areas,South Dakota,Institutions (number),3,8,8,3,0,5,0,3
7308,r130,All states and outlying areas -> Tennessee,All states and outlying areas,Tennessee,,2,,,,,,,
