table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_hierarchy_depth,field_naics_code,field_active_reporting_unitsa,field_reporting_units_that_met_the_response_criteria_
5561,r033,All industries -> Manufacturing industries -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Other miscellaneous manufacturing,3,3399,2400,73.5
5561,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,2,"11, 21–23, 42–81",219000,71.7
5561,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing and hunting",3,11,750,73.2
5561,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",3,21,2500,71.0
5561,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,3,22,1100,72.6
5561,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,3,23,19500,72.4
5561,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,3,42,16500,71.6
5561,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,3,44–45,20000,66.6
5561,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,3,48–49,12000,67.0
5561,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,3,51,14000,69.4
5561,r043,All industries -> Nonmanufacturing industries -> Publishing,All industries,Nonmanufacturing industries,Publishing,3,511,4100,70.4
5561,r044,"All industries -> Nonmanufacturing industries -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,"Newspaper, periodical, book, and directory publishers",3,5111,2300,71.1
5561,r045,All industries -> Nonmanufacturing industries -> Software publishers,All industries,Nonmanufacturing industries,Software publishers,3,5112,1800,69.7
5561,r046,All industries -> Nonmanufacturing industries -> Telecommunications,All industries,Nonmanufacturing industries,Telecommunications,3,517,2500,56.8
5561,r047,"All industries -> Nonmanufacturing industries -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,"Data processing, hosting, and related services",3,518,2600,74.5
5561,r048,All industries -> Nonmanufacturing industries -> Other information,All industries,Nonmanufacturing industries,Other information,3,other 51,4800,72.3
5561,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,3,52,7200,79.3
5561,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,3,53,8600,72.0
5561,r051,All industries -> Nonmanufacturing industries -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Lessors of nonfinancial intangible assets (except copyrighted works),3,533,70,65.7
5561,r052,All industries -> Nonmanufacturing industries -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Other real estate and rental and leasing,3,other 53,8600,72.1
5561,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",3,54,52500,78.5
5561,r054,All industries -> Nonmanufacturing industries -> Legal services,All industries,Nonmanufacturing industries,Legal services,3,5411,7900,79.0
5561,r055,"All industries -> Nonmanufacturing industries -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Accounting, tax preparation, bookkeeping, and payroll services",3,5412,4900,81.0
5561,r056,"All industries -> Nonmanufacturing industries -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Architectural, engineering, and related services",3,5413,9800,83.4
5561,r057,All industries -> Nonmanufacturing industries -> Specialized design services,All industries,Nonmanufacturing industries,Specialized design services,3,5414,1200,81.4
5561,r058,All industries -> Nonmanufacturing industries -> Computer and electronic products,All industries,Nonmanufacturing industries,Computer and electronic products,3,5415,8900,76.6
5561,r059,"All industries -> Nonmanufacturing industries -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Management, scientific, and technical consulting services",3,5416,6900,77.7
5561,r060,All industries -> Nonmanufacturing industries -> Scientific research and development services,All industries,Nonmanufacturing industries,Scientific research and development services,3,5417,4600,71.8
5561,r061,"All industries -> Nonmanufacturing industries -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Advertising, public relations, and related services",3,5418,5700,76.6
5561,r062,"All industries -> Nonmanufacturing industries -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Other professional, scientific, and technical services",3,5419,2800,76.8
5561,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,3,55,100,67.9
5561,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,3,56,11500,70.6
5561,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,3,61,1900,71.7
5561,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,3,62,19000,73.0
5561,r067,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,3,621–23,16500,73.9
5561,r068,All industries -> Nonmanufacturing industries -> Social assistance,All industries,Nonmanufacturing industries,Social assistance,3,624,2400,67.6
5561,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",3,71,3200,70.5
5561,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,3,72,17500,60.4
5561,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,3,81,11500,68.3
