table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_all_master_s_students_rank,field_all_master_s_students_total,field_all_master_s_students_science,field_all_master_s_students_engineering,field_all_master_s_students_health,field_full_time_master_s_students_rank,field_full_time_master_s_students_total,field_full_time_master_s_students_science,field_full_time_master_s_students_engineering,field_full_time_master_s_students_health,field_part_time_master_s_students_rank,field_part_time_master_s_students_total,field_part_time_master_s_students_science,field_part_time_master_s_students_engineering,field_part_time_master_s_students_health
10646,r011,All institutions<sup>a</sup> -> U. Florida,All institutions<sup>a</sup>,U. Florida,2,10,5650,3854,1324,472,19,2789,1813,695,281,6,2861,2041,629,191
10646,r012,All institutions<sup>a</sup> -> George Washington U.,All institutions<sup>a</sup>,George Washington U.,2,11,4957,2990,432,1535,28,2215,1670,185,360,7,2742,1320,247,1175
10646,r013,All institutions<sup>a</sup> -> Texas A&M U.,All institutions<sup>a</sup>,Texas A&M U.,2,12,4683,2450,1959,274,11,3482,1782,1446,254,26,1201,668,513,20
10646,r014,All institutions<sup>a</sup> -> Carnegie Mellon U.,All institutions<sup>a</sup>,Carnegie Mellon U.,2,13,4624,2613,2011,0,7,4440,2534,1906,0,219,184,79,105,0
10646,r015,All institutions<sup>a</sup> -> Purdue U.,All institutions<sup>a</sup>,Purdue U.,2,14,4615,1249,3047,319,31,2142,792,1222,128,10,2473,457,1825,191
10646,r016,All institutions<sup>a</sup> -> U. Washington,All institutions<sup>a</sup>,U. Washington,2,15,4523,2634,1256,633,15,2885,1689,693,503,17,1638,945,563,130
10646,r017,"All institutions<sup>a</sup> -> U. North Texas, Denton",All institutions<sup>a</sup>,"U. North Texas, Denton",2,16,4453,3865,420,168,9,3496,2986,356,154,39,957,879,64,14
10646,r018,All institutions<sup>a</sup> -> Liberty U.,All institutions<sup>a</sup>,Liberty U.,2,17,4450,3676,3,771,37,1936,1623,3,310,8,2514,2053,0,461
10646,r019,All institutions<sup>a</sup> -> Boston U.,All institutions<sup>a</sup>,Boston U.,2,18,4383,3064,518,801,21,2731,1898,325,508,16,1652,1166,193,293
10646,r020,"All institutions<sup>a</sup> -> U. Texas, Austin",All institutions<sup>a</sup>,"U. Texas, Austin",2,19,4248,3257,739,252,36,1973,1231,572,170,11,2275,2026,167,82
10646,r021,All institutions<sup>a</sup> -> U. Colorado,All institutions<sup>a</sup>,U. Colorado,2,20,4227,2054,1564,609,12,3341,1724,1107,510,46,886,330,457,99
10646,r022,"All institutions<sup>a</sup> -> U. Texas, Dallas",All institutions<sup>a</sup>,"U. Texas, Dallas",2,21,4118,3296,624,198,14,3211,2630,385,196,42,907,666,239,2
10646,r023,"All institutions<sup>a</sup> -> U. Texas, Arlington",All institutions<sup>a</sup>,"U. Texas, Arlington",2,22,4024,2567,1412,45,13,3253,2206,1019,28,50,771,361,393,17
10646,r024,All institutions<sup>a</sup> -> George Mason U.,All institutions<sup>a</sup>,George Mason U.,2,23,3781,3087,354,340,30,2143,1828,130,185,17,1638,1259,224,155
10646,r025,All institutions<sup>a</sup> -> Indiana U.,All institutions<sup>a</sup>,Indiana U.,2,24,3763,2511,170,1082,16,2843,1917,110,816,40,920,594,60,266
10646,r026,"All institutions<sup>a</sup> -> SUNY, U. Buffalo",All institutions<sup>a</sup>,"SUNY, U. Buffalo",2,25,3700,2156,1251,293,18,2791,1655,891,245,41,909,501,360,48
10646,r027,"All institutions<sup>a</sup> -> U. California, Berkeley",All institutions<sup>a</sup>,"U. California, Berkeley",2,26,3641,1755,1182,704,33,2123,544,1167,412,21,1518,1211,15,292
10646,r028,All institutions<sup>a</sup> -> North Carolina State U.,All institutions<sup>a</sup>,North Carolina State U.,2,27,3519,1892,1627,0,23,2516,1394,1122,0,35,1003,498,505,0
10646,r029,All institutions<sup>a</sup> -> Stevens Institute of Technology,All institutions<sup>a</sup>,Stevens Institute of Technology,2,28,3427,2208,1219,0,22,2532,1840,692,0,44,895,368,527,0
10646,r030,All institutions<sup>a</sup> -> Pennsylvania State U.,All institutions<sup>a</sup>,Pennsylvania State U.,2,29,3405,2090,1176,139,53,1384,791,473,120,13,2021,1299,703,19
10646,r031,"All institutions<sup>a</sup> -> U. Maryland, College Park",All institutions<sup>a</sup>,"U. Maryland, College Park",2,30,3332,1456,1034,842,35,1987,993,691,303,23,1345,463,343,539
10646,r032,"All institutions<sup>a</sup> -> U. South Florida, Tampa",All institutions<sup>a</sup>,"U. South Florida, Tampa",2,31,3249,1755,487,1007,26,2255,1390,355,510,36,994,365,132,497
10646,r033,"All institutions<sup>a</sup> -> U. Maryland, U. C.",All institutions<sup>a</sup>,"U. Maryland, U. C.",2,32,3228,3228,0,0,558,26,26,0,0,4,3202,3202,0,0
10646,r034,All institutions<sup>a</sup> -> U. Cincinnati,All institutions<sup>a</sup>,U. Cincinnati,2,33,3184,1861,579,744,46,1572,1008,320,244,19,1612,853,259,500
10646,r035,All institutions<sup>a</sup> -> Pepperdine U.,All institutions<sup>a</sup>,Pepperdine U.,2,34,3023,3023,0,0,102,859,859,0,0,12,2164,2164,0,0
10646,r036,All institutions<sup>a</sup> -> Lamar U.,All institutions<sup>a</sup>,Lamar U.,2,35,2939,2410,257,272,38,1852,1456,211,185,29,1087,954,46,87
10646,r037,All institutions<sup>a</sup> -> Georgetown U.,All institutions<sup>a</sup>,Georgetown U.,2,36,2844,2735,0,109,27,2254,2205,0,49,72,590,530,0,60
10646,r038,All institutions<sup>a</sup> -> San Jose State U.,All institutions<sup>a</sup>,San Jose State U.,2,37,2773,1016,1609,148,39,1752,638,999,115,34,1021,378,610,33
10646,r039,"All institutions<sup>a</sup> -> U. California, Los Angeles",All institutions<sup>a</sup>,"U. California, Los Angeles",2,38,2769,1067,1230,472,20,2769,1067,1230,472,624,0,0,0,0
10646,r040,All institutions<sup>a</sup> -> U. Central Missouri,All institutions<sup>a</sup>,U. Central Missouri,2,39,2763,2629,63,71,41,1668,1562,44,62,28,1095,1067,19,9
10646,r041,All institutions<sup>a</sup> -> Virginia Polytechnic Institute and State U.,All institutions<sup>a</sup>,Virginia Polytechnic Institute and State U.,2,40,2750,1660,1019,71,41,1668,828,774,66,30,1082,832,245,5
10646,r042,All institutions<sup>a</sup> -> U. Chicago,All institutions<sup>a</sup>,U. Chicago,2,41,2692,2683,9,0,34,2076,2071,5,0,65,616,612,4,0
10646,r043,"All institutions<sup>a</sup> -> U. California, San Diego",All institutions<sup>a</sup>,"U. California, San Diego",2,42,2596,1299,1278,19,25,2276,1132,1125,19,145,320,167,153,0
10646,r044,All institutions<sup>a</sup> -> Florida Institute of Technology,All institutions<sup>a</sup>,Florida Institute of Technology,2,43,2561,2139,422,0,153,556,316,240,0,14,2005,1823,182,0
10646,r045,All institutions<sup>a</sup> -> U. Minnesota,All institutions<sup>a</sup>,U. Minnesota,2,44,2514,1457,492,565,32,2136,1278,416,442,124,378,179,76,123
10646,r046,All institutions<sup>a</sup> -> Stanford U.,All institutions<sup>a</sup>,Stanford U.,2,45,2507,1259,1109,139,24,2293,1167,1009,117,195,214,92,100,22
10646,r047,All institutions<sup>a</sup> -> National U.,All institutions<sup>a</sup>,National U.,2,46,2462,2319,0,143,54,1383,1302,0,81,31,1079,1017,0,62
10646,r048,All institutions<sup>a</sup> -> U. Central Florida,All institutions<sup>a</sup>,U. Central Florida,2,47,2413,1153,718,542,69,1174,660,182,332,24,1239,493,536,210
10646,r049,All institutions<sup>a</sup> -> U. Wisconsin-Madison,All institutions<sup>a</sup>,U. Wisconsin-Madison,2,48,2358,1371,790,197,45,1605,1054,424,127,53,753,317,366,70
10646,r050,All institutions<sup>a</sup> -> Texas Tech U.,All institutions<sup>a</sup>,Texas Tech U.,2,49,2213,1476,497,240,43,1662,1136,334,192,86,551,340,163,48
10646,r051,All institutions<sup>a</sup> -> Cornell U.,All institutions<sup>a</sup>,Cornell U.,2,50,2211,1014,1081,116,29,2154,972,1080,102,404,57,42,1,14
10646,r052,"All institutions<sup>a</sup> -> U. Illinois, Chicago",All institutions<sup>a</sup>,"U. Illinois, Chicago",2,51,2159,815,401,943,44,1616,636,267,713,89,543,179,134,230
10646,r053,All institutions<sup>a</sup> -> New Jersey Institute of Technology,All institutions<sup>a</sup>,New Jersey Institute of Technology,2,52,2155,1451,664,40,51,1444,1088,328,28,58,711,363,336,12
10646,r054,All institutions<sup>a</sup> -> Florida State U.,All institutions<sup>a</sup>,Florida State U.,2,53,2094,1654,184,256,81,1045,836,85,124,32,1049,818,99,132
10646,r055,All institutions<sup>a</sup> -> Tufts U.,All institutions<sup>a</sup>,Tufts U.,2,54,2083,1730,205,148,48,1500,1298,131,71,74,583,432,74,77
10646,r056,"All institutions<sup>a</sup> -> U. North Carolina, Chapel Hill",All institutions<sup>a</sup>,"U. North Carolina, Chapel Hill",2,55,2081,498,14,1569,49,1494,448,14,1032,73,587,50,0,537
10646,r057,"All institutions<sup>a</sup> -> Colorado State U., Fort Collins",All institutions<sup>a</sup>,"Colorado State U., Fort Collins",2,56,1995,1540,424,31,106,829,659,145,25,27,1166,881,279,6
10646,r058,All institutions<sup>a</sup> -> U. Arizona,All institutions<sup>a</sup>,U. Arizona,2,57,1991,1142,435,414,96,953,577,158,218,33,1038,565,277,196
10646,r059,All institutions<sup>a</sup> -> Ohio State U.,All institutions<sup>a</sup>,Ohio State U.,2,58,1935,814,614,507,56,1325,577,471,277,68,610,237,143,230
10646,r060,All institutions<sup>a</sup> -> Auburn U.,All institutions<sup>a</sup>,Auburn U.,2,59,1926,1418,425,83,85,1025,804,160,61,43,901,614,265,22
10646,r061,All institutions<sup>a</sup> -> Illinois Institute of Technology,All institutions<sup>a</sup>,Illinois Institute of Technology,2,60,1919,1403,470,46,62,1203,966,236,1,57,716,437,234,45
10646,r062,All institutions<sup>a</sup> -> U. New Haven,All institutions<sup>a</sup>,U. New Haven,2,61,1916,899,805,212,40,1693,781,732,180,186,223,118,73,32
10646,r063,"All institutions<sup>a</sup> -> Washington U., Saint Louis",All institutions<sup>a</sup>,"Washington U., Saint Louis",2,62,1905,999,677,229,50,1468,770,498,200,105,437,229,179,29
10646,r064,"All institutions<sup>a</sup> -> Rutgers, State U. New Jersey",All institutions<sup>a</sup>,"Rutgers, State U. New Jersey",2,63,1901,1538,359,4,58,1308,1095,209,4,69,593,443,150,0
10646,r065,All institutions<sup>a</sup> -> Syracuse U.,All institutions<sup>a</sup>,Syracuse U.,2,64,1881,1584,267,30,47,1502,1261,214,27,122,379,323,53,3
10646,r066,All institutions<sup>a</sup> -> U. Houston,All institutions<sup>a</sup>,U. Houston,2,65,1876,784,1024,68,57,1311,494,756,61,80,565,290,268,7
10646,r067,All institutions<sup>a</sup> -> U. Denver,All institutions<sup>a</sup>,U. Denver,2,66,1867,1655,105,107,66,1190,1092,42,56,62,677,563,63,51
10646,r068,"All institutions<sup>a</sup> -> U. Alabama, Birmingham",All institutions<sup>a</sup>,"U. Alabama, Birmingham",2,67,1809,831,440,538,96,953,610,132,211,47,856,221,308,327
10646,r069,All institutions<sup>a</sup> -> Drexel U.,All institutions<sup>a</sup>,Drexel U.,2,68,1770,1249,334,187,108,812,608,128,76,38,958,641,206,111
10646,r070,"All institutions<sup>a</sup> -> Columbia U., Teachers C.",All institutions<sup>a</sup>,"Columbia U., Teachers C.",2,69,1758,1592,0,166,55,1326,1212,0,114,106,432,380,0,52
10646,r071,All institutions<sup>a</sup> -> U. Pittsburgh,All institutions<sup>a</sup>,U. Pittsburgh,2,70,1750,1120,289,341,65,1194,799,162,233,84,556,321,127,108
10646,r072,All institutions<sup>a</sup> -> U. Utah,All institutions<sup>a</sup>,U. Utah,2,71,1710,1013,389,308,61,1209,764,225,220,92,501,249,164,88
10646,r073,"All institutions<sup>a</sup> -> California State U., Northridge",All institutions<sup>a</sup>,"California State U., Northridge",2,72,1704,544,320,840,121,729,306,159,264,37,975,238,161,576
10646,r074,All institutions<sup>a</sup> -> Northwestern U.,All institutions<sup>a</sup>,Northwestern U.,2,73,1690,1162,373,155,70,1131,786,274,71,83,559,376,99,84
10646,r075,All institutions<sup>a</sup> -> American U.,All institutions<sup>a</sup>,American U.,2,74,1677,1658,0,19,91,998,994,0,4,61,679,664,0,15
10646,r076,All institutions<sup>a</sup> -> Wichita State U.,All institutions<sup>a</sup>,Wichita State U.,2,75,1672,1325,296,51,52,1395,1143,201,51,159,277,182,95,0
10646,r077,"All institutions<sup>a</sup> -> U. Massachusetts, Amherst",All institutions<sup>a</sup>,"U. Massachusetts, Amherst",2,76,1647,1022,285,340,76,1064,772,188,104,74,583,250,97,236
10646,r078,"All institutions<sup>a</sup> -> California State U., Fullerton",All institutions<sup>a</sup>,"California State U., Fullerton",2,77,1641,967,514,160,117,750,513,115,122,45,891,454,399,38
10646,r079,All institutions<sup>a</sup> -> San Diego State U.,All institutions<sup>a</sup>,San Diego State U.,2,78,1633,941,309,383,75,1070,600,136,334,81,563,341,173,49
10646,r080,All institutions<sup>a</sup> -> Eastern U.,All institutions<sup>a</sup>,Eastern U.,2,79,1627,1627,0,0,199,413,413,0,0,25,1214,1214,0,0
10646,r081,All institutions<sup>a</sup> -> Oregon State U.,All institutions<sup>a</sup>,Oregon State U.,2,80,1622,1067,346,209,89,1009,651,265,93,67,613,416,81,116
10646,r082,All institutions<sup>a</sup> -> Florida International U.,All institutions<sup>a</sup>,Florida International U.,2,81,1612,1017,235,360,78,1063,695,129,239,87,549,322,106,121
10646,r083,All institutions<sup>a</sup> -> DePaul U.,All institutions<sup>a</sup>,DePaul U.,2,82,1598,1324,65,209,68,1175,940,43,192,109,423,384,22,17
10646,r084,All institutions<sup>a</sup> -> Clemson U.,All institutions<sup>a</sup>,Clemson U.,2,83,1592,839,688,65,82,1044,427,563,54,88,548,412,125,11
10646,r085,All institutions<sup>a</sup> -> U. New Mexico,All institutions<sup>a</sup>,U. New Mexico,2,84,1591,709,595,287,101,870,398,277,195,55,721,311,318,92
10646,r086,All institutions<sup>a</sup> -> Georgia State U.,All institutions<sup>a</sup>,Georgia State U.,2,85,1547,1143,0,404,60,1232,936,0,296,149,315,207,0,108
10646,r087,All institutions<sup>a</sup> -> Northwest Missouri State U.,All institutions<sup>a</sup>,Northwest Missouri State U.,2,85,1547,1547,0,0,120,744,744,0,0,49,803,803,0,0
10646,r088,All institutions<sup>a</sup> -> U. Georgia,All institutions<sup>a</sup>,U. Georgia,2,87,1517,1254,84,179,63,1198,958,74,166,146,319,296,10,13
10646,r089,All institutions<sup>a</sup> -> U. Memphis,All institutions<sup>a</sup>,U. Memphis,2,88,1473,1152,88,233,64,1197,981,65,151,161,276,171,23,82
10646,r090,"All institutions<sup>a</sup> -> California State U., Long Beach",All institutions<sup>a</sup>,"California State U., Long Beach",2,89,1462,989,323,150,99,888,628,153,107,77,574,361,170,43
10646,r091,"All institutions<sup>a</sup> -> SUNY, Stony Brook U.",All institutions<sup>a</sup>,"SUNY, Stony Brook U.",2,90,1421,925,304,192,72,1103,700,237,166,147,318,225,67,26
10646,r092,"All institutions<sup>a</sup> -> U. Missouri, Kansas City",All institutions<sup>a</sup>,"U. Missouri, Kansas City",2,91,1412,1265,136,11,73,1088,1009,79,0,142,324,256,57,11
10646,r093,All institutions<sup>a</sup> -> Kennesaw State U.,All institutions<sup>a</sup>,Kennesaw State U.,2,92,1395,928,361,106,126,695,557,116,22,59,700,371,245,84
10646,r094,"All institutions<sup>a</sup> -> U. North Carolina, Charlotte",All institutions<sup>a</sup>,"U. North Carolina, Charlotte",2,93,1392,1032,228,132,80,1046,778,159,109,136,346,254,69,23
10646,r095,"All institutions<sup>a</sup> -> U. Texas, San Antonio",All institutions<sup>a</sup>,"U. Texas, San Antonio",2,94,1381,1070,235,76,134,620,488,81,51,52,761,582,154,25
10646,r096,All institutions<sup>a</sup> -> Case Western Reserve U.,All institutions<sup>a</sup>,Case Western Reserve U.,2,95,1366,835,260,271,87,1011,605,165,241,135,355,230,95,30
10646,r097,All institutions<sup>a</sup> -> Pace U.,All institutions<sup>a</sup>,Pace U.,2,96,1362,1303,22,37,74,1078,1032,9,37,157,284,271,13,0
10646,r098,"All institutions<sup>a</sup> -> U. Massachusetts, Lowell",All institutions<sup>a</sup>,"U. Massachusetts, Lowell",2,97,1358,655,531,172,142,591,286,213,92,51,767,369,318,80
10646,r099,All institutions<sup>a</sup> -> Rochester Institute of Technology,All institutions<sup>a</sup>,Rochester Institute of Technology,2,98,1329,1000,310,19,94,968,770,197,1,127,361,230,113,18
10646,r100,All institutions<sup>a</sup> -> Harvard U.,All institutions<sup>a</sup>,Harvard U.,2,99,1324,407,254,663,95,965,269,244,452,131,359,138,10,211
10646,r101,All institutions<sup>a</sup> -> Massachusetts Institute of Technology,All institutions<sup>a</sup>,Massachusetts Institute of Technology,2,100,1314,484,830,0,59,1244,484,760,0,368,70,0,70,0
10646,r102,All institutions<sup>a</sup> -> Michigan State U.,All institutions<sup>a</sup>,Michigan State U.,2,101,1311,831,193,287,141,594,336,92,166,56,717,495,101,121
10646,r103,All institutions<sup>a</sup> -> Cleveland State U.,All institutions<sup>a</sup>,Cleveland State U.,2,102,1279,727,485,67,79,1052,596,389,67,184,227,131,96,0
10646,r104,"All institutions<sup>a</sup> -> U. California, Davis",All institutions<sup>a</sup>,"U. California, Davis",2,103,1253,716,359,178,67,1188,696,323,169,382,65,20,36,9
10646,r105,All institutions<sup>a</sup> -> U. Virginia,All institutions<sup>a</sup>,U. Virginia,2,104,1249,812,271,166,110,802,538,111,153,102,447,274,160,13
10646,r106,All institutions<sup>a</sup> -> U. Connecticut,All institutions<sup>a</sup>,U. Connecticut,2,105,1240,683,330,227,115,778,503,105,170,99,462,180,225,57
10646,r107,All institutions<sup>a</sup> -> Texas State U.,All institutions<sup>a</sup>,Texas State U.,2,106,1231,933,87,211,105,833,595,64,174,118,398,338,23,37
10646,r108,All institutions<sup>a</sup> -> U. Miami,All institutions<sup>a</sup>,U. Miami,2,107,1224,1012,108,104,84,1033,886,89,58,206,191,126,19,46
10646,r109,All institutions<sup>a</sup> -> Wright State U.,All institutions<sup>a</sup>,Wright State U.,2,108,1202,897,262,43,76,1064,813,212,39,262,138,84,50,4
10646,r110,All institutions<sup>a</sup> -> Brown U.,All institutions<sup>a</sup>,Brown U.,2,109,1201,654,202,345,71,1125,616,188,321,354,76,38,14,24
10646,r111,All institutions<sup>a</sup> -> Santa Clara U.,All institutions<sup>a</sup>,Santa Clara U.,2,109,1201,549,652,0,104,842,303,539,0,131,359,246,113,0
10646,r112,All institutions<sup>a</sup> -> Maharishi U. of Management,All institutions<sup>a</sup>,Maharishi U. of Management,2,111,1191,1191,0,0,93,979,979,0,0,196,212,212,0,0
10646,r113,"All institutions<sup>a</sup> -> SUNY, Binghamton U.",All institutions<sup>a</sup>,"SUNY, Binghamton U.",2,112,1176,795,325,56,92,989,682,268,39,213,187,113,57,17
10646,r114,All institutions<sup>a</sup> -> Naval Postgraduate School,All institutions<sup>a</sup>,Naval Postgraduate School,2,113,1173,410,763,0,119,747,410,337,0,108,426,0,426,0
10646,r115,"All institutions<sup>a</sup> -> SUNY, U. Albany",All institutions<sup>a</sup>,"SUNY, U. Albany",2,114,1167,887,28,252,109,806,667,18,121,127,361,220,10,131
10646,r116,All institutions<sup>a</sup> -> U. Dayton,All institutions<sup>a</sup>,U. Dayton,2,115,1163,788,375,0,86,1014,724,290,0,250,149,64,85,0
10646,r117,All institutions<sup>a</sup> -> Worcester Polytechnic Institute,All institutions<sup>a</sup>,Worcester Polytechnic Institute,2,116,1161,364,797,0,195,423,140,283,0,54,738,224,514,0
10646,r118,All institutions<sup>a</sup> -> U. San Francisco,All institutions<sup>a</sup>,U. San Francisco,2,117,1142,992,0,150,131,643,584,0,59,93,499,408,0,91
10646,r119,All institutions<sup>a</sup> -> U. Oklahoma,All institutions<sup>a</sup>,U. Oklahoma,2,118,1140,792,304,44,152,557,407,124,26,74,583,385,180,18
10646,r120,"All institutions<sup>a</sup> -> U. Texas Health Science Center, Houston",All institutions<sup>a</sup>,"U. Texas Health Science Center, Houston",2,119,1134,423,4,707,146,571,266,3,302,81,563,157,1,405
10646,r121,All institutions<sup>a</sup> -> U. Wisconsin-Milwaukee,All institutions<sup>a</sup>,U. Wisconsin-Milwaukee,2,120,1126,844,80,202,112,794,581,45,168,140,332,263,35,34
10646,r122,All institutions<sup>a</sup> -> Oklahoma State U.,All institutions<sup>a</sup>,Oklahoma State U.,2,121,1117,696,278,143,113,779,516,157,106,139,338,180,121,37
10646,r123,All institutions<sup>a</sup> -> Mississippi State U.,All institutions<sup>a</sup>,Mississippi State U.,2,122,1116,817,262,37,150,562,430,101,31,85,554,387,161,6
10646,r124,All institutions<sup>a</sup> -> Saint Louis U.,All institutions<sup>a</sup>,Saint Louis U.,2,123,1085,783,67,235,83,1039,760,62,217,419,46,23,5,18
10646,r125,"All institutions<sup>a</sup> -> U. California, Irvine",All institutions<sup>a</sup>,"U. California, Irvine",2,124,1079,530,549,0,98,928,438,490,0,247,151,92,59,0
10646,r126,"All institutions<sup>a</sup> -> U. Missouri, Columbia",All institutions<sup>a</sup>,"U. Missouri, Columbia",2,125,1076,706,81,289,176,483,309,39,135,69,593,397,42,154
10646,r127,All institutions<sup>a</sup> -> Wayne State U.,All institutions<sup>a</sup>,Wayne State U.,2,126,1056,559,241,256,136,609,344,100,165,102,447,215,141,91
10646,r128,All institutions<sup>a</sup> -> California Baptist U.,All institutions<sup>a</sup>,California Baptist U.,2,127,1054,793,11,250,113,779,618,2,159,162,275,175,9,91
10646,r129,All institutions<sup>a</sup> -> Old Dominion U.,All institutions<sup>a</sup>,Old Dominion U.,2,128,1051,458,527,66,216,365,224,80,61,60,686,234,447,5
10646,r130,All institutions<sup>a</sup> -> Northern Illinois U.,All institutions<sup>a</sup>,Northern Illinois U.,2,129,1050,624,147,279,127,694,513,87,94,134,356,111,60,185
10646,r131,All institutions<sup>a</sup> -> Harrisburg U. of Science and Technology,All institutions<sup>a</sup>,Harrisburg U. of Science and Technology,2,130,1047,1005,0,42,90,1003,964,0,39,425,44,41,0,3
10646,r132,All institutions<sup>a</sup> -> Southern Arkansas U.,All institutions<sup>a</sup>,Southern Arkansas U.,2,131,1018,1018,0,0,138,597,597,0,0,110,421,421,0,0
10646,r133,"All institutions<sup>a</sup> -> U. Illinois, Springfield",All institutions<sup>a</sup>,"U. Illinois, Springfield",2,132,1017,939,0,78,144,572,533,0,39,104,445,406,0,39
10646,r134,All institutions<sup>a</sup> -> Duke U.,All institutions<sup>a</sup>,Duke U.,2,133,1011,639,338,34,87,1011,639,338,34,624,0,0,0,0
10646,r135,All institutions<sup>a</sup> -> U. West Florida,All institutions<sup>a</sup>,U. West Florida,2,134,1009,794,42,173,334,174,127,4,43,48,835,667,38,130
10646,r136,All institutions<sup>a</sup> -> U. Texas Rio Grande Valley,All institutions<sup>a</sup>,U. Texas Rio Grande Valley,2,135,1008,552,147,309,198,416,313,60,43,71,592,239,87,266
10646,r137,All institutions<sup>a</sup> -> Iowa State U.,All institutions<sup>a</sup>,Iowa State U.,2,136,991,704,278,9,173,489,338,142,9,91,502,366,136,0
10646,r138,All institutions<sup>a</sup> -> Antioch U.,All institutions<sup>a</sup>,Antioch U.,2,137,987,987,0,0,100,874,874,0,0,293,113,113,0,0
10646,r139,All institutions<sup>a</sup> -> Troy U.,All institutions<sup>a</sup>,Troy U.,2,138,985,961,0,24,215,369,356,0,13,65,616,605,0,11
10646,r140,All institutions<sup>a</sup> -> Miami U.,All institutions<sup>a</sup>,Miami U.,2,139,984,852,50,82,220,360,234,47,79,64,624,618,3,3
10646,r141,All institutions<sup>a</sup> -> Florida Atlantic U.,All institutions<sup>a</sup>,Florida Atlantic U.,2,140,983,720,157,106,137,601,447,78,76,120,382,273,79,30
10646,r142,All institutions<sup>a</sup> -> Kansas State U.,All institutions<sup>a</sup>,Kansas State U.,2,141,960,758,154,48,170,499,408,68,23,100,461,350,86,25
10646,r143,All institutions<sup>a</sup> -> Western Illinois U.,All institutions<sup>a</sup>,Western Illinois U.,2,142,959,897,0,62,103,852,795,0,57,300,107,102,0,5
10646,r144,All institutions<sup>a</sup> -> New Mexico State U.,All institutions<sup>a</sup>,New Mexico State U.,2,143,953,585,198,170,161,537,343,102,92,113,416,242,96,78
10646,r145,All institutions<sup>a</sup> -> Rush U.,All institutions<sup>a</sup>,Rush U.,2,144,949,90,0,859,107,818,73,0,745,268,131,17,0,114
10646,r146,All institutions<sup>a</sup> -> U. Delaware,All institutions<sup>a</sup>,U. Delaware,2,145,948,677,162,109,116,759,527,130,102,209,189,150,32,7
10646,r147,All institutions<sup>a</sup> -> Tulane U.,All institutions<sup>a</sup>,Tulane U.,2,146,943,354,22,567,122,706,337,21,348,179,237,17,1,219
10646,r148,"All institutions<sup>a</sup> -> U. Tennessee, Knoxville",All institutions<sup>a</sup>,"U. Tennessee, Knoxville",2,147,939,458,335,146,175,485,250,160,75,101,454,208,175,71
10646,r149,All institutions<sup>a</sup> -> Utah State U.,All institutions<sup>a</sup>,Utah State U.,2,147,939,612,145,182,199,413,211,81,121,90,526,401,64,61
10646,r150,"All institutions<sup>a</sup> -> U. Maryland, Baltimore County",All institutions<sup>a</sup>,"U. Maryland, Baltimore County",2,149,936,857,79,0,128,684,645,39,0,171,252,212,40,0
