table_id,row_id,_b_state_or_location_b_full_path,_b_state_or_location_b_level_1,_b_state_or_location_b_level_2,_b_state_or_location_b_level_3,_b_state_or_location_b_hierarchy_depth,field_total,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_epa,field_hhs_,field_nasa,field_nsf,field_usda
10290,r022,All locations -> Massachusetts,All locations,Massachusetts,,2,22053,0,0,0,0,0,0.05,0,3323,0.05,18680,0
10290,r023,All locations -> Michigan,All locations,Michigan,,2,14816,0,0,0,5300,0,0.05,0,6721,0.05,2754,0
10290,r024,All locations -> Minnesota,All locations,Minnesota,,2,1713,0,0,0,0,0,0.05,218,0,0,1459,0
10290,r025,All locations -> Mississippi,All locations,Mississippi,,2,11844,0,11578,0,0,0,0,0,0,0.05,217,0
10290,r026,All locations -> Missouri,All locations,Missouri,,2,11205,0,0.05,0,6281,0,0,0,3327,55,1540,0
10290,r027,All locations -> Montana,All locations,Montana,,2,305,0,0,0,0,0,0,0,0,0.05,268,0
10290,r028,All locations -> Nebraska,All locations,Nebraska,,2,2255,0,0,0,0,0,0,0,0,0,1895,360
10290,r029,All locations -> Nevada,All locations,Nevada,,2,195150,0,0,0,183643,0,0,0,0,307,0,11200
10290,r030,All locations -> New Hampshire,All locations,New Hampshire,,2,7437,0,3875,0,0,0,251,0,0,0,3311,0
10290,r031,All locations -> New Jersey,All locations,New Jersey,,2,204964,0,0,0,14890,10495,15573,0.05,163330,0,626,0
10290,r032,All locations -> New Mexico,All locations,New Mexico,,2,202430,0,0,2877,154352,800,0,0,0,0,44402,0
10290,r033,All locations -> New York,All locations,New York,,2,157399,0,0,11426,124095,0,0,0,0,844,7434,13600
10290,r034,All locations -> North Carolina,All locations,North Carolina,,2,19111,0,0,0,0,0,0.05,2340,14738,0,692,1329
10290,r035,All locations -> North Dakota,All locations,North Dakota,,2,3092,0,0,0,0,0,467,0,0,0,2626,0
10290,r036,All locations -> Ohio,All locations,Ohio,,2,66737,0,0,0,0,0,573,1116,0,0.05,65016,0
10290,r037,All locations -> Oklahoma,All locations,Oklahoma,,2,13124,0,0,0,0,0,525,134,0,0,12465,0
10290,r038,All locations -> Oregon,All locations,Oregon,,2,27190,0,18210,0,0,0,0,222,0,0,6851,1907
10290,r039,All locations -> Pennsylvania,All locations,Pennsylvania,,2,24616,0,509,0,14731,0,2252,0,3330,0,0.05,3783
10290,r040,All locations -> Rhode Island,All locations,Rhode Island,,2,16858,0,8469,7884,0,0,0,215,0,0,290,0
10290,r041,All locations -> South Carolina,All locations,South Carolina,,2,14978,0,7723,0,2138,0,0,0,0,0,5117,0
10290,r042,All locations -> South Dakota,All locations,South Dakota,,2,6883,0,0,0,6358,0,0,0,0,0,525,0
10290,r043,All locations -> Tennessee,All locations,Tennessee,,2,672544,0,0,0,654630,0,0,0,6327,8815,2772,0
10290,r044,All locations -> Texas,All locations,Texas,,2,65834,0,0,42840,0,0,0.05,0,7074,64,15514,310
10290,r045,All locations -> Utah,All locations,Utah,,2,802,0,0,0,0,0,0,0,0,0,802,0
10290,r046,All locations -> Vermont,All locations,Vermont,,2,730,0,0,0,0,0,0,0,0,0,730,0
10290,r047,All locations -> Virginia,All locations,Virginia,,2,56910,8114,3859,0,14949,0,2333,0,3330,20754,3571,0
10290,r048,All locations -> Washington,All locations,Washington,,2,36058,0,139,0,29247,0,0,0,0,0,6672,0
10290,r049,All locations -> West Virginia,All locations,West Virginia,,2,1557,0,0,0,0,0,0,0,0,0,1557,0
10290,r050,All locations -> Wisconsin,All locations,Wisconsin,,2,2085,0,0,0,0,0,0,0,0,0,660,1425
10290,r051,All locations -> Outlying areas,All locations,Outlying areas,,2,4927,0,0,4602,0,0,0.05,0,0,0,0,286
10290,r052,All locations -> Outlying areas -> Puerto Rico,All locations,Outlying areas,Puerto Rico,3,325,0,0,0,0,0,0.05,0,0,0,0,286
10290,r053,All locations -> Outlying areas -> Other areas<sup>a</sup>,All locations,Outlying areas,Other areas<sup>a</sup>,3,4602,0,0,4602,0,0,0,0,0,0,0,0
