table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_male,field_female,field_researchers_including_r_d_scientists_engineers_and_their_managers_,field_r_d_technicians_and_equivalent_staff,field_r_d_support_staff_clerical_and_other_,field_researchers_with_phd_excluding_md_jd_and_edd_
12487,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['1,496', '&nbsp;']","['1,233', '&nbsp;']","['263', '&nbsp;']","['965', '&nbsp;']","['420', '&nbsp;']","['110', '&nbsp;']","['215', '&nbsp;']"
12487,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['348', '&nbsp;']","['277', '&nbsp;']","['71', 'r']","['212', '&nbsp;']","['101', '&nbsp;']","['34', 'r']","['77', '&nbsp;']"
12487,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['963', '&nbsp;']","['793', '&nbsp;']","['170', '&nbsp;']","['624', '&nbsp;']","['286', '&nbsp;']","['53', '&nbsp;']","['115', '&nbsp;']"
12487,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['185', '&nbsp;']","['163', '&nbsp;']","['22', '&nbsp;']","['130', '&nbsp;']","['32', '&nbsp;']","['23', '&nbsp;']","['23', '&nbsp;']"
12487,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['162', '&nbsp;']","['137', '&nbsp;']","['25', 'r']","['107', '&nbsp;']","['48', '&nbsp;']","['7', '&nbsp;']","['17', '&nbsp;']"
12487,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['271', '&nbsp;']","['235', '&nbsp;']","['36', 'r']","['175', '&nbsp;']","['85', 'r']","['11', '&nbsp;']","['16', 'r']"
12487,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['158', '&nbsp;']","['141', '&nbsp;']","['16', '&nbsp;']","['127', '&nbsp;']","['24', '&nbsp;']","['7', '&nbsp;']","['11', 'r']"
12487,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['113', '&nbsp;']","['94', '&nbsp;']","['19', 'r']","['49', '&nbsp;']","['61', 'r']","['4', 'r']","['5', 'r']"
12487,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['2', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['2', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']","['0', '&nbsp;']"
12487,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['557', '&nbsp;']","['431', '&nbsp;']","['127', '&nbsp;']","['376', '&nbsp;']","['156', '&nbsp;']","['26', '&nbsp;']","['92', '&nbsp;']"
12487,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['32,390', '&nbsp;']","['25,307', '&nbsp;']","['7,083', '&nbsp;']","['23,118', '&nbsp;']","['6,923', '&nbsp;']","['2,349', '&nbsp;']","['6,580', '&nbsp;']"
12487,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['1,686', '&nbsp;']","['1,392', '&nbsp;']","['293', '&nbsp;']","['1,179', '&nbsp;']","['336', '&nbsp;']","['171', '&nbsp;']","['188', '&nbsp;']"
12487,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['5,079', '&nbsp;']","['4,169', '&nbsp;']","['910', '&nbsp;']","['3,287', '&nbsp;']","['1,422', '&nbsp;']","['370', '&nbsp;']","['534', '&nbsp;']"
12487,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['3,811', '&nbsp;']","['3,143', '&nbsp;']","['668', '&nbsp;']","['2,434', '&nbsp;']","['1,116', '&nbsp;']","['262', '&nbsp;']","['335', '&nbsp;']"
12487,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['1,268', '&nbsp;']","['1,026', '&nbsp;']","['242', '&nbsp;']","['854', '&nbsp;']","['306', '&nbsp;']","['108', '&nbsp;']","['199', '&nbsp;']"
12487,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['3,352', '&nbsp;']","['2,801', '&nbsp;']","['550', '&nbsp;']","['2,559', '&nbsp;']","['689', '&nbsp;']","['104', '&nbsp;']","['713', '&nbsp;']"
12487,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['12,167', '&nbsp;']","['10,048', '&nbsp;']","['2,119', '&nbsp;']","['8,422', '&nbsp;']","['2,761', '&nbsp;']","['984', '&nbsp;']","['1,102', '&nbsp;']"
12487,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['10,107', '&nbsp;']","['6,896', '&nbsp;']","['3,210', '&nbsp;']","['7,672', '&nbsp;']","['1,715', '&nbsp;']","['720', '&nbsp;']","['4,043', '&nbsp;']"
12487,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['866', '&nbsp;']","['624', '&nbsp;']","['242', '&nbsp;']","['653', '&nbsp;']","['144', '&nbsp;']","['69', '&nbsp;']","['395', '&nbsp;']"
12487,r036,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in biotechnology (except nanobiotechnology),All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in biotechnology (except nanobiotechnology),4,541714,"['3,338', '&nbsp;']","['2,100', '&nbsp;']","['1,238', '&nbsp;']","['2,554', '&nbsp;']","['579', '&nbsp;']","['205', '&nbsp;']","['1,617', '&nbsp;']"
12487,r037,"All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",All selected industries,Selected nonmanufacturing industries,Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except nanotechnology and biotechnology)",4,541715,"['5,726', '&nbsp;']","['4,104', '&nbsp;']","['1,622', '&nbsp;']","['4,325', '&nbsp;']","['968', '&nbsp;']","['433', '&nbsp;']","['1,982', '&nbsp;']"
12487,r038,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Social sciences and humanities research and development,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Social sciences and humanities research and development,4,541720,"['177', '&nbsp;']","['69', '&nbsp;']","['108', '&nbsp;']","['140', '&nbsp;']","['24', '&nbsp;']","['13', 'r']","['48', '&nbsp;']"
