table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_all_employed_10_number,field_all_employed_10_se,field_tenured_number,field_tenured_se,field_tenured_10_number,field_tenured_10_se,field_not_tenured_on_tenure_track_number,field_not_tenured_on_tenure_track_se,field_not_tenured_on_tenure_track_10_number,field_not_tenured_on_tenure_track_10_se,field_not_tenured_not_on_tenure_track_number,field_not_tenured_not_on_tenure_track_se,field_not_tenured_not_on_tenure_track_10_number,field_not_tenured_not_on_tenure_track_10_se,field_tenure_not_applicable_number,field_tenure_not_applicable_se,field_tenure_not_applicable_10_number,field_tenure_not_applicable_10_se
3689,r011,All fields -> Science -> Computer and information sciences -> Male,All fields,Science,Computer and information sciences,Male,4,3150,250,5150,375,400,125,4050,325,1650,225,150,75,450,100,400,100,650,150,550,125
3689,r012,All fields -> Science -> Computer and information sciences -> Female,All fields,Science,Computer and information sciences,Female,4,1100,125,1300,175,150,75,900,150,550,100,50,25,150,50,100,50,250,75,250,125
3689,r013,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,5900,300,14300,500,900,150,11400,475,2400,225,500,100,1550,175,950,150,1050,150,1450,175
3689,r014,All fields -> Science -> Mathematics and statistics -> Male,All fields,Science,Mathematics and statistics,Male,4,3800,250,11250,450,550,125,9200,425,1550,200,400,100,1100,175,650,125,600,125,1000,150
3689,r015,All fields -> Science -> Mathematics and statistics -> Female,All fields,Science,Mathematics and statistics,Female,4,2100,175,3050,225,350,75,2150,175,900,125,100,50,450,100,300,75,400,75,500,75
3689,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,13500,500,33900,700,800,150,20850,625,4100,300,1700,200,2950,225,4100,325,5650,325,7200,425
3689,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Male,4,9150,425,26500,675,600,150,16350,625,2850,275,1350,200,2000,225,3050,275,3700,275,5700,425
3689,r018,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Female,4,4350,225,7400,300,200,75,4550,250,1200,125,350,75,950,125,1050,150,1950,200,1500,175
3689,r019,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,11300,450,27850,750,1350,200,16300,675,4050,300,1250,175,2050,225,3750,325,3850,325,6550,450
3689,r020,All fields -> Science -> Psychology -> Male,All fields,Science,Psychology,Male,4,3500,275,12350,550,650,125,7900,475,1400,225,550,125,550,125,1500,250,900,150,2400,275
3689,r021,All fields -> Science -> Psychology -> Female,All fields,Science,Psychology,Female,4,7800,375,15500,550,700,150,8400,450,2650,225,700,125,1500,175,2250,225,3000,275,4150,325
3689,r022,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,18150,575,46000,850,2900,250,34050,775,8400,400,900,125,3400,250,4900,400,3450,250,6150,400
3689,r023,All fields -> Science -> Social sciences -> Male,All fields,Science,Social sciences,Male,4,9300,425,28450,750,1700,200,21750,700,4450,300,350,100,1650,175,2850,325,1500,175,3500,300
3689,r024,All fields -> Science -> Social sciences -> Female,All fields,Science,Social sciences,Female,4,8850,325,17550,500,1200,150,12250,475,3950,250,550,100,1750,175,2050,200,1950,175,2700,250
3689,r025,All fields -> Engineering,All fields,Engineering,,,2,15250,550,30050,825,1400,200,21000,825,6600,475,1250,175,3000,300,3050,300,4200,325,4750,325
3689,r026,All fields -> Engineering -> Male,All fields,Engineering,Male,,3,11500,475,25200,800,1150,175,18150,775,5050,400,1000,175,2400,275,2400,300,2850,250,3650,300
3689,r027,All fields -> Engineering -> Female,All fields,Engineering,Female,,3,3700,275,4800,275,250,75,2850,225,1550,200,250,75,600,100,650,125,1350,175,1050,175
3689,r028,All fields -> Health,All fields,Health,,,2,8700,350,12500,475,1300,150,6950,375,3200,250,1350,200,2050,200,1500,200,2150,200,2700,275
3689,r029,All fields -> Health -> Male,All fields,Health,Male,,3,2600,225,4250,250,300,100,2800,250,1100,150,200,50,550,150,450,100,650,100,750,150
3689,r030,All fields -> Health -> Female,All fields,Health,Female,,3,6100,300,8250,375,950,125,4150,300,2100,225,1150,200,1500,175,1050,150,1500,175,1900,250
