table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008,field_2009,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019
6542,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['28,183', '&nbsp;']","['26,213', '&nbsp;']","['25,241', '&nbsp;']","['22,344', '&nbsp;']","['28,764', '&nbsp;']","['36,703', '&nbsp;']","['44,706', '&nbsp;']","['28,998', '  ']","['0 - 229,395', '  ']","['31,890', '  ']","['34,871', '&nbsp;']","['35,775', '&nbsp;']"
6542,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['100,057', '&nbsp;']","['80,030', '&nbsp;']","['99,820', '&nbsp;']","['103,867', '&nbsp;']","['101,033', '&nbsp;']","['106,399', '&nbsp;']","['106,178', '&nbsp;']","['108,659', '  ']","['95,481', '  ']","['110,534', '  ']","['118,261', '&nbsp;']","['121,784', '&nbsp;']"
6542,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['22,678', '&nbsp;']","['33,532', '&nbsp;']","['32,163', '&nbsp;']","['26,809', '&nbsp;']","['26,267', '&nbsp;']","['26,281', '&nbsp;']","['29,178', '&nbsp;']","['35,056', '  ']","['26,808', '  ']","['39,492', '  ']","['31,019', '&nbsp;']","['55,322', 'i']"
6542,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['NA', '&nbsp;']","['NA', '&nbsp;']","['540,612', '&nbsp;']","['581,297', '&nbsp;']","['578,075', '&nbsp;']","['639,569', '&nbsp;']","['521,504', '&nbsp;']","['336,271', '  ']","['245,323', '  ']","['325,035', '  ']","['332,542', '&nbsp;']","['362,033', '&nbsp;']"
6542,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['NA', '&nbsp;']","['NA', '&nbsp;']","['7,549', '&nbsp;']","['8,781', '&nbsp;']","['8,489', '&nbsp;']","['13,260', '&nbsp;']","['8,873', '&nbsp;']","['9,694', '  ']","['9,088', '  ']","['13,350', '  ']","['11,426', '&nbsp;']","['12,625', '&nbsp;']"
6542,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['NA', '&nbsp;']","['NA', '&nbsp;']","['21,658', '&nbsp;']","['20,509', '&nbsp;']","['20,440', '&nbsp;']","['13,722', '&nbsp;']","['12,852', '&nbsp;']","['11,797', '  ']","['10,565', '  ']","['15,821', '  ']","['13,238', '&nbsp;']","['10,453', '&nbsp;']"
6542,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['158,621', '&nbsp;']","['103,950', '&nbsp;']","['150,240', '&nbsp;']","['206,723', '&nbsp;']","['344,515', 'i']","['198,843', '&nbsp;']","['195,066', '&nbsp;']","['154,351', '  ']","['205,221', '  ']","['164,502', '  ']","['181,046', '&nbsp;']","['162,308', '&nbsp;']"
6542,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['60,269', '&nbsp;']","['61,805', '&nbsp;']","['64,684', '&nbsp;']","['58,263', '&nbsp;']","['68,104', '&nbsp;']","['67,845', '&nbsp;']","['73,542', '&nbsp;']","['61,729', '  ']","['58,345', '  ']","['56,121', '  ']","['76,816', '&nbsp;']","['71,464', '&nbsp;']"
6542,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemicals manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemicals manufacturing",2,32530,"['28,010', '&nbsp;']","['47,317', '&nbsp;']","['41,528', '&nbsp;']","['33,380', '&nbsp;']","['40,317', '&nbsp;']","['45,660', '&nbsp;']","['55,122', '&nbsp;']","['D', '  ']","['41,963', '  ']","['55,687', '  ']","['53,085', '&nbsp;']","['55,221', '&nbsp;']"
6542,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostic substances) manufacturing<sup>c</sup>",2,32541,"['445,985', '&nbsp;']","['309,750', '&nbsp;']","['324,266', '&nbsp;']","['414,284', '&nbsp;']","['428,486', '&nbsp;']","['415,199', '&nbsp;']","['414,154', '&nbsp;']","['410,983', '  ']","['463,633', '  ']","['486,877', '  ']","['510,204', '&nbsp;']","['390,793', '&nbsp;']"
6542,r021,All business activities -> In vitro diagnostic substances manufacturing<sup>c</sup>,All business activities,In vitro diagnostic substances manufacturing<sup>c</sup>,2,32542,"['15,353', '&nbsp;']","['9,805', '&nbsp;']","['12,835', '&nbsp;']","['13,735', '&nbsp;']","['14,646', '&nbsp;']","['8,141', '&nbsp;']","['14,006', '&nbsp;']","['6,219', '  ']","['7,893', '  ']","['9,215', '  ']","['8,119', '&nbsp;']","['9,203', '&nbsp;']"
6542,r022,All business activities -> Biotechnology-based pharmaceutical and biological products (except diagnostic substances),All business activities,Biotechnology-based pharmaceutical and biological products (except diagnostic substances),2,32543,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['36,856', '&nbsp;']","['48,419', '&nbsp;']","['71,205', '  ']","['0 - 229,395', '  ']","['0 - 90,420', '  ']","['96,814', '&nbsp;']","['110,171', '&nbsp;']"
6542,r023,"All business activities -> Soap, cleaning compound, and toilet preparations manufacturing",All business activities,"Soap, cleaning compound, and toilet preparations manufacturing",2,32591,"['69,942', '&nbsp;']","['71,452', '&nbsp;']","['81,151', '&nbsp;']","['70,851', '&nbsp;']","['82,518', '&nbsp;']","['87,034', '&nbsp;']","['101,458', '&nbsp;']","['94,015', '  ']","['83,083', '  ']","['94,133', '  ']","['107,951', '&nbsp;']","['98,956', '&nbsp;']"
6542,r024,"All business activities -> Paint, adhesive, and other chemical manufacturing",All business activities,"Paint, adhesive, and other chemical manufacturing",2,32592,"['63,149', '&nbsp;']","['62,724', '&nbsp;']","['60,506', '&nbsp;']","['64,497', '&nbsp;']","['79,372', '&nbsp;']","['67,504', '&nbsp;']","['73,975', '&nbsp;']","['68,020', '  ']","['73,446', '  ']","['78,668', '  ']","['86,077', '&nbsp;']","['79,963', '&nbsp;']"
6542,r025,All business activities -> Plastics and rubber products manufacturing,All business activities,Plastics and rubber products manufacturing,2,32600,"['118,523', '&nbsp;']","['114,191', '&nbsp;']","['137,777', '&nbsp;']","['173,290', '&nbsp;']","['194,568', '&nbsp;']","['153,705', '&nbsp;']","['165,082', '&nbsp;']","['156,033', '  ']","['175,524', '  ']","['162,892', '  ']","['171,981', '&nbsp;']","['147,611', '&nbsp;']"
6542,r026,All business activities -> Clay and glass products manufacturing,All business activities,Clay and glass products manufacturing,2,32710,"['24,394', '&nbsp;']","['19,014', '&nbsp;']","['25,143', '&nbsp;']","['21,754', '&nbsp;']","['20,164', '&nbsp;']","['22,987', '&nbsp;']","['21,577', '&nbsp;']","['23,739', '  ']","['30,753', '  ']","['27,302', '  ']","['29,698', '&nbsp;']","['24,278', '&nbsp;']"
6542,r027,"All business activities -> Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",All business activities,"Cement, concrete, lime, gypsum, and other nonmetallic mineral products manufacturing",2,32790,"['43,373', '&nbsp;']","['31,599', '&nbsp;']","['24,141', '&nbsp;']","['24,235', '&nbsp;']","['33,359', '&nbsp;']","['33,428', '&nbsp;']","['25,941', '&nbsp;']","['27,882', '  ']","['28,170', '  ']","['25,524', '  ']","['36,064', '&nbsp;']","['40,945', '&nbsp;']"
6542,r028,All business activities -> Primary metal manufacturing,All business activities,Primary metal manufacturing,2,33100,"['NA', '&nbsp;']","['97,493', '&nbsp;']","['161,558', '&nbsp;']","['148,670', '&nbsp;']","['153,926', '&nbsp;']","['137,000', '&nbsp;']","['104,419', '&nbsp;']","['90,956', '  ']","['105,884', '  ']","['82,674', '  ']","['124,934', '&nbsp;']","['124,730', '&nbsp;']"
6542,r029,All business activities -> Fabricated metal products manufacturing,All business activities,Fabricated metal products manufacturing,2,33200,"['142,788', '&nbsp;']","['102,595', '&nbsp;']","['119,246', '&nbsp;']","['130,090', '&nbsp;']","['155,294', 'i']","['160,359', '&nbsp;']","['168,139', '&nbsp;']","['150,860', '  ']","['129,779', '  ']","['128,532', '  ']","['149,664', '&nbsp;']","['131,704', '&nbsp;']"
6542,r030,All business activities -> Agricultural machinery and equipment manufacturing,All business activities,Agricultural machinery and equipment manufacturing,2,33311,"['27,543', '&nbsp;']","['25,669', '&nbsp;']","['29,904', '&nbsp;']","['29,258', '&nbsp;']","['35,667', '&nbsp;']","['45,717', '&nbsp;']","['36,857', '&nbsp;']","['32,054', '  ']","['30,092', '  ']","['38,891', '  ']","['37,208', '&nbsp;']","['36,555', '&nbsp;']"
6542,r031,All business activities -> Construction machinery manufacturing,All business activities,Construction machinery manufacturing,2,33312,"['18,228', '&nbsp;']","['13,180', '&nbsp;']","['19,480', '&nbsp;']","['25,854', '&nbsp;']","['31,853', '&nbsp;']","['42,912', '&nbsp;']","['41,256', '&nbsp;']","['35,668', '  ']","['34,984', '  ']","['39,464', '  ']","['44,655', '&nbsp;']","['49,639', '&nbsp;']"
6542,r032,"All business activities -> Mining, oil, and gas field machinery and equipment manufacturing",All business activities,"Mining, oil, and gas field machinery and equipment manufacturing",2,33319,"['NA', '&nbsp;']","['33,167', '&nbsp;']","['39,264', '&nbsp;']","['53,050', '&nbsp;']","['60,556', '&nbsp;']","['46,949', '&nbsp;']","['43,531', '&nbsp;']","['37,351', '  ']","['21,606', '  ']","['31,187', '  ']","['46,305', '&nbsp;']","['41,577', '&nbsp;']"
6542,r033,All business activities -> Semiconductor machinery manufacturing,All business activities,Semiconductor machinery manufacturing,2,33321,"['9,091', '&nbsp;']","['4,765', '&nbsp;']","['11,918', '&nbsp;']","['15,018', '&nbsp;']","['6,839', '&nbsp;']","['10,807', '&nbsp;']","['11,067', '&nbsp;']","['8,215', '  ']","['15,676', '  ']","['20,114', '  ']","['21,685', '&nbsp;']","['24,628', '&nbsp;']"
6542,r034,All business activities -> Industrial machinery manufacturing (except semiconductor machinery),All business activities,Industrial machinery manufacturing (except semiconductor machinery),2,33322,"['19,452', '&nbsp;']","['15,372', '&nbsp;']","['21,762', '&nbsp;']","['29,736', '&nbsp;']","['31,127', '&nbsp;']","['29,265', '&nbsp;']","['35,077', '&nbsp;']","['32,599', '  ']","['25,317', '  ']","['27,103', '  ']","['31,884', '&nbsp;']","['28,420', '&nbsp;']"
6542,r035,All business activities -> Photographic and photocopying equipment manufacturing,All business activities,Photographic and photocopying equipment manufacturing,2,33331,"['NA', '&nbsp;']","['5,392', '&nbsp;']","['3,927', 'i']","['4,791', 'i']","['D', '&nbsp;']","['6,885', '&nbsp;']","['7,246', '&nbsp;']","['7,124', '  ']","['6,776', '  ']","['5,993', '  ']","['0 - 1,147,536', '&nbsp;']","['710', '&nbsp;']"
6542,r036,"All business activities -> Commercial, service industry, temperature control, and air-flow control machinery manufacturing",All business activities,"Commercial, service industry, temperature control, and air-flow control machinery manufacturing",2,33332,"['NA', '&nbsp;']","['33,493', '&nbsp;']","['48,407', '&nbsp;']","['43,626', '&nbsp;']","['54,363', '&nbsp;']","['64,333', '&nbsp;']","['71,628', '&nbsp;']","['74,207', '  ']","['76,436', '  ']","['68,201', '  ']","['77,939', '&nbsp;']","['80,311', '&nbsp;']"
6542,r037,All business activities -> Digital cameras manufacturing,All business activities,Digital cameras manufacturing,2,33333,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['15', '&nbsp;']","['D', '&nbsp;']","['0 - 5,580', 'i ']","['1,423', '  ']","['0 - 1,147,536', 'i']","['1,765', '&nbsp;']"
6542,r038,"All business activities -> Engine, turbine, and power transmission equipment manufacturing",All business activities,"Engine, turbine, and power transmission equipment manufacturing",2,33360,"['58,560', '&nbsp;']","['30,093', '&nbsp;']","['46,693', '&nbsp;']","['68,243', '&nbsp;']","['74,148', '&nbsp;']","['89,526', '&nbsp;']","['45,367', '&nbsp;']","['50,302', '  ']","['51,113', '  ']","['57,548', '  ']","['49,399', '&nbsp;']","['55,906', '&nbsp;']"
6542,r039,All business activities -> Metalworking and other general purpose machinery manufacturing,All business activities,Metalworking and other general purpose machinery manufacturing,2,33390,"['54,007', '&nbsp;']","['43,998', '&nbsp;']","['58,532', '&nbsp;']","['71,081', '&nbsp;']","['86,258', '&nbsp;']","['81,492', '&nbsp;']","['98,230', '&nbsp;']","['99,506', '  ']","['78,310', '  ']","['78,019', '  ']","['86,306', '&nbsp;']","['75,149', '&nbsp;']"
6542,r040,All business activities -> Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,All business activities,Computers and peripheral equipment manufacturing and magnetic and optical media<sup>d</sup>,2,33412,"['NA', '&nbsp;']","['136,666', '&nbsp;']","['167,290', '&nbsp;']","['174,898', '&nbsp;']","['143,492', '&nbsp;']","['180,146', '&nbsp;']","['165,617', '&nbsp;']","['153,211', '  ']","['211,415', '  ']","['196,854', '  ']","['214,860', '&nbsp;']","['212,050', '&nbsp;']"
6542,r041,"All business activities -> Telephone apparatus manufacturing, including routers, modems, and gateways",All business activities,"Telephone apparatus manufacturing, including routers, modems, and gateways",2,33421,"['26,447', '&nbsp;']","['35,592', '&nbsp;']","['40,631', '&nbsp;']","['32,334', '&nbsp;']","['34,783', '&nbsp;']","['39,026', '&nbsp;']","['40,004', '&nbsp;']","['92,411', 'i ']","['44,009', '  ']","['41,110', '  ']","['44,162', '&nbsp;']","['44,013', '&nbsp;']"
6542,r042,"All business activities -> Radio, television, and wireless communication equipment manufacturing",All business activities,"Radio, television, and wireless communication equipment manufacturing",2,33422,"['46,641', '&nbsp;']","['46,769', '&nbsp;']","['61,641', '&nbsp;']","['55,217', '&nbsp;']","['82,027', '&nbsp;']","['94,606', 'i']","['96,564', 'i']","['D', '  ']","['39,938', 'i ']","['31,253', '  ']","['0 - 1,147,536', '&nbsp;']","['30,687', '&nbsp;']"
6542,r043,"All business activities -> Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",All business activities,"Other communication equipment manufacturing (except radio, television, and wireless communication equipment)",2,33429,"['11,185', '&nbsp;']","['8,644', '&nbsp;']","['8,841', '&nbsp;']","['12,452', '&nbsp;']","['13,908', '&nbsp;']","['16,604', '&nbsp;']","['12,801', '&nbsp;']","['14,671', '  ']","['0 - 229,395', '  ']","['11,789', '  ']","['14,853', '&nbsp;']","['14,584', '&nbsp;']"
6542,r044,All business activities -> Audio and video equipment manufacturing,All business activities,Audio and video equipment manufacturing,2,33430,"['10,969', '&nbsp;']","['10,929', '&nbsp;']","['19,142', '&nbsp;']","['7,296', '&nbsp;']","['14,633', '&nbsp;']","['14,832', '&nbsp;']","['13,162', '&nbsp;']","['D', '&nbsp;']","['25,739', 'i ']","['0 - 413,972', '  ']","['6,363', '&nbsp;']","['7,917', '&nbsp;']"
6542,r045,All business activities -> Semiconductor and other electronic components manufacturing,All business activities,Semiconductor and other electronic components manufacturing,2,33440,"['119,612', '&nbsp;']","['117,302', '&nbsp;']","['138,124', '&nbsp;']","['151,590', '&nbsp;']","['146,764', '&nbsp;']","['123,263', '&nbsp;']","['162,118', '&nbsp;']","['172,062', '  ']","['160,152', '  ']","['182,769', '  ']","['232,283', '&nbsp;']","['224,875', '&nbsp;']"
6542,r046,"All business activities -> Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",All business activities,"Electromedical, electrotherapeutic, and irradiation apparatus manufacturing",2,33451,"['28,976', '&nbsp;']","['18,709', '&nbsp;']","['19,647', '&nbsp;']","['25,057', '&nbsp;']","['27,605', '&nbsp;']","['31,248', '&nbsp;']","['28,949', '&nbsp;']","['29,150', '  ']","['31,400', '  ']","['24,211', '  ']","['31,286', '&nbsp;']","['31,332', '&nbsp;']"
6542,r047,"All business activities -> Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",All business activities,"Search, detection, navigation, guidance, aeronautical, and nautical system and instruments manufacturing",2,33452,"['33,348', '&nbsp;']","['46,237', '&nbsp;']","['57,639', '&nbsp;']","['40,372', '&nbsp;']","['53,425', '&nbsp;']","['52,990', '&nbsp;']","['55,142', '&nbsp;']","['48,787', '  ']","['47,874', '  ']","['53,371', 'i ']","['63,110', '&nbsp;']","['62,412', '&nbsp;']"
6542,r048,All business activities -> Measuring and control instruments manufacturing (not listed elsewhere),All business activities,Measuring and control instruments manufacturing (not listed elsewhere),2,33459,"['37,609', '&nbsp;']","['42,753', '&nbsp;']","['50,643', '&nbsp;']","['49,752', '&nbsp;']","['58,909', '&nbsp;']","['52,984', '&nbsp;']","['55,954', '&nbsp;']","['61,158', '  ']","['62,658', '  ']","['60,242', '  ']","['52,440', '&nbsp;']","['55,700', '&nbsp;']"
6542,r049,"All business activities -> Electrical equipment, appliances, and components manufacturing",All business activities,"Electrical equipment, appliances, and components manufacturing",2,33500,"['106,551', '&nbsp;']","['85,758', '&nbsp;']","['105,982', '&nbsp;']","['106,576', '&nbsp;']","['110,094', '&nbsp;']","['133,238', '&nbsp;']","['141,600', '&nbsp;']","['143,695', '  ']","['139,311', '  ']","['120,116', '  ']","['115,004', '&nbsp;']","['145,801', '&nbsp;']"
6542,r050,All business activities -> Motor vehicles manufacturing,All business activities,Motor vehicles manufacturing,2,33610,"['346,591', '&nbsp;']","['274,985', '&nbsp;']","['329,874', '&nbsp;']","['373,194', '&nbsp;']","['375,113', '&nbsp;']","['459,721', '&nbsp;']","['385,647', '&nbsp;']","['526,522', '  ']","['561,193', '  ']","['207,956 - 616,742', '  ']","['580,129', '&nbsp;']","['406,293', '&nbsp;']"
6542,r051,All business activities -> Motor vehicle body and trailer manufacturing,All business activities,Motor vehicle body and trailer manufacturing,2,33620,"['9,363', '&nbsp;']","['15,184', '&nbsp;']","['22,168', '&nbsp;']","['14,423', '&nbsp;']","['31,982', '&nbsp;']","['25,726', '&nbsp;']","['32,146', '&nbsp;']","['23,083', '  ']","['62,848', '  ']","['19,322', '  ']","['25,616', '&nbsp;']","['44,214', '&nbsp;']"
6542,r052,All business activities -> Motor vehicle parts manufacturing,All business activities,Motor vehicle parts manufacturing,2,33630,"['97,433', '&nbsp;']","['77,528', '&nbsp;']","['146,257', '&nbsp;']","['125,593', '&nbsp;']","['130,372', '&nbsp;']","['155,179', '&nbsp;']","['244,948', '&nbsp;']","['192,928', '  ']","['148,781', '  ']","['185,890', '  ']","['202,526', '&nbsp;']","['182,796', '&nbsp;']"
6542,r053,All business activities -> Aircraft manufacturing,All business activities,Aircraft manufacturing,2,33641,"['97,973', '&nbsp;']","['69,001', 'i']","['81,666', '&nbsp;']","['111,748', '&nbsp;']","['91,545', 'i']","['145,641', '&nbsp;']","['132,472', '&nbsp;']","['139,909', '  ']","['130,676', '  ']","['121,866', '  ']","['181,703', '&nbsp;']","['139,088', '&nbsp;']"
6542,r054,All business activities -> Aircraft engine and engine parts manufacturing,All business activities,Aircraft engine and engine parts manufacturing,2,33642,"['35,056', '&nbsp;']","['24,737', '&nbsp;']","['25,563', '&nbsp;']","['27,491', '&nbsp;']","['26,706', '&nbsp;']","['46,618', '&nbsp;']","['41,051', '&nbsp;']","['D', '  ']","['36,861', '  ']","['40,556', '  ']","['35,583', '&nbsp;']","['32,679', '&nbsp;']"
6542,r055,All business activities -> Other aircraft parts and auxiliary equipment manufacturing,All business activities,Other aircraft parts and auxiliary equipment manufacturing,2,33643,"['21,141', '&nbsp;']","['26,755', '&nbsp;']","['31,157', '&nbsp;']","['43,898', '&nbsp;']","['34,541', '&nbsp;']","['47,588', '&nbsp;']","['68,545', '&nbsp;']","['77,236', '  ']","['68,063', '  ']","['83,469', '  ']","['56,053', '&nbsp;']","['47,652', '&nbsp;']"
6542,r056,"All business activities -> Guided missiles, space vehicles, and related parts manufacturing",All business activities,"Guided missiles, space vehicles, and related parts manufacturing",2,33644,"['38,114', '&nbsp;']","['D', '&nbsp;']","['25,391', '&nbsp;']","['35,889', '&nbsp;']","['14,656', '&nbsp;']","['14,770', '&nbsp;']","['27,872', '&nbsp;']","['29,343', '  ']","['30,261', '  ']","['35,725', '  ']","['46,748', '&nbsp;']","['32,444', '&nbsp;']"
6542,r057,All business activities -> Railroad rolling stock manufacturing,All business activities,Railroad rolling stock manufacturing,2,33651,"['6,354', '&nbsp;']","['2,763', '&nbsp;']","['7,095', 'i']","['7,204', '&nbsp;']","['11,800', '&nbsp;']","['10,875', '&nbsp;']","['16,122', '&nbsp;']","['16,100', '  ']","['11,092', '  ']","['8,252', '  ']","['8,576', '&nbsp;']","['8,091', '&nbsp;']"
6542,r058,All business activities -> Ship and boat building,All business activities,Ship and boat building,2,33660,"['14,880', '&nbsp;']","['D', '&nbsp;']","['10,531', '&nbsp;']","['11,647', '&nbsp;']","['22,778', 'i']","['15,008', '&nbsp;']","['32,077', 'i']","['13,569', '  ']","['33,497', 'i ']","['20,861', '  ']","['14,316', '&nbsp;']","['21,988', '&nbsp;']"
6542,r059,"All business activities -> Motorcycle, bicycle, and parts manufacturing",All business activities,"Motorcycle, bicycle, and parts manufacturing",2,33691,"['8,078', '&nbsp;']","['6,282', '&nbsp;']","['6,081', '&nbsp;']","['7,422', '&nbsp;']","['7,067', '&nbsp;']","['10,406', '&nbsp;']","['7,777', '&nbsp;']","['7,687', '  ']","['6,276', 'i ']","['5,423', '  ']","['0 - 1,147,536', '&nbsp;']","['6,948', '&nbsp;']"
6542,r060,"All business activities -> Military armored vehicle, tank, and tank components manufacturing",All business activities,"Military armored vehicle, tank, and tank components manufacturing",2,33692,"['13,092', '&nbsp;']","['9,674', '&nbsp;']","['9,072', '&nbsp;']","['5,755', '&nbsp;']","['4,668', '&nbsp;']","['4,190', 'i']","['4,895', '&nbsp;']","['4,304', '  ']","['0 - 229,395', '  ']","['9,662', 'i ']","['15,846', 'i']","['13,848', '&nbsp;']"
6542,r061,All business activities -> All other transportation equipment manufacturing,All business activities,All other transportation equipment manufacturing,2,33699,"['7,131', '&nbsp;']","['5,438', '&nbsp;']","['11,079', '&nbsp;']","['11,066', '&nbsp;']","['16,258', '&nbsp;']","['15,809', '&nbsp;']","['D', '&nbsp;']","['11,472', '  ']","['11,940', '  ']","['11,554', '  ']","['17,803', '&nbsp;']","['16,191', '&nbsp;']"
6542,r062,All business activities -> Furniture and related products manufacturing,All business activities,Furniture and related products manufacturing,2,33700,"['36,218', '&nbsp;']","['31,479', '&nbsp;']","['32,876', '&nbsp;']","['32,881', '&nbsp;']","['37,447', 'i']","['35,446', '&nbsp;']","['39,675', '&nbsp;']","['38,024', '  ']","['37,737', '  ']","['43,394', '  ']","['44,459', '&nbsp;']","['46,013', '&nbsp;']"
