table_id,row_id,ffrdc_full_path,ffrdc_level_1,ffrdc_level_2,ffrdc_level_3,ffrdc_hierarchy_depth,field_2018,field_2019,field_2020,field_2021,field_2022,field__change_2021_22
9325,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,552640,590470,595466,637658,655988,2.9
9325,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,177530,174123,180634,230484,189490,-17.8
9325,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,68237,68371,67072,65255,74759,14.6
9325,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,162690,174712,190408,263661,235436,-10.7
9325,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,95198,96697,95874,96391,93567,-2.9
9325,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,5054,6987,6762,5630,4323,-23.2
9325,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,175030,213369,228162,348269,286693,-17.7
9325,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,46321,54751,44736,34888,52984,51.9
9325,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,104689,115813,136874,183588,183261,-0.2
9325,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Idaho National Laboratory,3,395112,478324,494094,516691,637579,23.4
9325,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> Judiciary Engineering Modernization Center<sup>b</sup>,All FFRDCs,Nonprofit-administered FFRDCs,Judiciary Engineering Modernization Center<sup>b</sup>,3,6697,7331,6765,5493,na,na
9325,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,37598,39003,42330,44968,45870,2.0
9325,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,19556,22205,23557,33671,27955,-17.0
9325,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,57743,67647,64134,66170,61097,-7.7
9325,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,388500,455016,511585,559151,603356,7.9
9325,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,1078610,1124861,1143701,1468298,1286520,-12.4
9325,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,1399445,1470372,1632684,1760578,1803543,2.4
9325,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,956193,1012136,1071249,1168268,1294614,10.8
9325,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,48858,48325,46936,47966,46517,-3.0
9325,r040,All FFRDCs -> Nonprofit-administered FFRDCs -> Savannah River National Laboratory<sup>c</sup>,All FFRDCs,Nonprofit-administered FFRDCs,Savannah River National Laboratory<sup>c</sup>,3,na,na,na,191803,182654,-4.8
9325,r041,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,8086,9080,9256,9784,10593,8.3
9325,r042,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,168034,177948,171335,173792,201338,15.8
9325,r043,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,7838917,8279752,8597506,8992198,10187121,13.3
9325,r044,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,748500,751452,745726,861605,904182,4.9
9325,r045,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,1386687,1517429,1558071,1613673,1659808,2.9
9325,r046,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,2145232,2461275,2722375,2974164,3811602,28.2
9325,r047,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,3009105,3373217,3395241,3542756,3811529,7.6
9325,r048,All FFRDCs -> Industry-administered FFRDCs -> Savannah River National Laboratory<sup>c</sup>,All FFRDCs,Industry-administered FFRDCs,Savannah River National Laboratory<sup>c</sup>,3,154281,176379,176093,na,na,na
