table_id,row_id,field_of_highest_degree_father_s_education_and_mother_s_education_full_path,field_of_highest_degree_father_s_education_and_mother_s_education_level_1,field_of_highest_degree_father_s_education_and_mother_s_education_level_2,field_of_highest_degree_father_s_education_and_mother_s_education_level_3,field_of_highest_degree_father_s_education_and_mother_s_education_level_4,field_of_highest_degree_father_s_education_and_mother_s_education_hierarchy_depth,field_bachelor_s_total,field_bachelor_s_0,field_bachelor_s_1_10_000,field_bachelor_s_10_001_20_000,field_bachelor_s_20_001_30_000,field_bachelor_s_30_001_and_over,field_master_s_total,field_master_s_0,field_master_s_1_10_000,field_master_s_10_001_20_000,field_master_s_20_001_30_000,field_master_s_30_001_and_over,field_doctorate_total,field_doctorate_0,field_doctorate_1_10_000,field_doctorate_10_001_20_000,field_doctorate_20_001_30_000,field_doctorate_30_001_and_over,field_professional_total,field_professional_0,field_professional_1_10_000,field_professional_10_001_20_000,field_professional_20_001_30_000,field_professional_30_001_and_over
5591,r011,All fields -> Mother's education,All fields,Mother's education,,,2,,,,,,,,,,,,,,,,,,,,,,,,
5591,r012,All fields -> Mother's education -> Less than high school completed,All fields,Mother's education,Less than high school completed,,3,4522000,2162000,850000,434000,315000,761000,1942000,881000,278000,195000,108000,187000,312000,135000,49000,17000,7000,11000,280000,86000,37000,11000,15000,45000
5591,r013,All fields -> Mother's education -> High school diploma or equivalent,All fields,Mother's education,High school diploma or equivalent,,3,13124000,5620000,2182000,1557000,1361000,2404000,5175000,2095000,891000,577000,439000,752000,597000,281000,110000,53000,26000,43000,730000,251000,128000,76000,62000,106000
5591,r014,"All fields -> Mother's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,Mother's education,"Some college, vocational, or trade school (including 2-year degrees)",,3,9579000,3656000,1297000,1301000,1107000,2219000,4140000,1737000,563000,529000,346000,707000,521000,254000,69000,45000,31000,54000,691000,299000,102000,80000,36000,98000
5591,r015,"All fields -> Mother's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,Mother's education,"Bachelor's degree (e.g., BS, BA, AB)",,3,8701000,4144000,1030000,1006000,907000,1613000,3571000,1726000,445000,324000,239000,541000,548000,288000,65000,27000,31000,58000,892000,434000,89000,90000,62000,110000
5591,r016,"All fields -> Mother's education -> Master's degree (e.g., MS, MA, MBA)",All fields,Mother's education,"Master's degree (e.g., MS, MA, MBA)",,3,3641000,1788000,328000,388000,348000,789000,2272000,1032000,259000,249000,169000,364000,379000,210000,58000,30000,14000,34000,492000,219000,69000,36000,33000,76000
5591,r017,"All fields -> Mother's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,Mother's education,"Professional degree (e.g., JD, LLB, MD, DDS)",,3,495000,264000,56000,35000,26000,113000,252000,151000,20000,11000,13000,40000,69000,40000,6000,3000,1000,6000,133000,38000,7000,S,,12000
5591,r018,"All fields -> Mother's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,Mother's education,"Doctorate (e.g., PhD, DSc, EdD)",,3,409000,184000,64000,32000,44000,84000,248000,146000,17000,27000,17000,26000,73000,42000,S,S,4000,5000,89000,53000,,S,S,S
5591,r019,All fields -> Mother's education -> Not applicable,All fields,Mother's education,Not applicable,,3,563000,303000,83000,60000,34000,83000,200000,75000,14000,14000,4000,35000,23000,15000,S,,,,32000,12000,,,,
5591,r020,All fields -> S&E fields,All fields,S&E fields,,,2,13972000,6199000,2061000,1686000,1380000,2645000,4145000,1915000,544000,379000,279000,530000,1494000,820000,191000,103000,60000,93000,51000,24000,6000,3000,4000,11000
5591,r021,All fields -> S&E fields -> Father's education,All fields,S&E fields,Father's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
5591,r022,All fields -> S&E fields -> Father's education -> Less than high school completed,All fields,S&E fields,Father's education,Less than high school completed,4,1580000,718000,323000,188000,121000,231000,437000,203000,71000,39000,17000,35000,162000,74000,27000,10000,6000,3000,S,0.05,2000,,,
5591,r023,All fields -> S&E fields -> Father's education -> High school diploma or equivalent,All fields,S&E fields,Father's education,High school diploma or equivalent,4,3464000,1337000,570000,467000,394000,696000,823000,336000,135000,78000,62000,121000,260000,123000,44000,19000,9000,19000,8000,S,S,,,
5591,r024,"All fields -> S&E fields -> Father's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,S&E fields,Father's education,"Some college, vocational, or trade school (including 2-year degrees)",4,2629000,987000,398000,341000,278000,625000,698000,269000,109000,85000,53000,111000,199000,118000,28000,17000,5000,12000,11000,4000,,,,S
5591,r025,"All fields -> S&E fields -> Father's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,S&E fields,Father's education,"Bachelor's degree (e.g., BS, BA, AB)",4,3241000,1626000,453000,320000,295000,546000,1099000,553000,110000,89000,80000,142000,370000,214000,42000,23000,18000,19000,8000,5000,,,,
5591,r026,"All fields -> S&E fields -> Father's education -> Master's degree (e.g., MS, MA, MBA)",All fields,S&E fields,Father's education,"Master's degree (e.g., MS, MA, MBA)",4,1626000,763000,187000,197000,170000,310000,582000,281000,76000,50000,29000,67000,225000,116000,25000,17000,13000,20000,6000,4000,,,,
5591,r027,"All fields -> S&E fields -> Father's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,S&E fields,Father's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,583000,348000,51000,61000,39000,83000,235000,138000,24000,10000,15000,26000,121000,81000,10000,7000,1000,8000,4000,3000,,,,
5591,r028,"All fields -> S&E fields -> Father's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,S&E fields,Father's education,"Doctorate (e.g., PhD, DSc, EdD)",4,563000,290000,52000,78000,54000,89000,217000,115000,15000,24000,14000,20000,145000,86000,15000,9000,6000,10000,S,,,,,
5591,r029,All fields -> S&E fields -> Father's education -> Not applicable,All fields,S&E fields,Father's education,Not applicable,4,286000,130000,28000,35000,29000,65000,54000,19000,5000,3000,7000,8000,13000,8000,1000,,,,,,,,,
5591,r030,All fields -> S&E fields -> Mother's education,All fields,S&E fields,Mother's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
5591,r031,All fields -> S&E fields -> Mother's education -> Less than high school completed,All fields,S&E fields,Mother's education,Less than high school completed,4,1532000,714000,282000,164000,122000,249000,513000,234000,70000,44000,25000,42000,196000,96000,31000,9000,5000,4000,S,1000,,,,
5591,r032,All fields -> S&E fields -> Mother's education -> High school diploma or equivalent,All fields,S&E fields,Mother's education,High school diploma or equivalent,4,4098000,1711000,776000,527000,402000,682000,1037000,477000,170000,80000,83000,115000,336000,168000,63000,24000,13000,20000,12000,6000,2000,S,,1000
5591,r033,"All fields -> S&E fields -> Mother's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,S&E fields,Mother's education,"Some college, vocational, or trade school (including 2-year degrees)",4,3222000,1260000,430000,420000,345000,767000,873000,358000,121000,113000,67000,140000,279000,160000,27000,25000,14000,21000,13000,7000,2000,,,S
5591,r034,"All fields -> S&E fields -> Mother's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,S&E fields,Mother's education,"Bachelor's degree (e.g., BS, BA, AB)",4,3144000,1529000,366000,380000,323000,546000,964000,472000,114000,87000,54000,138000,358000,195000,40000,20000,18000,27000,12000,6000,,,,
5591,r035,"All fields -> S&E fields -> Mother's education -> Master's degree (e.g., MS, MA, MBA)",All fields,S&E fields,Mother's education,"Master's degree (e.g., MS, MA, MBA)",4,1383000,677000,131000,153000,140000,283000,533000,258000,58000,40000,39000,65000,217000,129000,25000,16000,8000,15000,7000,3000,,,,
5591,r036,"All fields -> S&E fields -> Mother's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,S&E fields,Mother's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,213000,111000,27000,12000,15000,47000,89000,52000,6000,4000,4000,15000,50000,32000,3000,3000,1000,4000,,,,,,
5591,r037,"All fields -> S&E fields -> Mother's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,S&E fields,Mother's education,"Doctorate (e.g., PhD, DSc, EdD)",4,205000,94000,29000,14000,19000,49000,73000,42000,3000,7000,5000,7000,45000,30000,2000,S,S,2000,,,,,,
5591,r038,All fields -> S&E fields -> Mother's education -> Not applicable,All fields,S&E fields,Mother's education,Not applicable,4,177000,103000,21000,17000,14000,23000,61000,22000,3000,4000,S,9000,13000,9000,S,,,,,,,,,
5591,r039,All fields -> S&E-related fields,All fields,S&E-related fields,,,2,4837000,2041000,684000,505000,482000,1125000,2328000,917000,308000,264000,199000,416000,339000,136000,48000,28000,25000,32000,1641000,608000,151000,113000,95000,254000
5591,r040,All fields -> S&E-related fields -> Father's education,All fields,S&E-related fields,Father's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
5591,r041,All fields -> S&E-related fields -> Father's education -> Less than high school completed,All fields,S&E-related fields,Father's education,Less than high school completed,4,571000,226000,137000,64000,58000,85000,246000,91000,53000,33000,15000,22000,S,8000,4000,S,S,,151000,48000,21000,6000,S,22000
5591,r042,All fields -> S&E-related fields -> Father's education -> High school diploma or equivalent,All fields,S&E-related fields,Father's education,High school diploma or equivalent,4,1294000,495000,191000,145000,134000,329000,571000,160000,78000,69000,65000,131000,88000,36000,7000,8000,10000,14000,243000,48000,26000,20000,36000,43000
5591,r043,"All fields -> S&E-related fields -> Father's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,S&E-related fields,Father's education,"Some college, vocational, or trade school (including 2-year degrees)",4,967000,371000,146000,84000,104000,263000,430000,141000,65000,58000,42000,93000,41000,13000,9000,S,2000,S,225000,78000,30000,15000,15000,42000
5591,r044,"All fields -> S&E-related fields -> Father's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,S&E-related fields,Father's education,"Bachelor's degree (e.g., BS, BA, AB)",4,1128000,518000,109000,129000,102000,270000,509000,235000,48000,52000,41000,96000,93000,38000,17000,11000,6000,7000,353000,124000,37000,31000,8000,54000
5591,r045,"All fields -> S&E-related fields -> Father's education -> Master's degree (e.g., MS, MA, MBA)",All fields,S&E-related fields,Father's education,"Master's degree (e.g., MS, MA, MBA)",4,434000,202000,54000,57000,31000,90000,302000,139000,34000,36000,23000,39000,32000,15000,,S,4000,S,209000,87000,19000,9000,16000,44000
5591,r046,"All fields -> S&E-related fields -> Father's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,S&E-related fields,Father's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,201000,102000,24000,10000,25000,39000,139000,91000,12000,8000,6000,12000,19000,15000,,S,,,258000,142000,11000,8000,S,18000
5591,r047,"All fields -> S&E-related fields -> Father's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,S&E-related fields,Father's education,"Doctorate (e.g., PhD, DSc, EdD)",4,110000,52000,15000,S,22000,S,88000,46000,12000,8000,7000,10000,25000,12000,S,,,,144000,62000,7000,24000,S,20000
5591,r048,All fields -> S&E-related fields -> Father's education -> Not applicable,All fields,S&E-related fields,Father's education,Not applicable,4,131000,73000,7000,11000,7000,32000,45000,14000,6000,,1000,12000,3000,,,,,,57000,19000,,,,S
5591,r049,All fields -> S&E-related fields -> Mother's education,All fields,S&E-related fields,Mother's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
5591,r050,All fields -> S&E-related fields -> Mother's education -> Less than high school completed,All fields,S&E-related fields,Mother's education,Less than high school completed,4,566000,240000,119000,41000,46000,121000,211000,85000,31000,21000,14000,24000,S,7000,S,S,S,,160000,38000,25000,7000,8000,S
5591,r051,All fields -> S&E-related fields -> Mother's education -> High school diploma or equivalent,All fields,S&E-related fields,Mother's education,High school diploma or equivalent,4,1528000,650000,241000,166000,145000,326000,674000,234000,103000,89000,66000,121000,90000,49000,11000,7000,7000,5000,338000,103000,38000,33000,32000,59000
5591,r052,"All fields -> S&E-related fields -> Mother's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,S&E-related fields,Mother's education,"Some college, vocational, or trade school (including 2-year degrees)",4,1219000,434000,159000,152000,147000,328000,537000,192000,80000,66000,50000,104000,80000,25000,S,14000,8000,8000,313000,99000,41000,30000,17000,61000
5591,r053,"All fields -> S&E-related fields -> Mother's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,S&E-related fields,Mother's education,"Bachelor's degree (e.g., BS, BA, AB)",4,1044000,466000,109000,117000,114000,238000,515000,226000,52000,51000,47000,88000,56000,29000,5000,0.05,7000,4000,419000,208000,27000,23000,24000,55000
5591,r054,"All fields -> S&E-related fields -> Mother's education -> Master's degree (e.g., MS, MA, MBA)",All fields,S&E-related fields,Mother's education,"Master's degree (e.g., MS, MA, MBA)",4,321000,163000,37000,24000,20000,77000,295000,131000,33000,32000,16000,64000,56000,18000,17000,4000,2000,9000,245000,109000,19000,13000,9000,48000
5591,r055,"All fields -> S&E-related fields -> Mother's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,S&E-related fields,Mother's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,50000,25000,2000,,4000,18000,33000,14000,S,S,S,S,3000,S,,,,,95000,20000,,,,S
5591,r056,"All fields -> S&E-related fields -> Mother's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,S&E-related fields,Mother's education,"Doctorate (e.g., PhD, DSc, EdD)",4,24000,9000,7000,,,,27000,19000,S,S,S,2000,20000,8000,,,,,45000,25000,,,,S
5591,r057,All fields -> S&E-related fields -> Mother's education -> Not applicable,All fields,S&E-related fields,Mother's education,Not applicable,4,85000,54000,11000,S,S,11000,37000,15000,S,,,,2000,,,,,,25000,6000,,,,
5591,r058,All fields -> Non-S&E fields,All fields,Non-S&E fields,,,2,22226000,9881000,3146000,2624000,2280000,4296000,11328000,5012000,1634000,1282000,856000,1706000,688000,309000,131000,52000,30000,87000,1647000,761000,280000,186000,120000,201000
5591,r059,All fields -> Non-S&E fields -> Father's education,All fields,Non-S&E fields,Father's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
5591,r060,All fields -> Non-S&E fields -> Father's education -> Less than high school completed,All fields,Non-S&E fields,Father's education,Less than high school completed,4,2532000,1207000,522000,271000,191000,341000,1439000,575000,286000,143000,75000,184000,109000,29000,22000,2000,,S,144000,61000,21000,S,S,40000
5591,r061,All fields -> Non-S&E fields -> Father's education -> High school diploma or equivalent,All fields,Non-S&E fields,Father's education,High school diploma or equivalent,4,6284000,2448000,972000,804000,686000,1374000,2681000,1086000,421000,306000,244000,433000,145000,48000,31000,11000,12000,S,260000,99000,30000,46000,22000,34000
5591,r062,"All fields -> Non-S&E fields -> Father's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,Non-S&E fields,Father's education,"Some college, vocational, or trade school (including 2-year degrees)",4,4559000,1733000,670000,508000,663000,985000,2187000,767000,308000,333000,243000,433000,130000,55000,30000,17000,5000,5000,301000,112000,82000,43000,18000,31000
5591,r063,"All fields -> Non-S&E fields -> Father's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,Non-S&E fields,Father's education,"Bachelor's degree (e.g., BS, BA, AB)",4,4686000,2256000,567000,623000,414000,826000,2299000,1153000,272000,283000,139000,282000,109000,61000,15000,9000,2000,15000,368000,157000,63000,46000,46000,46000
5591,r064,"All fields -> Non-S&E fields -> Father's education -> Master's degree (e.g., MS, MA, MBA)",All fields,Non-S&E fields,Father's education,"Master's degree (e.g., MS, MA, MBA)",4,2216000,1108000,247000,227000,211000,424000,1436000,742000,176000,114000,81000,231000,65000,34000,9000,6000,4000,9000,215000,98000,54000,19000,10000,24000
5591,r065,"All fields -> Non-S&E fields -> Father's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,Non-S&E fields,Father's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,763000,511000,52000,78000,22000,100000,501000,305000,63000,34000,36000,33000,67000,38000,13000,S,,7000,245000,178000,17000,14000,2000,15000
5591,r066,"All fields -> Non-S&E fields -> Father's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,Non-S&E fields,Father's education,"Doctorate (e.g., PhD, DSc, EdD)",4,652000,404000,31000,69000,40000,107000,568000,303000,86000,45000,28000,57000,53000,37000,9000,2000,,S,103000,49000,12000,13000,S,10000
5591,r067,All fields -> Non-S&E fields -> Father's education -> Not applicable,All fields,Non-S&E fields,Father's education,Not applicable,4,534000,214000,85000,44000,52000,139000,218000,81000,21000,24000,12000,54000,9000,S,,,,,11000,7000,,,,
5591,r068,All fields -> Non-S&E fields -> Mother's education,All fields,Non-S&E fields,Mother's education,,3,,,,,,,,,,,,,,,,,,,,,,,,
5591,r069,All fields -> Non-S&E fields -> Mother's education -> Less than high school completed,All fields,Non-S&E fields,Mother's education,Less than high school completed,4,2424000,1208000,449000,229000,146000,391000,1218000,563000,177000,130000,69000,122000,82000,31000,17000,S,,4000,112000,47000,11000,S,6000,33000
5591,r070,All fields -> Non-S&E fields -> Mother's education -> High school diploma or equivalent,All fields,Non-S&E fields,Mother's education,High school diploma or equivalent,4,7499000,3259000,1165000,864000,813000,1397000,3464000,1385000,618000,408000,290000,516000,171000,65000,36000,22000,7000,S,381000,142000,88000,42000,30000,45000
5591,r071,"All fields -> Non-S&E fields -> Mother's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,Non-S&E fields,Mother's education,"Some college, vocational, or trade school (including 2-year degrees)",4,5138000,1961000,709000,730000,615000,1124000,2730000,1187000,363000,349000,230000,463000,162000,68000,37000,7000,9000,S,365000,193000,59000,50000,18000,33000
5591,r072,"All fields -> Non-S&E fields -> Mother's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,Non-S&E fields,Mother's education,"Bachelor's degree (e.g., BS, BA, AB)",4,4514000,2149000,555000,510000,471000,829000,2093000,1028000,279000,186000,138000,316000,134000,65000,21000,7000,7000,27000,461000,220000,61000,66000,36000,53000
5591,r073,"All fields -> Non-S&E fields -> Mother's education -> Master's degree (e.g., MS, MA, MBA)",All fields,Non-S&E fields,Mother's education,"Master's degree (e.g., MS, MA, MBA)",4,1938000,949000,161000,212000,187000,429000,1443000,643000,168000,177000,113000,235000,107000,64000,16000,10000,4000,10000,240000,107000,49000,21000,23000,28000
5591,r074,"All fields -> Non-S&E fields -> Mother's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,Non-S&E fields,Mother's education,"Professional degree (e.g., JD, LLB, MD, DDS)",4,232000,128000,26000,23000,S,48000,130000,85000,S,S,S,17000,16000,7000,,,,,37000,18000,7000,S,,4000
5591,r075,"All fields -> Non-S&E fields -> Mother's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,Non-S&E fields,Mother's education,"Doctorate (e.g., PhD, DSc, EdD)",4,180000,81000,29000,17000,24000,30000,148000,84000,12000,17000,12000,17000,9000,4000,,,,,43000,28000,,,S,4000
5591,r076,All fields -> Non-S&E fields -> Mother's education -> Not applicable,All fields,Non-S&E fields,Mother's education,Not applicable,4,302000,146000,51000,39000,S,49000,101000,39000,S,S,,21000,7000,S,,,,,,,,,,
