table_id,row_id,field_full_path,field_level_1,field_level_2,field_level_3,field_level_4,field_level_5,field_hierarchy_depth,field_certificates
5778,r026,All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Quality control and safety technologies/ technicians,All fields,Non-S&E,S&E technologies,Engineering technologies,Quality control and safety technologies/ technicians,5,696
5778,r027,"All fields -> Non-S&E -> S&E technologies -> Engineering technologies -> Engineering technologies/ technicians, other",All fields,Non-S&E,S&E technologies,Engineering technologies,"Engineering technologies/ technicians, other",5,195
5778,r028,All fields -> Non-S&E -> S&E technologies -> Health technologies,All fields,Non-S&E,S&E technologies,Health technologies,,4,189000
5778,r029,All fields -> Non-S&E -> S&E technologies -> Health technologies -> Allied health and medical assisting services,All fields,Non-S&E,S&E technologies,Health technologies,Allied health and medical assisting services,5,44851
5778,r030,"All fields -> Non-S&E -> S&E technologies -> Health technologies -> Allied health diagnostic, intervention, and treatment professions",All fields,Non-S&E,S&E technologies,Health technologies,"Allied health diagnostic, intervention, and treatment professions",5,30363
5778,r031,All fields -> Non-S&E -> S&E technologies -> Health technologies -> American Sign Language,All fields,Non-S&E,S&E technologies,Health technologies,American Sign Language,5,1084
5778,r032,All fields -> Non-S&E -> S&E technologies -> Health technologies -> Clinical/ medical laboratory science/ research and allied professions,All fields,Non-S&E,S&E technologies,Health technologies,Clinical/ medical laboratory science/ research and allied professions,5,7426
5778,r033,All fields -> Non-S&E -> S&E technologies -> Health technologies -> Dental support services and allied professions,All fields,Non-S&E,S&E technologies,Health technologies,Dental support services and allied professions,5,10929
5778,r034,All fields -> Non-S&E -> S&E technologies -> Health technologies -> Dietetics and clinical nutrition services,All fields,Non-S&E,S&E technologies,Health technologies,Dietetics and clinical nutrition services,5,84
5778,r035,All fields -> Non-S&E -> S&E technologies -> Health technologies -> Health aides/ attendants/ orderlies,All fields,Non-S&E,S&E technologies,Health technologies,Health aides/ attendants/ orderlies,5,2005
5778,r036,All fields -> Non-S&E -> S&E technologies -> Health technologies -> Health and medical administrative services,All fields,Non-S&E,S&E technologies,Health technologies,Health and medical administrative services,5,19863
5778,r037,All fields -> Non-S&E -> S&E technologies -> Health technologies -> Health/ medical preparatory programs,All fields,Non-S&E,S&E technologies,Health technologies,Health/ medical preparatory programs,5,918
5778,r038,All fields -> Non-S&E -> S&E technologies -> Health technologies -> Medical illustration and informatics,All fields,Non-S&E,S&E technologies,Health technologies,Medical illustration and informatics,5,49
5778,r039,All fields -> Non-S&E -> S&E technologies -> Health technologies -> Mental and social health services and allied professions,All fields,Non-S&E,S&E technologies,Health technologies,Mental and social health services and allied professions,5,5820
5778,r040,All fields -> Non-S&E -> S&E technologies -> Health technologies -> Ophthalmic and optometric support services and allied professions,All fields,Non-S&E,S&E technologies,Health technologies,Ophthalmic and optometric support services and allied professions,5,398
5778,r041,"All fields -> Non-S&E -> S&E technologies -> Health technologies -> Practical nursing, vocational nursing and nursing assistants",All fields,Non-S&E,S&E technologies,Health technologies,"Practical nursing, vocational nursing and nursing assistants",5,65089
5778,r042,All fields -> Non-S&E -> S&E technologies -> Health technologies -> Rehabilitation and therapeutic professions,All fields,Non-S&E,S&E technologies,Health technologies,Rehabilitation and therapeutic professions,5,121
5778,r043,All fields -> Non-S&E -> S&E technologies -> Science technologies,All fields,Non-S&E,S&E technologies,Science technologies,,4,3204
5778,r044,"All fields -> Non-S&E -> S&E technologies -> Science technologies -> Science technologies/ technicians, general",All fields,Non-S&E,S&E technologies,Science technologies,"Science technologies/ technicians, general",5,6
5778,r045,All fields -> Non-S&E -> S&E technologies -> Science technologies -> Biology technician/ biotechnology laboratory technician,All fields,Non-S&E,S&E technologies,Science technologies,Biology technician/ biotechnology laboratory technician,5,333
5778,r046,All fields -> Non-S&E -> S&E technologies -> Science technologies -> Nuclear and industrial radiologic technologies/ technicians,All fields,Non-S&E,S&E technologies,Science technologies,Nuclear and industrial radiologic technologies/ technicians,5,161
5778,r047,All fields -> Non-S&E -> S&E technologies -> Science technologies -> Physical science technologies/ technicians,All fields,Non-S&E,S&E technologies,Science technologies,Physical science technologies/ technicians,5,2038
5778,r048,"All fields -> Non-S&E -> S&E technologies -> Science technologies -> Science technologies/ technicians, other",All fields,Non-S&E,S&E technologies,Science technologies,"Science technologies/ technicians, other",5,666
5778,r049,All fields -> Non-S&E -> S&E technologies -> Other S&E technologies,All fields,Non-S&E,S&E technologies,Other S&E technologies,,4,57
5778,r050,"All fields -> Non-S&E -> S&E technologies -> Other S&E technologies -> Intelligence, command control and information operations",All fields,Non-S&E,S&E technologies,Other S&E technologies,"Intelligence, command control and information operations",5,20
5778,r051,All fields -> Non-S&E -> S&E technologies -> Other S&E technologies -> Military applied sciences,All fields,Non-S&E,S&E technologies,Other S&E technologies,Military applied sciences,5,21
5778,r052,All fields -> Non-S&E -> S&E technologies -> Other S&E technologies -> Military systems and maintenance technology,All fields,Non-S&E,S&E technologies,Other S&E technologies,Military systems and maintenance technology,5,9
5778,r053,"All fields -> Non-S&E -> S&E technologies -> Other S&E technologies -> Military technologies and applied sciences, other",All fields,Non-S&E,S&E technologies,Other S&E technologies,"Military technologies and applied sciences, other",5,7
