table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_the_united_states,field_argentina,field_brazil,field_chile,field_mexico,field_other_latin_american_locations,field_australia,field_china,field_hong_kong,field_india,field_indonesia,field_japan,field_malaysia_,field_new_zealand,field_singapore,field_south_korea,field_taiwan,field_thailand,field_other_asian_or_pacific_locations,field_israel,field_other_middle_eastern_locations,field_south_africa,field_other_african_locations,field_undistributed
8838,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['846', '']","['3', '']","['22', '']","['1', '']","['8', '']","['4', '']","['2', '']","['97', '']","['1', '']","['9', '']","['0 - 24', '']","['15', '']","['1', '']","['*', '']","['60', '']","['3', '']","['6', '']","['0 - 34', '']","['6', '']","['21', '']","['10', '']","['0 - 7', '']","['2', '']","['0 - 37', 'i']"
8838,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['512', '']","['1', '']","['13', '']","['0', '']","['3', '']","['2', '']","['3', '']","['35', '']","['3', '']","['8', '']","['*', '']","['27', '']","['*', '']","['*', '']","['2', '']","['9', '']","['1', 'i']","['2', '']","['40', '']","['0', '']","['21', '']","['0', '']","['19', '']","['*', 'i']"
8838,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['92 - 108', '']","['*', '']","['12', '']","['*', '']","['2', '']","['1', '']","['*', '']","['4', '']","['1', '']","['4', '']","['1', '']","['2', '']","['*', '']","['*', '']","['4', '']","['*', '']","['*', '']","['2', '']","['2', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 42', 'i']"
8838,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['16,761', '']","['105', '']","['216', '']","['72', '']","['109', '']","['201', '']","['277', '']","['1,163', '']","['98', '']","['501', 'i']","['0 - 24', '']","['1,240', '']","['27', '']","['0 - 27', '']","['169', '']","['165', '']","['103', '']","['26', '']","['34', '']","['250', '']","['83', '']","['38', '']","['0 - 21', '']","['0 - 26', 'i']"
8838,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['767', '']","['3', '']","['26', '']","['*', '']","['5', '']","['11', '']","['2', '']","['110', '']","['1', '']","['9', 'i']","['0 - 21', '']","['32', '']","['3', '']","['*', '']","['73', '']","['2', '']","['0 - 5', '']","['0 - 21', '']","['3', '']","['0 - 13', '']","['0 - 4', '']","['0 - 7', '']","['0 - 21', '']","['0 - 21', 'i']"
8838,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['370 - 385', '']","['2', '']","['7', '']","['2', '']","['11', '']","['*', '']","['8', '']","['53', '']","['1', '']","['27', '']","['*', '']","['9', '']","['2', '']","['0 - 34', '']","['5', '']","['3', '']","['0 - 5', '']","['0 - 34', '']","['12', '']","['0 - 13', '']","['0 - 4', '']","['4', '']","['0', '']","['0 - 42', 'i']"
8838,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['529', '']","['3', '']","['12', '']","['0', '']","['35', 'i']","['1', '']","['4', '']","['77', 'i']","['*', '']","['6', 'i']","['*', '']","['8', '']","['0', '']","['*', '']","['3', '']","['3', '']","['*', '']","['6', '']","['0', '']","['16', '']","['0', '']","['0 - 24', '']","['0', '']","['14 - 70', 'i']"
8838,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['206', 'i']","['0', '']","['2', '']","['0', '']","['5', 'i']","['0 - 43', '']","['1', '']","['16', 'i']","['0', '']","['1', 'i']","['*', '']","['2', '']","['0', '']","['0', '']","['0', '']","['0 - 69', 'i']","['0 - 19', 'i']","['0', '']","['0', '']","['0 - 61', 'i']","['*', '']","['0', '']","['0', '']","['0 - 140', 'i']"
8838,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['32', '']","['0', '']","['4', '']","['0', '']","['0', '']","['0', '']","['16', '']","['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8838,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['349', '']","['1', '']","['2', '']","['*', '']","['5', '']","['*', '']","['1', '']","['23', '']","['0', '']","['4', '']","['*', '']","['47', '']","['1', '']","['13', '']","['1', '']","['1', '']","['51', '']","['*', '']","['12', '']","['0', '']","['2', '']","['3', '']","['0', '']","['4', 'i']"
8838,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['4,285', '']","['3', '']","['99', '']","['2', '']","['25', '']","['1', '']","['45', '']","['410', '']","['2 - 46', '']","['400', 'i']","['*', '']","['164', '']","['5', '']","['1 - 45', '']","['80', '']","['168', '']","['120', 'i']","['3 - 47', '']","['1 - 17', '']","['324', '']","['8', '']","['0 - 24', '']","['0 - 12', '']","['31 - 75', 'i']"
8838,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['639 - 681', '']","['2', '']","['0 - 99', '']","['0', '']","['0 - 23', '']","['*', '']","['2', '']","['0 - 270', '']","['0', '']","['0 - 236', '']","['0', '']","['*', '']","['*', '']","['2', '']","['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 24', '']","['0', '']","['0 - 43', 'i']"
8838,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['1,027', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['92', 'i']","['3', '']","['154', 'i']","['0', '']","['36', 'i']","['2', '']","['0', '']","['48', 'i']","['161', '']","['99', 'i']","['0', '']","['1', '']","['299', '']","['0', '']","['0', '']","['0', '']","['*', 'i']"
8838,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['558', '']","['0', '']","['1', '']","['0', '']","['3', '']","['*', '']","['1', '']","['50', '']","['0', '']","['12', '']","['0', '']","['*', '']","['0', '']","['0', '']","['22', '']","['0', '']","['0', '']","['4', '']","['1', '']","['0', '']","['*', '']","['0', '']","['0', '']","['32', 'i']"
8838,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['2,021 - 2,062', '']","['1', '']","['0 - 99', '']","['2', '']","['0 - 23', '']","['*', '']","['42', '']","['0 - 270', '']","['0 - 43', '']","['0 - 236', '']","['*', '']","['128', '']","['2', '']","['0 - 43', '']","['10', '']","['7', '']","['21', '']","['0 - 43', '']","['0 - 16', '']","['25', '']","['8', '']","['0 - 24', '']","['0 - 12', '']","['0 - 43', 'i']"
8838,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['26,567', '']","['2 - 27', '']","['25 - 54', 'i']","['*', '']","['180', '']","['1,135', 'i']","['150', '']","['2,736', '']","['79', '']","['3,862', '']","['3', '']","['927', '']","['848', '']","['64', '']","['1,158', '']","['239', '']","['1,052', '']","['176', '']","['378', '']","['3,461', '']","['42', '']","['3', '']","['43', 'i']","['109 - 377', 'i']"
8838,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['3,388', '']","['2', '']","['0 - 54', '']","['*', '']","['0 - 165', '']","['*', '']","['47', '']","['320', '']","['4', '']","['1,021', '']","['1', '']","['17', '']","['0 - 165', '']","['10', '']","['9', '']","['21', '']","['52', '']","['0 - 148', '']","['12', 'i']","['212', '']","['8', '']","['0 - 2', '']","['0 - 44', '']","['0 - 165', 'i']"
8838,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['13,023', '']","['0 - 25', '']","['0 - 54', 'i']","['*', 'i']","['0 - 181', '']","['245 - 480', 'i']","['10', '']","['1,645', '']","['52', '']","['2,145', '']","['*', '']","['461', '']","['516', '']","['10', '']","['710', '']","['119', '']","['597', '']","['29', '']","['354', '']","['2,502', '']","['5', '']","['*', 'i']","['0 - 44', 'i']","['0 - 49', 'i']"
8838,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['3,146', '']","['1', '']","['0 - 54', '']","['0', '']","['0 - 83', '']","['0', '']","['54', '']","['328', '']","['5', '']","['89', '']","['1', '']","['47', '']","['43', '']","['25', '']","['155', '']","['12', '']","['7', '']","['*', '']","['5', '']","['34', '']","['1', '']","['2', '']","['0', '']","['0 - 43', 'i']"
8838,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['498', 'i']","['*', '']","['0 - 42', '']","['0', '']","['0 - 42', '']","['0', '']","['1', '']","['8', '']","['0', '']","['12', 'i']","['0', '']","['1', '']","['*', '']","['*', '']","['43', '']","['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0 - 42', 'i']"
8838,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['684', '']","['0', '']","['0', '']","['0', '']","['0 - 83', '']","['0', '']","['0 - 54', '']","['0 - 321', '']","['1', '']","['0 - 78', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0 - 113', '']","['9', '']","['2', '']","['0', '']","['0', '']","['0 - 35', '']","['1', '']","['*', '']","['0', '']","['0', '']"
8838,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['1,964', '']","['1', '']","['0 - 54', '']","['0', '']","['0 - 83', '']","['0', '']","['0 - 54', '']","['0 - 321', '']","['4', '']","['0 - 78', '']","['1', '']","['46', '']","['43', '']","['25', '']","['0 - 113', '']","['3', '']","['5', '']","['*', '']","['5', '']","['0 - 35', '']","['0', '']","['2', '']","['0', '']","['*', 'i']"
8838,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['7,010', '']","['*', '']","['0 - 54', 'i']","['*', '']","['0 - 181', '']","['654 - 889', 'i']","['40', '']","['443', '']","['19', '']","['608', '']","['0', '']","['402', 'i']","['123 - 291', 'i']","['19', '']","['284', '']","['86', 'i']","['396', '']","['0 - 148', '']","['7', 'i']","['713', '']","['29', '']","['0 - 2', '']","['0', '']","['0 - 377', 'i']"
8838,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,794', '']","['0', '']","['46', '']","['*', '']","['33', '']","['*', '']","['15', 'i']","['379', '']","['2', '']","['56', '']","['*', '']","['69', '']","['*', '']","['*', '']","['4', '']","['40', '']","['14', 'i']","['5', '']","['4', '']","['0 - 25', '']","['0', '']","['0', '']","['0 - 12', '']","['0 - 25', '']"
8838,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['6,515', '']","['3', 'i']","['195', '']","['1', '']","['320', '']","['5', '']","['442', '']","['793', '']","['2', 'i']","['164', 'i']","['0', '']","['99', '']","['1', '']","['0', '']","['55', 'i']","['478', '']","['16', '']","['16', '']","['5', '']","['3', '']","['*', '']","['3', 'i']","['91', '']","['63', 'i']"
8838,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['5,789 - 5,801', '']","['3', 'i']","['194', '']","['1', '']","['285', '']","['5', '']","['423', '']","['781', '']","['*', '']","['156', 'i']","['0', '']","['93', '']","['1', '']","['0', '']","['54', 'i']","['478', '']","['1', 'i']","['16', '']","['5', '']","['3', '']","['0', '']","['3', 'i']","['91', '']","['50 - 64', 'i']"
8838,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['509', '']","['0', '']","['0 - 2', '']","['0', '']","['21', '']","['*', '']","['17', '']","['10', '']","['0', '']","['4', '']","['0', '']","['7', '']","['0', '']","['0', '']","['1', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 12', 'i']"
8838,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['500', '']","['0', '']","['0 - 2', '']","['0', '']","['21', '']","['*', '']","['17', '']","['10', '']","['0', '']","['4', '']","['0', '']","['7', '']","['0', '']","['0', '']","['1', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 12', 'i']"
8838,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['10', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8838,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8838,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['206 - 216', '']","['0', '']","['0 - 2', 'i']","['0', '']","['15', '']","['0', '']","['2', 'i']","['2', 'i']","['2', 'i']","['5', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']","['15', '']","['*', 'i']","['0', '']","['0', '']","['*', '']","['*', 'i']","['*', 'i']","['0', '']"
8838,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['39', '']","['0', '']","['0', '']","['0', '']","['2', '']","['0', '']","['0', '']","['*', '']","['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']","['1', '']","['0', '']","['0', '']","['0', '']","['0', '']","['1', 'i']"
8838,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['4,217 - 4,224', '']","['3 - 29', '']","['20', '']","['10 - 39', '']","['22', '']","['67 - 110', '']","['107', '']","['383 - 478', '']","['3 - 49', 'i']","['215', '']","['0 - 24', '']","['193 - 233', '']","['4', '']","['0 - 53', '']","['97', '']","['36 - 106', '']","['12 - 32', '']","['0 - 79', '']","['25', '']","['255 - 316', '']","['11 - 47', '']","['1', '']","['0 - 12', '']","['0 - 268', 'i']"
8838,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['3,822', '']","['4', '']","['20', '']","['11', '']","['18', '']","['68', '']","['95', '']","['384', '']","['4', 'i']","['188', 'i']","['0 - 24', '']","['194', '']","['4', '']","['0 - 53', '']","['96', '']","['37', '']","['13', '']","['0 - 79', '']","['24', '']","['256', '']","['12', '']","['1', '']","['0 - 12', '']","['0 - 162', 'i']"
8838,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['396 - 403', '']","['0 - 25', 'i']","['*', '']","['0 - 28', 'i']","['4', 'i']","['0 - 43', 'i']","['12', '']","['0 - 94', '']","['0 - 46', 'i']","['27', '']","['0', '']","['0 - 40', '']","['0', '']","['0 - 53', 'i']","['1', '']","['0 - 69', '']","['0 - 19', '']","['0', '']","['1', 'i']","['0 - 61', '']","['0 - 35', 'i']","['*', '']","['*', 'i']","['0 - 268', 'i']"
8838,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['43,462', '']","['239', 'i']","['374', 'i']","['74', '']","['259', '']","['189', '']","['1,053', '']","['2,441', '']","['252', '']","['5,739', '']","['4 - 29', '']","['1,591', 'i']","['28', 'i']","['111 - 164', 'i']","['858', 'i']","['425', 'i']","['831', '']","['57 - 138', 'i']","['232', '']","['2,427', '']","['135', 'i']","['167', 'i']","['48', '']","['156', 'i']"
8838,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['120 - 127', 'i']","['0', '']","['1', 'i']","['0', '']","['0', '']","['0', '']","['0 - 84', '']","['0 - 84', 'i']","['0', '']","['2', 'i']","['0', '']","['0 - 84', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 84', 'i']","['0 - 46', '']","['0', '']","['0', '']"
8838,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['6', '']","['0', '']","['*', '']","['0', '']","['*', '']","['0', '']","['*', '']","['*', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']","['*', '']","['0', '']","['0', '']","['0', '']","['*', '']","['0', '']","['5', '']","['0', '']","['0 - 2', '']","['0', '']","['0', '']"
8838,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['45', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']","['4', 'i']","['*', 'i']","['1', 'i']","['1', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['24', '']","['0', '']","['*', 'i']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 17', 'i']"
8838,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['97 - 4,884', 'i']","['1', 'i']","['19 - 157', 'i']","['1', 'i']","['0 - 25', 'i']","['0 - 26', 'i']","['0 - 285', 'i']","['0 - 398', 'i']","['0 - 88', 'i']","['0 - 1,136', 'i']","['1', 'i']","['0 - 671', 'i']","['0 - 5', 'i']","['1', 'i']","['0 - 332', 'i']","['0 - 226', 'i']","['0 - 24', 'i']","['0 - 138', 'i']","['2', 'i']","['0 - 198', 'i']","['0 - 92', 'i']","['0 - 46', 'i']","['*', 'i']","['0', '']"
8838,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['37', '']","['0', '']","['*', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['3', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0 - 35', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['*', 'i']"
8838,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['22,900', '']","['113', '']","['78 - 124', '']","['7 - 49', '']","['122', '']","['78', '']","['488', '']","['1,268', '']","['165', '']","['3,568', '']","['3 - 27', '']","['187 - 446', '']","['8', '']","['27 - 80', '']","['333', '']","['51 - 278', '']","['576', '']","['0 - 138', '']","['173', '']","['1,748', '']","['16', '']","['20 - 66', '']","['31 - 39', '']","['42 - 119', 'i']"
8838,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['7,683', '']","['0 - 10', '']","['20', '']","['7', '']","['11', '']","['15', '']","['135', '']","['817', '']","['0 - 165', '']","['1,290', '']","['1', '']","['130', '']","['3', '']","['0 - 53', '']","['84', '']","['36', '']","['0 - 175', '']","['0 - 138', '']","['118', '']","['579', '']","['10', '']","['4', '']","['30', '']","['0 - 33', 'i']"
