table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_u_s_citizen_total_number,field_u_s_citizen_total_se,field_u_s_citizen_native_born_number,field_u_s_citizen_native_born_se,field_u_s_citizen_naturalized_number,field_u_s_citizen_naturalized_se,field_non_u_s_citizen_total_number,field_non_u_s_citizen_total_se,field_non_u_s_citizen_permanent_resident_number,field_non_u_s_citizen_permanent_resident_se,field_non_u_s_citizen_temporary_resident_number,field_non_u_s_citizen_temporary_resident_se
8223,r051,All occupations -> S&E-related occupations -> S&E precollege teachers,All occupations,S&E-related occupations,S&E precollege teachers,,3,5300,325,5150,325,4250,275,900,200,150,75,100,50,,
8223,r052,All occupations -> S&E-related occupations -> S&E technicians/ technologists,All occupations,S&E-related occupations,S&E technicians/ technologists,,3,9100,600,7400,500,5150,450,2250,275,1650,225,1050,175,650,150
8223,r053,All occupations -> S&E-related occupations -> Other S&E-related occupations,All occupations,S&E-related occupations,Other S&E-related occupations,,3,800,150,600,125,300,100,300,100,250,100,200,100,,
8223,r054,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,2,146600,1825,137100,1800,105150,1500,31950,1125,9500,500,7750,425,1750,225
8223,r055,"All occupations -> Non-S&E occupations -> Arts, humanities-related occupations",All occupations,Non-S&E occupations,"Arts, humanities-related occupations",,3,9150,500,8550,500,7450,425,1100,200,600,150,400,100,200,100
8223,r056,All occupations -> Non-S&E occupations -> Management-related occupations,All occupations,Non-S&E occupations,Management-related occupations,,3,29100,975,26400,900,19700,700,6750,525,2650,300,2150,250,500,125
8223,r057,All occupations -> Non-S&E occupations -> Non-S&E managers,All occupations,Non-S&E occupations,Non-S&E managers,,3,60150,1350,57350,1350,42400,1075,14950,800,2800,300,2450,275,350,125
8223,r058,All occupations -> Non-S&E occupations -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations,Non-S&E postsecondary teachers,,3,17250,575,15350,550,11950,475,3400,300,1900,225,1450,200,400,100
8223,r059,All occupations -> Non-S&E occupations -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations,Non-S&E precollege/ other teachers,,3,3700,350,3650,350,2950,300,750,175,50,50,S,S,,
8223,r060,"All occupations -> Non-S&E occupations -> Sales, marketing occupations",All occupations,Non-S&E occupations,"Sales, marketing occupations",,3,8550,525,7950,525,5600,400,2350,300,600,125,550,125,50,50
8223,r061,All occupations -> Non-S&E occupations -> Social service-related occupations,All occupations,Non-S&E occupations,Social service-related occupations,,3,6000,350,5850,350,5200,350,650,125,100,50,100,50,,
8223,r062,All occupations -> Non-S&E occupations -> Other non-S&E occupations,All occupations,Non-S&E occupations,Other non-S&E occupations,,3,12750,575,12000,550,9900,475,2050,250,750,150,600,125,150,75
