table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_4_year_educational_institutiona_number,field_4_year_educational_institutiona_se,field_other_educational_institutionb_number,field_other_educational_institutionb_se,field_private_for_profitc_number,field_private_for_profitc_se,field_private_nonprofit_number,field_private_nonprofit_se,field_federal_government_number,field_federal_government_se,field_state_or_local_government_number,field_state_or_local_government_se,field_self_employedd_number,field_self_employedd_se,field_othere_number,field_othere_se
3703,r019,Doctorate Recipient -> Age -> 55&#8211;59,Doctorate Recipient,Age,55&#8211;59,,3,101950,1400,39950,1050,4300,325,35500,825,6300,425,6900,400,2500,350,5100,425,1350,200
3703,r020,Doctorate Recipient -> Age -> 60&#8211;64,Doctorate Recipient,Age,60&#8211;64,,3,88300,1400,37000,1025,3800,325,26250,850,5600,350,6350,450,2300,250,5950,375,1050,200
3703,r021,Doctorate Recipient -> Age -> 65&#8211;75,Doctorate Recipient,Age,65&#8211;75,,3,112350,1625,45650,1100,4650,375,28350,950,7000,475,4800,400,2950,325,17450,725,1550,225
3703,r022,Doctorate Recipient -> Citizenship,Doctorate Recipient,Citizenship,,,2,,,,,,,,,,,,,,,,,,
3703,r023,Doctorate Recipient -> Citizenship -> U.S. citizen,Doctorate Recipient,Citizenship,U.S. citizen,,3,732750,2000,296150,2175,29550,900,245250,2275,49900,1100,48550,1000,16950,700,39100,1075,7300,450
3703,r024,Doctorate Recipient -> Citizenship -> U.S. citizen -> Native-born,Doctorate Recipient,Citizenship,U.S. citizen,Native-born,4,555150,1575,234600,1775,24850,800,165250,1825,40300,925,38850,900,13250,625,33650,950,4400,325
3703,r025,Doctorate Recipient -> Citizenship -> U.S. citizen -> Naturalized,Doctorate Recipient,Citizenship,U.S. citizen,Naturalized,4,177600,1675,61550,1425,4650,375,80000,1325,9600,575,9750,525,3700,350,5450,450,2900,325
3703,r026,Doctorate Recipient -> Citizenship -> Non-U.S. citizen,Doctorate Recipient,Citizenship,Non-U.S. citizen,,3,124450,1600,48250,1125,1350,200,61000,1250,6000,375,1550,225,1900,275,1600,250,2800,275
3703,r027,Doctorate Recipient -> Citizenship -> Non-U.S. citizen -> Permanent resident,Doctorate Recipient,Citizenship,Non-U.S. citizen,Permanent resident,4,87200,1475,33150,1000,950,175,43750,1200,4050,325,950,150,1400,225,1500,225,1450,200
3703,r028,Doctorate Recipient -> Citizenship -> Non-U.S. citizen -> Temporary resident,Doctorate Recipient,Citizenship,Non-U.S. citizen,Temporary resident,4,37300,900,15100,650,450,125,17250,625,1950,250,600,150,450,125,100,75,1300,225
3703,r029,Doctorate Recipient -> Years since doctorate,Doctorate Recipient,Years since doctorate,,,2,,,,,,,,,,,,,,,,,,
3703,r030,Doctorate Recipient -> Years since doctorate -> &#8804; 5,Doctorate Recipient,Years since doctorate,&#8804; 5,,3,142500,625,57300,900,3950,275,55950,875,10600,500,7950,400,3500,325,1800,175,1450,175
3703,r031,Doctorate Recipient -> Years since doctorate -> 6&#8211;10,Doctorate Recipient,Years since doctorate,6&#8211;10,,3,154750,1025,63300,975,5250,350,58850,950,10450,475,8250,425,3300,275,3200,275,2150,250
3703,r032,Doctorate Recipient -> Years since doctorate -> 11&#8211;15,Doctorate Recipient,Years since doctorate,11&#8211;15,,3,127000,1150,52350,975,4750,300,46000,1050,8400,450,8000,475,2550,275,3750,325,1250,175
3703,r033,Doctorate Recipient -> Years since doctorate -> 16&#8211;20,Doctorate Recipient,Years since doctorate,16&#8211;20,,3,108700,825,44650,825,4500,350,37450,775,6800,375,7900,500,2550,225,3650,325,1200,200
3703,r034,Doctorate Recipient -> Years since doctorate -> 21&#8211;25,Doctorate Recipient,Years since doctorate,21&#8211;25,,3,104250,825,38950,875,4500,375,38700,950,6550,425,6650,350,2350,275,5100,400,1400,225
3703,r035,Doctorate Recipient -> Years since doctorate -> > 25,Doctorate Recipient,Years since doctorate,> 25,,3,220000,1575,87800,1425,7950,475,69350,1200,13100,625,11350,550,4550,375,23250,800,2700,300
3703,r036,Primary or secondary work activity<sup>i</sup>,Primary or secondary work activity<sup>i</sup>,,,,1,,,,,,,,,,,,,,,,,,
3703,r037,Primary or secondary work activity<sup>i</sup> -> Any R&D,Primary or secondary work activity<sup>i</sup>,Any R&D,,,2,540350,2375,234300,2225,6750,400,201550,2075,33450,825,33950,850,9950,475,13950,625,6450,450
3703,r038,Primary or secondary work activity<sup>i</sup> -> Any R&D -> Applied research,Primary or secondary work activity<sup>i</sup>,Any R&D,Applied research,,3,300950,2225,119750,1750,3000,300,110550,1575,23400,725,25700,725,6750,450,7850,450,4000,325
3703,r039,Primary or secondary work activity<sup>i</sup> -> Any R&D -> Basic research,Primary or secondary work activity<sup>i</sup>,Any R&D,Basic research,,3,180500,2150,134700,1750,2350,225,15800,700,11000,425,10900,475,2350,275,2200,250,1200,200
3703,r040,Primary or secondary work activity<sup>i</sup> -> Any R&D -> Design,Primary or secondary work activity<sup>i</sup>,Any R&D,Design,,3,64450,1275,7250,425,750,150,44850,1100,3800,350,2800,250,1500,200,2500,300,1050,200
3703,r041,Primary or secondary work activity<sup>i</sup> -> Any R&D -> Development,Primary or secondary work activity<sup>i</sup>,Any R&D,Development,,3,133400,1625,11850,550,1400,200,98900,1475,5900,325,5800,425,1850,250,5200,400,2500,325
3703,r042,Primary or secondary work activity<sup>i</sup> -> Computer applications,Primary or secondary work activity<sup>i</sup>,Computer applications,,,2,86100,1425,12500,500,800,150,58050,1175,5150,400,4350,325,2150,250,1800,200,1300,200
3703,r043,"Primary or secondary work activity<sup>i</sup> -> Management, sales, or administration<sup>j</sup>",Primary or secondary work activity<sup>i</sup>,"Management, sales, or administration<sup>j</sup>",,,2,351450,2375,110000,1375,10250,500,146550,1850,28350,875,24600,575,10050,550,17200,800,4400,325
3703,r044,Primary or secondary work activity<sup>i</sup> -> Professional services,Primary or secondary work activity<sup>i</sup>,Professional services,,,2,121550,1600,20050,775,3900,300,46500,1125,14000,650,7650,475,4750,375,22950,800,1750,250
3703,r045,Primary or secondary work activity<sup>i</sup> -> Teaching,Primary or secondary work activity<sup>i</sup>,Teaching,,,2,245900,2050,201700,1950,23150,825,8450,500,4400,350,2050,225,1200,175,4500,375,400,125
3703,r046,Primary or secondary work activity<sup>i</sup> -> Other work activities<sup>k</sup>,Primary or secondary work activity<sup>i</sup>,Other work activities<sup>k</sup>,,,2,81800,1475,28500,850,4300,300,27950,800,5200,350,7100,425,2900,275,4450,375,1400,225
