table_id,row_id,occupation_and_age_full_path,occupation_and_age_level_1,occupation_and_age_level_2,occupation_and_age_level_3,occupation_and_age_level_4,occupation_and_age_hierarchy_depth,field_all_degrees_total,field_all_degrees_female,field_all_degrees_male,field_bachelor_s_total,field_bachelor_s_female,field_bachelor_s_male,field_master_s_total,field_master_s_female,field_master_s_male,field_doctorate_total,field_doctorate_female,field_doctorate_male,field_professional_total,field_professional_female,field_professional_male
5307,r020,"All occupations, all ages -> S&E occupations -> Computer and mathematical scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,Computer and mathematical scientists,50&#8211;75,4,109000,95000,116000,104000,90000,110000,120000,100000,129000,120000,122000,119000,107000,S,78000
5307,r021,"All occupations, all ages -> S&E occupations -> Physical and related scientists","All occupations, all ages",S&E occupations,Physical and related scientists,,3,72000,60000,78000,58000,54000,60000,72000,71000,71000,102000,76000,110000,,,
5307,r022,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 29 and younger","All occupations, all ages",S&E occupations,Physical and related scientists,29 and younger,4,38000,40000,34000,41000,40000,45000,31000,S,S,52000,S,52000,,,
5307,r023,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Physical and related scientists,30&#8211;39,4,68000,65000,70000,61000,56000,65000,77000,79000,77000,75000,72000,80000,,,
5307,r024,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Physical and related scientists,40&#8211;49,4,90000,79000,96000,78000,65000,79000,98000,100000,95000,108000,78000,125000,,,
5307,r025,"All occupations, all ages -> S&E occupations -> Physical and related scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,Physical and related scientists,50&#8211;75,4,107000,85000,108000,75000,63000,81000,98000,105000,95000,135000,125000,136000,,,
5307,r026,"All occupations, all ages -> S&E occupations -> Social and related scientists","All occupations, all ages",S&E occupations,Social and related scientists,,3,75000,70000,85000,62000,55000,71000,67000,61000,80000,91000,89000,97000,85000,74000,102000
5307,r027,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 29 and younger","All occupations, all ages",S&E occupations,Social and related scientists,29 and younger,4,46000,37000,60000,37000,37000,56000,46000,46000,49000,60000,58000,S,,,
5307,r028,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 30&#8211;39","All occupations, all ages",S&E occupations,Social and related scientists,30&#8211;39,4,72000,70000,74000,72000,70000,72000,63000,60000,70000,83000,87000,80000,68000,S,
5307,r029,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 40&#8211;49","All occupations, all ages",S&E occupations,Social and related scientists,40&#8211;49,4,79000,78000,89000,69000,69000,80000,78000,73000,123000,85000,82000,91000,97000,94000,87000
5307,r030,"All occupations, all ages -> S&E occupations -> Social and related scientists -> 50&#8211;75","All occupations, all ages",S&E occupations,Social and related scientists,50&#8211;75,4,98000,89000,104000,76000,80000,69000,89000,72000,98000,108000,98000,119000,98000,92000,113000
5307,r031,"All occupations, all ages -> S&E occupations -> Engineers","All occupations, all ages",S&E occupations,Engineers,,3,100000,92000,100000,95000,85000,96000,105000,96000,108000,125000,110000,127000,,,
5307,r032,"All occupations, all ages -> S&E occupations -> Engineers -> 29 and younger","All occupations, all ages",S&E occupations,Engineers,29 and younger,4,74000,71000,75000,72000,71000,73000,77000,70000,78000,106000,98000,110000,,,
5307,r033,"All occupations, all ages -> S&E occupations -> Engineers -> 30&#8211;39","All occupations, all ages",S&E occupations,Engineers,30&#8211;39,4,96000,94000,97000,91000,90000,92000,100000,99000,100000,103000,98000,105000,,,
5307,r034,"All occupations, all ages -> S&E occupations -> Engineers -> 40&#8211;49","All occupations, all ages",S&E occupations,Engineers,40&#8211;49,4,112000,111000,112000,106000,110000,106000,120000,105000,120000,129000,112000,133000,,,
5307,r035,"All occupations, all ages -> S&E occupations -> Engineers -> 50&#8211;75","All occupations, all ages",S&E occupations,Engineers,50&#8211;75,4,120000,115000,120000,115000,107000,116000,130000,124000,130000,147000,133000,147000,,,
5307,r036,"All occupations, all ages -> S&E-related occupations","All occupations, all ages",S&E-related occupations,,,2,80000,74000,93000,70000,65000,75000,85000,80000,96000,100000,99000,104000,149000,119000,198000
5307,r037,"All occupations, all ages -> S&E-related occupations -> 29 and younger","All occupations, all ages",S&E-related occupations,29 and younger,,3,55000,55000,55000,50000,50000,50000,60000,58000,68000,68000,70000,62000,74000,75000,60000
5307,r038,"All occupations, all ages -> S&E-related occupations -> 30&#8211;39","All occupations, all ages",S&E-related occupations,30&#8211;39,,3,75000,73000,79000,65000,65000,65000,83000,80000,86000,79000,87000,75000,129000,120000,129000
5307,r039,"All occupations, all ages -> S&E-related occupations -> 40&#8211;49","All occupations, all ages",S&E-related occupations,40&#8211;49,,3,95000,82000,107000,80000,73000,92000,95000,85000,104000,138000,136000,147000,196000,146000,218000
5307,r040,"All occupations, all ages -> S&E-related occupations -> 50&#8211;75","All occupations, all ages",S&E-related occupations,50&#8211;75,,3,96000,84000,116000,81000,75000,92000,91000,86000,104000,119000,106000,130000,205000,166000,229000
5307,r041,"All occupations, all ages -> Non-S&E occupations","All occupations, all ages",Non-S&E occupations,,,2,65000,60000,78000,60000,52000,70000,72000,65000,90000,95000,87000,98000,114000,94000,134000
5307,r042,"All occupations, all ages -> Non-S&E occupations -> 29 and younger","All occupations, all ages",Non-S&E occupations,29 and younger,,3,45000,45000,50000,45000,42000,48000,50000,49000,50000,59000,,S,67000,66000,75000
5307,r043,"All occupations, all ages -> Non-S&E occupations -> 30&#8211;39","All occupations, all ages",Non-S&E occupations,30&#8211;39,,3,63000,58000,70000,59000,52000,65000,65000,63000,79000,75000,75000,74000,92000,83000,100000
5307,r044,"All occupations, all ages -> Non-S&E occupations -> 40&#8211;49","All occupations, all ages",Non-S&E occupations,40&#8211;49,,3,75000,65000,90000,70000,57000,83000,80000,71000,94000,104000,97000,110000,120000,104000,154000
5307,r045,"All occupations, all ages -> Non-S&E occupations -> 50&#8211;75","All occupations, all ages",Non-S&E occupations,50&#8211;75,,3,76000,68000,90000,70000,60000,80000,84000,75000,107000,92000,93000,92000,141000,117000,149000
