table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_u_s_citizen_total_median_salary,field_u_s_citizen_total_se,field_u_s_citizen_native_born_median_salary,field_u_s_citizen_native_born_se,field_u_s_citizen_naturalized_median_salary,field_u_s_citizen_naturalized_se,field_non_u_s_citizen_total_median_salary,field_non_u_s_citizen_total_se,field_non_u_s_citizen_permanent_resident_median_salary,field_non_u_s_citizen_permanent_resident_se,field_non_u_s_citizen_temporary_resident_median_salary,field_non_u_s_citizen_temporary_resident_se
8157,r020,"All occupations -> Science occupations -> Physical scientists -> Earth, atmospheric, ocean scientists",All occupations,Science occupations,Physical scientists,"Earth, atmospheric, ocean scientists",4,116000,4500,120000,2500,116000,5000,128000,9000,95000,10500,122000,11000,63000,4000
8157,r021,"All occupations -> Science occupations -> Physical scientists -> Physicists, astronomers",All occupations,Science occupations,Physical scientists,"Physicists, astronomers",4,138000,5000,144000,5500,143000,5500,149000,7000,90000,14000,108000,10000,65000,4500
8157,r022,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, chemistry",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, chemistry",4,80000,2000,80000,2500,80000,3000,80000,6000,71000,6500,69000,5500,88000,11000
8157,r023,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, physics",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, physics",4,96000,3500,95000,3500,91000,3000,107000,4000,99000,3500,100000,6000,76000,9500
8157,r024,"All occupations -> Science occupations -> Physical scientists -> Postsecondary teachers, other physical science",All occupations,Science occupations,Physical scientists,"Postsecondary teachers, other physical science",4,91000,3000,92000,3000,89000,2500,106000,10500,85000,7500,88000,10500,78000,3500
8157,r025,All occupations -> Science occupations -> Physical scientists -> Other physical scientists,All occupations,Science occupations,Physical scientists,Other physical scientists,4,131000,4000,135000,4500,133000,3500,152000,14000,100000,14000,101000,23500,85000,18500
8157,r026,All occupations -> Science occupations -> Psychologists,All occupations,Science occupations,Psychologists,,3,101000,1500,101000,1500,101000,1500,110000,3500,95000,1500,101000,7000,67000,15500
8157,r027,All occupations -> Science occupations -> Psychologists -> Psychologists,All occupations,Science occupations,Psychologists,Psychologists,4,109000,1000,109000,1000,109000,1500,114000,5000,95000,3500,109000,20000,94000,35500
8157,r028,"All occupations -> Science occupations -> Psychologists -> Postsecondary teachers, psychology",All occupations,Science occupations,Psychologists,"Postsecondary teachers, psychology",4,88000,1500,89000,1500,88000,1500,99000,8500,82000,8000,91000,15500,S,S
8157,r029,All occupations -> Science occupations -> Social scientists,All occupations,Science occupations,Social scientists,,3,100000,2000,101000,2500,100000,500,112000,5000,98000,3500,100000,3500,95000,3000
8157,r030,All occupations -> Science occupations -> Social scientists -> Economists,All occupations,Science occupations,Social scientists,Economists,4,154000,7500,157000,8000,150000,8500,160000,6500,150000,9000,145000,17500,156000,15000
8157,r031,All occupations -> Science occupations -> Social scientists -> Political scientists,All occupations,Science occupations,Social scientists,Political scientists,4,129000,16000,136000,18500,136000,21000,,,,,,,,
8157,r032,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, economics",All occupations,Science occupations,Social scientists,"Postsecondary teachers, economics",4,118000,2500,120000,3500,121000,3500,117000,7500,109000,6000,117000,6000,92000,9500
8157,r033,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, political science",All occupations,Science occupations,Social scientists,"Postsecondary teachers, political science",4,92000,2500,92000,2500,92000,2500,92000,10500,84000,5000,90000,4500,69000,9000
8157,r034,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, sociology",All occupations,Science occupations,Social scientists,"Postsecondary teachers, sociology",4,83000,3500,84000,3500,82000,4000,89000,6500,73000,11000,67000,16000,,
8157,r035,"All occupations -> Science occupations -> Social scientists -> Postsecondary teachers, other social sciences",All occupations,Science occupations,Social scientists,"Postsecondary teachers, other social sciences",4,87000,1500,88000,1500,86000,1500,100000,4000,80000,2000,80000,2500,80000,3000
8157,r036,"All occupations -> Science occupations -> Social scientists -> Sociologists, anthropologists",All occupations,Science occupations,Social scientists,"Sociologists, anthropologists",4,98000,3500,98000,4000,98000,4500,102000,19000,96000,16000,,,,
8157,r037,All occupations -> Science occupations -> Social scientists -> Other social scientists,All occupations,Science occupations,Social scientists,Other social scientists,4,110000,3000,111000,3000,110000,2500,113000,9000,96000,17000,111000,20500,67000,21000
8157,r038,All occupations -> Engineering occupations,All occupations,Engineering occupations,,,2,137000,2500,144000,2000,140000,1000,149000,1000,120000,500,124000,2500,104000,3500
8157,r039,"All occupations -> Engineering occupations -> Aerospace, aeronautical, astronautical engineers",All occupations,Engineering occupations,"Aerospace, aeronautical, astronautical engineers",,3,155000,5500,159000,3500,158000,6000,160000,4500,112000,23000,134000,16500,74000,19000
8157,r040,All occupations -> Engineering occupations -> Chemical engineers,All occupations,Engineering occupations,Chemical engineers,,3,139000,4500,149000,4000,143000,9500,150000,5500,120000,4000,129000,8500,103000,10500
8157,r041,"All occupations -> Engineering occupations -> Civil, architectural, sanitary engineers",All occupations,Engineering occupations,"Civil, architectural, sanitary engineers",,3,115000,6000,127000,5000,117000,8500,129000,8000,92000,3000,95000,4000,83000,6000
8157,r042,All occupations -> Engineering occupations -> Electrical engineers,All occupations,Engineering occupations,Electrical engineers,,3,159000,2000,165000,3500,160000,3500,169000,4000,149000,500,150000,1500,131000,4500
8157,r043,All occupations -> Engineering occupations -> Industrial engineers,All occupations,Engineering occupations,Industrial engineers,,3,125000,11000,132000,12000,140000,15000,123000,11000,120000,13000,123000,33000,119000,7500
8157,r044,All occupations -> Engineering occupations -> Mechanical engineers,All occupations,Engineering occupations,Mechanical engineers,,3,132000,5000,141000,4000,145000,8000,140000,3500,115000,6500,120000,1500,100000,5000
8157,r045,"All occupations -> Engineering occupations -> Postsecondary teachers, engineering",All occupations,Engineering occupations,"Postsecondary teachers, engineering",,3,110000,2000,119000,2500,113000,2500,124000,4500,96000,2500,98000,2500,88000,5500
8157,r046,All occupations -> Engineering occupations -> Other engineers,All occupations,Engineering occupations,Other engineers,,3,135000,3000,142000,3000,139000,4000,150000,5000,115000,6500,124000,5000,109000,8500
8157,r047,All occupations -> S&E-related occupations,All occupations,S&E-related occupations,,,2,140000,1000,140000,3500,132000,4000,169000,4500,129000,1000,136000,8000,110000,16000
8157,r048,"All occupations -> S&E-related occupations -> Health occupations, except postsecondary teachers and managers",All occupations,S&E-related occupations,"Health occupations, except postsecondary teachers and managers",,3,140000,4000,142000,5500,136000,5000,195000,15000,124000,8000,129000,7500,82000,21500
8157,r049,"All occupations -> S&E-related occupations -> Postsecondary teachers, health and related science",All occupations,S&E-related occupations,"Postsecondary teachers, health and related science",,3,109000,2000,109000,1500,108000,2500,120000,4500,93000,6000,102000,10000,79000,6500
8157,r050,"All occupations -> S&E-related occupations -> S&E managers, including health",All occupations,S&E-related occupations,"S&E managers, including health",,3,175000,4000,175000,5000,171000,2000,190000,8000,159000,15000,164000,20000,148000,28000
8157,r051,All occupations -> S&E-related occupations -> S&E precollege teachers,All occupations,S&E-related occupations,S&E precollege teachers,,3,69000,1500,69000,1500,69000,2000,72000,9000,58000,10000,,,,
8157,r052,All occupations -> S&E-related occupations -> S&E technicians/ technologists,All occupations,S&E-related occupations,S&E technicians/ technologists,,3,140000,3000,145000,5500,145000,7000,147000,7500,120000,9500,129000,7000,111000,33500
8157,r053,All occupations -> S&E-related occupations -> Other S&E-related occupations,All occupations,S&E-related occupations,Other S&E-related occupations,,3,139000,18500,137000,25500,171000,28500,125000,12000,140000,32500,131000,37500,,
8157,r054,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,2,150000,500,150000,500,145000,3000,170000,5500,132000,10000,140000,10500,105000,13000
8157,r055,"All occupations -> Non-S&E occupations -> Arts, humanities-related occupations",All occupations,Non-S&E occupations,"Arts, humanities-related occupations",,3,100000,5000,103000,4000,100000,4500,111000,14500,76000,11000,81000,9000,S,S
8157,r056,All occupations -> Non-S&E occupations -> Management-related occupations,All occupations,Non-S&E occupations,Management-related occupations,,3,147000,4000,146000,4000,140000,3500,151000,8500,159000,19000,162000,15000,115000,39000
8157,r057,All occupations -> Non-S&E occupations -> Non-S&E managers,All occupations,Non-S&E occupations,Non-S&E managers,,3,190000,3500,190000,4000,180000,2500,205000,3500,168000,16000,165000,17000,179000,18000
8157,r058,All occupations -> Non-S&E occupations -> Non-S&E postsecondary teachers,All occupations,Non-S&E occupations,Non-S&E postsecondary teachers,,3,100000,1500,98000,3500,94000,3500,108000,6500,118000,6500,128000,10500,95000,14000
8157,r059,All occupations -> Non-S&E occupations -> Non-S&E precollege/ other teachers,All occupations,Non-S&E occupations,Non-S&E precollege/ other teachers,,3,69000,7000,70000,6500,70000,7000,62000,13500,,,,,,
8157,r060,"All occupations -> Non-S&E occupations -> Sales, marketing occupations",All occupations,Non-S&E occupations,"Sales, marketing occupations",,3,144000,4000,145000,5000,143000,6000,156000,19500,96000,14500,95000,15500,,
8157,r061,All occupations -> Non-S&E occupations -> Social service-related occupations,All occupations,Non-S&E occupations,Social service-related occupations,,3,71000,4500,73000,4500,71000,4500,77000,14000,,,,,,
8157,r062,All occupations -> Non-S&E occupations -> Other non-S&E occupations,All occupations,Non-S&E occupations,Other non-S&E occupations,,3,137000,10500,139000,8500,134000,12500,142000,11000,97000,14000,98000,14000,,
