table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_innovating_product_and_business_process_development_activities_number_yes,field_innovating_product_and_business_process_development_activities_number_no,field_innovating_product_and_business_process_development_activities_percent_yes,field_innovating_product_and_business_process_development_activities_percent_no
5655,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['    613,110 ', '&nbsp;']","['    30,715 ', '&nbsp;']","['    582,395 ', '&nbsp;']","['    5.0 ', '&nbsp;']","['    95.0 ', '&nbsp;']"
5655,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['    257,153 ', '&nbsp;']","['    26,210 ', '&nbsp;']","['    230,943 ', '&nbsp;']","['    10.2 ', '&nbsp;']","['    89.8 ', '&nbsp;']"
5655,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['    560,952 ', '&nbsp;']","['    37,918 ', '&nbsp;']","['    523,034 ', '&nbsp;']","['    6.8 ', '&nbsp;']","['    93.2 ', '&nbsp;']"
5655,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['    152,463 ', '&nbsp;']","['    7,197 ', '&nbsp;']","['    145,266 ', '&nbsp;']","['    4.7 ', '&nbsp;']","['    95.3 ', '&nbsp;']"
5655,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['    61,638 ', '&nbsp;']","['    7,680 ', '&nbsp;']","['    53,958 ', '&nbsp;']","['    12.5 ', '&nbsp;']","['    87.5 ', '&nbsp;']"
5655,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['    17,590 ', '&nbsp;']","['    2,489 ', '&nbsp;']","['    15,101 ', '&nbsp;']","['    14.2 ', '&nbsp;']","['    85.8 ', '&nbsp;']"
5655,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['    9,761 ', '&nbsp;']","['    734 ', '&nbsp;']","['    9,027 ', '&nbsp;']","['    7.5 ', '&nbsp;']","['    92.5 ', '&nbsp;']"
5655,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['    7,828 ', '&nbsp;']","['    1,755 ', '&nbsp;']","['    6,073 ', '&nbsp;']","['    22.4 ', '&nbsp;']","['    77.6 ', '&nbsp;']"
5655,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['    7,164 ', '&nbsp;']","['    762 ', '&nbsp;']","['    6,402 ', '&nbsp;']","['    10.6 ', '&nbsp;']","['    89.4 ', '&nbsp;']"
5655,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['    8,918 ', '&nbsp;']","['    1,403 ', '&nbsp;']","['    7,515 ', '&nbsp;']","['    15.7 ', '&nbsp;']","['    84.3 ', '&nbsp;']"
5655,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['    27,965 ', '&nbsp;']","['    3,025 ', '&nbsp;']","['    24,940 ', '&nbsp;']","['    10.8 ', '&nbsp;']","['    89.2 ', '&nbsp;']"
5655,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['    200,857 ', '&nbsp;']","['    16,178 ', '&nbsp;']","['    184,679 ', '&nbsp;']","['    8.1 ', '&nbsp;']","['    91.9 ', '&nbsp;']"
5655,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['    255,783 ', '&nbsp;']","['    11,435 ', '&nbsp;']","['    244,348 ', '&nbsp;']","['    4.5 ', '&nbsp;']","['    95.5 ', '&nbsp;']"
5655,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets <br>  (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets <br>  (except copyrighted works),,4,533,"['    1,812 ', '&nbsp;']","['    142 ', 'r']","['    1,670 ', '&nbsp;']","['    7.8 ', 'r']","['    92.2 ', '&nbsp;']"
5655,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['    253,970 ', '&nbsp;']","['    11,293 ', '&nbsp;']","['    242,677 ', '&nbsp;']","['    4.4 ', '&nbsp;']","['    95.6 ', '&nbsp;']"
5655,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['    695,672 ', '&nbsp;']","['    61,718 ', '&nbsp;']","['    633,954 ', '&nbsp;']","['    8.9 ', '&nbsp;']","['    91.1 ', '&nbsp;']"
5655,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['    152,243 ', '&nbsp;']","['    5,195 ', '&nbsp;']","['    147,048 ', '&nbsp;']","['    3.4 ', '&nbsp;']","['    96.6 ', '&nbsp;']"
5655,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['    106,634 ', '&nbsp;']","['    5,180 ', '&nbsp;']","['    101,454 ', '&nbsp;']","['    4.9 ', '&nbsp;']","['    95.1 ', '&nbsp;']"
5655,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['    88,491 ', '&nbsp;']","['    7,871 ', '&nbsp;']","['    80,620 ', '&nbsp;']","['    8.9 ', '&nbsp;']","['    91.1 ', '&nbsp;']"
5655,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['    26,282 ', '&nbsp;']","['    2,235 ', '&nbsp;']","['    24,047 ', '&nbsp;']","['    8.5 ', '&nbsp;']","['    91.5 ', '&nbsp;']"
5655,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['    95,950 ', '&nbsp;']","['    16,166 ', '&nbsp;']","['    79,784 ', '&nbsp;']","['    16.8 ', '&nbsp;']","['    83.2 ', '&nbsp;']"
5655,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['    132,989 ', '&nbsp;']","['    16,905 ', '&nbsp;']","['    116,084 ', '&nbsp;']","['    12.7 ', '&nbsp;']","['    87.3 ', '&nbsp;']"
5655,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['    9,798 ', '&nbsp;']","['    1,575 ', '&nbsp;']","['    8,223 ', '&nbsp;']","['    16.1 ', '&nbsp;']","['    83.9 ', '&nbsp;']"
5655,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['    27,677 ', '&nbsp;']","['    2,612 ', '&nbsp;']","['    25,065 ', '&nbsp;']","['    9.4 ', '&nbsp;']","['    90.6 ', '&nbsp;']"
5655,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['    55,569 ', '&nbsp;']","['    3,979 ', '&nbsp;']","['    51,590 ', '&nbsp;']","['    7.2 ', '&nbsp;']","['    92.8 ', '&nbsp;']"
5655,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['    2,409 ', '&nbsp;']","['    123 ', '&nbsp;']","['    2,286 ', '&nbsp;']","['    5.1 ', '&nbsp;']","['    94.9 ', '&nbsp;']"
5655,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['    287,807 ', '&nbsp;']","['    18,042 ', '&nbsp;']","['    269,765 ', '&nbsp;']","['    6.3 ', '&nbsp;']","['    93.7 ', '&nbsp;']"
5655,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['    53,912 ', '&nbsp;']","['    5,905 ', '&nbsp;']","['    48,007 ', '&nbsp;']","['    11.0 ', '&nbsp;']","['    89.0 ', '&nbsp;']"
5655,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['    519,556 ', '&nbsp;']","['    32,782 ', '&nbsp;']","['    486,774 ', '&nbsp;']","['    6.3 ', '&nbsp;']","['    93.7 ', '&nbsp;']"
5655,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['    459,855 ', '&nbsp;']","['    27,546 ', '&nbsp;']","['    432,309 ', '&nbsp;']","['    6.0 ', '&nbsp;']","['    94.0 ', '&nbsp;']"
5655,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['    59,700 ', '&nbsp;']","['    5,235 ', '&nbsp;']","['    54,465 ', '&nbsp;']","['    8.8 ', '&nbsp;']","['    91.2 ', '&nbsp;']"
5655,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['    88,831 ', '&nbsp;']","['    4,937 ', '&nbsp;']","['    83,894 ', '&nbsp;']","['    5.6 ', '&nbsp;']","['    94.4 ', '&nbsp;']"
5655,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['    453,059 ', '&nbsp;']","['    29,540 ', '&nbsp;']","['    423,519 ', '&nbsp;']","['    6.5 ', '&nbsp;']","['    93.5 ', '&nbsp;']"
5655,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['    345,125 ', '&nbsp;']","['    20,216 ', '&nbsp;']","['    324,909 ', '&nbsp;']","['    5.9 ', '&nbsp;']","['    94.1 ', '&nbsp;']"
