table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_companies_number_a_,field_yesb,field_noc,field_new_to_company_s_market_companies_number_d,field_new_to_company_s_market_sales,field_new_only_to_company_companies_number_d_,field_new_only_to_company_sales,field_sales_of_products_unchanged_or_marginally_modified
784,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,2414,1083,1331,865,4303,372,2755,38175
784,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,171,21,150,15,27,13,17,2076
784,r071,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,106501,9293,97207,5113,8712,6649,6612,822218
784,r072,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,171826,17303,154523,9097,21018,11018,17709,994536
784,r073,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81",717771,51463,666308,30080,287392,35126,83022,12016967
784,r074,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,1406937,146578,1260359,87309,1189123,97157,883206,34500955
784,r075,All companies (number of domestic employees) -> Micro companies<sup>e</sup>,All companies (number of domestic employees),Micro companies<sup>e</sup>,,,,2,,,,,,,,,
784,r076,All companies (number of domestic employees) -> Micro companies<sup>e</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>e</sup>,5&#8211;9,,,3,–,547828,44642,503186,27259,23854,29120,30709,2558102
784,r077,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,,,,,,,,
784,r078,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,419354,45183,374171,26507,36311,29785,28065,3357963
784,r079,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,286791,33483,253307,19939,277041,22934,48052,2854299
784,r080,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,,,,,,,,
784,r081,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,82164,12128,70036,6945,32283,6785,22560,1909939
784,r082,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,46198,6331,39867,3561,34391,4982,34765,2210180
784,r083,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,,,,,,,,
784,r084,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,12765,2474,10291,1687,28270,1736,35099,1738063
784,r085,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,5530,639,4891,350,23289,478,30713,1533314
784,r086,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,4914,1387,3527,866,138989,1138,175910,4401740
784,r087,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,529,134,396,93,88346,92,78344,2426432
784,r088,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,363,106,257,69,162311,74,105449,3591071
784,r089,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,500,71,429,33,344037,34,293542,7919853
784,r090,Industry proportions (percent)<sup>f</sup>,Industry proportions (percent)<sup>f</sup>,,,,,1,,,,,,,,,
784,r091,All industries,All industries,,,,,1,"21–23, 31–33, 42–81",1406937,10.4,89.6,87309,3.3,97157,2.4,94.3
784,r092,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,112249,24.3,75.7,17410,6.7,18387,5.7,87.6
784,r093,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,9659,17.9,82.1,1210,3.8,1166,3.5,92.8
784,r094,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,2370,20.1,79.9,279,4.7,342,2.7,92.6
784,r095,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,4301,17.0,83.0,557,6.9,491,3.9,89.2
784,r096,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,5125,12.9,87.1,311,1.3,450,2.4,96.2
784,r097,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,1753,28.7,71.3,370,2.5,314,5.0,92.5
784,r098,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,8154,15.8,84.2,510,1.9,942,4.5,93.6
784,r099,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,247,32.2,67.8,49,0.0,47,0.0,99.9
784,r100,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,5293,36.0,64.0,1273,11.5,1284,6.6,81.9
784,r101,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,507,38.0,62.0,136,1.9,131,1.8,96.3
784,r102,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,858,46.1,53.9,322,6.8,146,6.2,87.0
784,r103,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,331,27.5,72.5,78,14.2,66,11.0,74.9
784,r104,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,1089,33.7,66.3,211,18.7,255,8.5,72.8
784,r105,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,956,39.7,60.3,257,6.3,309,6.1,87.7
784,r106,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals",,4,"3255, 3259",1552,30.9,69.1,269,5.7,378,7.3,87.0
784,r107,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,5103,26.9,73.1,912,4.8,919,4.0,91.2
784,r108,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,4074,14.5,85.5,366,1.0,402,2.6,96.4
784,r109,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,2064,13.1,86.9,216,1.7,195,2.9,95.4
784,r110,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,25110,17.7,82.3,2492,4.3,3154,5.4,90.3
784,r111,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,11884,33.9,66.1,2482,7.5,2679,8.2,84.4
784,r112,All industries -> Manufacturing industries -> Machinery -> Agricultural implements,All industries,Manufacturing industries,Machinery,Agricultural implements,,4,33311,670,43.7,56.3,217,11.7,196,19.8,68.4
784,r113,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,208,21.0,79.0,22,4.3,32,1.9,93.8
784,r114,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment",,4,3336,562,64.7,35.3,284,2.0,348,25.1,72.9
784,r115,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,10444,31.8,68.2,1960,8.0,2103,3.5,88.5
784,r116,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,5750,50.7,49.3,2116,9.1,1754,10.4,80.5
784,r117,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,923,56.7,43.3,382,5.8,318,5.9,88.3
784,r118,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,2012,40.4,59.6,529,10.3,565,2.8,86.9
784,r119,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control<br>  instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control<br>  instruments",,4,3345,2033,50.7,49.3,766,14.4,563,3.1,82.5
784,r120,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control<br>  instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control<br>  instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517",340,57.7,42.3,123,12.9,113,1.2,85.9
784,r121,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control<br>  instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control<br>  instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments",5,334511,186,41.8,58.2,45,24.5,59,3.0,72.5
784,r122,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control<br>  instruments -> Other measuring and controlling devices",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control<br>  instruments",Other measuring and controlling devices,5,other 3345,1507,50.2,49.8,598,5.2,391,3.9,90.9
784,r123,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,781,69.9,30.1,438,7.1,308,37.0,55.9
784,r124,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,2482,42.6,57.4,648,6.8,783,7.5,85.7
784,r125,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,4458,33.0,67.0,956,7.3,939,4.5,88.2
784,r126,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,2696,34.4,65.6,531,3.7,644,2.5,93.8
784,r127,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,773,22.9,77.1,103,15.6,128,10.4,74.0
784,r128,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,748,22.1,77.9,93,15.6,121,10.3,74.1
784,r129,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts ",5,"336414–15, 336419",25,47.4,52.6,10,15.2,7,14.0,70.8
784,r130,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components",,4,336992,29,25.3,74.7,5,1.0,6,1.7,97.3
784,r131,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,960,37.5,62.5,317,14.3,161,3.1,82.6
784,r132,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,6049,12.1,87.9,420,4.4,556,9.0,86.6
784,r133,All industries -> Manufacturing industries -> Miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,,,3,339,8374,35.9,64.1,2245,5.2,1971,5.5,89.3
784,r134,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous manufacturing,Medical equipment and supplies ,,4,3391,3058,41.8,58.2,981,6.1,712,6.5,87.5
784,r135,All industries -> Manufacturing industries -> Miscellaneous manufacturing -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous manufacturing,Other miscellaneous manufacturing,,4,3399,5316,32.5,67.5,1264,3.4,1260,3.5,93.1
784,r136,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81",1294688,9.2,90.8,69899,2.1,78770,1.4,96.5
