table_id,row_id,_b_state_and_department_or_agency_b_full_path,_b_state_and_department_or_agency_b_level_1,_b_state_and_department_or_agency_b_level_2,_b_state_and_department_or_agency_b_level_3,_b_state_and_department_or_agency_b_hierarchy_depth,field_r_d_expenditures_for_intramural_performers,field_source_of_funds_federal_government,field_source_of_funds_own_state_government,field_source_of_funds_other_nonfederal_governments,field_source_of_funds_nonprofit_organizations,field_source_of_funds_businesses_and_individuals,field_source_of_funds_higher_education_institutions
7698,r045,United States<sup>a</sup> -> Delaware,United States<sup>a</sup>,Delaware,,2,1894419,307938,1586481,0,0,0,0
7698,r046,United States<sup>a</sup> -> Delaware -> Geological Survey,United States<sup>a</sup>,Delaware,Geological Survey,3,1894419,307938,1586481,0,0,0,0
7698,r047,United States<sup>a</sup> -> District of Columbia,United States<sup>a</sup>,District of Columbia,,2,3705656,2474200,1154586,0,40683,0,36187
7698,r048,"United States<sup>a</sup> -> District of Columbia -> Forensic Sciences, Department of",United States<sup>a</sup>,District of Columbia,"Forensic Sciences, Department of",3,75566,30000,34566,0,11000,0,0
7698,r049,"United States<sup>a</sup> -> District of Columbia -> Health, Department of",United States<sup>a</sup>,District of Columbia,"Health, Department of",3,2502492,2342122,94500,0,29683,0,36187
7698,r050,"United States<sup>a</sup> -> District of Columbia -> Transportation, Department of",United States<sup>a</sup>,District of Columbia,"Transportation, Department of",3,127598,102078,25520,0,0,0,0
7698,r051,United States<sup>a</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>a</sup>,District of Columbia,Water and Sewer Authority,3,1000000,0,1000000,0,0,0,0
7698,r052,United States<sup>a</sup> -> Florida,United States<sup>a</sup>,Florida,,2,50793339,14207726,32005707,267,97679,3512563,969397
7698,r053,"United States<sup>a</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>a</sup>,Florida,"Agriculture and Consumer Services, Department of",3,1399535,1238422,161113,0,0,0,0
7698,r054,"United States<sup>a</sup> -> Florida -> Citrus, Department of",United States<sup>a</sup>,Florida,"Citrus, Department of",3,119678,0,119678,0,0,0,0
7698,r055,United States<sup>a</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>a</sup>,Florida,Fish and Wildlife Conservation Commission,3,47842060,12969304,30292850,267,97679,3512563,969397
7698,r056,"United States<sup>a</sup> -> Florida -> Transportation, Department of",United States<sup>a</sup>,Florida,"Transportation, Department of",3,1432066,0,1432066,0,0,0,0
7698,r057,United States<sup>a</sup> -> Georgia,United States<sup>a</sup>,Georgia,,2,2016590,1927148,89442,0,0,0,0
7698,r058,"United States<sup>a</sup> -> Georgia -> Natural Resources, Department of",United States<sup>a</sup>,Georgia,"Natural Resources, Department of",3,171752,82310,89442,0,0,0,0
7698,r059,United States<sup>a</sup> -> Georgia -> Southern States Energy Board,United States<sup>a</sup>,Georgia,Southern States Energy Board,3,1844838,1844838,0,0,0,0,0
7698,r060,United States<sup>a</sup> -> Hawaii,United States<sup>a</sup>,Hawaii,,2,2311413,2311413,0,0,0,0,0
7698,r061,"United States<sup>a</sup> -> Hawaii -> Agriculture, Department of",United States<sup>a</sup>,Hawaii,"Agriculture, Department of",3,123148,123148,0,0,0,0,0
7698,r062,"United States<sup>a</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>a</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,2188265,2188265,0,0,0,0,0
7698,r063,United States<sup>a</sup> -> Idaho,United States<sup>a</sup>,Idaho,,2,7124769,5868974,1001191,18610,52346,183648,0
7698,r064,"United States<sup>a</sup> -> Idaho -> Fish and Game, Department of",United States<sup>a</sup>,Idaho,"Fish and Game, Department of",3,6988949,5772212,962133,18610,52346,183648,0
7698,r065,United States<sup>a</sup> -> Idaho -> Mint Commission,United States<sup>a</sup>,Idaho,Mint Commission,3,14867,0,14867,0,0,0,0
7698,r066,United States<sup>a</sup> -> Idaho -> Transportation Department,United States<sup>a</sup>,Idaho,Transportation Department,3,120953,96762,24191,0,0,0,0
7698,r067,United States<sup>a</sup> -> Illinois,United States<sup>a</sup>,Illinois,,2,554067,0,554067,0,0,0,0
7698,r068,"United States<sup>a</sup> -> Illinois -> Transportation, Department of",United States<sup>a</sup>,Illinois,"Transportation, Department of",3,554067,0,554067,0,0,0,0
7698,r069,United States<sup>a</sup> -> Indiana,United States<sup>a</sup>,Indiana,,2,470344,200428,269916,0,0,0,0
7698,r070,"United States<sup>a</sup> -> Indiana -> Natural Resources, Department of",United States<sup>a</sup>,Indiana,"Natural Resources, Department of",3,416747,157551,259196,0,0,0,0
7698,r071,"United States<sup>a</sup> -> Indiana -> Transportation, Department of",United States<sup>a</sup>,Indiana,"Transportation, Department of",3,53597,42877,10720,0,0,0,0
7698,r072,United States<sup>a</sup> -> Iowa,United States<sup>a</sup>,Iowa,,2,3091936,1562393,1446047,0,83496,0,0
7698,r073,"United States<sup>a</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",United States<sup>a</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of, Department of",3,472395,166799,222100,0,83496,0,0
7698,r074,"United States<sup>a</sup> -> Iowa -> Natural Resources, Department of",United States<sup>a</sup>,Iowa,"Natural Resources, Department of",3,2619541,1395594,1223947,0,0,0,0
7698,r075,United States<sup>a</sup> -> Kansas,United States<sup>a</sup>,Kansas,,2,1294643,826068,439040,0,0,0,29535
7698,r076,United States<sup>a</sup> -> Kansas -> State Board of Regents,United States<sup>a</sup>,Kansas,State Board of Regents,3,5489,0,5489,0,0,0,0
7698,r077,"United States<sup>a</sup> -> Kansas -> Transportation, Department of",United States<sup>a</sup>,Kansas,"Transportation, Department of",3,968014,774411,193603,0,0,0,0
7698,r078,United States<sup>a</sup> -> Kansas -> Water Office,United States<sup>a</sup>,Kansas,Water Office,3,321140,51657,239948,0,0,0,29535
7698,r079,United States<sup>a</sup> -> Kentucky,United States<sup>a</sup>,Kentucky,,2,1946017,1191485,754532,0,0,0,0
7698,r080,"United States<sup>a</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>a</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,1946017,1191485,754532,0,0,0,0
7698,r081,United States<sup>a</sup> -> Louisiana,United States<sup>a</sup>,Louisiana,,2,9555840,7012283,2543557,0,0,0,0
7698,r082,United States<sup>a</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>a</sup>,Louisiana,Coastal Protection and Restoration Authority,3,494555,26636,467919,0,0,0,0
7698,r083,"United States<sup>a</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>a</sup>,Louisiana,"Transportation and Development, Department of ",3,4785327,3828261,957066,0,0,0,0
7698,r084,"United States<sup>a</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>a</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,4275958,3157386,1118572,0,0,0,0
7698,r085,United States<sup>a</sup> -> Maine,United States<sup>a</sup>,Maine,,2,10370488,8177199,1721061,453312,0,18916,0
7698,r086,"United States<sup>a</sup> -> Maine -> Agriculture, Conservation and Forestry, Department of ",United States<sup>a</sup>,Maine,"Agriculture, Conservation and Forestry, Department of ",3,1306030,381170,924860,0,0,0,0
7698,r087,"United States<sup>a</sup> -> Maine -> Inland Fisheries and Wildlife, Department of",United States<sup>a</sup>,Maine,"Inland Fisheries and Wildlife, Department of",3,763201,590794,153491,0,0,18916,0
7698,r088,"United States<sup>a</sup> -> Maine -> Marine Resources, Department of",United States<sup>a</sup>,Maine,"Marine Resources, Department of",3,2466000,1945000,521000,0,0,0,0
7698,r089,"United States<sup>a</sup> -> Maine -> MDI Biological Laboratory, Center for Biomedical Innovation",United States<sup>a</sup>,Maine,"MDI Biological Laboratory, Center for Biomedical Innovation",3,5335257,4860235,21710,453312,0,0,0
7698,r090,"United States<sup>a</sup> -> Maine -> Transportation, Department of ",United States<sup>a</sup>,Maine,"Transportation, Department of ",3,500000,400000,100000,0,0,0,0
7698,r091,United States<sup>a</sup> -> Maryland,United States<sup>a</sup>,Maryland,,2,878718,654603,224115,0,0,0,0
7698,r092,"United States<sup>a</sup> -> Maryland -> Natural Resources, Department of",United States<sup>a</sup>,Maryland,"Natural Resources, Department of",3,287741,182782,104959,0,0,0,0
7698,r093,"United States<sup>a</sup> -> Maryland -> Transportation, Department of",United States<sup>a</sup>,Maryland,"Transportation, Department of",3,590977,471821,119156,0,0,0,0
7698,r094,United States<sup>a</sup> -> Massachusetts,United States<sup>a</sup>,Massachusetts,,2,1208652,446541,562111,200000,0,0,0
7698,r095,"United States<sup>a</sup> -> Massachusetts -> Environmental Protection, Department of ",United States<sup>a</sup>,Massachusetts,"Environmental Protection, Department of ",3,278302,22369,255933,0,0,0,0
7698,r096,"United States<sup>a</sup> -> Massachusetts -> Fish and Game, Department of ",United States<sup>a</sup>,Massachusetts,"Fish and Game, Department of ",3,604975,424172,180803,0,0,0,0
7698,r097,United States<sup>a</sup> -> Massachusetts -> Gaming Commission,United States<sup>a</sup>,Massachusetts,Gaming Commission,3,81600,0,81600,0,0,0,0
7698,r098,"United States<sup>a</sup> -> Massachusetts -> Mental Health, Department of",United States<sup>a</sup>,Massachusetts,"Mental Health, Department of",3,43775,0,43775,0,0,0,0
7698,r099,United States<sup>a</sup> -> Massachusetts -> Water Resources Authority,United States<sup>a</sup>,Massachusetts,Water Resources Authority,3,200000,0,0,200000,0,0,0
7698,r100,United States<sup>a</sup> -> Michigan,United States<sup>a</sup>,Michigan,,2,237018,0,237018,0,0,0,0
7698,r101,"United States<sup>a</sup> -> Michigan -> Environmental, Great Lakes, and Energy, Department of",United States<sup>a</sup>,Michigan,"Environmental, Great Lakes, and Energy, Department of",3,237018,0,237018,0,0,0,0
7698,r102,United States<sup>a</sup> -> Minnesota,United States<sup>a</sup>,Minnesota,,2,2458490,1071612,1386878,0,0,0,0
7698,r103,"United States<sup>a</sup> -> Minnesota -> Agriculture, Department of",United States<sup>a</sup>,Minnesota,"Agriculture, Department of",3,876319,0,876319,0,0,0,0
7698,r104,"United States<sup>a</sup> -> Minnesota -> Natural Resources, Department of",United States<sup>a</sup>,Minnesota,"Natural Resources, Department of",3,1561371,1071612,489759,0,0,0,0
7698,r105,"United States<sup>a</sup> -> Minnesota -> Transportation, Department of",United States<sup>a</sup>,Minnesota,"Transportation, Department of",3,20800,0,20800,0,0,0,0
7698,r106,United States<sup>a</sup> -> Mississippi,United States<sup>a</sup>,Mississippi,,2,2005582,864505,896516,244561,0,0,0
7698,r107,"United States<sup>a</sup> -> Mississippi -> Environmental Quality, Department of",United States<sup>a</sup>,Mississippi,"Environmental Quality, Department of",3,105387,105387,0,0,0,0,0
7698,r108,"United States<sup>a</sup> -> Mississippi -> Marine Resources, Department of",United States<sup>a</sup>,Mississippi,"Marine Resources, Department of",3,910795,83292,582942,244561,0,0,0
7698,r109,"United States<sup>a</sup> -> Mississippi -> Transportation, Department of",United States<sup>a</sup>,Mississippi,"Transportation, Department of",3,218157,174526,43631,0,0,0,0
7698,r110,"United States<sup>a</sup> -> Mississippi -> Wildlife, Fisheries, and Parks, Department of ",United States<sup>a</sup>,Mississippi,"Wildlife, Fisheries, and Parks, Department of ",3,771243,501300,269943,0,0,0,0
7698,r111,United States<sup>a</sup> -> Missouri,United States<sup>a</sup>,Missouri,,2,6455476,1681282,4774194,0,0,0,0
7698,r112,"United States<sup>a</sup> -> Missouri -> Conservation, Department of",United States<sup>a</sup>,Missouri,"Conservation, Department of",3,6455476,1681282,4774194,0,0,0,0
7698,r113,United States<sup>a</sup> -> Montana,United States<sup>a</sup>,Montana,,2,2846129,2092027,674111,0,79991,0,0
7698,r114,"United States<sup>a</sup> -> Montana -> Environmental Quality, Department of",United States<sup>a</sup>,Montana,"Environmental Quality, Department of",3,50304,9304,41000,0,0,0,0
7698,r115,"United States<sup>a</sup> -> Montana -> Fish, Wildlife and Parks, Department of",United States<sup>a</sup>,Montana,"Fish, Wildlife and Parks, Department of",3,2669435,1981611,607833,0,79991,0,0
7698,r116,"United States<sup>a</sup> -> Montana -> Transportation, Department of",United States<sup>a</sup>,Montana,"Transportation, Department of",3,126390,101112,25278,0,0,0,0
7698,r117,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,,2,2128727,1353742,774985,0,0,0,0
7698,r118,United States<sup>a</sup> -> Nebraska -> Game and Parks Commission,United States<sup>a</sup>,Nebraska,Game and Parks Commission,3,2037727,1353742,683985,0,0,0,0
7698,r119,"United States<sup>a</sup> -> Nebraska -> Transportation, Department of",United States<sup>a</sup>,Nebraska,"Transportation, Department of",3,91000,0,91000,0,0,0,0
7698,r120,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,,2,237064,177064,60000,0,0,0,0
7698,r121,"United States<sup>a</sup> -> Nevada -> Agriculture, Department of",United States<sup>a</sup>,Nevada,"Agriculture, Department of",3,237064,177064,60000,0,0,0,0
7698,r122,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,,2,27186,21749,5437,0,0,0,0
7698,r123,"United States<sup>a</sup> -> New Hampshire -> Transportation, Department of",United States<sup>a</sup>,New Hampshire,"Transportation, Department of",3,27186,21749,5437,0,0,0,0
7698,r124,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,,2,3006539,510793,2495746,0,0,0,0
7698,r125,"United States<sup>a</sup> -> New Jersey -> Children and Families, Department of",United States<sup>a</sup>,New Jersey,"Children and Families, Department of",3,192394,8540,183854,0,0,0,0
7698,r126,"United States<sup>a</sup> -> New Jersey -> Community Affairs, Department of ",United States<sup>a</sup>,New Jersey,"Community Affairs, Department of ",3,5000,0,5000,0,0,0,0
7698,r127,"United States<sup>a</sup> -> New Jersey -> Corrections, Department of",United States<sup>a</sup>,New Jersey,"Corrections, Department of",3,309449,0,309449,0,0,0,0
7698,r128,"United States<sup>a</sup> -> New Jersey -> Environmental Protection, Department of",United States<sup>a</sup>,New Jersey,"Environmental Protection, Department of",3,1997500,95500,1902000,0,0,0,0
7698,r129,United States<sup>a</sup> -> New Jersey -> Pinelands Commission,United States<sup>a</sup>,New Jersey,Pinelands Commission,3,465753,406753,59000,0,0,0,0
7698,r130,"United States<sup>a</sup> -> New Jersey -> State Parole Board, New Jersey",United States<sup>a</sup>,New Jersey,"State Parole Board, New Jersey",3,36443,0,36443,0,0,0,0
7698,r131,United States<sup>a</sup> -> New Mexico,United States<sup>a</sup>,New Mexico,,2,1535533,1040233,387247,0,108053,0,0
7698,r132,"United States<sup>a</sup> -> New Mexico -> Cultural Affairs, Department of",United States<sup>a</sup>,New Mexico,"Cultural Affairs, Department of",3,108053,0,0,0,108053,0,0
7698,r133,"United States<sup>a</sup> -> New Mexico -> Game and Fish, Department of",United States<sup>a</sup>,New Mexico,"Game and Fish, Department of",3,500000,250000,250000,0,0,0,0
7698,r134,"United States<sup>a</sup> -> New Mexico -> Transportation, Department of",United States<sup>a</sup>,New Mexico,"Transportation, Department of",3,927480,790233,137247,0,0,0,0
7698,r135,United States<sup>a</sup> -> New York,United States<sup>a</sup>,New York,,2,259432614,140797896,94234010,720272,9706329,12124449,1849658
7698,r136,"United States<sup>a</sup> -> New York -> Agriculture and Markets, Department of ",United States<sup>a</sup>,New York,"Agriculture and Markets, Department of ",3,2795000,2795000,0,0,0,0,0
7698,r137,United States<sup>a</sup> -> New York -> Energy Research and Development Authority,United States<sup>a</sup>,New York,Energy Research and Development Authority,3,7195015,0,7195015,0,0,0,0
7698,r138,"United States<sup>a</sup> -> New York -> Environmental Conservation, Department of ",United States<sup>a</sup>,New York,"Environmental Conservation, Department of ",3,4383537,1256046,3127491,0,0,0,0
7698,r139,"United States<sup>a</sup> -> New York -> Health, Department of ",United States<sup>a</sup>,New York,"Health, Department of ",3,34949991,18745981,13043342,720272,2312854,54603,72939
7698,r140,"United States<sup>a</sup> -> New York -> Mental Health, Office of ",United States<sup>a</sup>,New York,"Mental Health, Office of ",3,131858494,67993097,54900000,0,5719930,2222141,1023326
7698,r141,"United States<sup>a</sup> -> New York -> People with Developmental Disabilities, Office of",United States<sup>a</sup>,New York,"People with Developmental Disabilities, Office of",3,1614170,1468008,0,0,146162,0,0
7698,r142,United States<sup>a</sup> -> New York -> Power Authority,United States<sup>a</sup>,New York,Power Authority,3,1397798,0,1397798,0,0,0,0
7698,r143,United States<sup>a</sup> -> New York -> Roswell Park Comprehensive Cancer Center,United States<sup>a</sup>,New York,Roswell Park Comprehensive Cancer Center,3,63867651,46823504,4915666,0,1527383,9847705,753393
7698,r144,United States<sup>a</sup> -> New York -> State Museum,United States<sup>a</sup>,New York,State Museum,3,9748833,418065,9330768,0,0,0,0
7698,r145,"United States<sup>a</sup> -> New York -> Transportation, Department of ",United States<sup>a</sup>,New York,"Transportation, Department of ",3,1622125,1298195,323930,0,0,0,0
7698,r146,United States<sup>a</sup> -> North Carolina,United States<sup>a</sup>,North Carolina,,2,17422714,1368548,16054166,0,0,0,0
7698,r147,"United States<sup>a</sup> -> North Carolina -> Agriculture and Consumer Services, Department of",United States<sup>a</sup>,North Carolina,"Agriculture and Consumer Services, Department of",3,13922911,0,13922911,0,0,0,0
7698,r148,"United States<sup>a</sup> -> North Carolina -> Environmental Quality, Department of",United States<sup>a</sup>,North Carolina,"Environmental Quality, Department of",3,1223587,915313,308274,0,0,0,0
7698,r149,"United States<sup>a</sup> -> North Carolina -> Natural and Cultural Resources, Department of",United States<sup>a</sup>,North Carolina,"Natural and Cultural Resources, Department of",3,1546672,0,1546672,0,0,0,0
7698,r150,"United States<sup>a</sup> -> North Carolina -> Transportation, Department of",United States<sup>a</sup>,North Carolina,"Transportation, Department of",3,729544,453235,276309,0,0,0,0
7698,r151,United States<sup>a</sup> -> North Dakota,United States<sup>a</sup>,North Dakota,,2,294748,116830,177918,0,0,0,0
7698,r152,United States<sup>a</sup> -> North Dakota -> Historical Society of North Dakota,United States<sup>a</sup>,North Dakota,Historical Society of North Dakota,3,232829,67295,165534,0,0,0,0
7698,r153,"United States<sup>a</sup> -> North Dakota -> Transportation, Department of",United States<sup>a</sup>,North Dakota,"Transportation, Department of",3,61919,49535,12384,0,0,0,0
7698,r154,United States<sup>a</sup> -> Ohio,United States<sup>a</sup>,Ohio,,2,1808996,1311922,497074,0,0,0,0
7698,r155,"United States<sup>a</sup> -> Ohio -> Education, Department of",United States<sup>a</sup>,Ohio,"Education, Department of",3,15000,0,15000,0,0,0,0
7698,r156,"United States<sup>a</sup> -> Ohio -> Mental Health and Addictions Services, Department of",United States<sup>a</sup>,Ohio,"Mental Health and Addictions Services, Department of",3,1030000,1000000,30000,0,0,0,0
7698,r157,"United States<sup>a</sup> -> Ohio -> Natural Resources, Department of",United States<sup>a</sup>,Ohio,"Natural Resources, Department of",3,763996,311922,452074,0,0,0,0
7698,r158,United States<sup>a</sup> -> Oklahoma,United States<sup>a</sup>,Oklahoma,,2,2575950,1965050,590900,20000,0,0,0
7698,r159,"United States<sup>a</sup> -> Oklahoma -> Environmental Quality, Department of",United States<sup>a</sup>,Oklahoma,"Environmental Quality, Department of",3,217645,207380,10265,0,0,0,0
7698,r160,United States<sup>a</sup> -> Oklahoma -> Grand River Dam Authority,United States<sup>a</sup>,Oklahoma,Grand River Dam Authority,3,315000,0,315000,0,0,0,0
7698,r161,"United States<sup>a</sup> -> Oklahoma -> Health, Department of",United States<sup>a</sup>,Oklahoma,"Health, Department of",3,670578,650578,0,20000,0,0,0
7698,r162,"United States<sup>a</sup> -> Oklahoma -> Human Services, Department of",United States<sup>a</sup>,Oklahoma,"Human Services, Department of",3,566539,466122,100417,0,0,0,0
7698,r163,"United States<sup>a</sup> -> Oklahoma -> Transportation, Department of",United States<sup>a</sup>,Oklahoma,"Transportation, Department of",3,770983,616786,154197,0,0,0,0
