table_id,row_id,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_full_path,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_1,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_2,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_3,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_4,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_level_5,occupation_and_age_years_160_160_160_160_160_160_160_160_160_160_160_160_160_hierarchy_depth,field_all_degreesa_both_sexes,field_all_degreesa_female,field_all_degreesa_male,field_bachelor_s_both_sexes,field_bachelor_s_female,field_bachelor_s_male,field_master_s_both_sexes,field_master_s_female,field_master_s_male,field_doctorate_both_sexes,field_doctorate_female,field_doctorate_male
1266,r046,All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,,,3,96000,90000,97000,90000,86000,91000,104000,97000,105000,114000,110000,117000
1266,r047,All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 29 and younger,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,29 and younger,,4,70000,69000,70000,70000,70000,70000,74000,67000,75000,91000,,78000
1266,r048,All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 30&#8211;39,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,30&#8211;39,,4,91000,94000,90000,89000,90000,87000,98000,98000,98000,99000,103000,97000
1266,r049,All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 40&#8211;49,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,40&#8211;49,,4,109000,101000,109000,102000,99000,103000,115000,107000,118000,121000,99000,124000
1266,r050,All occupations -> S&E occupations<sup>b</sup> -> Engineering occupations -> 50&#8211;75,All occupations,S&E occupations<sup>b</sup>,Engineering occupations,50&#8211;75,,4,115000,119000,115000,110000,110000,109000,121000,125000,120000,135000,151000,134000
1266,r051,All occupations -> S&E-related occupations<sup>c</sup>,All occupations,S&E-related occupations<sup>c</sup>,,,,2,80000,70000,95000,67000,63000,80000,80000,75000,95000,103000,92000,120000
1266,r052,All occupations -> S&E-related occupations<sup>c</sup> -> 29 and younger,All occupations,S&E-related occupations<sup>c</sup>,29 and younger,,,3,53000,53000,55000,50000,50000,49000,56000,56000,60000,64000,62000,67000
1266,r053,All occupations -> S&E-related occupations<sup>c</sup> -> 30&#8211;39,All occupations,S&E-related occupations<sup>c</sup>,30&#8211;39,,,3,71000,70000,76000,62000,62000,60000,78000,70000,82000,96000,85000,101000
1266,r054,All occupations -> S&E-related occupations<sup>c</sup> -> 40&#8211;49,All occupations,S&E-related occupations<sup>c</sup>,40&#8211;49,,,3,90000,76000,110000,80000,67000,92000,90000,79000,100000,104000,99000,113000
1266,r055,All occupations -> S&E-related occupations<sup>c</sup> -> 50&#8211;75,All occupations,S&E-related occupations<sup>c</sup>,50&#8211;75,,,3,92000,80000,115000,81000,74000,95000,90000,82000,105000,115000,89000,142000
1266,r056,All occupations -> Non-S&E occupations,All occupations,Non-S&E occupations,,,,2,70000,58000,85000,58000,50000,70000,75000,65000,97000,102000,90000,114000
1266,r057,All occupations -> Non-S&E occupations -> 29 and younger,All occupations,Non-S&E occupations,29 and younger,,,3,43000,40000,49000,41000,37000,47000,46000,43000,54000,74000,75000,
1266,r058,All occupations -> Non-S&E occupations -> 30&#8211;39,All occupations,Non-S&E occupations,30&#8211;39,,,3,66000,60000,75000,56000,50000,65000,71000,65000,85000,85000,80000,90000
1266,r059,All occupations -> Non-S&E occupations -> 40&#8211;49,All occupations,Non-S&E occupations,40&#8211;49,,,3,81000,67000,100000,71000,56000,85000,88000,69000,120000,104000,98000,112000
1266,r060,All occupations -> Non-S&E occupations -> 50&#8211;75,All occupations,Non-S&E occupations,50&#8211;75,,,3,80000,68000,95000,70000,55000,77000,85000,70000,100000,108000,93000,124000
