table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_patenting_companies,field_patents_pending,field_patents_owned
2659,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['    1,492 ', '&nbsp;']","['    231 ', '&nbsp;']","['    700 ', '&nbsp;']","['    1,574 ', '&nbsp;']"
2659,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['    19,388 ', '&nbsp;']","['    1,730 ', '&nbsp;']","['    5,360 ', '&nbsp;']","['    21,483 ', '&nbsp;']"
2659,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['    8,264 ', '&nbsp;']","['    2,513 ', '&nbsp;']","['    20,899 ', '&nbsp;']","['    89,246 ', '&nbsp;']"
2659,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['    3,878 ', '&nbsp;']","['    1,421 ', '&nbsp;']","['    22,566 ', '&nbsp;']","['    105,979 ', '&nbsp;']"
2659,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['    339 ', '&nbsp;']","['    138 ', '&nbsp;']","['    502 ', '&nbsp;']","['    2,096 ', '&nbsp;']"
2659,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['    1,567 ', '&nbsp;']","['    313 ', '&nbsp;']","['    12,307 ', '&nbsp;']","['    59,556 ', '&nbsp;']"
2659,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['    1,592 ', '&nbsp;']","['    811 ', '&nbsp;']","['    7,626 ', '&nbsp;']","['    31,346 ', '&nbsp;']"
2659,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['    381 ', '&nbsp;']","['    158 ', '&nbsp;']","['    2,131 ', '&nbsp;']","['    12,981 ', '&nbsp;']"
2659,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['    1,937 ', '&nbsp;']","['    602 ', '&nbsp;']","['    5,064 ', '&nbsp;']","['    20,780 ', '&nbsp;']"
2659,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['    3,610 ', '&nbsp;']","['    769 ', '&nbsp;']","['    10,753 ', '&nbsp;']","['    35,542 ', '&nbsp;']"
2659,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['    2,385 ', '&nbsp;']","['    470 ', '&nbsp;']","['    7,731 ', '&nbsp;']","['    27,992 ', '&nbsp;']"
2659,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['    560 ', '&nbsp;']","['    112 ', '&nbsp;']","['    1,559 ', '&nbsp;']","['    3,604 ', '&nbsp;']"
2659,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['    664 ', '&nbsp;']","['    187 ', '&nbsp;']","['    1,463 ', '&nbsp;']","['    3,946 ', '&nbsp;']"
2659,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['    3,955 ', '&nbsp;']","['    346 ', '&nbsp;']","['    911 ', '&nbsp;']","['    7,096 ', '&nbsp;']"
2659,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['    5,071 ', '&nbsp;']","['    1,126 ', '&nbsp;']","['    5,625 ', '&nbsp;']","['    40,799 ', '&nbsp;']"
2659,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['    1,611 ', '&nbsp;']","['    445 ', '&nbsp;']","['    3,803 ', '&nbsp;']","['    28,484 ', '&nbsp;']"
2659,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['    3,460 ', '&nbsp;']","['    681 ', '&nbsp;']","['    1,822 ', '&nbsp;']","['    12,315 ', '&nbsp;']"
2659,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['    1,020,716 ', '&nbsp;']","['    20,131 ', '&nbsp;']","['    195,759 ', '&nbsp;']","['    506,515 ', '&nbsp;']"
2659,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['    3,751 ', '&nbsp;']","['    52 ', '&nbsp;']","['    31 ', 'r']","['    673 ', 'r']"
2659,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['    4,151 ', '&nbsp;']","['    221 ', '&nbsp;']","['    5,329 ', '&nbsp;']","['    10,032 ', '&nbsp;']"
2659,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['    595 ', '&nbsp;']","['    28 ', '&nbsp;']","['    43 ', '&nbsp;']","['    147 ', '&nbsp;']"
2659,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['    126,488 ', '&nbsp;']","['    919 ', '&nbsp;']","['    643 ', '&nbsp;']","['    1,754 ', '&nbsp;']"
2659,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['    68,481 ', '&nbsp;']","['    5,426 ', '&nbsp;']","['    51,585 ', '&nbsp;']","['    200,457 ', '&nbsp;']"
2659,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['    115,518 ', '&nbsp;']","['    1,552 ', '&nbsp;']","['    4,738 ', '&nbsp;']","['    25,135 ', '&nbsp;']"
2659,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['    33,837 ', '&nbsp;']","['    215 ', '&nbsp;']","['    166 ', '&nbsp;']","['    915 ', '&nbsp;']"
2659,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['    15,181 ', '&nbsp;']","['    1,984 ', '&nbsp;']","['    45,444 ', 'i']","['    111,700 ', 'i']"
2659,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['    5,861 ', '&nbsp;']","['    1,115 ', '&nbsp;']","['    34,988 ', 'i']","['    70,042 ', 'i']"
2659,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['    2,779 ', '&nbsp;']","['    70 ', '&nbsp;']","['    67 ', 'r']","['    335 ', '&nbsp;']"
2659,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['    3,081 ', '&nbsp;']","['    1,045 ', '&nbsp;']","['    34,921 ', 'i']","['    69,707 ', 'i']"
2659,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['    1,856 ', '&nbsp;']","['    104 ', '&nbsp;']","['    3,701 ', '&nbsp;']","['    22,728 ', '&nbsp;']"
2659,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['    2,924 ', '&nbsp;']","['    511 ', '&nbsp;']","['    1,963 ', '&nbsp;']","['    3,895 ', '&nbsp;']"
2659,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['    4,542 ', '&nbsp;']","['    253 ', '&nbsp;']","['    4,793 ', '&nbsp;']","['    15,034 ', '&nbsp;']"
2659,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['    23,548 ', '&nbsp;']","['    285 ', '&nbsp;']","['    5,293 ', '&nbsp;']","['    7,029 ', '&nbsp;']"
2659,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['    23,344 ', '&nbsp;']","['    220 ', '&nbsp;']","['    9,074 ', '&nbsp;']","['    20,070 ', '&nbsp;']"
2659,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['    335 ', '&nbsp;']","['    38 ', '&nbsp;']","['    8,264 ', '&nbsp;']","['    18,351 ', '&nbsp;']"
2659,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['    23,009 ', '&nbsp;']","['    182 ', '&nbsp;']","['    810 ', '&nbsp;']","['    1,718 ', '&nbsp;']"
2659,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['    100,836 ', '&nbsp;']","['    5,093 ', '&nbsp;']","['    62,018 ', '&nbsp;']","['    92,018 ', '&nbsp;']"
2659,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['    17,601 ', '&nbsp;']","['    97 ', '&nbsp;']","['    4,740 ', '&nbsp;']","['    757 ', 'r']"
2659,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['    13,172 ', '&nbsp;']","['    68 ', 'r']","['    32 ', '&nbsp;']","['    146 ', '&nbsp;']"
2659,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['    18,552 ', '&nbsp;']","['    1,144 ', '&nbsp;']","['    4,844 ', '&nbsp;']","['    11,314 ', '&nbsp;']"
2659,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['    2,142 ', '&nbsp;']","['    123 ', '&nbsp;']","['    320 ', '&nbsp;']","['    556 ', '&nbsp;']"
2659,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['    14,663 ', '&nbsp;']","['    1,372 ', '&nbsp;']","['    7,443 ', '&nbsp;']","['    18,239 ', '&nbsp;']"
2659,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['    11,849 ', '&nbsp;']","['    366 ', '&nbsp;']","['    870 ', '&nbsp;']","['    1,118 ', '&nbsp;']"
2659,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['    2,946 ', '&nbsp;']","['    1,606 ', '&nbsp;']","['    43,208 ', '&nbsp;']","['    58,929 ', '&nbsp;']"
2659,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['    4,974 ', '&nbsp;']","['    226 ', '&nbsp;']","['    330 ', 'r']","['    559 ', '&nbsp;']"
2659,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['    14,938 ', '&nbsp;']","['    93 ', '&nbsp;']","['    233 ', '&nbsp;']","['    400 ', '&nbsp;']"
2659,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['    456 ', 'i']","['    31 ', 'i']","['    145 ', 'i']","['    1,538 ', '&nbsp;']"
2659,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['    67,450 ', '&nbsp;']","['    679 ', '&nbsp;']","['    1,117 ', '&nbsp;']","['    2,077 ', '&nbsp;']"
2659,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['    14,072 ', '&nbsp;']","['    197 ', '&nbsp;']","['    2,813 ', '&nbsp;']","['    8,311 ', 'i']"
2659,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['    134,237 ', '&nbsp;']","['    796 ', '&nbsp;']","['    5,496 ', '&nbsp;']","['    15,565 ', '&nbsp;']"
2659,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['    108,275 ', '&nbsp;']","['    730 ', '&nbsp;']","['    5,462 ', '&nbsp;']","['    15,475 ', '&nbsp;']"
2659,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['    25,962 ', '&nbsp;']","['    67 ', '&nbsp;']","['    34 ', 'r']","['    90 ', '&nbsp;']"
2659,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['    20,154 ', '&nbsp;']","['    116 ', '&nbsp;']","['    112 ', '&nbsp;']","['    397 ', '&nbsp;']"
2659,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['    219,228 ', '&nbsp;']","['    1,805 ', '&nbsp;']","['    1,035 ', '&nbsp;']","['    7,077 ', '&nbsp;']"
2659,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['    49,390 ', '&nbsp;']","['    510 ', '&nbsp;']","['    676 ', '&nbsp;']","['    1,619 ', '&nbsp;']"
