table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_total,field_s_e_occupations_total,field_s_e_occupations_biological_agricultural_and_other_life_scientists,field_s_e_occupations_computer_and_mathematical_scientists,field_s_e_occupations_physical_and_related_scientists,field_s_e_occupations_social_and_related_scientists,field_s_e_occupations_engineers,field_s_e_related_occupations,field_non_s_e_occupations
6836,r025,All degrees -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,S&E fields,Engineering,Electrical and computer engineering,,4,1264000,820000,S,456000,2000,S,353000,205000,239000
6836,r026,All degrees -> S&E fields -> Engineering -> Industrial engineering,All degrees,S&E fields,Engineering,Industrial engineering,,4,214000,83000,,28000,,,54000,34000,97000
6836,r027,All degrees -> S&E fields -> Engineering -> Mechanical engineering,All degrees,S&E fields,Engineering,Mechanical engineering,,4,689000,387000,2000,42000,3000,S,338000,98000,204000
6836,r028,All degrees -> S&E fields -> Engineering -> Other engineering,All degrees,S&E fields,Engineering,Other engineering,,4,479000,243000,18000,39000,12000,,174000,67000,170000
6836,r029,All degrees -> S&E-related fields,All degrees,S&E-related fields,,,,2,6870000,382000,71000,180000,12000,27000,92000,4796000,1693000
6836,r030,All degrees -> S&E-related fields -> Health,All degrees,S&E-related fields,Health,,,3,5572000,146000,68000,52000,6000,16000,5000,4297000,1129000
6836,r031,All degrees -> S&E-related fields -> Science and mathematics teacher education,All degrees,S&E-related fields,Science and mathematics teacher education,,,3,394000,29000,3000,21000,2000,S,S,180000,185000
6836,r032,All degrees -> S&E-related fields -> Technology and technical fields,All degrees,S&E-related fields,Technology and technical fields,,,3,453000,173000,S,98000,S,,73000,93000,187000
6836,r033,All degrees -> S&E-related fields -> Other S&E-related fields,All degrees,S&E-related fields,Other S&E-related fields,,,3,452000,35000,,10000,4000,9000,12000,225000,192000
6836,r034,All degrees -> Non-S&E fields,All degrees,Non-S&E fields,,,,2,26852000,1301000,33000,874000,24000,203000,168000,1479000,24072000
6836,r035,All degrees -> Non-S&E fields -> Management and administration fields,All degrees,Non-S&E fields,Management and administration fields,,,3,9501000,573000,7000,413000,6000,29000,118000,391000,8537000
6836,r036,"All degrees -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Non-S&E fields,"Education, except science and math teacher education",,,3,5157000,98000,2000,75000,1000,15000,6000,509000,4549000
6836,r037,All degrees -> Non-S&E fields -> Social service and related fields,All degrees,Non-S&E fields,Social service and related fields,,,3,1364000,58000,S,21000,,34000,1000,73000,1232000
6836,r038,All degrees -> Non-S&E fields -> Sales and marketing fields,All degrees,Non-S&E fields,Sales and marketing fields,,,3,1324000,103000,,46000,,S,10000,22000,1199000
6836,r039,All degrees -> Non-S&E fields -> Art and humanities fields,All degrees,Non-S&E fields,Art and humanities fields,,,3,4270000,226000,1000,185000,9000,20000,11000,236000,3807000
6836,r040,All degrees -> Non-S&E fields -> Other non-S&E fields,All degrees,Non-S&E fields,Other non-S&E fields,,,3,5235000,242000,20000,134000,8000,58000,22000,247000,4747000
6836,r041,All degrees -> Bachelor's,All degrees,Bachelor's,,,,2,30131000,3846000,230000,2219000,164000,172000,1061000,4338000,21946000
6836,r042,All degrees -> Bachelor's -> S&E fields,All degrees,Bachelor's,S&E fields,,,3,10241000,2918000,205000,1530000,150000,90000,943000,1410000,5913000
6836,r043,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,1631000,321000,163000,72000,61000,5000,20000,474000,836000
6836,r044,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,224000,24000,16000,S,1000,,4000,27000,172000
6836,r045,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,1229000,265000,136000,63000,52000,2000,12000,413000,551000
6836,r046,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,178000,31000,11000,6000,7000,S,4000,33000,113000
6836,r047,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,,4,1713000,879000,2000,846000,S,4000,27000,192000,641000
6836,r048,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,1352000,807000,,785000,,,20000,121000,425000
6836,r049,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,361000,72000,,61000,S,S,7000,72000,217000
6836,r050,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences,All degrees,Bachelor's,S&E fields,Physical and related sciences,,4,466000,147000,14000,35000,75000,1000,23000,98000,221000
6836,r051,"All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Bachelor's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,206000,73000,9000,14000,41000,0.05,9000,60000,74000
6836,r052,"All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Bachelor's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,149000,39000,,7000,26000,,5000,13000,97000
6836,r053,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Bachelor's,S&E fields,Physical and related sciences,Physics and astronomy,5,85000,29000,S,12000,8000,,7000,15000,41000
6836,r054,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Bachelor's,S&E fields,Physical and related sciences,Other physical sciences,5,26000,7000,S,,S,,,10000,10000
6836,r055,All degrees -> Bachelor's -> S&E fields -> Social and related sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,,4,4044000,305000,10000,190000,5000,78000,22000,278000,3461000
6836,r056,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Economics,All degrees,Bachelor's,S&E fields,Social and related sciences,Economics,5,751000,70000,S,41000,,S,4000,33000,649000
6836,r057,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,Political and related sciences,5,780000,52000,,37000,,8000,S,43000,684000
6836,r058,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Psychology,All degrees,Bachelor's,S&E fields,Social and related sciences,Psychology,5,1372000,101000,4000,58000,0.05,34000,4000,101000,1171000
6836,r059,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Bachelor's,S&E fields,Social and related sciences,Sociology and anthropology,5,722000,50000,0.05,31000,,13000,6000,69000,603000
6836,r060,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,Other social sciences,5,419000,32000,S,24000,2000,S,3000,33000,354000
6836,r061,All degrees -> Bachelor's -> S&E fields -> Engineering,All degrees,Bachelor's,S&E fields,Engineering,,4,2387000,1265000,16000,387000,8000,2000,852000,368000,754000
6836,r062,"All degrees -> Bachelor's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Bachelor's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,84000,32000,,5000,,,27000,6000,46000
6836,r063,All degrees -> Bachelor's -> S&E fields -> Engineering -> Chemical engineering,All degrees,Bachelor's,S&E fields,Engineering,Chemical engineering,5,167000,95000,1000,11000,2000,,81000,17000,55000
6836,r064,All degrees -> Bachelor's -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Bachelor's,S&E fields,Engineering,Civil and architectural engineering,5,362000,169000,,10000,,,158000,74000,119000
6836,r065,All degrees -> Bachelor's -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Bachelor's,S&E fields,Engineering,Electrical and computer engineering,5,816000,516000,,297000,0.05,,211000,132000,168000
6836,r066,All degrees -> Bachelor's -> S&E fields -> Engineering -> Industrial engineering,All degrees,Bachelor's,S&E fields,Engineering,Industrial engineering,5,141000,51000,,15000,,,36000,21000,68000
6836,r067,All degrees -> Bachelor's -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Bachelor's,S&E fields,Engineering,Mechanical engineering,5,541000,284000,,31000,,,249000,79000,179000
6836,r068,All degrees -> Bachelor's -> S&E fields -> Engineering -> Other engineering,All degrees,Bachelor's,S&E fields,Engineering,Other engineering,5,276000,118000,S,17000,4000,,90000,38000,119000
6836,r069,All degrees -> Bachelor's -> S&E-related fields,All degrees,Bachelor's,S&E-related fields,,,3,3390000,189000,16000,98000,2000,5000,68000,2167000,1035000
6836,r070,All degrees -> Bachelor's -> S&E-related fields -> Health,All degrees,Bachelor's,S&E-related fields,Health,,4,2555000,43000,15000,24000,1000,S,2000,1870000,642000
6836,r071,All degrees -> Bachelor's -> S&E-related fields -> Science and mathematics teacher education,All degrees,Bachelor's,S&E-related fields,Science and mathematics teacher education,,4,179000,5000,,4000,0.05,,,76000,98000
6836,r072,All degrees -> Bachelor's -> S&E-related fields -> Technology and technical fields,All degrees,Bachelor's,S&E-related fields,Technology and technical fields,,4,360000,125000,,63000,0.05,,61000,74000,161000
6836,r073,All degrees -> Bachelor's -> S&E-related fields -> Other S&E-related fields,All degrees,Bachelor's,S&E-related fields,Other S&E-related fields,,4,297000,16000,,7000,,S,6000,148000,134000
6836,r074,All degrees -> Bachelor's -> Non-S&E fields,All degrees,Bachelor's,Non-S&E fields,,,3,16499000,740000,9000,591000,12000,77000,49000,761000,14998000
6836,r075,All degrees -> Bachelor's -> Non-S&E fields -> Management and administration fields,All degrees,Bachelor's,Non-S&E fields,Management and administration fields,,4,6509000,274000,1000,244000,0.05,S,23000,185000,6050000
6836,r076,"All degrees -> Bachelor's -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Bachelor's,Non-S&E fields,"Education, except science and math teacher education",,4,2223000,38000,,33000,,,3000,162000,2023000
6836,r077,All degrees -> Bachelor's -> Non-S&E fields -> Social service and related fields,All degrees,Bachelor's,Non-S&E fields,Social service and related fields,,4,531000,17000,,12000,,3000,,39000,476000
6836,r078,All degrees -> Bachelor's -> Non-S&E fields -> Sales and marketing fields,All degrees,Bachelor's,Non-S&E fields,Sales and marketing fields,,4,1063000,83000,,37000,,S,3000,11000,969000
6836,r079,All degrees -> Bachelor's -> Non-S&E fields -> Art and humanities fields,All degrees,Bachelor's,Non-S&E fields,Art and humanities fields,,4,3356000,197000,1000,165000,9000,15000,8000,192000,2967000
6836,r080,All degrees -> Bachelor's -> Non-S&E fields -> Other non-S&E fields,All degrees,Bachelor's,Non-S&E fields,Other non-S&E fields,,4,2816000,130000,5000,102000,3000,S,12000,172000,2513000
6836,r081,All degrees -> Master's,All degrees,Master's,,,,2,13260000,2069000,149000,1039000,98000,235000,548000,2262000,8929000
6836,r082,All degrees -> Master's -> S&E fields,All degrees,Master's,S&E fields,,,3,3138000,1442000,110000,701000,81000,136000,413000,467000,1230000
6836,r083,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,351000,123000,89000,14000,12000,2000,6000,106000,122000
6836,r084,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,40000,21000,19000,,1000,,S,4000,15000
6836,r085,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,254000,83000,62000,11000,7000,S,2000,93000,77000
6836,r086,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,57000,18000,8000,S,4000,S,3000,9000,30000
6836,r087,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences,All degrees,Master's,S&E fields,Computer and mathematical sciences,,4,754000,482000,1000,454000,1000,3000,22000,108000,165000
6836,r088,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Master's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,613000,411000,S,390000,0.05,2000,19000,80000,121000
6836,r089,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Master's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,141000,70000,,65000,,1000,4000,28000,44000
6836,r090,All degrees -> Master's -> S&E fields -> Physical and related sciences,All degrees,Master's,S&E fields,Physical and related sciences,,4,179000,98000,11000,16000,60000,,11000,43000,38000
6836,r091,"All degrees -> Master's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Master's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,64000,32000,7000,S,19000,,3000,15000,18000
6836,r092,"All degrees -> Master's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Master's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,63000,38000,S,4000,29000,,4000,18000,8000
6836,r093,All degrees -> Master's -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Master's,S&E fields,Physical and related sciences,Physics and astronomy,5,50000,27000,S,10000,11000,,4000,10000,13000
6836,r094,All degrees -> Master's -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Master's,S&E fields,Physical and related sciences,Other physical sciences,5,2000,1000,0.05,,,,,0.05,
6836,r095,All degrees -> Master's -> S&E fields -> Social and related sciences,All degrees,Master's,S&E fields,Social and related sciences,,4,954000,176000,3000,36000,1000,131000,5000,71000,707000
6836,r096,All degrees -> Master's -> S&E fields -> Social and related sciences -> Economics,All degrees,Master's,S&E fields,Social and related sciences,Economics,5,81000,20000,S,6000,,12000,,S,59000
6836,r097,All degrees -> Master's -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Master's,S&E fields,Social and related sciences,Political and related sciences,5,185000,37000,,13000,,21000,3000,8000,140000
6836,r098,All degrees -> Master's -> S&E fields -> Social and related sciences -> Psychology,All degrees,Master's,S&E fields,Social and related sciences,Psychology,5,474000,87000,,7000,,78000,,30000,357000
6836,r099,All degrees -> Master's -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Master's,S&E fields,Social and related sciences,Sociology and anthropology,5,74000,18000,1000,S,,15000,,8000,48000
6836,r100,All degrees -> Master's -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Master's,S&E fields,Social and related sciences,Other social sciences,5,140000,14000,,8000,S,5000,,23000,102000
6836,r101,All degrees -> Master's -> S&E fields -> Engineering,All degrees,Master's,S&E fields,Engineering,,4,899000,563000,5000,181000,7000,1000,369000,139000,197000
6836,r102,"All degrees -> Master's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Master's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,37000,22000,,2000,,,20000,2000,13000
6836,r103,All degrees -> Master's -> S&E fields -> Engineering -> Chemical engineering,All degrees,Master's,S&E fields,Engineering,Chemical engineering,5,33000,21000,S,2000,0.05,,18000,5000,7000
6836,r104,All degrees -> Master's -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Master's,S&E fields,Engineering,Civil and architectural engineering,5,121000,69000,,3000,S,,65000,19000,33000
6836,r105,All degrees -> Master's -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Master's,S&E fields,Engineering,Electrical and computer engineering,5,382000,257000,,139000,0.05,0.05,117000,64000,61000
6836,r106,All degrees -> Master's -> S&E fields -> Engineering -> Industrial engineering,All degrees,Master's,S&E fields,Engineering,Industrial engineering,5,65000,28000,,10000,,,17000,11000,25000
6836,r107,All degrees -> Master's -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Master's,S&E fields,Engineering,Mechanical engineering,5,117000,79000,,9000,S,,69000,17000,21000
6836,r108,All degrees -> Master's -> S&E fields -> Engineering -> Other engineering,All degrees,Master's,S&E fields,Engineering,Other engineering,5,145000,86000,S,15000,4000,,63000,21000,38000
6836,r109,All degrees -> Master's -> S&E-related fields,All degrees,Master's,S&E-related fields,,,3,1788000,131000,20000,65000,7000,18000,21000,1126000,530000
6836,r110,All degrees -> Master's -> S&E-related fields -> Health,All degrees,Master's,S&E-related fields,Health,,4,1349000,52000,17000,18000,3000,12000,2000,928000,370000
6836,r111,All degrees -> Master's -> S&E-related fields -> Science and mathematics teacher education,All degrees,Master's,S&E-related fields,Science and mathematics teacher education,,4,203000,19000,2000,13000,,,S,103000,81000
6836,r112,All degrees -> Master's -> S&E-related fields -> Technology and technical fields,All degrees,Master's,S&E-related fields,Technology and technical fields,,4,84000,43000,,32000,,,11000,18000,23000
6836,r113,All degrees -> Master's -> S&E-related fields -> Other S&E-related fields,All degrees,Master's,S&E-related fields,Other S&E-related fields,,4,151000,17000,,3000,,5000,6000,77000,57000
6836,r114,All degrees -> Master's -> Non-S&E fields,All degrees,Master's,Non-S&E fields,,,3,8334000,496000,19000,272000,9000,81000,114000,669000,7168000
6836,r115,All degrees -> Master's -> Non-S&E fields -> Management and administration fields,All degrees,Master's,Non-S&E fields,Management and administration fields,,4,2953000,295000,5000,168000,6000,23000,93000,204000,2454000
6836,r116,"All degrees -> Master's -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Master's,Non-S&E fields,"Education, except science and math teacher education",,4,2787000,54000,1000,40000,S,8000,3000,329000,2404000
6836,r117,All degrees -> Master's -> Non-S&E fields -> Social service and related fields,All degrees,Master's,Non-S&E fields,Social service and related fields,,4,733000,33000,S,8000,,23000,0.05,33000,666000
6836,r118,All degrees -> Master's -> Non-S&E fields -> Sales and marketing fields,All degrees,Master's,Non-S&E fields,Sales and marketing fields,,4,252000,20000,,10000,,3000,7000,11000,221000
6836,r119,All degrees -> Master's -> Non-S&E fields -> Art and humanities fields,All degrees,Master's,Non-S&E fields,Art and humanities fields,,4,765000,25000,,19000,,3000,S,43000,697000
6836,r120,All degrees -> Master's -> Non-S&E fields -> Other non-S&E fields,All degrees,Master's,Non-S&E fields,Other non-S&E fields,,4,843000,69000,11000,27000,3000,21000,7000,49000,726000
6836,r121,All degrees -> Doctorate,All degrees,Doctorate,,,,2,1796000,786000,217000,150000,101000,201000,116000,267000,743000
6836,r122,All degrees -> Doctorate -> S&E fields,All degrees,Doctorate,S&E fields,,,3,1082000,702000,192000,134000,98000,167000,111000,117000,262000
6836,r123,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",,4,308000,189000,164000,10000,9000,4000,4000,55000,63000
6836,r124,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,21000,12000,9000,,1000,,,S,4000
6836,r125,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,279000,173000,152000,8000,6000,3000,3000,50000,56000
6836,r126,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,7000,4000,2000,S,1000,,,,S
6836,r127,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,,4,100000,76000,S,72000,,S,2000,7000,16000
6836,r128,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,52000,39000,,37000,,S,,5000,8000
6836,r129,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,48000,37000,,35000,,,2000,2000,8000
6836,r130,All degrees -> Doctorate -> S&E fields -> Physical and related sciences,All degrees,Doctorate,S&E fields,Physical and related sciences,,4,168000,121000,13000,12000,81000,S,13000,18000,30000
6836,r131,"All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Doctorate,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,79000,51000,10000,3000,34000,,4000,10000,17000
6836,r132,"All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Doctorate,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,22000,16000,,,14000,,,S,4000
6836,r133,All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Doctorate,S&E fields,Physical and related sciences,Physics and astronomy,5,67000,52000,2000,8000,33000,,9000,7000,8000
6836,r134,All degrees -> Doctorate -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Doctorate,S&E fields,Physical and related sciences,Other physical sciences,5,S,S,,,,,,,
6836,r135,All degrees -> Doctorate -> S&E fields -> Social and related sciences,All degrees,Doctorate,S&E fields,Social and related sciences,,4,298000,174000,5000,8000,S,159000,,14000,110000
6836,r136,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Economics,All degrees,Doctorate,S&E fields,Social and related sciences,Economics,5,38000,25000,,3000,,22000,,,13000
6836,r137,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Doctorate,S&E fields,Social and related sciences,Political and related sciences,5,29000,17000,,0.05,,16000,,S,11000
6836,r138,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Psychology,All degrees,Doctorate,S&E fields,Social and related sciences,Psychology,5,148000,95000,3000,4000,,88000,,10000,44000
6836,r139,All degrees -> Doctorate -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Doctorate,S&E fields,Social and related sciences,Sociology and anthropology,5,42000,26000,S,,,25000,,2000,14000
