table_id,row_id,state_and_department_or_agency_full_path,state_and_department_or_agency_level_1,state_and_department_or_agency_level_2,state_and_department_or_agency_level_3,state_and_department_or_agency_hierarchy_depth,field_all_r_d_expenditures,field_intramural_performersa,field_extramural_performersb_total,field_extramural_performersb_academic_institutions,field_extramural_performersb_companies_and_individualsc,field_extramural_performersb_otherd
2468,r033,United States<sup>e</sup> -> California,United States<sup>e</sup>,California,,2,526918585,73081146,453837439,159254746,187118114,107464579
2468,r034,United States<sup>e</sup> -> California -> Air Resources Board,United States<sup>e</sup>,California,Air Resources Board,3,15271608,10753671,4517937,2703168,1449392,365377
2468,r035,United States<sup>e</sup> -> California -> Children and Families Commission,United States<sup>e</sup>,California,Children and Families Commission,3,1895000,0,1895000,850000,0,1045000
2468,r036,"United States<sup>e</sup> -> California -> Conservation, Department of",United States<sup>e</sup>,California,"Conservation, Department of",3,184000,0,184000,184000,0,0
2468,r037,"United States<sup>e</sup> -> California -> Corrections and Rehabilitation, Department of",United States<sup>e</sup>,California,"Corrections and Rehabilitation, Department of",3,2237305,0,2237305,0,2237305,0
2468,r038,United States<sup>e</sup> -> California -> Covered California,United States<sup>e</sup>,California,Covered California,3,3489452,0,3489452,0,3489452,0
2468,r039,United States<sup>e</sup> -> California -> Delta Stewardship Council,United States<sup>e</sup>,California,Delta Stewardship Council,3,6372069,0,6372069,4642792,695141,1034136
2468,r040,United States<sup>e</sup> -> California -> Earthquake Authority,United States<sup>e</sup>,California,Earthquake Authority,3,1816792,0,1816792,483176,999640,333976
2468,r041,United States<sup>e</sup> -> California -> Energy Commission,United States<sup>e</sup>,California,Energy Commission,3,165441000,17472000,147969000,16276590,125773650,5918760
2468,r042,"United States<sup>e</sup> -> California -> Environmental Health Hazard Assessment, Office of",United States<sup>e</sup>,California,"Environmental Health Hazard Assessment, Office of",3,17563188,15375492,2187696,1964802,4950,217944
2468,r043,"United States<sup>e</sup> -> California -> Food and Agriculture, Department of",United States<sup>e</sup>,California,"Food and Agriculture, Department of",3,4871361,0,4871361,3648962,0,1222399
2468,r044,"United States<sup>e</sup> -> California -> Forestry and Fire Protection, Department of",United States<sup>e</sup>,California,"Forestry and Fire Protection, Department of",3,3665406,512919,3152487,3152487,0,0
2468,r045,United States<sup>e</sup> -> California -> Horse Racing Board,United States<sup>e</sup>,California,Horse Racing Board,3,701000,0,701000,701000,0,0
2468,r046,United States<sup>e</sup> -> California -> Housing and Community Development,United States<sup>e</sup>,California,Housing and Community Development,3,50000,0,50000,50000,0,0
2468,r047,United States<sup>e</sup> -> California -> Institute for Regenerative Medicine,United States<sup>e</sup>,California,Institute for Regenerative Medicine,3,184982872,0,184982872,94180823,50196566,40605483
2468,r048,United States<sup>e</sup> -> California -> Mental Health Services Oversight and Accountability Commission,United States<sup>e</sup>,California,Mental Health Services Oversight and Accountability Commission,3,2500000,0,2500000,2500000,0,0
2468,r049,"United States<sup>e</sup> -> California -> Motor Vehicles, Department of",United States<sup>e</sup>,California,"Motor Vehicles, Department of",3,1331851,1331851,0,0,0,0
2468,r050,"United States<sup>e</sup> -> California -> Parks and Recreation, Department of",United States<sup>e</sup>,California,"Parks and Recreation, Department of",3,1500000,140000,1360000,1360000,0,0
2468,r051,"United States<sup>e</sup> -> California -> Pesticide Regulation, Department of ",United States<sup>e</sup>,California,"Pesticide Regulation, Department of ",3,12746628,8968747,3777881,1118656,0,2659225
2468,r052,"United States<sup>e</sup> -> California -> Public Health, Department of",United States<sup>e</sup>,California,"Public Health, Department of",3,3313977,1676000,1637977,1637977,0,0
2468,r053,"United States<sup>e</sup> -> California -> Public Utilities Commission, Executive Division",United States<sup>e</sup>,California,"Public Utilities Commission, Executive Division",3,37221559,0,37221559,400000,0,36821559
2468,r054,"United States<sup>e</sup> -> California -> Rehabilitation, Department of ",United States<sup>e</sup>,California,"Rehabilitation, Department of ",3,10800000,1993764,8806236,2009288,0,6796948
2468,r055,"United States<sup>e</sup> -> California -> Social Services, Department of ",United States<sup>e</sup>,California,"Social Services, Department of ",3,151151,151151,0,0,0,0
2468,r056,United States<sup>e</sup> -> California -> State Coastal Conservancy,United States<sup>e</sup>,California,State Coastal Conservancy,3,838000,0,838000,133000,18000,687000
2468,r057,United States<sup>e</sup> -> California -> State Water Resources Control Board,United States<sup>e</sup>,California,State Water Resources Control Board,3,8768254,2496841,6271413,1954552,1129104,3187757
2468,r058,"United States<sup>e</sup> -> California -> Transportation, Department of",United States<sup>e</sup>,California,"Transportation, Department of",3,34906443,11341072,23565371,15943442,1052914,6569015
2468,r059,"United States<sup>e</sup> -> California -> Water Resources, Department of",United States<sup>e</sup>,California,"Water Resources, Department of",3,4299669,867638,3432031,3360031,72000,0
2468,r060,United States<sup>e</sup> -> Colorado,United States<sup>e</sup>,Colorado,,2,36586577,11900858,24685719,11714288,12536431,435000
2468,r061,"United States<sup>e</sup> -> Colorado -> Agriculture, Department of",United States<sup>e</sup>,Colorado,"Agriculture, Department of",3,1316868,1092868,224000,208000,16000,0
2468,r062,"United States<sup>e</sup> -> Colorado -> Economic Development and International Trade, Office of",United States<sup>e</sup>,Colorado,"Economic Development and International Trade, Office of",3,15192123,0,15192123,3733536,11058587,400000
2468,r063,"United States<sup>e</sup> -> Colorado -> Higher Education Competitive, Research Authority",United States<sup>e</sup>,Colorado,"Higher Education Competitive, Research Authority",3,1700000,0,1700000,1700000,0,0
2468,r064,"United States<sup>e</sup> -> Colorado -> Higher Education, Department of ",United States<sup>e</sup>,Colorado,"Higher Education, Department of ",3,745000,45000,700000,620000,45000,35000
2468,r065,"United States<sup>e</sup> -> Colorado -> Natural Resources, Department of",United States<sup>e</sup>,Colorado,"Natural Resources, Department of",3,7567568,7562568,5000,0,5000,0
2468,r066,"United States<sup>e</sup> -> Colorado -> Public Health and Environment, Department of",United States<sup>e</sup>,Colorado,"Public Health and Environment, Department of",3,5585075,2028422,3556653,2313208,1243445,0
2468,r067,"United States<sup>e</sup> -> Colorado -> Public Safety, Department of",United States<sup>e</sup>,Colorado,"Public Safety, Department of",3,1077000,1077000,0,0,0,0
2468,r068,"United States<sup>e</sup> -> Colorado -> Transportation, Department of",United States<sup>e</sup>,Colorado,"Transportation, Department of",3,3194911,95000,3099911,2931512,168399,0
2468,r069,United States<sup>e</sup> -> Colorado -> Wine Industry Development Board,United States<sup>e</sup>,Colorado,Wine Industry Development Board,3,208032,0,208032,208032,0,0
2468,r070,United States<sup>e</sup> -> Connecticut,United States<sup>e</sup>,Connecticut,,2,57241037,24679641,32561396,12120941,18862144,1578311
2468,r071,United States<sup>e</sup> -> Connecticut -> Agricultural Experiment Station,United States<sup>e</sup>,Connecticut,Agricultural Experiment Station,3,12445226,12445226,0,0,0,0
2468,r072,"United States<sup>e</sup> -> Connecticut -> Children and Families, Department of",United States<sup>e</sup>,Connecticut,"Children and Families, Department of",3,81949,0,81949,924,0,81025
2468,r073,"United States<sup>e</sup> -> Connecticut -> Education, Department of",United States<sup>e</sup>,Connecticut,"Education, Department of",3,452289,25000,427289,427289,0,0
2468,r074,"United States<sup>e</sup> -> Connecticut -> Energy and Environmental Protection, Department of",United States<sup>e</sup>,Connecticut,"Energy and Environmental Protection, Department of",3,6623689,6002512,621177,569652,51525,0
2468,r075,United States<sup>e</sup> -> Connecticut -> Innovation Inc.,United States<sup>e</sup>,Connecticut,Innovation Inc.,3,26858089,0,26858089,8047470,18810619,0
2468,r076,"United States<sup>e</sup> -> Connecticut -> Mental Health and Addiction Services, Department of",United States<sup>e</sup>,Connecticut,"Mental Health and Addiction Services, Department of",3,5951993,5951993,0,0,0,0
2468,r077,"United States<sup>e</sup> -> Connecticut -> Public Health, Department of",United States<sup>e</sup>,Connecticut,"Public Health, Department of",3,114974,0,114974,114974,0,0
2468,r078,"United States<sup>e</sup> -> Connecticut -> Social Services, Department of",United States<sup>e</sup>,Connecticut,"Social Services, Department of",3,1429408,0,1429408,1429408,0,0
2468,r079,"United States<sup>e</sup> -> Connecticut -> Transportation, Department of",United States<sup>e</sup>,Connecticut,"Transportation, Department of",3,3283420,254910,3028510,1531224,0,1497286
2468,r080,United States<sup>e</sup> -> Delaware,United States<sup>e</sup>,Delaware,,2,3826318,2558634,1267684,741945,449251,76488
2468,r081,United States<sup>e</sup> -> Delaware -> Geological Survey,United States<sup>e</sup>,Delaware,Geological Survey,3,2441975,2391175,50800,0,0,50800
2468,r082,"United States<sup>e</sup> -> Delaware -> Natural Resources and Environmental Control, Department of",United States<sup>e</sup>,Delaware,"Natural Resources and Environmental Control, Department of",3,259327,143203,116124,90436,0,25688
2468,r083,United States<sup>e</sup> -> Delaware -> Sustainable Energy Utility,United States<sup>e</sup>,Delaware,Sustainable Energy Utility,3,24256,24256,0,0,0,0
2468,r084,"United States<sup>e</sup> -> Delaware -> Transportation, Department of",United States<sup>e</sup>,Delaware,"Transportation, Department of",3,1100760,0,1100760,651509,449251,0
2468,r085,United States<sup>e</sup> -> District of Columbia,United States<sup>e</sup>,District of Columbia,,2,4222412,1888642,2333770,881908,1251862,200000
2468,r086,"United States<sup>e</sup> -> District of Columbia -> Health, Department of",United States<sup>e</sup>,District of Columbia,"Health, Department of",3,1800000,796043,1003957,174170,829787,0
2468,r087,"United States<sup>e</sup> -> District of Columbia -> Transportation, Department of",United States<sup>e</sup>,District of Columbia,"Transportation, Department of",3,422412,92599,329813,207738,122075,0
2468,r088,United States<sup>e</sup> -> District of Columbia -> Water and Sewer Authority,United States<sup>e</sup>,District of Columbia,Water and Sewer Authority,3,2000000,1000000,1000000,500000,300000,200000
2468,r089,United States<sup>e</sup> -> Florida,United States<sup>e</sup>,Florida,,2,170508724,50604692,119904032,72945728,4605749,42352555
2468,r090,"United States<sup>e</sup> -> Florida -> Agriculture and Consumer Services, Department of",United States<sup>e</sup>,Florida,"Agriculture and Consumer Services, Department of",3,12822683,1547678,11275005,5765864,161561,5347580
2468,r091,"United States<sup>e</sup> -> Florida -> Citrus, Department of",United States<sup>e</sup>,Florida,"Citrus, Department of",3,941902,110432,831470,181470,0,650000
2468,r092,"United States<sup>e</sup> -> Florida -> Environmental Protection, Department of",United States<sup>e</sup>,Florida,"Environmental Protection, Department of",3,63430,63430,0,0,0,0
2468,r093,United States<sup>e</sup> -> Florida -> Fish and Wildlife Conservation Commission,United States<sup>e</sup>,Florida,Fish and Wildlife Conservation Commission,3,52150203,47252513,4897690,1331380,2000060,1566250
2468,r094,"United States<sup>e</sup> -> Florida -> Health, Department of",United States<sup>e</sup>,Florida,"Health, Department of",3,89163217,0,89163217,54374492,0,34788725
2468,r095,United States<sup>e</sup> -> Florida -> Space Florida,United States<sup>e</sup>,Florida,Space Florida,3,1497850,0,1497850,228000,1269850,0
2468,r096,"United States<sup>e</sup> -> Florida -> Transportation, Department of",United States<sup>e</sup>,Florida,"Transportation, Department of",3,13869439,1630639,12238800,11064522,1174278,0
2468,r097,United States<sup>e</sup> -> Georgia,United States<sup>e</sup>,Georgia,,2,18875484,3539835,15335649,10178649,2801451,2355549
2468,r098,"United States<sup>e</sup> -> Georgia -> Natural Resources, Department of",United States<sup>e</sup>,Georgia,"Natural Resources, Department of",3,1956371,896266,1060105,1002405,0,57700
2468,r099,United States<sup>e</sup> -> Georgia -> Seed Development Commission,United States<sup>e</sup>,Georgia,Seed Development Commission,3,633607,0,633607,633607,0,0
2468,r100,United States<sup>e</sup> -> Georgia -> Southern States Energy Board,United States<sup>e</sup>,Georgia,Southern States Energy Board,3,10501076,2643569,7857507,2758207,2801451,2297849
2468,r101,"United States<sup>e</sup> -> Georgia -> Transportation, Department of",United States<sup>e</sup>,Georgia,"Transportation, Department of",3,5784430,0,5784430,5784430,0,0
2468,r102,United States<sup>e</sup> -> Hawaii,United States<sup>e</sup>,Hawaii,,2,7325591,257625,7067966,1559669,5012297,496000
2468,r103,"United States<sup>e</sup> -> Hawaii -> Agriculture, Department of",United States<sup>e</sup>,Hawaii,"Agriculture, Department of",3,680702,257625,423077,333077,40000,50000
2468,r104,"United States<sup>e</sup> -> Hawaii -> Business, Economic Development, and Tourism, Department of",United States<sup>e</sup>,Hawaii,"Business, Economic Development, and Tourism, Department of",3,3947297,0,3947297,0,3947297,0
2468,r105,"United States<sup>e</sup> -> Hawaii -> Land and Natural Resources, Department of",United States<sup>e</sup>,Hawaii,"Land and Natural Resources, Department of",3,895592,0,895592,701592,25000,169000
2468,r106,United States<sup>e</sup> -> Hawaii -> Natural Energy Laboratory,United States<sup>e</sup>,Hawaii,Natural Energy Laboratory,3,1000000,0,1000000,0,1000000,0
2468,r107,"United States<sup>e</sup> -> Hawaii -> Transportation, Department of",United States<sup>e</sup>,Hawaii,"Transportation, Department of",3,802000,0,802000,525000,0,277000
2468,r108,United States<sup>e</sup> -> Idaho,United States<sup>e</sup>,Idaho,,2,17828263,6709727,11118536,7096483,181920,3840133
2468,r109,"United States<sup>e</sup> -> Idaho -> Agriculture, Department of",United States<sup>e</sup>,Idaho,"Agriculture, Department of",3,922104,2571,919533,548120,0,371413
2468,r110,United States<sup>e</sup> -> Idaho -> Alfalfa and Clover Seed Commission,United States<sup>e</sup>,Idaho,Alfalfa and Clover Seed Commission,3,15000,0,15000,15000,0,0
2468,r111,United States<sup>e</sup> -> Idaho -> Barley Commission,United States<sup>e</sup>,Idaho,Barley Commission,3,237498,0,237498,190498,0,47000
2468,r112,United States<sup>e</sup> -> Idaho -> Bean Commission,United States<sup>e</sup>,Idaho,Bean Commission,3,26400,0,26400,26400,0,0
2468,r113,United States<sup>e</sup> -> Idaho -> Beef Council,United States<sup>e</sup>,Idaho,Beef Council,3,16500,0,16500,16500,0,0
2468,r114,"United States<sup>e</sup> -> Idaho -> Commerce, Department of ",United States<sup>e</sup>,Idaho,"Commerce, Department of ",3,1016728,0,1016728,1016728,0,0
2468,r115,United States<sup>e</sup> -> Idaho -> Dairy West,United States<sup>e</sup>,Idaho,Dairy West,3,2000000,0,2000000,2000000,0,0
2468,r116,"United States<sup>e</sup> -> Idaho -> Environmental Quality, Department of",United States<sup>e</sup>,Idaho,"Environmental Quality, Department of",3,460000,0,460000,0,0,460000
2468,r117,"United States<sup>e</sup> -> Idaho -> Fish and Game, Department of",United States<sup>e</sup>,Idaho,"Fish and Game, Department of",3,7904544,6594251,1310293,523944,0,786349
2468,r118,United States<sup>e</sup> -> Idaho -> Honey Commission,United States<sup>e</sup>,Idaho,Honey Commission,3,1635,0,1635,1635,0,0
2468,r119,United States<sup>e</sup> -> Idaho -> Oilseed Commission,United States<sup>e</sup>,Idaho,Oilseed Commission,3,61565,0,61565,61565,0,0
2468,r120,United States<sup>e</sup> -> Idaho -> Pea and Lentil Commission,United States<sup>e</sup>,Idaho,Pea and Lentil Commission,3,80836,0,80836,80836,0,0
2468,r121,United States<sup>e</sup> -> Idaho -> Potato Commission,United States<sup>e</sup>,Idaho,Potato Commission,3,850000,0,850000,750000,100000,0
2468,r122,United States<sup>e</sup> -> Idaho -> Transportation Department,United States<sup>e</sup>,Idaho,Transportation Department,3,3339242,112905,3226337,1041103,81920,2103314
2468,r123,United States<sup>e</sup> -> Idaho -> Wheat Commission,United States<sup>e</sup>,Idaho,Wheat Commission,3,896211,0,896211,824154,0,72057
2468,r124,United States<sup>e</sup> -> Illinois,United States<sup>e</sup>,Illinois,,2,17548556,1171225,16377331,12313520,158084,3905727
2468,r125,"United States<sup>e</sup> -> Illinois -> Children and Family Services, Department of",United States<sup>e</sup>,Illinois,"Children and Family Services, Department of",3,3848765,0,3848765,3848765,0,0
2468,r126,"United States<sup>e</sup> -> Illinois -> Human Services, Department of",United States<sup>e</sup>,Illinois,"Human Services, Department of",3,236073,0,236073,236073,0,0
2468,r127,United States<sup>e</sup> -> Illinois -> Nutrient Research and Education,United States<sup>e</sup>,Illinois,Nutrient Research and Education,3,3989560,0,3989560,3989560,0,0
2468,r128,"United States<sup>e</sup> -> Illinois -> Public Health, Department of",United States<sup>e</sup>,Illinois,"Public Health, Department of",3,15596,0,15596,0,0,15596
2468,r129,"United States<sup>e</sup> -> Illinois -> Transportation, Department of",United States<sup>e</sup>,Illinois,"Transportation, Department of",3,9458562,1171225,8287337,4239122,158084,3890131
2468,r130,United States<sup>e</sup> -> Indiana,United States<sup>e</sup>,Indiana,,2,12357151,167703,12189448,11272729,916719,0
2468,r131,United States<sup>e</sup> -> Indiana -> Economic Development Corporation,United States<sup>e</sup>,Indiana,Economic Development Corporation,3,3936062,0,3936062,3019343,916719,0
2468,r132,"United States<sup>e</sup> -> Indiana -> Natural Resources, Department of",United States<sup>e</sup>,Indiana,"Natural Resources, Department of",3,100000,0,100000,100000,0,0
2468,r133,"United States<sup>e</sup> -> Indiana -> Transportation, Department of",United States<sup>e</sup>,Indiana,"Transportation, Department of",3,8321089,167703,8153386,8153386,0,0
2468,r134,United States<sup>e</sup> -> Iowa,United States<sup>e</sup>,Iowa,,2,9386675,3279267,6107408,5781844,308139,17425
2468,r135,"United States<sup>e</sup> -> Iowa -> Human Rights, Criminal and Juvenile Justice Planning, Division of",United States<sup>e</sup>,Iowa,"Human Rights, Criminal and Juvenile Justice Planning, Division of",3,433061,411045,22016,22016,0,0
2468,r136,"United States<sup>e</sup> -> Iowa -> Natural Resources, Department of",United States<sup>e</sup>,Iowa,"Natural Resources, Department of",3,3797923,2868222,929701,820116,92160,17425
2468,r137,"United States<sup>e</sup> -> Iowa -> Transportation, Department of",United States<sup>e</sup>,Iowa,"Transportation, Department of",3,5155691,0,5155691,4939712,215979,0
2468,r138,United States<sup>e</sup> -> Kansas,United States<sup>e</sup>,Kansas,,2,12355458,998463,11356995,9556647,42064,1758284
2468,r139,United States<sup>e</sup> -> Kansas -> Corn Commission,United States<sup>e</sup>,Kansas,Corn Commission,3,850050,0,850050,850050,0,0
2468,r140,United States<sup>e</sup> -> Kansas -> Grain Sorghum Commission,United States<sup>e</sup>,Kansas,Grain Sorghum Commission,3,444660,0,444660,444660,0,0
2468,r141,United States<sup>e</sup> -> Kansas -> Soybean Commission,United States<sup>e</sup>,Kansas,Soybean Commission,3,1463379,0,1463379,1463379,0,0
2468,r142,United States<sup>e</sup> -> Kansas -> State Board of Regents,United States<sup>e</sup>,Kansas,State Board of Regents,3,996465,3200,993265,993265,0,0
2468,r143,"United States<sup>e</sup> -> Kansas -> Transportation, Department of",United States<sup>e</sup>,Kansas,"Transportation, Department of",3,3714875,985452,2729423,1066139,0,1663284
2468,r144,United States<sup>e</sup> -> Kansas -> Water Office,United States<sup>e</sup>,Kansas,Water Office,3,465725,9811,455914,360914,0,95000
2468,r145,United States<sup>e</sup> -> Kansas -> Wheat Commission,United States<sup>e</sup>,Kansas,Wheat Commission,3,1240806,0,1240806,1198742,42064,0
2468,r146,"United States<sup>e</sup> -> Kansas -> Wildlife, Parks, and Tours",United States<sup>e</sup>,Kansas,"Wildlife, Parks, and Tours",3,3179498,0,3179498,3179498,0,0
2468,r147,United States<sup>e</sup> -> Kentucky,United States<sup>e</sup>,Kentucky,,2,26668173,2038186,24629987,20152692,4477295,0
2468,r148,"United States<sup>e</sup> -> Kentucky -> Behavioral Health, Developmental and Intellectual Disabilities",United States<sup>e</sup>,Kentucky,"Behavioral Health, Developmental and Intellectual Disabilities",3,67500,0,67500,0,67500,0
2468,r149,"United States<sup>e</sup> -> Kentucky -> Economic Development, Cabinet for",United States<sup>e</sup>,Kentucky,"Economic Development, Cabinet for",3,4040000,0,4040000,0,4040000,0
2468,r150,"United States<sup>e</sup> -> Kentucky -> Environmental Protection, Department of",United States<sup>e</sup>,Kentucky,"Environmental Protection, Department of",3,100000,10000,90000,0,90000,0
2468,r151,"United States<sup>e</sup> -> Kentucky -> Fish and Wildlife Resources, Department of ",United States<sup>e</sup>,Kentucky,"Fish and Wildlife Resources, Department of ",3,2000000,1745186,254814,56789,198025,0
2468,r152,United States<sup>e</sup> -> Kentucky -> Horse Racing Commission,United States<sup>e</sup>,Kentucky,Horse Racing Commission,3,293414,0,293414,236144,57270,0
2468,r153,"United States<sup>e</sup> -> Kentucky -> Nature Preserves, Office of ",United States<sup>e</sup>,Kentucky,"Nature Preserves, Office of ",3,401000,283000,118000,93500,24500,0
2468,r154,"United States<sup>e</sup> -> Kentucky -> Postsecondary Education, Council on",United States<sup>e</sup>,Kentucky,"Postsecondary Education, Council on",3,10559315,0,10559315,10559315,0,0
2468,r155,"United States<sup>e</sup> -> Kentucky -> Public Health, Department for ",United States<sup>e</sup>,Kentucky,"Public Health, Department for ",3,1586642,0,1586642,1586642,0,0
2468,r156,United States<sup>e</sup> -> Kentucky -> Soybean Promotion Board,United States<sup>e</sup>,Kentucky,Soybean Promotion Board,3,600000,0,600000,600000,0,0
2468,r157,United States<sup>e</sup> -> Kentucky -> Transportation Cabinet,United States<sup>e</sup>,Kentucky,Transportation Cabinet,3,7020302,0,7020302,7020302,0,0
2468,r158,United States<sup>e</sup> -> Louisiana,United States<sup>e</sup>,Louisiana,,2,35142225,10974134,24168091,21247322,2705708,215061
2468,r159,"United States<sup>e</sup> -> Louisiana -> Agriculture and Forestry, Department of",United States<sup>e</sup>,Louisiana,"Agriculture and Forestry, Department of",3,26840,0,26840,26840,0,0
2468,r160,United States<sup>e</sup> -> Louisiana -> Board of Regents,United States<sup>e</sup>,Louisiana,Board of Regents,3,15162504,0,15162504,15162504,0,0
2468,r161,United States<sup>e</sup> -> Louisiana -> Coastal Protection and Restoration Authority,United States<sup>e</sup>,Louisiana,Coastal Protection and Restoration Authority,3,3368965,466210,2902755,555486,2205708,141561
2468,r162,"United States<sup>e</sup> -> Louisiana -> Education, Department of",United States<sup>e</sup>,Louisiana,"Education, Department of",3,428589,355089,73500,0,0,73500
2468,r163,"United States<sup>e</sup> -> Louisiana -> Transportation and Development, Department of ",United States<sup>e</sup>,Louisiana,"Transportation and Development, Department of ",3,10000000,4500000,5500000,5000000,500000,0
2468,r164,"United States<sup>e</sup> -> Louisiana -> Wildlife and Fisheries, Department of",United States<sup>e</sup>,Louisiana,"Wildlife and Fisheries, Department of",3,6155327,5652835,502492,502492,0,0
