table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
8802,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['21,291', 'i ']","['10', '  ']","['92', '  ']","['109', '  ']",174,,"['271', '  ']","['293', '  ']","['400', '  ']","['699', '  ']","['2,666', '  ']","['16,578', 'i ']"
8802,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['1,623', '  ']","['1 - 26', '  ']","['6', '  ']","['10', '  ']",63,,"['66', '  ']","['357', 'i ']","['1,076', '  ']","['20 - 44', '  ']","['0', '  ']","['0', '  ']"
8802,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['11', '  ']","['0 - 7', '  ']","['0 - 4', '  ']","['3', '  ']",1,,"['2', '  ']","['0 - 7', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']"
8802,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['2,750', '  ']","['0 - 24', '  ']","['7 - 21', '  ']","['80 - 109', '  ']",50,,"['56', '  ']","['159 - 169', '  ']","['416', '  ']","['264 - 289', '  ']","['0 - 661', 'i ']","['1,000 - 1,714', '  ']"
8802,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['496', '  ']","['0', '  ']","['9', '  ']","['37', '  ']",132,,"['14', '  ']","['20', '  ']","['118', '  ']","['155', '  ']","['11', '  ']","['0', '  ']"
8802,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['18,791 - 18,809', '  ']","['153', '  ']","['287 - 421', '  ']","['550', '  ']",1077,,"['404 - 610', '  ']","['700', '  ']","['3,653', '  ']","['2,382', '  ']","['4,290 - 4,618', '  ']","['4,694 - 5,314', '  ']"
8802,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['16,116', '  ']","['134', '  ']","['287', '  ']","['393', '  ']",790,,"['405', '  ']","['504', '  ']","['2,394', '  ']","['2,224', '  ']","['4,291', '  ']","['4,695', '  ']"
8802,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['2,674 - 2,692', '  ']","['19', '  ']","['0 - 134', '  ']","['156', '  ']",287,,"['0 - 205', '  ']","['197', '  ']","['1,259', '  ']","['158', 'i ']","['0 - 327', '  ']","['0 - 619', '  ']"
8802,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['229,174', '  ']","['3,351', '  ']","['6,726', '  ']","['5,984', '  ']",12223,,"['10,723', '  ']","['8,301', '  ']","['40,254', '  ']","['14,975', '  ']","['22,118', '  ']","['104,520', '  ']"
8802,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['1,165', '  ']","['6', '  ']","['43', '  ']","['93', 'i ']",48,,"['56', 'i ']","['84', 'i ']","['271', 'i ']","['0 - 568', '  ']","['0 - 568', '  ']","['0', '  ']"
