table_id,row_id,time_period,total_level_1,total_level_2,total_level_3,total_hierarchy_depth,value
2783,r045,2004,Total,Basic research,Percent,3,39.0
2783,r046,2004,Total,Applied research,Amount,3,na
2783,r047,2004,Total,Applied research,Percent,3,na
2783,r048,2004,Total,Experimental development,Amount,3,na
2783,r049,2004,Total,Experimental development,Percent,3,na
2783,r050,2004,Federally financed,All R&D expenditures,,2,12322
2783,r051,2004,Federally financed,Basic research,Amount,3,4790
2783,r052,2004,Federally financed,Basic research,Percent,3,38.9
2783,r053,2004,Federally financed,Applied research,Amount,3,na
2783,r054,2004,Federally financed,Applied research,Percent,3,na
2783,r055,2004,Federally financed,Experimental development,Amount,3,na
2783,r056,2004,Federally financed,Experimental development,Percent,3,na
2783,r057,2005,Total,All R&D expenditures,,2,13255
2783,r058,2005,Total,Basic research,Amount,3,5110
2783,r059,2005,Total,Basic research,Percent,3,38.5
2783,r060,2005,Total,Applied research,Amount,3,na
2783,r061,2005,Total,Applied research,Percent,3,na
2783,r062,2005,Total,Experimental development,Amount,3,na
2783,r063,2005,Total,Experimental development,Percent,3,na
2783,r064,2005,Federally financed,All R&D expenditures,,2,12917
2783,r065,2005,Federally financed,Basic research,Amount,3,4977
2783,r066,2005,Federally financed,Basic research,Percent,3,38.5
2783,r067,2005,Federally financed,Applied research,Amount,3,na
2783,r068,2005,Federally financed,Applied research,Percent,3,na
2783,r069,2005,Federally financed,Experimental development,Amount,3,na
2783,r070,2005,Federally financed,Experimental development,Percent,3,na
2783,r071,2006,Total,All R&D expenditures,,2,13218
2783,r072,2006,Total,Basic research,Amount,3,5197
2783,r073,2006,Total,Basic research,Percent,3,39.3
2783,r074,2006,Total,Applied research,Amount,3,na
2783,r075,2006,Total,Applied research,Percent,3,na
2783,r076,2006,Total,Experimental development,Amount,3,na
2783,r077,2006,Total,Experimental development,Percent,3,na
2783,r078,2006,Federally financed,All R&D expenditures,,2,12825
2783,r079,2006,Federally financed,Basic research,Amount,3,5048
2783,r080,2006,Federally financed,Basic research,Percent,3,39.4
2783,r081,2006,Federally financed,Applied research,Amount,3,na
2783,r082,2006,Federally financed,Applied research,Percent,3,na
2783,r083,2006,Federally financed,Experimental development,Amount,3,na
2783,r084,2006,Federally financed,Experimental development,Percent,3,na
2783,r085,2007<sup>a</sup>,Total,All R&D expenditures,,2,13825
2783,r086,2007<sup>a</sup>,Total,Basic research,Amount,3,5296
2783,r087,2007<sup>a</sup>,Total,Basic research,Percent,3,38.3
2783,r088,2007<sup>a</sup>,Total,Applied research,Amount,3,3479
2783,r089,2007<sup>a</sup>,Total,Applied research,Percent,3,25.2
2783,r090,2007<sup>a</sup>,Total,Experimental development,Amount,3,4411
2783,r091,2007<sup>a</sup>,Total,Experimental development,Percent,3,31.9
2783,r092,2007<sup>a</sup>,Federally financed,All R&D expenditures,,2,13401
2783,r093,2007<sup>a</sup>,Federally financed,Basic research,Amount,3,5151
2783,r094,2007<sup>a</sup>,Federally financed,Basic research,Percent,3,38.4
2783,r095,2007<sup>a</sup>,Federally financed,Applied research,Amount,3,3314
2783,r096,2007<sup>a</sup>,Federally financed,Applied research,Percent,3,24.7
2783,r097,2007<sup>a</sup>,Federally financed,Experimental development,Amount,3,4319
2783,r098,2007<sup>a</sup>,Federally financed,Experimental development,Percent,3,32.2
2783,r099,2008,Total,All R&D expenditures,,2,15616
2783,r100,2008,Total,Basic research,Amount,3,5379
2783,r101,2008,Total,Basic research,Percent,3,34.4
2783,r102,2008,Total,Applied research,Amount,3,3992
2783,r103,2008,Total,Applied research,Percent,3,25.6
2783,r104,2008,Total,Experimental development,Amount,3,6245
2783,r105,2008,Total,Experimental development,Percent,3,40.0
2783,r106,2008,Federally financed,All R&D expenditures,,2,15177
2783,r107,2008,Federally financed,Basic research,Amount,3,5210
2783,r108,2008,Federally financed,Basic research,Percent,3,34.3
2783,r109,2008,Federally financed,Applied research,Amount,3,3825
2783,r110,2008,Federally financed,Applied research,Percent,3,25.2
2783,r111,2008,Federally financed,Experimental development,Amount,3,6143
2783,r112,2008,Federally financed,Experimental development,Percent,3,40.5
2783,r113,2009,Total,All R&D expenditures,,2,16390
2783,r114,2009,Total,Basic research,Amount,3,5871
2783,r115,2009,Total,Basic research,Percent,3,35.8
2783,r116,2009,Total,Applied research,Amount,3,4545
2783,r117,2009,Total,Applied research,Percent,3,27.7
2783,r118,2009,Total,Experimental development,Amount,3,5974
2783,r119,2009,Total,Experimental development,Percent,3,36.4
2783,r120,2009,Federally financed,All R&D expenditures,,2,15943
2783,r121,2009,Federally financed,Basic research,Amount,3,5714
2783,r122,2009,Federally financed,Basic research,Percent,3,35.8
2783,r123,2009,Federally financed,Applied research,Amount,3,4346
2783,r124,2009,Federally financed,Applied research,Percent,3,27.3
2783,r125,2009,Federally financed,Experimental development,Amount,3,5884
2783,r126,2009,Federally financed,Experimental development,Percent,3,36.9
2783,r127,2010,Total,All R&D expenditures,,2,18881
2783,r128,2010,Total,Basic research,Amount,3,6655
2783,r129,2010,Total,Basic research,Percent,3,35.2
2783,r130,2010,Total,Applied research,Amount,3,5191
2783,r131,2010,Total,Applied research,Percent,3,27.5
2783,r132,2010,Total,Experimental development,Amount,3,7034
2783,r133,2010,Total,Experimental development,Percent,3,37.3
2783,r134,2010,Federally financed,All R&D expenditures,,2,18454
2783,r135,2010,Federally financed,Basic research,Amount,3,6487
2783,r136,2010,Federally financed,Basic research,Percent,3,35.2
2783,r137,2010,Federally financed,Applied research,Amount,3,5031
2783,r138,2010,Federally financed,Applied research,Percent,3,27.3
2783,r139,2010,Federally financed,Experimental development,Amount,3,6935
2783,r140,2010,Federally financed,Experimental development,Percent,3,37.6
2783,r141,2011,Total,All R&D expenditures,,2,18671
2783,r142,2011,Total,Basic research,Amount,3,6582
2783,r143,2011,Total,Basic research,Percent,3,35.3
2783,r144,2011,Total,Applied research,Amount,3,5175
2783,r145,2011,Total,Applied research,Percent,3,27.7
2783,r146,2011,Total,Experimental development,Amount,3,6914
2783,r147,2011,Total,Experimental development,Percent,3,37.0
2783,r148,2011,Federally financed,All R&D expenditures,,2,18276
2783,r149,2011,Federally financed,Basic research,Amount,3,6439
2783,r150,2011,Federally financed,Basic research,Percent,3,35.2
2783,r151,2011,Federally financed,Applied research,Amount,3,5006
2783,r152,2011,Federally financed,Applied research,Percent,3,27.4
2783,r153,2011,Federally financed,Experimental development,Amount,3,6830
2783,r154,2011,Federally financed,Experimental development,Percent,3,37.4
2783,r155,2012,Total,All R&D expenditures,,2,18281
2783,r156,2012,Total,Basic research,Amount,3,6153
2783,r157,2012,Total,Basic research,Percent,3,33.7
2783,r158,2012,Total,Applied research,Amount,3,5382
2783,r159,2012,Total,Applied research,Percent,3,29.4
2783,r160,2012,Total,Experimental development,Amount,3,6746
2783,r161,2012,Total,Experimental development,Percent,3,36.9
2783,r162,2012,Federally financed,All R&D expenditures,,2,17875
2783,r163,2012,Federally financed,Basic research,Amount,3,6013
2783,r164,2012,Federally financed,Basic research,Percent,3,33.6
2783,r165,2012,Federally financed,Applied research,Amount,3,5209
2783,r166,2012,Federally financed,Applied research,Percent,3,29.1
2783,r167,2012,Federally financed,Experimental development,Amount,3,6653
2783,r168,2012,Federally financed,Experimental development,Percent,3,37.2
2783,r169,2013,Total,All R&D expenditures,,2,17667
2783,r170,2013,Total,Basic research,Amount,3,4186
2783,r171,2013,Total,Basic research,Percent,3,23.7
2783,r172,2013,Total,Applied research,Amount,3,6818
2783,r173,2013,Total,Applied research,Percent,3,38.6
2783,r174,2013,Total,Experimental development,Amount,3,6663
2783,r175,2013,Total,Experimental development,Percent,3,37.7
2783,r176,2013,Federally financed,All R&D expenditures,,2,17285
2783,r177,2013,Federally financed,Basic research,Amount,3,4081
2783,r178,2013,Federally financed,Basic research,Percent,3,23.6
2783,r179,2013,Federally financed,Applied research,Amount,3,6636
2783,r180,2013,Federally financed,Applied research,Percent,3,38.4
2783,r181,2013,Federally financed,Experimental development,Amount,3,6568
2783,r182,2013,Federally financed,Experimental development,Percent,3,38.0
2783,r183,2014,Total,All R&D expenditures,,2,17719
2783,r184,2014,Total,Basic research,Amount,3,4195
2783,r185,2014,Total,Basic research,Percent,3,23.7
2783,r186,2014,Total,Applied research,Amount,3,6839
2783,r187,2014,Total,Applied research,Percent,3,38.6
2783,r188,2014,Total,Experimental development,Amount,3,6684
2783,r189,2014,Total,Experimental development,Percent,3,37.7
2783,r190,2014,Federally financed,All R&D expenditures,,2,17331
2783,r191,2014,Federally financed,Basic research,Amount,3,4098
2783,r192,2014,Federally financed,Basic research,Percent,3,23.6
2783,r193,2014,Federally financed,Applied research,Amount,3,6648
2783,r194,2014,Federally financed,Applied research,Percent,3,38.4
2783,r195,2014,Federally financed,Experimental development,Amount,3,6585
2783,r196,2014,Federally financed,Experimental development,Percent,3,38.0
2783,r197,2015,Total,All R&D expenditures,,2,18458
2783,r198,2015,Total,Basic research,Amount,3,4094
2783,r199,2015,Total,Basic research,Percent,3,22.2
2783,r200,2015,Total,Applied research,Amount,3,7292
2783,r201,2015,Total,Applied research,Percent,3,39.5
2783,r202,2015,Total,Experimental development,Amount,3,7072
2783,r203,2015,Total,Experimental development,Percent,3,38.3
2783,r204,2015,Federally financed,All R&D expenditures,,2,18097
2783,r205,2015,Federally financed,Basic research,Amount,3,4012
2783,r206,2015,Federally financed,Basic research,Percent,3,22.2
2783,r207,2015,Federally financed,Applied research,Amount,3,7118
2783,r208,2015,Federally financed,Applied research,Percent,3,39.3
2783,r209,2015,Federally financed,Experimental development,Amount,3,6968
2783,r210,2015,Federally financed,Experimental development,Percent,3,38.5
2783,r211,2016,Total,All R&D expenditures,,2,19220
2783,r212,2016,Total,Basic research,Amount,3,4224
2783,r213,2016,Total,Basic research,Percent,3,22.0
2783,r214,2016,Total,Applied research,Amount,3,7527
2783,r215,2016,Total,Applied research,Percent,3,39.2
2783,r216,2016,Total,Experimental development,Amount,3,7468
2783,r217,2016,Total,Experimental development,Percent,3,38.9
2783,r218,2016,Federally financed,All R&D expenditures,,2,18856
2783,r219,2016,Federally financed,Basic research,Amount,3,4136
2783,r220,2016,Federally financed,Basic research,Percent,3,21.9
2783,r221,2016,Federally financed,Applied research,Amount,3,7373
2783,r222,2016,Federally financed,Applied research,Percent,3,39.1
2783,r223,2016,Federally financed,Experimental development,Amount,3,7347
2783,r224,2016,Federally financed,Experimental development,Percent,3,39.0
2783,r225,2017,Total,All R&D expenditures,,2,20038
2783,r226,2017,Total,Basic research,Amount,3,4111
2783,r227,2017,Total,Basic research,Percent,3,20.5
2783,r228,2017,Total,Applied research,Amount,3,7931
2783,r229,2017,Total,Applied research,Percent,3,39.6
2783,r230,2017,Total,Experimental development,Amount,3,7996
2783,r231,2017,Total,Experimental development,Percent,3,39.9
2783,r232,2017,Federally financed,All R&D expenditures,,2,19668
2783,r233,2017,Federally financed,Basic research,Amount,3,4039
2783,r234,2017,Federally financed,Basic research,Percent,3,20.5
2783,r235,2017,Federally financed,Applied research,Amount,3,7756
2783,r236,2017,Federally financed,Applied research,Percent,3,39.4
2783,r237,2017,Federally financed,Experimental development,Amount,3,7873
2783,r238,2017,Federally financed,Experimental development,Percent,3,40.0
2783,r239,2018,Total,All R&D expenditures,,2,21172
2783,r240,2018,Total,Basic research,Amount,3,4180
2783,r241,2018,Total,Basic research,Percent,3,19.7
2783,r242,2018,Total,Applied research,Amount,3,8391
2783,r243,2018,Total,Applied research,Percent,3,39.6
2783,r244,2018,Total,Experimental development,Amount,3,8600
2783,r245,2018,Total,Experimental development,Percent,3,40.6
2783,r246,2018,Federally financed,All R&D expenditures,,2,20770
2783,r247,2018,Federally financed,Basic research,Amount,3,4099
2783,r248,2018,Federally financed,Basic research,Percent,3,19.7
2783,r249,2018,Federally financed,Applied research,Amount,3,8205
2783,r250,2018,Federally financed,Applied research,Percent,3,39.5
2783,r251,2018,Federally financed,Experimental development,Amount,3,8466
2783,r252,2018,Federally financed,Experimental development,Percent,3,40.8
2783,r253,2019,Total,All R&D expenditures,,2,22738
2783,r254,2019,Total,Basic research,Amount,3,4536
2783,r255,2019,Total,Basic research,Percent,3,19.9
2783,r256,2019,Total,Applied research,Amount,3,9200
2783,r257,2019,Total,Applied research,Percent,3,40.5
2783,r258,2019,Total,Experimental development,Amount,3,9002
2783,r259,2019,Total,Experimental development,Percent,3,39.6
2783,r260,2019,Federally financed,All R&D expenditures,,2,22339
2783,r261,2019,Federally financed,Basic research,Amount,3,4455
2783,r262,2019,Federally financed,Basic research,Percent,3,19.9
2783,r263,2019,Federally financed,Applied research,Amount,3,9014
2783,r264,2019,Federally financed,Applied research,Percent,3,40.4
2783,r265,2019,Federally financed,Experimental development,Amount,3,8869
2783,r266,2019,Federally financed,Experimental development,Percent,3,39.7
