table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2018_actual,field_2019_preliminarya,field_2020_proposedb,field_2018_19_change_,field_2019_20_change_
1696,r012,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Science -> Planetary science,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,Science,Planetary science,,4,2042,2206,2337,8.0,6.0
1696,r013,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> LEO (low earth orbit) and spaceflight operations,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,LEO (low earth orbit) and spaceflight operations,,,3,2153,1586,1611,-26.3,1.6
1696,r014,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> LEO (low earth orbit) and spaceflight operations -> International Space Station,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,LEO (low earth orbit) and spaceflight operations,International Space Station,,4,1413,1480,1448,4.7,-2.2
1696,r015,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> LEO (low earth orbit) and spaceflight operations -> Space flight and support,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,LEO (low earth orbit) and spaceflight operations,Space flight and support,,4,11,5,na,-48.7,--
1696,r016,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> LEO (low earth orbit) and spaceflight operations -> Space transportation,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,LEO (low earth orbit) and spaceflight operations,Space transportation,,4,730,101,13,-86.2,-86.9
1696,r017,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> LEO (low earth orbit) and spaceflight operations -> Commercial LEO development,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,LEO (low earth orbit) and spaceflight operations,Commercial LEO development,,4,na,na,150,--,--
1696,r018,R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Exploration Technology<sup>e</sup>,R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,Exploration Technology<sup>e</sup>,,,3,669,721,909,7.8,26.0
1696,r019,"R&D and R&D plant -> National Aeronautics and Space Administration<sup>c</sup>  -> Construction, environmental compliance, and restoration",R&D and R&D plant,National Aeronautics and Space Administration<sup>c</sup> ,"Construction, environmental compliance, and restoration",,,3,97,117,87,20.4,-25.6
1696,r020,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,10455,10011,10599,-4.2,5.9
1696,r021,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup> ,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,,,3,,,,,
1696,r022,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Safety, security, and mission services",R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,"Safety, security, and mission services",,4,273,272,242,-0.4,-11.0
1696,r023,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Deep Space Exploration Systems,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,Deep Space Exploration Systems,,4,1870,1288,1883,-31.1,46.3
1696,r024,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Deep Space Exploration Systems -> Exploration R&D,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,Deep Space Exploration Systems,Exploration R&D,5,370,766,723,107.0,-5.6
1696,r025,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Deep Space Exploration Systems -> Exploration systems development,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,Deep Space Exploration Systems,Exploration systems development,5,1500,522,1160,-65.2,122.3
1696,r026,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Science,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,Science,,4,5490,6145,5954,11.9,-3.1
1696,r027,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Science -> Astrophysics<sup>d</sup>,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,Science,Astrophysics<sup>d</sup>,5,641,964,1152,50.5,19.4
1696,r028,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Science -> Earth science,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,Science,Earth science,5,1711,1919,1761,12.1,-8.3
1696,r029,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Science -> Heliophysics,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,Science,Heliophysics,5,586,681,705,16.2,3.5
1696,r030,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Science -> James Webb Space Telescope<sup>d</sup>,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,Science,James Webb Space Telescope<sup>d</sup>,5,510,375,na,-26.5,--
1696,r031,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Science -> Planetary science,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,Science,Planetary science,5,2042,2206,2337,8.0,6.0
1696,r032,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> LEO (low earth orbit) and spaceflight operations,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,LEO (low earth orbit) and spaceflight operations,,4,2153,1586,1611,-26.3,1.6
1696,r033,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> LEO (low earth orbit) and spaceflight operations -> International Space Station,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,LEO (low earth orbit) and spaceflight operations,International Space Station,5,1413,1480,1448,4.7,-2.2
1696,r034,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> LEO (low earth orbit) and spaceflight operations -> Space flight and support,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,LEO (low earth orbit) and spaceflight operations,Space flight and support,5,11,5,na,-48.7,--
1696,r035,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> LEO (low earth orbit) and spaceflight operations -> Space transportation,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,LEO (low earth orbit) and spaceflight operations,Space transportation,5,730,101,13,-86.2,-86.9
1696,r036,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> LEO (low earth orbit) and spaceflight operations -> Commercial LEO development,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,LEO (low earth orbit) and spaceflight operations,Commercial LEO development,5,na,na,150,--,--
1696,r037,R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Exploration Technology<sup>e</sup>,R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,Exploration Technology<sup>e</sup>,,4,669,721,909,7.8,26.0
1696,r038,"R&D and R&D plant -> R&D -> National Aeronautics and Space Administration<sup>c</sup>  -> Construction, environmental compliance, and restoration",R&D and R&D plant,R&D,National Aeronautics and Space Administration<sup>c</sup> ,"Construction, environmental compliance, and restoration",,4,0,0,0,--,--
