table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_sponsor,field_location,field_total_all_r_d_expenditures,field_total_basic_research,field_total_applied_research,field_total_experimental_development,field_federally_financed_all_r_d_expenditures,field_federally_financed_basic_research,field_federally_financed_applied_research,field_federally_financed_experimental_development
11318,r011,All FFRDCs -> University-administered FFRDCs -> National Radio Astronomy Observatory,All FFRDCs,University-administered FFRDCs,National Radio Astronomy Observatory,3,NSF,"Charlottesville, VA","['102,863', '']","['94,292', '']","['327', '']","['8,244', '']","['102,104', '']","['94,281', '']","['189', '']","['7,634', '']"
11318,r012,All FFRDCs -> University-administered FFRDCs -> National Solar Observatory,All FFRDCs,University-administered FFRDCs,National Solar Observatory,3,NSF,"Boulder, CO","['39,856', '']","['39,856', '']","['0', '']","['0', '']","['39,719', '']","['39,719', '']","['0', '']","['0', '']"
11318,r013,All FFRDCs -> University-administered FFRDCs -> NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),All FFRDCs,University-administered FFRDCs,NSF's National Optical-Infrared Astronomy Research Laboratory (NSF's NOIRLab),3,NSF,"Tucson, AZ","['94,257', '']","['94,257', '']","['0', '']","['0', '']","['92,841', '']","['92,841', '']","['0', '']","['0', '']"
11318,r014,All FFRDCs -> University-administered FFRDCs -> Princeton Plasma Physics Laboratory,All FFRDCs,University-administered FFRDCs,Princeton Plasma Physics Laboratory,3,DOE,"Princeton, NJ","['131,042', '']","['129,600', '']","['1,442', '']","['0', '']","['127,260', '']","['125,995', '']","['1,265', '']","['0', '']"
11318,r015,All FFRDCs -> University-administered FFRDCs -> SLAC National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,SLAC National Accelerator Laboratory,3,DOE,"Menlo Park, CA","['483,193', '']","['461,794', '']","['21,399', '']","['0', '']","['469,601', '']","['452,710', '']","['16,891', '']","['0', '']"
11318,r016,All FFRDCs -> University-administered FFRDCs -> Software Engineering Institute,All FFRDCs,University-administered FFRDCs,Software Engineering Institute,3,"DOD, OSD","Pittsburgh, PA","['130,141', '']","['10,009', '']","['10,635', '']","['109,497', '']","['130,141', '']","['10,009', '']","['10,635', '']","['109,497', '']"
11318,r017,All FFRDCs -> University-administered FFRDCs -> Thomas Jefferson National Accelerator Facility,All FFRDCs,University-administered FFRDCs,Thomas Jefferson National Accelerator Facility,3,DOE,"Newport News, VA","['171,687', '']","['171,687', '']","['0', '']","['0', '']","['168,989', '']","['168,989', '']","['0', '']","['0', '']"
11318,r018,All FFRDCs -> Nonprofit-administered FFRDCs,All FFRDCs,Nonprofit-administered FFRDCs,,2,-,-,"['10,052,536', ' ']","['1,993,511', ' ']","['3,161,886', ' ']","['4,897,139', ' ']","['9,879,651', ' ']","['1,986,686', ' ']","['3,074,286', ' ']","['4,818,679', ' ']"
11318,r019,All FFRDCs -> Nonprofit-administered FFRDCs -> Aerospace Federally Funded Research and Development Center,All FFRDCs,Nonprofit-administered FFRDCs,Aerospace Federally Funded Research and Development Center,3,"DOD, Air Force","El Segundo, CA","['1,259,428', '']","['27,386', '']","['132,141', '']","['1,099,901', '']","['1,251,725', '']","['27,001', '']","['124,823', '']","['1,099,901', '']"
11318,r020,All FFRDCs -> Nonprofit-administered FFRDCs -> Arroyo Center,All FFRDCs,Nonprofit-administered FFRDCs,Arroyo Center,3,"DOD, Army","Santa Monica, CA","['42,433', '']","['0', '']","['42,433', '']","['0', '']","['42,433', '']","['0', '']","['42,433', '']","['0', '']"
11318,r021,All FFRDCs -> Nonprofit-administered FFRDCs -> Brookhaven National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Brookhaven National Laboratory,3,DOE,"Upton, NY","['691,417', '']","['487,333', '']","['103,653', '']","['100,431', '']","['678,623', '']","['486,188', '']","['99,189', '']","['93,246', '']"
11318,r022,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Advanced Aviation System Development,All FFRDCs,Nonprofit-administered FFRDCs,Center for Advanced Aviation System Development,3,"DOT, FAA","McLean, VA","['186,163', '']","['0', '']","['7,832', '']","['178,331', '']","['166,246', '']","['0', '']","['7,357', '']","['158,889', '']"
11318,r023,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Communications and Computing,All FFRDCs,Nonprofit-administered FFRDCs,Center for Communications and Computing,3,"DOD, NSA/CSS","Alexandria, VA","['77,391', '']","['19,348', '']","['38,695', '']","['19,348', '']","['77,391', '']","['19,348', '']","['38,695', '']","['19,348', '']"
11318,r024,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Enterprise Modernization,All FFRDCs,Nonprofit-administered FFRDCs,Center for Enterprise Modernization,3,"Treasury/IRS, VA, SSA, DOC","McLean, VA","['258,155', '']","['0', '']","['13,602', '']","['244,553', '']","['258,155', '']","['0', '']","['13,602', '']","['244,553', '']"
11318,r025,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Naval Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Naval Analyses,3,"DOD, Navy","Arlington, VA","['96,103', '']","['0', '']","['96,103', '']","['0', '']","['96,103', '']","['0', '']","['96,103', '']","['0', '']"
11318,r026,All FFRDCs -> Nonprofit-administered FFRDCs -> Center for Nuclear Waste Regulatory Analyses,All FFRDCs,Nonprofit-administered FFRDCs,Center for Nuclear Waste Regulatory Analyses,3,NRC,"San Antonio, TX","['4,405', '']","['0', '']","['4,405', '']","['0', '']","['3,467', '']","['0', '']","['3,467', '']","['0', '']"
11318,r027,All FFRDCs -> Nonprofit-administered FFRDCs -> CMS Alliance to Modernize Healthcare,All FFRDCs,Nonprofit-administered FFRDCs,CMS Alliance to Modernize Healthcare,3,"HHS, CMS","Baltimore, MD","['281,709', '']","['0', '']","['6,275', '']","['275,434', '']","['281,709', '']","['0', '']","['6,275', '']","['275,434', '']"
11318,r028,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Operational Analysis Center,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Operational Analysis Center,3,"DHS, S&T","Arlington, VA","['66,264', '']","['0', '']","['66,264', '']","['0', '']","['66,264', '']","['0', '']","['66,264', '']","['0', '']"
11318,r029,All FFRDCs -> Nonprofit-administered FFRDCs -> Homeland Security Systems Engineering and Development Institute,All FFRDCs,Nonprofit-administered FFRDCs,Homeland Security Systems Engineering and Development Institute,3,"DHS, S&T","McLean, VA","['217,908', '']","['0', '']","['4,849', '']","['213,059', '']","['216,456', '']","['0', '']","['4,817', '']","['211,639', '']"
11318,r030,All FFRDCs -> Nonprofit-administered FFRDCs -> Idaho National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Idaho National Laboratory,3,DOE,"Idaho Falls, ID","['653,100', '']","['39,187', '']","['346,142', '']","['267,771', '']","['642,971', '']","['38,579', '']","['340,774', '']","['263,618', '']"
11318,r031,All FFRDCs -> Nonprofit-administered FFRDCs -> National Biodefense Analysis and Countermeasures Center,All FFRDCs,Nonprofit-administered FFRDCs,National Biodefense Analysis and Countermeasures Center,3,"DHS, S&T","Frederick, MD","['41,321', '']","['0', '']","['41,321', '']","['0', '']","['41,321', '']","['0', '']","['41,321', '']","['0', '']"
11318,r032,All FFRDCs -> Nonprofit-administered FFRDCs -> National Cybersecurity Center of Excellence,All FFRDCs,Nonprofit-administered FFRDCs,National Cybersecurity Center of Excellence,3,"DOC, NIST","Rockville, MD","['23,010', '']","['0', '']","['525', '']","['22,485', '']","['23,010', '']","['0', '']","['525', '']","['22,485', '']"
11318,r033,All FFRDCs -> Nonprofit-administered FFRDCs -> National Defense Research Institute,All FFRDCs,Nonprofit-administered FFRDCs,National Defense Research Institute,3,"DOD, OSD","Santa Monica, CA","['67,157', '']","['0', '']","['67,157', '']","['0', '']","['67,157', '']","['0', '']","['67,157', '']","['0', '']"
11318,r034,All FFRDCs -> Nonprofit-administered FFRDCs -> National Renewable Energy Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,National Renewable Energy Laboratory,3,DOE,"Golden, CO","['718,852', '']","['64,867', '']","['398,878', '']","['255,107', '']","['648,671', '']","['64,867', '']","['356,769', '']","['227,035', '']"
11318,r035,All FFRDCs -> Nonprofit-administered FFRDCs -> National Security Engineering Center,All FFRDCs,Nonprofit-administered FFRDCs,National Security Engineering Center,3,"DOD,OSD","Bedford, MA/McLean, VA","['1,370,949', '']","['0', '']","['80,471', '']","['1,290,478', '']","['1,367,998', '']","['0', '']","['80,383', '']","['1,287,615', '']"
11318,r036,All FFRDCs -> Nonprofit-administered FFRDCs -> Oak Ridge National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Oak Ridge National Laboratory,3,DOE,"Oak Ridge, TN","['2,019,259', '']","['1,075,698', '']","['943,561', '']","['0', '']","['2,000,646', '']","['1,075,698', '']","['924,948', '']","['0', '']"
11318,r037,All FFRDCs -> Nonprofit-administered FFRDCs -> Pacific Northwest National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Pacific Northwest National Laboratory,3,DOE,"Richland, WA","['1,449,496', '']","['267,455', '']","['361,931', '']","['820,110', '']","['1,424,969', '']","['262,929', '']","['355,807', '']","['806,233', '']"
11318,r038,All FFRDCs -> Nonprofit-administered FFRDCs -> Project Air Force,All FFRDCs,Nonprofit-administered FFRDCs,Project Air Force,3,"DOD, Air Force","Santa Monica, CA","['48,729', '']","['0', '']","['48,729', '']","['0', '']","['48,729', '']","['0', '']","['48,729', '']","['0', '']"
11318,r039,All FFRDCs -> Nonprofit-administered FFRDCs -> Savannah River National Laboratory,All FFRDCs,Nonprofit-administered FFRDCs,Savannah River National Laboratory,3,DOE,"Aiken, SC","['244,736', '']","['12,237', '']","['122,368', '']","['110,131', '']","['241,518', '']","['12,076', '']","['120,759', '']","['108,683', '']"
11318,r040,All FFRDCs -> Nonprofit-administered FFRDCs -> Science and Technology Policy Institute,All FFRDCs,Nonprofit-administered FFRDCs,Science and Technology Policy Institute,3,NSF,"Washington, DC","['9,977', '']","['0', '']","['9,977', '']","['0', '']","['9,977', '']","['0', '']","['9,977', '']","['0', '']"
11318,r041,All FFRDCs -> Nonprofit-administered FFRDCs -> Systems and Analyses Center,All FFRDCs,Nonprofit-administered FFRDCs,Systems and Analyses Center,3,"DOD, OSD","Alexandria, VA","['224,574', '']","['0', '']","['224,574', '']","['0', '']","['224,112', '']","['0', '']","['224,112', '']","['0', '']"
11318,r042,All FFRDCs -> Industry-administered FFRDCs,All FFRDCs,Industry-administered FFRDCs,,2,-,-,"['11,084,499', ' ']","['784,487', ' ']","['6,674,733', ' ']","['3,625,279', ' ']","['10,990,133', ' ']","['780,349', ' ']","['6,611,231', ' ']","['3,598,553', ' ']"
11318,r043,All FFRDCs -> Industry-administered FFRDCs -> Frederick National Laboratory for Cancer Research,All FFRDCs,Industry-administered FFRDCs,Frederick National Laboratory for Cancer Research,3,"HHS, NIH","Frederick, MD","['929,754', '']","['186,273', '']","['467,234', '']","['276,247', '']","['929,754', '']","['186,273', '']","['467,234', '']","['276,247', '']"
11318,r044,All FFRDCs -> Industry-administered FFRDCs -> Lawrence Livermore National Laboratory,All FFRDCs,Industry-administered FFRDCs,Lawrence Livermore National Laboratory,3,DOE,"Livermore, CA","['2,110,938', '']","['114,519', '']","['1,567,884', '']","['428,535', '']","['2,079,762', '']","['112,429', '']","['1,538,798', '']","['428,535', '']"
11318,r045,All FFRDCs -> Industry-administered FFRDCs -> Los Alamos National Laboratory,All FFRDCs,Industry-administered FFRDCs,Los Alamos National Laboratory,3,DOE,"Los Alamos, NM","['3,768,323', '']","['301,465', '']","['3,429,175', '']","['37,683', '']","['3,742,718', '']","['299,417', '']","['3,405,874', '']","['37,427', '']"
11318,r046,All FFRDCs -> Industry-administered FFRDCs -> Sandia National Laboratories,All FFRDCs,Industry-administered FFRDCs,Sandia National Laboratories,3,DOE,"Albuquerque, NM","['4,275,484', '']","['182,230', '']","['1,210,440', '']","['2,882,814', '']","['4,237,899', '']","['182,230', '']","['1,199,325', '']","['2,856,344', '']"
