table_id,row_id,subfield_of_study_full_path,subfield_of_study_level_1,subfield_of_study_level_2,subfield_of_study_level_3,subfield_of_study_level_4,subfield_of_study_level_5,subfield_of_study_hierarchy_depth,field_totala,field_male,field_female,field__female
954,r056,"All fields -> Life sciences -> Health sciences -> Medical physics, radiological science",All fields,Life sciences,Health sciences,"Medical physics, radiological science",,4,89,61,28,31.5
954,r057,All fields -> Life sciences -> Health sciences -> Nursing science,All fields,Life sciences,Health sciences,Nursing science,,4,552,62,490,88.8
954,r058,All fields -> Life sciences -> Health sciences -> Pharmaceutical sciences,All fields,Life sciences,Health sciences,Pharmaceutical sciences,,4,292,147,145,49.7
954,r059,All fields -> Life sciences -> Health sciences -> Public health,All fields,Life sciences,Health sciences,Public health,,4,446,112,334,74.9
954,r060,"All fields -> Life sciences -> Health sciences -> Rehabilitation, therapeutic services",All fields,Life sciences,Health sciences,"Rehabilitation, therapeutic services",,4,86,30,55,64.0
954,r061,All fields -> Life sciences -> Health sciences -> Speech-language pathology and audiology,All fields,Life sciences,Health sciences,Speech-language pathology and audiology,,4,128,27,101,78.9
954,r062,"All fields -> Life sciences -> Health sciences -> Health sciences, aggregated",All fields,Life sciences,Health sciences,"Health sciences, aggregated",,4,271,94,177,65.3
954,r063,All fields -> Physical sciences and earth sciences,All fields,Physical sciences and earth sciences,,,,2,6081,4068,2011,33.1
954,r064,All fields -> Physical sciences and earth sciences -> Chemistry,All fields,Physical sciences and earth sciences,Chemistry,,,3,2697,1669,1026,38.0
954,r065,All fields -> Physical sciences and earth sciences -> Chemistry -> Analytical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Analytical chemistry,,4,367,198,169,46.0
954,r066,All fields -> Physical sciences and earth sciences -> Chemistry -> Chemical biology,All fields,Physical sciences and earth sciences,Chemistry,Chemical biology,,4,142,66,76,53.5
954,r067,All fields -> Physical sciences and earth sciences -> Chemistry -> Inorganic chemistry,All fields,Physical sciences and earth sciences,Chemistry,Inorganic chemistry,,4,339,212,127,37.5
954,r068,All fields -> Physical sciences and earth sciences -> Chemistry -> Medicinal chemistry,All fields,Physical sciences and earth sciences,Chemistry,Medicinal chemistry,,4,69,42,27,39.1
954,r069,All fields -> Physical sciences and earth sciences -> Chemistry -> Organic chemistry,All fields,Physical sciences and earth sciences,Chemistry,Organic chemistry,,4,523,357,166,31.7
954,r070,All fields -> Physical sciences and earth sciences -> Chemistry -> Physical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Physical chemistry,,4,332,229,102,30.7
954,r071,All fields -> Physical sciences and earth sciences -> Chemistry -> Polymer chemistry,All fields,Physical sciences and earth sciences,Chemistry,Polymer chemistry,,4,152,101,51,33.6
954,r072,All fields -> Physical sciences and earth sciences -> Chemistry -> Theoretical chemistry,All fields,Physical sciences and earth sciences,Chemistry,Theoretical chemistry,,4,85,63,22,25.9
954,r073,"All fields -> Physical sciences and earth sciences -> Chemistry -> Chemistry, general",All fields,Physical sciences and earth sciences,Chemistry,"Chemistry, general",,4,539,323,215,39.9
954,r074,"All fields -> Physical sciences and earth sciences -> Chemistry -> Chemistry, other",All fields,Physical sciences and earth sciences,Chemistry,"Chemistry, other",,4,149,78,71,47.7
954,r075,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",,,3,1165,645,520,44.6
954,r076,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,,4,243,142,101,41.6
954,r077,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric physics, meteorology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,"Atmospheric physics, meteorology",5,45,32,13,28.9
954,r078,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology -> Atmospheric chemistry, atmospheric sciences-general, atmospheric sciences-other",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,"Atmospheric chemistry, atmospheric sciences-general, atmospheric sciences-other",5,198,110,88,44.4
954,r079,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,,4,576,330,246,42.7
954,r080,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geochemistry, mineralogy",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geochemistry, mineralogy",5,78,42,36,46.2
954,r081,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geology,5,124,81,43,34.7
954,r082,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geomorphology, geological sciences-general, geological sciences-other",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Geomorphology, geological sciences-general, geological sciences-other",5,211,105,106,50.2
954,r083,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Geophysics and seismology",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,Geophysics and seismology,5,124,82,42,33.9
954,r084,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Geological sciences -> Paleontology, stratigraphy",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Geological sciences,"Paleontology, stratigraphy",5,39,20,19,48.7
954,r085,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences ",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,,4,346,173,173,50.0
954,r086,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences  -> Marine biology and biological oceanography",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,Marine biology and biological oceanography,5,111,41,70,63.1
954,r087,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences  -> Oceanography, chemical and physical",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,"Oceanography, chemical and physical",5,70,37,33,47.1
954,r088,"All fields -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean and marine sciences  -> Ocean/marine sciences, aggregated",All fields,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",Ocean and marine sciences ,"Ocean/marine sciences, aggregated",5,165,95,70,42.4
954,r089,All fields -> Physical sciences and earth sciences -> Physics and astronomy ,All fields,Physical sciences and earth sciences,Physics and astronomy ,,,3,2219,1754,465,21.0
954,r090,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Astronomy and astrophysics ,All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,,4,336,228,108,32.1
954,r091,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Astronomy and astrophysics  -> Astronomy,All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,Astronomy,5,121,74,47,38.8
954,r092,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Astronomy and astrophysics  -> Astrophysics,All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,Astrophysics,5,211,153,58,27.5
954,r093,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Astronomy and astrophysics  -> Astronomy and astrophysics, other",All fields,Physical sciences and earth sciences,Physics and astronomy ,Astronomy and astrophysics ,"Astronomy and astrophysics, other",5,4,1,3,75.0
954,r094,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics ,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,,4,1883,1526,357,19.0
954,r095,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Acoustics, optics/photonics",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Acoustics, optics/photonics",5,213,173,40,18.8
954,r096,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Applied physics,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Applied physics,5,178,134,44,24.7
954,r097,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Atomic physics, polymer physics",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Atomic physics, polymer physics",5,157,119,38,24.2
954,r098,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Biophysics (physics),All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Biophysics (physics),5,134,97,37,27.6
954,r099,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Condensed matter, low-temperature physics",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Condensed matter, low-temperature physics",5,343,299,44,12.8
954,r100,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Elementary particle physics,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Elementary particle physics,5,354,298,56,15.8
954,r101,All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Nuclear physics,All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,Nuclear physics,5,103,85,18,17.5
954,r102,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Plasma, high-temperature physics",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Plasma, high-temperature physics",5,65,57,8,12.3
954,r103,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Physics, general",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Physics, general",5,248,194,54,21.8
954,r104,"All fields -> Physical sciences and earth sciences -> Physics and astronomy  -> Physics  -> Physics, other",All fields,Physical sciences and earth sciences,Physics and astronomy ,Physics ,"Physics, other",5,88,70,18,20.5
954,r105,All fields -> Mathematics and computer sciences,All fields,Mathematics and computer sciences,,,,2,3843,2866,976,25.4
954,r106,All fields -> Mathematics and computer sciences -> Computer and information sciences,All fields,Mathematics and computer sciences,Computer and information sciences,,,3,1987,1540,447,22.5
954,r107,All fields -> Mathematics and computer sciences -> Computer and information sciences -> Computer science,All fields,Mathematics and computer sciences,Computer and information sciences,Computer science,,4,1587,1284,303,19.1
954,r108,"All fields -> Mathematics and computer sciences -> Computer and information sciences -> Information science, systems",All fields,Mathematics and computer sciences,Computer and information sciences,"Information science, systems",,4,162,83,79,48.8
954,r109,"All fields -> Mathematics and computer sciences -> Computer and information sciences -> Computer and information sciences, general",All fields,Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, general",,4,123,89,34,27.6
954,r110,"All fields -> Mathematics and computer sciences -> Computer and information sciences -> Computer and information sciences, other",All fields,Mathematics and computer sciences,Computer and information sciences,"Computer and information sciences, other",,4,115,84,31,27.0
954,r111,All fields -> Mathematics and computer sciences -> Mathematics and statistics ,All fields,Mathematics and computer sciences,Mathematics and statistics ,,,3,1856,1326,529,28.5
954,r112,All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Algebra,All fields,Mathematics and computer sciences,Mathematics and statistics ,Algebra,,4,103,82,21,20.4
954,r113,All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Analysis and functional analysis,All fields,Mathematics and computer sciences,Mathematics and statistics ,Analysis and functional analysis,,4,78,66,12,15.4
954,r114,"All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Applied mathematics, computing theory",All fields,Mathematics and computer sciences,Mathematics and statistics ,"Applied mathematics, computing theory",,4,497,355,142,28.6
954,r115,"All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Geometry, geometric analysis",All fields,Mathematics and computer sciences,Mathematics and statistics ,"Geometry, geometric analysis",,4,63,49,14,22.2
954,r116,"All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Logic, topology/foundations",All fields,Mathematics and computer sciences,Mathematics and statistics ,"Logic, topology/foundations",,4,62,49,13,21.0
954,r117,All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Number theory,All fields,Mathematics and computer sciences,Mathematics and statistics ,Number theory,,4,55,47,8,14.5
954,r118,"All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Operations research, mathematics/statistics-general, mathematics/statistics-other",All fields,Mathematics and computer sciences,Mathematics and statistics ,"Operations research, mathematics/statistics-general, mathematics/statistics-other",,4,496,355,141,28.4
954,r119,All fields -> Mathematics and computer sciences -> Mathematics and statistics  -> Statistics (mathematics),All fields,Mathematics and computer sciences,Mathematics and statistics ,Statistics (mathematics),,4,502,323,178,35.5
954,r120,All fields -> Psychology and social sciences,All fields,Psychology and social sciences,,,,2,9079,3693,5381,59.3
954,r121,All fields -> Psychology and social sciences -> Psychology ,All fields,Psychology and social sciences,Psychology ,,,3,3960,1135,2824,71.3
954,r122,All fields -> Psychology and social sciences -> Psychology  -> Behavioral analysis,All fields,Psychology and social sciences,Psychology ,Behavioral analysis,,4,51,17,34,66.7
954,r123,All fields -> Psychology and social sciences -> Psychology  -> Clinical psychology,All fields,Psychology and social sciences,Psychology ,Clinical psychology,,4,1149,267,882,76.8
954,r124,All fields -> Psychology and social sciences -> Psychology  -> Cognitive neuroscience,All fields,Psychology and social sciences,Psychology ,Cognitive neuroscience,,4,199,97,102,51.3
954,r125,All fields -> Psychology and social sciences -> Psychology  -> Cognitive psychology and psycholinguistics,All fields,Psychology and social sciences,Psychology ,Cognitive psychology and psycholinguistics,,4,121,52,69,57.0
954,r126,All fields -> Psychology and social sciences -> Psychology  -> Community psychology,All fields,Psychology and social sciences,Psychology ,Community psychology,,4,38,8,30,78.9
954,r127,All fields -> Psychology and social sciences -> Psychology  -> Counseling,All fields,Psychology and social sciences,Psychology ,Counseling,,4,317,86,231,72.9
954,r128,All fields -> Psychology and social sciences -> Psychology  -> Developmental and child psychology,All fields,Psychology and social sciences,Psychology ,Developmental and child psychology,,4,201,34,167,83.1
954,r129,All fields -> Psychology and social sciences -> Psychology  -> Educational psychology (psychology),All fields,Psychology and social sciences,Psychology ,Educational psychology (psychology),,4,139,30,109,78.4
954,r130,All fields -> Psychology and social sciences -> Psychology  -> Experimental psychology,All fields,Psychology and social sciences,Psychology ,Experimental psychology,,4,159,59,100,62.9
954,r131,"All fields -> Psychology and social sciences -> Psychology  -> Family psychology, human development and family studies",All fields,Psychology and social sciences,Psychology ,"Family psychology, human development and family studies",,4,211,51,160,75.8
954,r132,"All fields -> Psychology and social sciences -> Psychology  -> Health, medical psychology",All fields,Psychology and social sciences,Psychology ,"Health, medical psychology",,4,62,11,51,82.3
954,r133,All fields -> Psychology and social sciences -> Psychology  -> Industrial and organizational psychology,All fields,Psychology and social sciences,Psychology ,Industrial and organizational psychology,,4,191,84,107,56.0
954,r134,"All fields -> Psychology and social sciences -> Psychology  -> Marriage and family therapy, counseling",All fields,Psychology and social sciences,Psychology ,"Marriage and family therapy, counseling",,4,74,18,56,75.7
954,r135,"All fields -> Psychology and social sciences -> Psychology  -> Neuropsychology, physiological psychology",All fields,Psychology and social sciences,Psychology ,"Neuropsychology, physiological psychology",,4,42,15,27,64.3
954,r136,All fields -> Psychology and social sciences -> Psychology  -> School psychology (psychology),All fields,Psychology and social sciences,Psychology ,School psychology (psychology),,4,372,97,274,73.7
954,r137,All fields -> Psychology and social sciences -> Psychology  -> Social psychology,All fields,Psychology and social sciences,Psychology ,Social psychology,,4,213,71,142,66.7
954,r138,"All fields -> Psychology and social sciences -> Psychology  -> Psychology, general",All fields,Psychology and social sciences,Psychology ,"Psychology, general",,4,140,42,98,70.0
954,r139,"All fields -> Psychology and social sciences -> Psychology  -> Psychology, aggregated",All fields,Psychology and social sciences,Psychology ,"Psychology, aggregated",,4,281,96,185,65.8
954,r140,All fields -> Psychology and social sciences -> Social sciences ,All fields,Psychology and social sciences,Social sciences ,,,3,5119,2558,2557,50.0
954,r141,All fields -> Psychology and social sciences -> Social sciences  -> Anthropology ,All fields,Psychology and social sciences,Social sciences ,Anthropology ,,4,455,158,297,65.3
954,r142,"All fields -> Psychology and social sciences -> Social sciences  -> Anthropology  -> Anthropology, cultural",All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, cultural",5,261,92,169,64.8
954,r143,"All fields -> Psychology and social sciences -> Social sciences  -> Anthropology  -> Anthropology, general",All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, general",5,110,42,68,61.8
954,r144,"All fields -> Psychology and social sciences -> Social sciences  -> Anthropology  -> Anthropology, physical and biological",All fields,Psychology and social sciences,Social sciences ,Anthropology ,"Anthropology, physical and biological",5,84,24,60,71.4
954,r145,All fields -> Psychology and social sciences -> Social sciences  -> Economics ,All fields,Psychology and social sciences,Social sciences ,Economics ,,4,1237,812,423,34.2
954,r146,"All fields -> Psychology and social sciences -> Social sciences  -> Economics  -> Econometrics, economics",All fields,Psychology and social sciences,Social sciences ,Economics ,"Econometrics, economics",5,1184,778,404,34.1
954,r147,All fields -> Psychology and social sciences -> Social sciences  -> Economics  -> Natural resources and environmental economics (social sciences),All fields,Psychology and social sciences,Social sciences ,Economics ,Natural resources and environmental economics (social sciences),5,53,34,19,35.8
954,r148,All fields -> Psychology and social sciences -> Social sciences  -> Political science and government,All fields,Psychology and social sciences,Social sciences ,Political science and government,,4,752,454,298,39.6
954,r149,All fields -> Psychology and social sciences -> Social sciences  -> Sociology,All fields,Psychology and social sciences,Social sciences ,Sociology,,4,689,267,421,61.1
954,r150,All fields -> Psychology and social sciences -> Social sciences  -> Other social sciences,All fields,Psychology and social sciences,Social sciences ,Other social sciences,,4,1986,867,1118,56.3
