table_id,row_id,employment_sector_and_field_of_study_full_path,employment_sector_and_field_of_study_level_1,employment_sector_and_field_of_study_level_2,employment_sector_and_field_of_study_level_3,employment_sector_and_field_of_study_level_4,employment_sector_and_field_of_study_hierarchy_depth,field_all_full_time_employed_median_salary,field_all_full_time_employed_se,field_hispanic_or_latinoa_median_salary,field_hispanic_or_latinoa_se,field_not_hispanic_or_latinob_american_indian_or_alaska_native_median_salary,field_not_hispanic_or_latinob_american_indian_or_alaska_native_se,field_not_hispanic_or_latinob_asian_median_salary,field_not_hispanic_or_latinob_asian_se,field_not_hispanic_or_latinob_black_or_african_american_median_salary,field_not_hispanic_or_latinob_black_or_african_american_se,field_not_hispanic_or_latinob_white_median_salary,field_not_hispanic_or_latinob_white_se,field_not_hispanic_or_latinob_other_racec_median_salary,field_not_hispanic_or_latinob_other_racec_se
3731,r036,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,"Private, for profit<sup>f</sup>",Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,143000,3500,130000,4000,106000,15500,135000,3500,124000,6000,149000,4000,135000,6500
3731,r037,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Psychology",All sectors,"Private, for profit<sup>f</sup>",Science,Psychology,4,120000,5000,114000,7500,,,130000,9000,95000,19000,124000,5500,131000,8500
3731,r038,"All sectors -> Private, for profit<sup>f</sup> -> Science -> Social sciences",All sectors,"Private, for profit<sup>f</sup>",Science,Social sciences,4,150000,5500,142000,18000,,,147000,8000,117000,13500,158000,7000,163000,19000
3731,r039,"All sectors -> Private, for profit<sup>f</sup> -> Engineering",All sectors,"Private, for profit<sup>f</sup>",Engineering,,3,150000,500,139000,5000,151000,10500,149000,500,136000,5500,154000,3000,150000,8000
3731,r040,"All sectors -> Private, for profit<sup>f</sup> -> Health",All sectors,"Private, for profit<sup>f</sup>",Health,,3,148000,5500,128000,9500,,,140000,10500,144000,10500,149000,2000,158000,40500
3731,r041,"All sectors -> Private, nonprofit",All sectors,"Private, nonprofit",,,2,119000,500,100000,4000,110000,9000,110000,4500,98000,8500,125000,1500,109000,6500
3731,r042,"All sectors -> Private, nonprofit -> Science",All sectors,"Private, nonprofit",Science,,3,115000,2500,98000,8500,,,107000,5000,98000,8500,119000,2500,103000,12000
3731,r043,"All sectors -> Private, nonprofit -> Science -> Biological, agricultural, and environmental life sciences",All sectors,"Private, nonprofit",Science,"Biological, agricultural, and environmental life sciences",4,111000,4500,84000,8000,,,104000,7000,102000,19000,119000,4500,88000,9500
3731,r044,"All sectors -> Private, nonprofit -> Science -> Computer and information sciences",All sectors,"Private, nonprofit",Science,Computer and information sciences,4,137000,13500,,,,,99000,24000,0.05,0.05,152000,9000,,
3731,r045,"All sectors -> Private, nonprofit -> Science -> Mathematics and statistics",All sectors,"Private, nonprofit",Science,Mathematics and statistics,4,149000,5500,,,,,122000,29000,,,173000,13500,,
3731,r046,"All sectors -> Private, nonprofit -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,"Private, nonprofit",Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,127000,5500,130000,32500,,,106000,11000,S,S,137000,7000,139000,12500
3731,r047,"All sectors -> Private, nonprofit -> Science -> Psychology",All sectors,"Private, nonprofit",Science,Psychology,4,105000,1500,95000,8000,,,110000,8500,100000,9500,105000,1000,116000,5000
3731,r048,"All sectors -> Private, nonprofit -> Science -> Social sciences",All sectors,"Private, nonprofit",Science,Social sciences,4,119000,6000,118000,12500,,,123000,16500,117000,21000,119000,9000,92000,31500
3731,r049,"All sectors -> Private, nonprofit -> Engineering",All sectors,"Private, nonprofit",Engineering,,3,134000,5500,119000,6500,,,129000,8000,S,S,138000,6000,114000,19500
3731,r050,"All sectors -> Private, nonprofit -> Health",All sectors,"Private, nonprofit",Health,,3,135000,9500,126000,14000,,,103000,6500,107000,21500,148000,13500,,
3731,r051,All sectors -> Federal government,All sectors,Federal government,,,2,126000,1500,120000,2500,121000,2500,130000,4000,114000,3500,128000,2000,114000,4500
3731,r052,All sectors -> Federal government -> Science,All sectors,Federal government,Science,,3,125000,500,119000,2500,120000,8000,129000,6000,110000,2500,126000,3000,110000,5000
3731,r053,"All sectors -> Federal government -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Federal government,Science,"Biological, agricultural, and environmental life sciences",4,120000,2500,119000,3500,0.05,0.05,112000,9500,112000,4500,124000,2500,104000,12500
3731,r054,All sectors -> Federal government -> Science -> Computer and information sciences,All sectors,Federal government,Science,Computer and information sciences,4,135000,7000,,,,,S,S,102000,9500,145000,3500,S,S
3731,r055,All sectors -> Federal government -> Science -> Mathematics and statistics,All sectors,Federal government,Science,Mathematics and statistics,4,142000,8000,,,,,144000,12500,,,138000,6500,,
3731,r056,"All sectors -> Federal government -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Federal government,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,134000,4500,117000,9000,,,138000,14000,97000,9500,136000,4500,109000,6500
3731,r057,All sectors -> Federal government -> Science -> Psychology,All sectors,Federal government,Science,Psychology,4,114000,2000,113000,4500,S,S,129000,13000,106000,11000,114000,2500,114000,2000
3731,r058,All sectors -> Federal government -> Science -> Social sciences,All sectors,Federal government,Science,Social sciences,4,143000,5500,153000,7000,,,138000,15500,124000,13000,144000,5000,0.05,0.05
3731,r059,All sectors -> Federal government -> Engineering,All sectors,Federal government,Engineering,,3,130000,2500,127000,9500,,,130000,9500,129000,5500,133000,4500,135000,16000
3731,r060,All sectors -> Federal government -> Health,All sectors,Federal government,Health,,3,124000,4500,118000,14500,,,124000,9500,119000,5500,124000,4500,S,S
3731,r061,All sectors -> State or local government,All sectors,State or local government,,,2,98000,2500,85000,8000,,,100000,2500,90000,6000,98000,3500,92000,15000
3731,r062,All sectors -> State or local government -> Science,All sectors,State or local government,Science,,3,94000,2500,89000,9500,,,91000,7000,90000,8000,95000,2500,92000,15500
3731,r063,"All sectors -> State or local government -> Science -> Biological, agricultural, and environmental life sciences",All sectors,State or local government,Science,"Biological, agricultural, and environmental life sciences",4,85000,4500,73000,14000,,,86000,10000,96000,16500,85000,5500,81000,9000
3731,r064,All sectors -> State or local government -> Science -> Computer and information sciences,All sectors,State or local government,Science,Computer and information sciences,4,108000,15500,,,,,,,0.05,0.05,123000,21500,,
3731,r065,All sectors -> State or local government -> Science -> Mathematics and statistics,All sectors,State or local government,Science,Mathematics and statistics,4,S,S,,,,,,,,,,,,
3731,r066,"All sectors -> State or local government -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,State or local government,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,99000,6000,85000,26500,,,79000,10000,,,120000,15000,S,S
3731,r067,All sectors -> State or local government -> Science -> Psychology,All sectors,State or local government,Science,Psychology,4,98000,3000,93000,10000,,,105000,12000,92000,10000,96000,4500,,
3731,r068,All sectors -> State or local government -> Science -> Social sciences,All sectors,State or local government,Science,Social sciences,4,90000,5000,91000,21000,,,89000,20000,83000,10500,91000,5000,,
3731,r069,All sectors -> State or local government -> Engineering,All sectors,State or local government,Engineering,,3,114000,7500,80000,9000,,,120000,7500,S,S,115000,5500,0.05,0.05
3731,r070,All sectors -> State or local government -> Health,All sectors,State or local government,Health,,3,123000,24000,,,,,139000,22000,90000,32000,135000,27000,,
3731,r071,All sectors -> Self-employed<sup>g</sup>,All sectors,Self-employed<sup>g</sup>,,,2,100000,500,83000,8000,,,89000,13500,99000,7000,100000,4000,82000,22500
3731,r072,All sectors -> Self-employed<sup>g</sup> -> Science,All sectors,Self-employed<sup>g</sup>,Science,,3,100000,1500,77000,14000,,,109000,13500,94000,7000,100000,3000,81000,26500
3731,r073,"All sectors -> Self-employed<sup>g</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Self-employed<sup>g</sup>,Science,"Biological, agricultural, and environmental life sciences",4,96000,9500,62000,8500,,,162000,66000,49000,12500,96000,11000,,
3731,r074,All sectors -> Self-employed<sup>g</sup> -> Science -> Computer and information sciences,All sectors,Self-employed<sup>g</sup>,Science,Computer and information sciences,4,88000,21500,,,,,,,,,86000,32500,,
3731,r075,All sectors -> Self-employed<sup>g</sup> -> Science -> Mathematics and statistics,All sectors,Self-employed<sup>g</sup>,Science,Mathematics and statistics,4,167000,81000,,,,,,,,,S,S,,
3731,r076,"All sectors -> Self-employed<sup>g</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Self-employed<sup>g</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,82000,16000,0.05,0.05,,,S,S,,,91000,8000,,
3731,r077,All sectors -> Self-employed<sup>g</sup> -> Science -> Psychology,All sectors,Self-employed<sup>g</sup>,Science,Psychology,4,107000,6000,86000,12000,,,,,99000,33500,108000,6000,85000,15000
3731,r078,All sectors -> Self-employed<sup>g</sup> -> Science -> Social sciences,All sectors,Self-employed<sup>g</sup>,Science,Social sciences,4,98000,6500,,,,,118000,30500,83000,29000,97000,10500,,
3731,r079,All sectors -> Self-employed<sup>g</sup> -> Engineering,All sectors,Self-employed<sup>g</sup>,Engineering,,3,98000,9000,126000,39500,,,77000,14000,,,100000,21500,,
3731,r080,All sectors -> Self-employed<sup>g</sup> -> Health,All sectors,Self-employed<sup>g</sup>,Health,,3,80000,29500,,,,,S,S,,,124000,61500,,
3731,r081,All sectors -> Other sector<sup>h</sup>,All sectors,Other sector<sup>h</sup>,,,2,132000,5500,155000,15500,,,135000,6000,132000,18000,128000,6000,136000,42500
3731,r082,All sectors -> Other sector<sup>h</sup> -> Science,All sectors,Other sector<sup>h</sup>,Science,,3,128000,4000,157000,16500,,,129000,8500,131000,25500,123000,6000,S,S
3731,r083,"All sectors -> Other sector<sup>h</sup> -> Science -> Biological, agricultural, and environmental life sciences",All sectors,Other sector<sup>h</sup>,Science,"Biological, agricultural, and environmental life sciences",4,109000,9500,111000,25500,,,105000,19500,85000,14000,109000,13000,,
3731,r084,All sectors -> Other sector<sup>h</sup> -> Science -> Computer and information sciences,All sectors,Other sector<sup>h</sup>,Science,Computer and information sciences,4,157000,22500,,,,,,,,,,,,
3731,r085,All sectors -> Other sector<sup>h</sup> -> Science -> Mathematics and statistics,All sectors,Other sector<sup>h</sup>,Science,Mathematics and statistics,4,157000,18500,,,,,S,S,,,S,S,,
3731,r086,"All sectors -> Other sector<sup>h</sup> -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All sectors,Other sector<sup>h</sup>,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",4,124000,8000,,,,,72000,17500,,,129000,6000,,
3731,r087,All sectors -> Other sector<sup>h</sup> -> Science -> Psychology,All sectors,Other sector<sup>h</sup>,Science,Psychology,4,116000,10000,S,S,,,,,,,92000,28500,,
3731,r088,All sectors -> Other sector<sup>h</sup> -> Science -> Social sciences,All sectors,Other sector<sup>h</sup>,Science,Social sciences,4,156000,25000,166000,15000,,,147000,57500,S,S,147000,50000,,
3731,r089,All sectors -> Other sector<sup>h</sup> -> Engineering,All sectors,Other sector<sup>h</sup>,Engineering,,3,139000,4500,136000,17000,,,140000,19500,S,S,138000,9500,,
3731,r090,All sectors -> Other sector<sup>h</sup> -> Health,All sectors,Other sector<sup>h</sup>,Health,,3,135000,15000,,,,,,,,,142000,11500,,
