table_id,row_id,_b_region_and_country_or_economy_of_citizenship_b_full_path,_b_region_and_country_or_economy_of_citizenship_b_level_1,_b_region_and_country_or_economy_of_citizenship_b_level_2,_b_region_and_country_or_economy_of_citizenship_b_level_3,_b_region_and_country_or_economy_of_citizenship_b_hierarchy_depth,field_2017_23_number,field_2017_23_staying,field_2017_number,field_2017_staying,field_2018_number,field_2018_staying,field_2019_number,field_2019_staying,field_2020_number,field_2020_staying,field_2021_number,field_2021_staying,field_2022_number,field_2022_staying,field_2023_number,field_2023_staying
11762,r054,All temporary visa holders -> Asia -> Burma,All temporary visa holders,Asia,Burma,3,55,,6,,6,,9,,9,,7,,6,,12,
11762,r055,All temporary visa holders -> Asia -> Other,All temporary visa holders,Asia,Other,3,255,71.4,38,57.9,39,69.2,31,71.0,35,60.0,35,68.6,50,80.0,27,
11762,r056,All temporary visa holders -> Australia-Oceania,All temporary visa holders,Australia-Oceania,,2,515,62.9,79,62.0,66,57.6,81,71.6,80,63.8,69,63.8,76,55.3,64,65.6
11762,r057,All temporary visa holders -> Australia-Oceania -> Australia,All temporary visa holders,Australia-Oceania,Australia,3,324,66.4,47,72.3,37,64.9,53,73.6,51,66.7,39,64.1,50,54.0,47,68.1
11762,r058,All temporary visa holders -> Australia-Oceania -> New Zealand,All temporary visa holders,Australia-Oceania,New Zealand,3,,,,,23,56.5,,,,,30,63.3,,,17,58.8
11762,r059,All temporary visa holders -> Australia-Oceania -> Other,All temporary visa holders,Australia-Oceania,Other,3,,,,,6,16.7,,,,,0,0.0,,,0,0.0
11762,r060,All temporary visa holders -> Europe,All temporary visa holders,Europe,,2,12196,66.0,1785,67.4,1807,63.3,1755,64.4,1705,67.4,1668,63.7,1734,68.9,1742,67.2
11762,r061,All temporary visa holders -> Europe -> Turkey,All temporary visa holders,Europe,Turkey,3,2779,65.5,496,61.1,454,59.7,406,64.5,371,70.1,330,63.0,354,69.8,368,72.8
11762,r062,All temporary visa holders -> Europe -> Italy,All temporary visa holders,Europe,Italy,3,1167,65.6,161,70.8,139,72.7,174,63.8,170,64.1,145,57.2,193,70.5,185,60.0
11762,r063,All temporary visa holders -> Europe -> Germany,All temporary visa holders,Europe,Germany,3,1110,60.3,154,68.2,144,54.2,152,57.9,151,54.3,187,58.3,160,65.0,162,63.6
11762,r064,All temporary visa holders -> Europe -> United Kingdom,All temporary visa holders,Europe,United Kingdom,3,874,62.6,103,60.2,110,60.0,128,62.5,119,66.4,152,59.2,138,63.8,124,66.1
11762,r065,All temporary visa holders -> Europe -> Spain,All temporary visa holders,Europe,Spain,3,835,65.6,100,74.0,104,61.5,128,57.8,116,64.7,115,71.3,134,68.7,138,63.0
11762,r066,All temporary visa holders -> Europe -> France,All temporary visa holders,Europe,France,3,827,66.5,107,69.2,133,64.7,118,67.8,118,66.9,106,67.0,133,65.4,112,65.2
11762,r067,All temporary visa holders -> Europe -> Russia,All temporary visa holders,Europe,Russia,3,826,74.8,112,81.3,154,73.4,111,73.0,120,82.5,112,66.1,105,72.4,112,75.0
11762,r068,All temporary visa holders -> Europe -> Greece,All temporary visa holders,Europe,Greece,3,731,76.1,89,73.0,114,78.1,90,73.3,89,77.5,112,75.0,115,75.7,122,78.7
11762,r069,All temporary visa holders -> Europe -> Ukraine,All temporary visa holders,Europe,Ukraine,3,251,,37,83.8,35,74.3,43,81.4,43,83.7,32,75.0,23,,38,73.7
11762,r070,All temporary visa holders -> Europe -> Poland,All temporary visa holders,Europe,Poland,3,242,66.1,30,66.7,33,60.6,34,70.6,34,61.8,34,73.5,33,75.8,44,56.8
11762,r071,All temporary visa holders -> Europe -> Netherlands,All temporary visa holders,Europe,Netherlands,3,241,58.5,27,55.6,30,66.7,38,55.3,39,59.0,40,42.5,32,68.8,35,65.7
11762,r072,All temporary visa holders -> Europe -> Romania,All temporary visa holders,Europe,Romania,3,235,,43,81.4,47,61.7,48,,25,,27,77.8,22,,23,69.6
11762,r073,All temporary visa holders -> Europe -> Switzerland,All temporary visa holders,Europe,Switzerland,3,180,50.0,32,65.6,42,38.1,21,38.1,22,63.6,28,64.3,21,33.3,14,42.9
11762,r074,All temporary visa holders -> Europe -> Portugal,All temporary visa holders,Europe,Portugal,3,162,57.4,32,56.3,25,52.0,24,62.5,20,55.0,17,58.8,24,50.0,20,70.0
11762,r075,All temporary visa holders -> Europe -> Serbia,All temporary visa holders,Europe,Serbia,3,152,,20,70.0,16,,21,71.4,24,,21,,22,77.3,28,
11762,r076,All temporary visa holders -> Europe -> Bulgaria,All temporary visa holders,Europe,Bulgaria,3,132,,30,,23,78.3,21,,15,,16,,14,,13,38.5
11762,r077,All temporary visa holders -> Europe -> Austria,All temporary visa holders,Europe,Austria,3,126,,17,,14,50.0,17,52.9,22,54.5,20,50.0,15,66.7,21,61.9
11762,r078,All temporary visa holders -> Europe -> Hungary,All temporary visa holders,Europe,Hungary,3,125,,20,,20,40.0,17,,24,66.7,15,60.0,10,,19,52.6
11762,r079,All temporary visa holders -> Europe -> Ireland,All temporary visa holders,Europe,Ireland,3,121,,13,61.5,20,55.0,24,45.8,17,,7,,20,75.0,20,55.0
11762,r080,All temporary visa holders -> Europe -> Belgium,All temporary visa holders,Europe,Belgium,3,113,,16,31.3,18,55.6,13,53.8,16,50.0,16,,16,62.5,18,50.0
11762,r081,All temporary visa holders -> Europe -> Sweden,All temporary visa holders,Europe,Sweden,3,93,,14,64.3,14,64.3,12,,15,46.7,7,,16,62.5,15,
11762,r082,All temporary visa holders -> Europe -> Czechia,All temporary visa holders,Europe,Czechia,3,82,,8,,13,,17,64.7,11,,15,60.0,10,,8,
11762,r083,All temporary visa holders -> Europe -> Cyprus,All temporary visa holders,Europe,Cyprus,3,76,,16,68.8,11,45.5,9,,11,,10,,9,,10,50.0
11762,r084,All temporary visa holders -> Europe -> Croatia ,All temporary visa holders,Europe,Croatia ,3,70,,17,76.5,10,,6,,7,,8,,14,57.1,8,
11762,r085,All temporary visa holders -> Europe -> Albania,All temporary visa holders,Europe,Albania,3,68,,8,75.0,9,88.9,14,,12,,9,,7,,9,
11762,r086,All temporary visa holders -> Europe -> Denmark,All temporary visa holders,Europe,Denmark,3,66,,6,,7,,8,,8,,14,35.7,15,,8,
11762,r087,All temporary visa holders -> Europe -> Finland,All temporary visa holders,Europe,Finland,3,62,,11,54.5,6,,7,,10,50.0,7,,8,,13,
11762,r088,All temporary visa holders -> Europe -> Norway,All temporary visa holders,Europe,Norway,3,62,,8,,8,,12,,10,,8,,10,,6,
11762,r089,All temporary visa holders -> Europe -> Iceland,All temporary visa holders,Europe,Iceland,3,54,,8,,5,,7,,10,,10,,6,,8,
11762,r090,All temporary visa holders -> Europe -> Other,All temporary visa holders,Europe,Other,3,334,,50,,49,65.3,35,71.4,56,57.1,48,68.8,55,74.5,41,68.3
11762,r091,All temporary visa holders -> Middle East,All temporary visa holders,Middle East,,2,12510,59.8,1501,62.1,1749,62.3,2079,56.6,2102,58.0,1749,57.9,1812,62.0,1518,61.5
11762,r092,All temporary visa holders -> Middle East -> Iran,All temporary visa holders,Middle East,Iran,3,5951,91.9,767,92.6,935,91.4,964,91.5,963,92.2,815,91.2,859,91.7,648,93.2
11762,r093,All temporary visa holders -> Middle East -> Saudi Arabia,All temporary visa holders,Middle East,Saudi Arabia,3,3370,13.1,339,10.3,403,14.9,554,12.8,614,14.3,485,10.1,492,11.6,483,16.6
11762,r094,All temporary visa holders -> Middle East -> Iraq,All temporary visa holders,Middle East,Iraq,3,870,37.1,50,36.0,122,27.0,202,19.8,192,35.4,152,44.7,110,60.0,42,71.4
11762,r095,All temporary visa holders -> Middle East -> Jordan,All temporary visa holders,Middle East,Jordan,3,646,58.2,115,44.3,77,57.1,89,56.2,114,51.8,83,57.8,93,72.0,75,76.0
11762,r096,All temporary visa holders -> Middle East -> Israel,All temporary visa holders,Middle East,Israel,3,497,51.3,77,49.4,64,50.0,80,53.8,69,50.7,65,55.4,71,50.7,71,49.3
11762,r097,All temporary visa holders -> Middle East -> Lebanon,All temporary visa holders,Middle East,Lebanon,3,373,,52,78.8,51,76.5,53,79.2,39,84.6,42,,65,83.1,71,90.1
11762,r098,All temporary visa holders -> Middle East -> Kuwait,All temporary visa holders,Middle East,Kuwait,3,319,,38,,46,,68,7.4,45,11.1,46,10.9,45,11.1,31,
11762,r099,All temporary visa holders -> Middle East -> Oman,All temporary visa holders,Middle East,Oman,3,72,,10,,13,,7,,8,,10,,12,,12,
11762,r100,All temporary visa holders -> Middle East -> Armenia,All temporary visa holders,Middle East,Armenia,3,63,,7,,5,,10,,10,,8,,13,,10,
11762,r101,All temporary visa holders -> Middle East -> United Arab Emirates,All temporary visa holders,Middle East,United Arab Emirates,3,62,,7,,9,,13,,10,,5,,6,,12,
11762,r102,All temporary visa holders -> Middle East -> Syria,All temporary visa holders,Middle East,Syria,3,59,,9,,7,,12,,10,,6,,6,,9,
11762,r103,All temporary visa holders -> Middle East -> Other,All temporary visa holders,Middle East,Other,3,228,75.4,30,73.3,17,82.4,27,77.8,28,78.6,32,68.8,40,85.0,54,68.5
11762,r104,All temporary visa holders -> Region and country or economy unknown,All temporary visa holders,Region and country or economy unknown,,2,2756,52.7,139,62.6,418,45.5,508,49.4,316,48.4,369,54.7,521,52.6,485,61.0
