table_id,row_id,_b_type_of_r_d_performer_and_field_b_full_path,_b_type_of_r_d_performer_and_field_b_level_1,_b_type_of_r_d_performer_and_field_b_level_2,_b_type_of_r_d_performer_and_field_b_level_3,_b_type_of_r_d_performer_and_field_b_level_4,_b_type_of_r_d_performer_and_field_b_level_5,_b_type_of_r_d_performer_and_field_b_level_6,_b_type_of_r_d_performer_and_field_b_hierarchy_depth,field_2018,field_2019,field_preliminary_2020,field_preliminary_change_2019_20
3844,r023,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Other nonprofit institutions,Obligations for R&D and R&D plant,R&D,Research,Performer,Other nonprofit institutions,,5,7614.5,7891.5,8177.8,3.6
3844,r024,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Nonprofit-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Performer,Nonprofit-administered FFRDCs,,5,2299.8,2270.9,2436.2,7.3
3844,r025,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Research,Performer,State and local governments,,5,430.2,500.4,503.7,0.7
3844,r026,Obligations for R&D and R&D plant -> R&D -> Research -> Performer -> Foreign,Obligations for R&D and R&D plant,R&D,Research,Performer,Foreign,,5,410.7,487.7,512.8,5.1
3844,r027,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,,,4,,,,
3844,r028,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Computer sciences and mathematics,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Computer sciences and mathematics,,5,4206.9,4330.0,4740.3,9.5
3844,r029,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Engineering,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Engineering,,5,13758.6,15279.3,16417.4,7.4
3844,r030,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Environmental sciences,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Environmental sciences,,5,4567.6,5074.7,4778.3,-5.8
3844,r031,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Life sciences,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Life sciences,,5,36994.4,38303.7,40665.4,6.2
3844,r032,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Physical sciences,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Physical sciences,,5,7881.4,9816.1,9607.6,-2.1
3844,r033,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Psychology,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Psychology,,5,2326.9,2753.6,2932.9,6.5
3844,r034,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Social sciences,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Social sciences,,5,1039.4,1155.7,1018.3,-11.9
3844,r035,Obligations for R&D and R&D plant -> R&D -> Research -> Field of science and engineering -> Other sciences nec,Obligations for R&D and R&D plant,R&D,Research,Field of science and engineering,Other sciences nec,,5,3812.4,4404.8,5102.2,15.8
3844,r036,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research,Obligations for R&D and R&D plant,R&D,Research,Basic research,,,4,36195.1,40017.3,41755.3,4.3
3844,r037,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,,5,,,,
3844,r038,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Intramural<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Intramural<sup>a</sup>,6,6688.7,7240.4,7935.4,9.6
3844,r039,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Industry,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Industry,6,2786.8,3636.6,3542.3,-2.6
3844,r040,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Industry-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Industry-administered FFRDCs,6,584.4,555.7,553.4,-0.4
3844,r041,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Universities and colleges,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Universities and colleges,6,17503.5,18626.5,19635.3,5.4
3844,r042,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> University-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,University-administered FFRDCs,6,3283.4,4419.7,4261.6,-3.6
3844,r043,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Other nonprofit institutions,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Other nonprofit institutions,6,3657.8,3724.6,3889.0,4.4
3844,r044,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Nonprofit-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Nonprofit-administered FFRDCs,6,1401.0,1478.1,1576.5,6.7
3844,r045,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,State and local governments,6,87.0,86.0,117.9,37.0
3844,r046,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Performer -> Foreign,Obligations for R&D and R&D plant,R&D,Research,Basic research,Performer,Foreign,6,202.5,249.5,243.9,-2.2
3844,r047,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of science and engineering,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of science and engineering,,5,,,,
3844,r048,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of science and engineering -> Computer sciences and mathematics,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of science and engineering,Computer sciences and mathematics,6,2084.6,2305.9,2474.2,7.3
3844,r049,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of science and engineering -> Engineering,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of science and engineering,Engineering,6,3585.7,3618.0,3811.5,5.4
3844,r050,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of science and engineering -> Environmental sciences,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of science and engineering,Environmental sciences,6,2996.4,3251.8,2922.3,-10.1
3844,r051,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of science and engineering -> Life sciences,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of science and engineering,Life sciences,6,18176.1,18880.6,20206.5,7.0
3844,r052,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of science and engineering -> Physical sciences,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of science and engineering,Physical sciences,6,5930.8,7907.0,7716.1,-2.4
3844,r053,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of science and engineering -> Psychology,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of science and engineering,Psychology,6,1147.3,1366.1,1471.7,7.7
3844,r054,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of science and engineering -> Social sciences,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of science and engineering,Social sciences,6,374.1,451.2,428.9,-5.0
3844,r055,Obligations for R&D and R&D plant -> R&D -> Research -> Basic research -> Field of science and engineering -> Other sciences nec,Obligations for R&D and R&D plant,R&D,Research,Basic research,Field of science and engineering,Other sciences nec,6,1900.0,2236.8,2724.1,21.8
3844,r056,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research,Obligations for R&D and R&D plant,R&D,Research,Applied research,,,4,38392.4,41100.5,43507.2,5.9
3844,r057,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,,5,,,,
3844,r058,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Intramural<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Intramural<sup>a</sup>,6,11128.8,11057.9,11529.8,4.3
3844,r059,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Industry,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Industry,6,5981.3,7102.3,7290.4,2.6
3844,r060,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Industry-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Industry-administered FFRDCs,6,2869.2,3110.9,3661.1,17.7
3844,r061,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Universities and colleges,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Universities and colleges,6,12585.1,13754.5,14754.3,7.3
3844,r062,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> University-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,University-administered FFRDCs,6,421.2,462.7,468.4,1.2
3844,r063,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Other nonprofit institutions,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Other nonprofit institutions,6,3956.7,4166.9,4288.8,2.9
3844,r064,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Nonprofit-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Nonprofit-administered FFRDCs,6,898.8,792.8,859.7,8.4
3844,r065,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,State and local governments,6,343.2,414.4,385.8,-6.9
3844,r066,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Performer -> Foreign,Obligations for R&D and R&D plant,R&D,Research,Applied research,Performer,Foreign,6,208.1,238.2,268.8,12.9
3844,r067,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of science and engineering,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of science and engineering,,5,,,,
3844,r068,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of science and engineering -> Computer sciences and mathematics,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of science and engineering,Computer sciences and mathematics,6,2122.3,2024.0,2266.1,12.0
3844,r069,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of science and engineering -> Engineering,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of science and engineering,Engineering,6,10172.8,11661.4,12605.9,8.1
3844,r070,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of science and engineering -> Environmental sciences,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of science and engineering,Environmental sciences,6,1571.1,1822.9,1856.0,1.8
3844,r071,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of science and engineering -> Life sciences,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of science and engineering,Life sciences,6,18818.3,19423.1,20458.9,5.3
3844,r072,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of science and engineering -> Physical sciences,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of science and engineering,Physical sciences,6,1950.7,1909.2,1891.6,-0.9
3844,r073,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of science and engineering -> Psychology,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of science and engineering,Psychology,6,1179.6,1387.5,1461.3,5.3
3844,r074,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of science and engineering -> Social sciences,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of science and engineering,Social sciences,6,665.3,704.5,589.4,-16.3
3844,r075,Obligations for R&D and R&D plant -> R&D -> Research -> Applied research -> Field of science and engineering -> Other sciences nec,Obligations for R&D and R&D plant,R&D,Research,Applied research,Field of science and engineering,Other sciences nec,6,1912.4,2168.0,2378.1,9.7
3844,r076,Obligations for R&D and R&D plant -> R&D -> Experimental development,Obligations for R&D and R&D plant,R&D,Experimental development,,,,3,54837.2,61306.4,65622.2,7.0
3844,r077,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,,,4,,,,
3844,r078,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Intramural<sup>a</sup>,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Intramural<sup>a</sup>,,5,18135.9,21014.5,22939.6,9.2
3844,r079,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Industry,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Industry,,5,30985.5,33707.1,35665.1,5.8
3844,r080,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Industry-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Industry-administered FFRDCs,,5,608.8,2410.9,2269.3,-5.9
3844,r081,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Universities and colleges,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Universities and colleges,,5,1445.5,1619.5,1702.4,5.1
3844,r082,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> University-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,University-administered FFRDCs,,5,1191.2,469.5,510.7,8.8
3844,r083,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Other nonprofit institutions,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Other nonprofit institutions,,5,836.3,558.7,773.5,38.4
3844,r084,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Nonprofit-administered FFRDCs,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Nonprofit-administered FFRDCs,,5,1197.6,990.6,1193.5,20.5
3844,r085,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,State and local governments,,5,131.7,86.1,60.5,-29.7
3844,r086,Obligations for R&D and R&D plant -> R&D -> Experimental development -> Performer -> Foreign,Obligations for R&D and R&D plant,R&D,Experimental development,Performer,Foreign,,5,304.7,449.5,507.6,12.9
3844,r087,Obligations for R&D and R&D plant -> R&D plant,Obligations for R&D and R&D plant,R&D plant,,,,,2,3852.7,4376.4,4759.0,8.7
3844,r088,Obligations for R&D and R&D plant -> R&D plant -> Performer,Obligations for R&D and R&D plant,R&D plant,Performer,,,,3,,,,
3844,r089,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Intramural<sup>a</sup>,Obligations for R&D and R&D plant,R&D plant,Performer,Intramural<sup>a</sup>,,,4,1252.1,1092.7,1652.0,51.2
3844,r090,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Industry,Obligations for R&D and R&D plant,R&D plant,Performer,Industry,,,4,310.9,354.0,207.5,-41.4
3844,r091,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Industry-administered FFRDCs,Obligations for R&D and R&D plant,R&D plant,Performer,Industry-administered FFRDCs,,,4,214.2,428.3,350.3,-18.2
3844,r092,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Universities and colleges,Obligations for R&D and R&D plant,R&D plant,Performer,Universities and colleges,,,4,410.4,514.0,427.1,-16.9
3844,r093,Obligations for R&D and R&D plant -> R&D plant -> Performer -> University-administered FFRDCs,Obligations for R&D and R&D plant,R&D plant,Performer,University-administered FFRDCs,,,4,761.5,850.0,799.3,-6.0
3844,r094,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Other nonprofit institutions,Obligations for R&D and R&D plant,R&D plant,Performer,Other nonprofit institutions,,,4,180.2,169.8,241.9,42.4
3844,r095,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Nonprofit-administered FFRDCs,Obligations for R&D and R&D plant,R&D plant,Performer,Nonprofit-administered FFRDCs,,,4,709.4,956.2,1076.3,12.6
3844,r096,Obligations for R&D and R&D plant -> R&D plant -> Performer -> State and local governments,Obligations for R&D and R&D plant,R&D plant,Performer,State and local governments,,,4,0.0,1.2,1.0,-15.0
3844,r097,Obligations for R&D and R&D plant -> R&D plant -> Performer -> Foreign,Obligations for R&D and R&D plant,R&D plant,Performer,Foreign,,,4,14.1,10.3,3.5,-65.8
