table_id,row_id,field_and_degree_full_path,field_and_degree_level_1,field_and_degree_level_2,field_and_degree_level_3,field_and_degree_level_4,field_and_degree_hierarchy_depth,field_all_s_e_graduate_students_total,field_all_s_e_graduate_students_full_time,field_all_s_e_graduate_students_part_time,field_female_total,field_female_full_time,field_female_part_time,field_male_total,field_male_full_time,field_male_part_time
3250,r044,All S&E graduate students -> All S&E master's students -> Engineering -> Agricultural engineering,All S&E graduate students,All S&E master's students,Engineering,Agricultural engineering,4,371,286,85,136,108,28,235,178,57
3250,r045,All S&E graduate students -> All S&E master's students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,All S&E master's students,Engineering,Bioengineering and biomedical engineering,4,4202,3369,833,1875,1508,367,2327,1861,466
3250,r046,All S&E graduate students -> All S&E master's students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,All S&E master's students,Engineering,Biological and biosystems engineering,4,80,50,30,30,23,7,50,27,23
3250,r047,All S&E graduate students -> All S&E master's students -> Engineering -> Chemical engineering,All S&E graduate students,All S&E master's students,Engineering,Chemical engineering,4,3061,2220,841,961,692,269,2100,1528,572
3250,r048,All S&E graduate students -> All S&E master's students -> Engineering -> Civil engineering,All S&E graduate students,All S&E master's students,Engineering,Civil engineering,4,12729,8289,4440,4002,2728,1274,8727,5561,3166
3250,r049,"All S&E graduate students -> All S&E master's students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E master's students,Engineering,"Electrical, electronics, and communications engineering",4,28108,19341,8767,6745,4984,1761,21363,14357,7006
3250,r050,"All S&E graduate students -> All S&E master's students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E master's students,Engineering,"Engineering mechanics, physics, and science",4,729,472,257,165,129,36,564,343,221
3250,r051,All S&E graduate students -> All S&E master's students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E master's students,Engineering,Industrial and manufacturing engineering,4,12389,6492,5897,3317,1791,1526,9072,4701,4371
3250,r052,All S&E graduate students -> All S&E master's students -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E master's students,Engineering,Mechanical engineering,4,15434,10178,5256,2263,1527,736,13171,8651,4520
3250,r053,All S&E graduate students -> All S&E master's students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E master's students,Engineering,Metallurgical and materials engineering,4,2079,1539,540,642,467,175,1437,1072,365
3250,r054,All S&E graduate students -> All S&E master's students -> Engineering -> Mining engineering,All S&E graduate students,All S&E master's students,Engineering,Mining engineering,4,316,211,105,83,61,22,233,150,83
3250,r055,All S&E graduate students -> All S&E master's students -> Engineering -> Nanotechnology,All S&E graduate students,All S&E master's students,Engineering,Nanotechnology,4,47,32,15,12,9,3,35,23,12
3250,r056,All S&E graduate students -> All S&E master's students -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E master's students,Engineering,Nuclear engineering,4,407,273,134,48,30,18,359,243,116
3250,r057,All S&E graduate students -> All S&E master's students -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E master's students,Engineering,Petroleum engineering,4,754,477,277,140,83,57,614,394,220
3250,r058,All S&E graduate students -> All S&E master's students -> Engineering -> Engineering nec,All S&E graduate students,All S&E master's students,Engineering,Engineering nec,4,9016,3871,5145,2024,996,1028,6992,2875,4117
3250,r059,All S&E graduate students -> All S&E doctoral students,All S&E graduate students,All S&E doctoral students,,,2,261165,231297,29868,108249,96029,12220,152916,135268,17648
3250,r060,All S&E graduate students -> All S&E doctoral students -> Science,All S&E graduate students,All S&E doctoral students,Science,,3,190928,170004,20924,89908,79705,10203,101020,90299,10721
3250,r061,All S&E graduate students -> All S&E doctoral students -> Science -> Agricultural sciences,All S&E graduate students,All S&E doctoral students,Science,Agricultural sciences,4,3880,3273,607,1980,1690,290,1900,1583,317
3250,r062,All S&E graduate students -> All S&E doctoral students -> Science -> Biological and biomedical sciences,All S&E graduate students,All S&E doctoral students,Science,Biological and biomedical sciences,4,52627,49254,3373,28708,26900,1808,23919,22354,1565
3250,r063,All S&E graduate students -> All S&E doctoral students -> Science -> Computer and information sciences,All S&E graduate students,All S&E doctoral students,Science,Computer and information sciences,4,16127,13596,2531,4112,3492,620,12015,10104,1911
3250,r064,"All S&E graduate students -> All S&E doctoral students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All S&E graduate students,All S&E doctoral students,Science,"Geosciences, atmospheric sciences, and ocean sciences",4,6704,5950,754,3067,2763,304,3637,3187,450
3250,r065,All S&E graduate students -> All S&E doctoral students -> Science -> Mathematics and statistics,All S&E graduate students,All S&E doctoral students,Science,Mathematics and statistics,4,13388,12248,1140,3906,3559,347,9482,8689,793
3250,r066,All S&E graduate students -> All S&E doctoral students -> Science -> Multidisciplinary and interdisciplinary studies,All S&E graduate students,All S&E doctoral students,Science,Multidisciplinary and interdisciplinary studies,4,2924,2388,536,1504,1230,274,1420,1158,262
3250,r067,All S&E graduate students -> All S&E doctoral students -> Science -> Natural resources and conservation,All S&E graduate students,All S&E doctoral students,Science,Natural resources and conservation,4,3716,2962,754,1953,1567,386,1763,1395,368
3250,r068,All S&E graduate students -> All S&E doctoral students -> Science -> Physical sciences,All S&E graduate students,All S&E doctoral students,Science,Physical sciences,4,36000,33756,2244,11886,11204,682,24114,22552,1562
3250,r069,All S&E graduate students -> All S&E doctoral students -> Science -> Psychology,All S&E graduate students,All S&E doctoral students,Science,Psychology,4,20303,16538,3765,14640,11985,2655,5663,4553,1110
3250,r070,All S&E graduate students -> All S&E doctoral students -> Science -> Social sciences,All S&E graduate students,All S&E doctoral students,Science,Social sciences,4,35259,30039,5220,18152,15315,2837,17107,14724,2383
3250,r071,All S&E graduate students -> All S&E doctoral students -> Engineering,All S&E graduate students,All S&E doctoral students,Engineering,,3,70237,61293,8944,18341,16324,2017,51896,44969,6927
3250,r072,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All S&E graduate students,All S&E doctoral students,Engineering,"Aerospace, aeronautical, and astronautical engineering",4,2506,2173,333,401,354,47,2105,1819,286
3250,r073,All S&E graduate students -> All S&E doctoral students -> Engineering -> Agricultural engineering,All S&E graduate students,All S&E doctoral students,Engineering,Agricultural engineering,4,661,572,89,265,230,35,396,342,54
3250,r074,All S&E graduate students -> All S&E doctoral students -> Engineering -> Bioengineering and biomedical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Bioengineering and biomedical engineering,4,7278,6564,714,3040,2761,279,4238,3803,435
3250,r075,All S&E graduate students -> All S&E doctoral students -> Engineering -> Biological and biosystems engineering,All S&E graduate students,All S&E doctoral students,Engineering,Biological and biosystems engineering,4,203,149,54,76,57,19,127,92,35
3250,r076,All S&E graduate students -> All S&E doctoral students -> Engineering -> Chemical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Chemical engineering,4,6950,6583,367,2213,2112,101,4737,4471,266
3250,r077,All S&E graduate students -> All S&E doctoral students -> Engineering -> Civil engineering,All S&E graduate students,All S&E doctoral students,Engineering,Civil engineering,4,7732,6573,1159,2528,2192,336,5204,4381,823
3250,r078,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Electrical, electronics, and communications engineering",All S&E graduate students,All S&E doctoral students,Engineering,"Electrical, electronics, and communications engineering",4,18119,15473,2646,3393,2956,437,14726,12517,2209
3250,r079,"All S&E graduate students -> All S&E doctoral students -> Engineering -> Engineering mechanics, physics, and science",All S&E graduate students,All S&E doctoral students,Engineering,"Engineering mechanics, physics, and science",4,1428,1296,132,355,326,29,1073,970,103
3250,r080,All S&E graduate students -> All S&E doctoral students -> Engineering -> Industrial and manufacturing engineering,All S&E graduate students,All S&E doctoral students,Engineering,Industrial and manufacturing engineering,4,3598,2901,697,1085,904,181,2513,1997,516
3250,r081,All S&E graduate students -> All S&E doctoral students -> Engineering -> Mechanical engineering,All S&E graduate students,All S&E doctoral students,Engineering,Mechanical engineering,4,11159,9898,1261,2052,1852,200,9107,8046,1061
3250,r082,All S&E graduate students -> All S&E doctoral students -> Engineering -> Metallurgical and materials engineering,All S&E graduate students,All S&E doctoral students,Engineering,Metallurgical and materials engineering,4,4610,4284,326,1425,1331,94,3185,2953,232
3250,r083,All S&E graduate students -> All S&E doctoral students -> Engineering -> Mining engineering,All S&E graduate students,All S&E doctoral students,Engineering,Mining engineering,4,211,170,41,47,41,6,164,129,35
3250,r084,All S&E graduate students -> All S&E doctoral students -> Engineering -> Nanotechnology,All S&E graduate students,All S&E doctoral students,Engineering,Nanotechnology,4,71,71,0,22,22,0,49,49,0
3250,r085,All S&E graduate students -> All S&E doctoral students -> Engineering -> Nuclear engineering,All S&E graduate students,All S&E doctoral students,Engineering,Nuclear engineering,4,1046,935,111,206,184,22,840,751,89
3250,r086,All S&E graduate students -> All S&E doctoral students -> Engineering -> Petroleum engineering,All S&E graduate students,All S&E doctoral students,Engineering,Petroleum engineering,4,649,579,70,132,114,18,517,465,52
3250,r087,All S&E graduate students -> All S&E doctoral students -> Engineering -> Engineering nec,All S&E graduate students,All S&E doctoral students,Engineering,Engineering nec,4,4016,3072,944,1101,888,213,2915,2184,731
