table_id,row_id,country_of_citizenship_full_path,country_of_citizenship_level_1,country_of_citizenship_level_2,country_of_citizenship_level_3,country_of_citizenship_hierarchy_depth,field_total_2013_19_number,field_total_2013_19_staying,field_2013_number,field_2013_staying,field_2014_number,field_2014_staying,field_2015_number,field_2015_staying,field_2016_number,field_2016_staying,field_2017_number,field_2017_staying,field_2018_number,field_2018_staying,field_2019_number,field_2019_staying
2837,r012,All temporary visa holders -> Americas -> Chile,All temporary visa holders,Americas,Chile,3,724,33.3,74,36.5,99,35.4,103,32.0,130,32.3,128,25.8,91,39.6,99,35.4
2837,r013,All temporary visa holders -> Americas -> Colombia,All temporary visa holders,Americas,Colombia,3,1363,57.0,179,53.1,216,56.9,183,68.3,187,61.5,190,48.4,205,52.7,203,58.6
2837,r014,All temporary visa holders -> Americas -> Mexico,All temporary visa holders,Americas,Mexico,3,1338,62.1,177,61.6,193,54.9,194,53.1,221,61.1,180,69.4,185,71.4,188,64.4
2837,r015,All temporary visa holders -> Americas -> Venezuela,All temporary visa holders,Americas,Venezuela,3,221,79.6,40,82.5,40,82.5,29,75.9,27,88.9,31,67.7,26,76.9,28,82.1
2837,r016,All temporary visa holders -> Americas -> Other,All temporary visa holders,Americas,Other,3,2085,60.0,304,64.1,300,59.7,304,57.6,309,61.2,287,57.5,297,57.6,284,62.0
2837,r017,All temporary visa holders -> Asia,All temporary visa holders,Asia,,2,76739,77.1,10560,75.0,10752,75.8,10885,76.0,11016,78.1,10638,80.0,11294,77.5,11594,77.2
2837,r018,All temporary visa holders -> Asia -> Bangladesh,All temporary visa holders,Asia,Bangladesh,3,1391,86.7,107,78.5,139,83.5,154,87.7,185,90.3,236,88.1,279,88.2,291,85.9
2837,r019,All temporary visa holders -> Asia -> China<sup>a</sup>,All temporary visa holders,Asia,China<sup>a</sup>,3,38713,81.0,4796,82.0,4982,81.3,5374,81.1,5527,81.0,5553,83.3,6176,79.4,6305,79.3
2837,r020,All temporary visa holders -> Asia -> India,All temporary visa holders,Asia,India,3,15001,86.2,2204,84.3,2316,86.2,2229,84.6,2195,87.2,1969,88.5,2038,87.0,2050,86.0
2837,r021,All temporary visa holders -> Asia -> Indonesia,All temporary visa holders,Asia,Indonesia,3,523,42.4,71,49.3,78,38.5,53,37.7,92,43.5,69,50.7,81,34.6,79,43.0
2837,r022,All temporary visa holders -> Asia -> Japan,All temporary visa holders,Asia,Japan,3,1083,49.3,217,47.5,173,48.6,164,39.6,166,53.6,117,58.1,117,50.4,129,51.2
2837,r023,All temporary visa holders -> Asia -> Nepal,All temporary visa holders,Asia,Nepal,3,1405,89.0,150,90.0,172,84.9,177,88.1,222,88.7,221,91.9,224,89.3,239,89.5
2837,r024,All temporary visa holders -> Asia -> Pakistan,All temporary visa holders,Asia,Pakistan,3,784,53.3,98,49.0,127,47.2,124,54.0,102,45.1,113,54.0,110,59.1,110,64.5
2837,r025,All temporary visa holders -> Asia -> Philippines,All temporary visa holders,Asia,Philippines,3,394,70.1,92,66.3,70,67.1,40,75.0,51,76.5,47,70.2,56,73.2,38,65.8
2837,r026,All temporary visa holders -> Asia -> Singapore,All temporary visa holders,Asia,Singapore,3,663,37.0,91,38.5,97,38.1,102,36.3,91,38.5,101,41.6,81,25.9,100,38.0
2837,r027,All temporary visa holders -> Asia -> South Korea,All temporary visa holders,Asia,South Korea,3,8456,63.7,1383,59.1,1284,60.7,1234,62.9,1229,66.7,1127,68.5,1035,63.6,1164,65.2
2837,r028,All temporary visa holders -> Asia -> Taiwan,All temporary visa holders,Asia,Taiwan,3,4097,72.8,699,67.4,668,68.6,614,70.4,592,77.9,520,76.7,513,78.0,491,73.5
2837,r029,All temporary visa holders -> Asia -> Thailand,All temporary visa holders,Asia,Thailand,3,1407,27.9,264,31.1,231,26.4,220,21.4,185,30.3,171,25.7,177,31.1,159,30.2
2837,r030,All temporary visa holders -> Asia -> Vietnam,All temporary visa holders,Asia,Vietnam,3,963,75.3,140,71.4,142,76.8,134,74.6,124,71.8,133,75.9,122,80.3,168,76.2
2837,r031,All temporary visa holders -> Asia -> Other,All temporary visa holders,Asia,Other,3,1859,67.6,248,61.7,273,65.9,266,62.4,255,68.2,261,68.6,285,73.0,271,72.3
2837,r032,All temporary visa holders -> Australia-Oceania,All temporary visa holders,Australia-Oceania,,2,516,59.3,80,58.8,64,45.3,83,55.4,65,61.5,79,62.0,64,57.8,81,71.6
2837,r033,All temporary visa holders -> Australia-Oceania -> Australia,All temporary visa holders,Australia-Oceania,Australia,3,335,60.3,60,55.0,44,43.2,52,48.1,42,66.7,47,72.3,37,64.9,53,73.6
2837,r034,All temporary visa holders -> Australia-Oceania -> Other,All temporary visa holders,Australia-Oceania,Other,3,181,57.5,20,70.0,20,50.0,31,67.7,23,52.2,32,46.9,27,48.1,28,67.9
2837,r035,All temporary visa holders -> Europe,All temporary visa holders,Europe,,2,12648,63.6,1904,62.3,1802,63.4,1832,61.4,1776,62.7,1785,67.4,1800,63.3,1749,64.5
2837,r036,All temporary visa holders -> Europe -> Bulgaria,All temporary visa holders,Europe,Bulgaria,3,241,78.8,47,78.7,42,66.7,34,70.6,44,88.6,30,86.7,23,78.3,21,85.7
2837,r037,All temporary visa holders -> Europe -> France,All temporary visa holders,Europe,France,3,805,65.2,97,62.9,114,67.5,131,58.8,105,66.7,107,69.2,133,64.7,118,67.8
2837,r038,All temporary visa holders -> Europe -> Germany,All temporary visa holders,Europe,Germany,3,1233,56.0,202,51.5,203,51.2,195,51.3,183,61.2,154,68.2,144,54.2,152,57.9
2837,r039,All temporary visa holders -> Europe -> Greece,All temporary visa holders,Europe,Greece,3,630,73.8,88,76.1,81,72.8,84,71.4,84,71.4,89,73.0,113,77.9,91,72.5
2837,r040,All temporary visa holders -> Europe -> Italy,All temporary visa holders,Europe,Italy,3,1072,66.2,154,61.0,156,64.1,126,65.1,167,65.9,161,70.8,138,72.5,170,64.7
2837,r041,All temporary visa holders -> Europe -> Romania,All temporary visa holders,Europe,Romania,3,391,77.0,66,74.2,79,78.5,57,82.5,51,88.2,43,81.4,47,61.7,48,70.8
2837,r042,All temporary visa holders -> Europe -> Russian Federation (former USSR),All temporary visa holders,Europe,Russian Federation (former USSR),3,818,74.2,110,71.8,106,72.6,118,78.0,108,69.4,112,81.3,154,73.4,110,72.7
2837,r043,All temporary visa holders -> Europe -> Spain,All temporary visa holders,Europe,Spain,3,654,62.8,82,65.9,68,60.3,98,60.2,73,61.6,100,74.0,104,61.5,129,57.4
2837,r044,All temporary visa holders -> Europe -> Turkey,All temporary visa holders,Europe,Turkey,3,3197,60.8,478,60.7,426,62.9,469,59.7,472,57.6,496,61.1,451,59.6,405,64.7
2837,r045,All temporary visa holders -> Europe -> Ukraine,All temporary visa holders,Europe,Ukraine,3,291,78.0,52,76.9,51,72.5,42,85.7,31,71.0,37,83.8,35,74.3,43,81.4
2837,r046,All temporary visa holders -> Europe -> United Kingdom,All temporary visa holders,Europe,United Kingdom,3,764,59.8,113,56.6,97,70.1,100,55.0,115,54.8,103,60.2,109,60.6,127,62.2
2837,r047,All temporary visa holders -> Europe -> Other,All temporary visa holders,Europe,Other,3,2552,59.2,415,59.5,379,58.3,378,56.3,343,58.6,353,63.2,349,58.2,335,60.3
2837,r048,All temporary visa holders -> Middle East,All temporary visa holders,Middle East,,2,9561,62.4,865,65.2,938,65.9,1131,66.9,1309,63.9,1500,62.1,1744,62.3,2074,56.5
2837,r049,All temporary visa holders -> Middle East -> Iran,All temporary visa holders,Middle East,Iran,3,4874,90.7,409,86.8,483,89.2,629,89.7,695,91.1,767,92.6,932,91.5,959,91.4
2837,r050,All temporary visa holders -> Middle East -> Israel,All temporary visa holders,Middle East,Israel,3,552,55.4,81,60.5,81,61.7,86,59.3,83,51.8,77,49.4,64,50.0,80,53.8
2837,r051,All temporary visa holders -> Middle East -> Jordan,All temporary visa holders,Middle East,Jordan,3,730,47.1,115,46.1,110,40.9,128,44.5,98,44.9,114,44.7,76,57.9,89,56.2
2837,r052,All temporary visa holders -> Middle East -> Lebanon,All temporary visa holders,Middle East,Lebanon,3,368,74.5,66,81.8,50,66.0,39,64.1,57,70.2,52,78.8,51,76.5,53,79.2
2837,r053,All temporary visa holders -> Middle East -> Saudi Arabia,All temporary visa holders,Middle East,Saudi Arabia,3,1845,12.7,73,11.0,105,17.1,134,14.2,238,10.1,339,10.3,403,14.9,553,12.8
2837,r054,All temporary visa holders -> Middle East -> Other,All temporary visa holders,Middle East,Other,3,1192,32.2,121,37.2,109,37.6,115,35.7,138,37.7,151,37.7,218,27.1,340,26.2
2837,r055,All temporary visa holders -> Country unknown,All temporary visa holders,Country unknown,,2,1697,43.1,173,25.4,93,24.7,69,47.8,155,12.9,142,61.3,477,46.8,588,51.4
