table_id,row_id,time_period,_b_all_full_time_graduate_students_b_level_1,_b_all_full_time_graduate_students_b_level_2,_b_all_full_time_graduate_students_b_level_3,_b_all_full_time_graduate_students_b_hierarchy_depth,value
6065,r115,1987,Full-time doctoral students,Total,,2,na
6065,r116,1987,Full-time doctoral students,First time,Number,3,na
6065,r117,1987,Full-time doctoral students,First time,Percent,3,na
6065,r118,1988,All full-time graduate students,Total,,2,275127
6065,r119,1988,All full-time graduate students,First time,Number,3,80580
6065,r120,1988,All full-time graduate students,First time,Percent,3,29.3
6065,r121,1988,Full-time master's students,Total,,2,na
6065,r122,1988,Full-time master's students,First time,Number,3,na
6065,r123,1988,Full-time master's students,First time,Percent,3,na
6065,r124,1988,Full-time doctoral students,Total,,2,na
6065,r125,1988,Full-time doctoral students,First time,Number,3,na
6065,r126,1988,Full-time doctoral students,First time,Percent,3,na
6065,r127,1989,All full-time graduate students,Total,,2,282648
6065,r128,1989,All full-time graduate students,First time,Number,3,84532
6065,r129,1989,All full-time graduate students,First time,Percent,3,29.9
6065,r130,1989,Full-time master's students,Total,,2,na
6065,r131,1989,Full-time master's students,First time,Number,3,na
6065,r132,1989,Full-time master's students,First time,Percent,3,na
6065,r133,1989,Full-time doctoral students,Total,,2,na
6065,r134,1989,Full-time doctoral students,First time,Number,3,na
6065,r135,1989,Full-time doctoral students,First time,Percent,3,na
6065,r136,1990,All full-time graduate students,Total,,2,292782
6065,r137,1990,All full-time graduate students,First time,Number,3,87401
6065,r138,1990,All full-time graduate students,First time,Percent,3,29.9
6065,r139,1990,Full-time master's students,Total,,2,na
6065,r140,1990,Full-time master's students,First time,Number,3,na
6065,r141,1990,Full-time master's students,First time,Percent,3,na
6065,r142,1990,Full-time doctoral students,Total,,2,na
6065,r143,1990,Full-time doctoral students,First time,Number,3,na
6065,r144,1990,Full-time doctoral students,First time,Percent,3,na
6065,r145,1991,All full-time graduate students,Total,,2,307010
6065,r146,1991,All full-time graduate students,First time,Number,3,93147
6065,r147,1991,All full-time graduate students,First time,Percent,3,30.3
6065,r148,1991,Full-time master's students,Total,,2,na
6065,r149,1991,Full-time master's students,First time,Number,3,na
6065,r150,1991,Full-time master's students,First time,Percent,3,na
6065,r151,1991,Full-time doctoral students,Total,,2,na
6065,r152,1991,Full-time doctoral students,First time,Number,3,na
6065,r153,1991,Full-time doctoral students,First time,Percent,3,na
6065,r154,1992,All full-time graduate students,Total,,2,322555
6065,r155,1992,All full-time graduate students,First time,Number,3,95802
6065,r156,1992,All full-time graduate students,First time,Percent,3,29.7
6065,r157,1992,Full-time master's students,Total,,2,na
6065,r158,1992,Full-time master's students,First time,Number,3,na
6065,r159,1992,Full-time master's students,First time,Percent,3,na
6065,r160,1992,Full-time doctoral students,Total,,2,na
6065,r161,1992,Full-time doctoral students,First time,Number,3,na
6065,r162,1992,Full-time doctoral students,First time,Percent,3,na
6065,r163,1993,All full-time graduate students,Total,,2,329644
6065,r164,1993,All full-time graduate students,First time,Number,3,92748
6065,r165,1993,All full-time graduate students,First time,Percent,3,28.1
6065,r166,1993,Full-time master's students,Total,,2,na
6065,r167,1993,Full-time master's students,First time,Number,3,na
6065,r168,1993,Full-time master's students,First time,Percent,3,na
6065,r169,1993,Full-time doctoral students,Total,,2,na
6065,r170,1993,Full-time doctoral students,First time,Number,3,na
6065,r171,1993,Full-time doctoral students,First time,Percent,3,na
6065,r172,1994,All full-time graduate students,Total,,2,332088
6065,r173,1994,All full-time graduate students,First time,Number,3,92171
6065,r174,1994,All full-time graduate students,First time,Percent,3,27.8
6065,r175,1994,Full-time master's students,Total,,2,na
6065,r176,1994,Full-time master's students,First time,Number,3,na
6065,r177,1994,Full-time master's students,First time,Percent,3,na
6065,r178,1994,Full-time doctoral students,Total,,2,na
6065,r179,1994,Full-time doctoral students,First time,Number,3,na
6065,r180,1994,Full-time doctoral students,First time,Percent,3,na
6065,r181,1995,All full-time graduate students,Total,,2,329283
6065,r182,1995,All full-time graduate students,First time,Number,3,89482
6065,r183,1995,All full-time graduate students,First time,Percent,3,27.2
6065,r184,1995,Full-time master's students,Total,,2,na
6065,r185,1995,Full-time master's students,First time,Number,3,na
6065,r186,1995,Full-time master's students,First time,Percent,3,na
6065,r187,1995,Full-time doctoral students,Total,,2,na
6065,r188,1995,Full-time doctoral students,First time,Number,3,na
6065,r189,1995,Full-time doctoral students,First time,Percent,3,na
6065,r190,1996,All full-time graduate students,Total,,2,328536
6065,r191,1996,All full-time graduate students,First time,Number,3,88984
6065,r192,1996,All full-time graduate students,First time,Percent,3,27.1
6065,r193,1996,Full-time master's students,Total,,2,na
6065,r194,1996,Full-time master's students,First time,Number,3,na
6065,r195,1996,Full-time master's students,First time,Percent,3,na
6065,r196,1996,Full-time doctoral students,Total,,2,na
6065,r197,1996,Full-time doctoral students,First time,Number,3,na
6065,r198,1996,Full-time doctoral students,First time,Percent,3,na
6065,r199,1997,All full-time graduate students,Total,,2,327289
6065,r200,1997,All full-time graduate students,First time,Number,3,89177
6065,r201,1997,All full-time graduate students,First time,Percent,3,27.2
6065,r202,1997,Full-time master's students,Total,,2,na
6065,r203,1997,Full-time master's students,First time,Number,3,na
6065,r204,1997,Full-time master's students,First time,Percent,3,na
6065,r205,1997,Full-time doctoral students,Total,,2,na
6065,r206,1997,Full-time doctoral students,First time,Number,3,na
6065,r207,1997,Full-time doctoral students,First time,Percent,3,na
6065,r208,1998,All full-time graduate students,Total,,2,327389
6065,r209,1998,All full-time graduate students,First time,Number,3,90828
6065,r210,1998,All full-time graduate students,First time,Percent,3,27.7
6065,r211,1998,Full-time master's students,Total,,2,na
6065,r212,1998,Full-time master's students,First time,Number,3,na
6065,r213,1998,Full-time master's students,First time,Percent,3,na
6065,r214,1998,Full-time doctoral students,Total,,2,na
6065,r215,1998,Full-time doctoral students,First time,Number,3,na
6065,r216,1998,Full-time doctoral students,First time,Percent,3,na
6065,r217,1999,All full-time graduate students,Total,,2,334423
6065,r218,1999,All full-time graduate students,First time,Number,3,92214
6065,r219,1999,All full-time graduate students,First time,Percent,3,27.6
6065,r220,1999,Full-time master's students,Total,,2,na
6065,r221,1999,Full-time master's students,First time,Number,3,na
6065,r222,1999,Full-time master's students,First time,Percent,3,na
6065,r223,1999,Full-time doctoral students,Total,,2,na
6065,r224,1999,Full-time doctoral students,First time,Number,3,na
6065,r225,1999,Full-time doctoral students,First time,Percent,3,na
6065,r226,2000,All full-time graduate students,Total,,2,341283
6065,r227,2000,All full-time graduate students,First time,Number,3,94340
6065,r228,2000,All full-time graduate students,First time,Percent,3,27.6
6065,r229,2000,Full-time master's students,Total,,2,na
6065,r230,2000,Full-time master's students,First time,Number,3,na
6065,r231,2000,Full-time master's students,First time,Percent,3,na
6065,r232,2000,Full-time doctoral students,Total,,2,na
6065,r233,2000,Full-time doctoral students,First time,Number,3,na
6065,r234,2000,Full-time doctoral students,First time,Percent,3,na
6065,r235,2001,All full-time graduate students,Total,,2,354522
6065,r236,2001,All full-time graduate students,First time,Number,3,98112
6065,r237,2001,All full-time graduate students,First time,Percent,3,27.7
6065,r238,2001,Full-time master's students,Total,,2,na
6065,r239,2001,Full-time master's students,First time,Number,3,na
6065,r240,2001,Full-time master's students,First time,Percent,3,na
6065,r241,2001,Full-time doctoral students,Total,,2,na
6065,r242,2001,Full-time doctoral students,First time,Number,3,na
6065,r243,2001,Full-time doctoral students,First time,Percent,3,na
6065,r244,2002,All full-time graduate students,Total,,2,378991
6065,r245,2002,All full-time graduate students,First time,Number,3,104184
6065,r246,2002,All full-time graduate students,First time,Percent,3,27.5
6065,r247,2002,Full-time master's students,Total,,2,na
6065,r248,2002,Full-time master's students,First time,Number,3,na
6065,r249,2002,Full-time master's students,First time,Percent,3,na
6065,r250,2002,Full-time doctoral students,Total,,2,na
6065,r251,2002,Full-time doctoral students,First time,Number,3,na
6065,r252,2002,Full-time doctoral students,First time,Percent,3,na
6065,r253,2003,All full-time graduate students,Total,,2,397420
6065,r254,2003,All full-time graduate students,First time,Number,3,107715
6065,r255,2003,All full-time graduate students,First time,Percent,3,27.1
6065,r256,2003,Full-time master's students,Total,,2,na
6065,r257,2003,Full-time master's students,First time,Number,3,na
6065,r258,2003,Full-time master's students,First time,Percent,3,na
6065,r259,2003,Full-time doctoral students,Total,,2,na
6065,r260,2003,Full-time doctoral students,First time,Number,3,na
6065,r261,2003,Full-time doctoral students,First time,Percent,3,na
6065,r262,2004,All full-time graduate students,Total,,2,402573
6065,r263,2004,All full-time graduate students,First time,Number,3,106544
6065,r264,2004,All full-time graduate students,First time,Percent,3,26.5
6065,r265,2004,Full-time master's students,Total,,2,na
6065,r266,2004,Full-time master's students,First time,Number,3,na
6065,r267,2004,Full-time master's students,First time,Percent,3,na
6065,r268,2004,Full-time doctoral students,Total,,2,na
6065,r269,2004,Full-time doctoral students,First time,Number,3,na
6065,r270,2004,Full-time doctoral students,First time,Percent,3,na
6065,r271,2005,All full-time graduate students,Total,,2,406620
6065,r272,2005,All full-time graduate students,First time,Number,3,110219
6065,r273,2005,All full-time graduate students,First time,Percent,3,27.1
6065,r274,2005,Full-time master's students,Total,,2,na
6065,r275,2005,Full-time master's students,First time,Number,3,na
6065,r276,2005,Full-time master's students,First time,Percent,3,na
6065,r277,2005,Full-time doctoral students,Total,,2,na
6065,r278,2005,Full-time doctoral students,First time,Number,3,na
6065,r279,2005,Full-time doctoral students,First time,Percent,3,na
6065,r280,2006,All full-time graduate students,Total,,2,419015
6065,r281,2006,All full-time graduate students,First time,Number,3,116482
6065,r282,2006,All full-time graduate students,First time,Percent,3,27.8
6065,r283,2006,Full-time master's students,Total,,2,na
6065,r284,2006,Full-time master's students,First time,Number,3,na
6065,r285,2006,Full-time master's students,First time,Percent,3,na
6065,r286,2006,Full-time doctoral students,Total,,2,na
6065,r287,2006,Full-time doctoral students,First time,Number,3,na
6065,r288,2006,Full-time doctoral students,First time,Percent,3,na
6065,r289,2007old<sup>b</sup>,All full-time graduate students,Total,,2,430860
6065,r290,2007old<sup>b</sup>,All full-time graduate students,First time,Number,3,120236
6065,r291,2007old<sup>b</sup>,All full-time graduate students,First time,Percent,3,27.9
6065,r292,2007old<sup>b</sup>,Full-time master's students,Total,,2,na
6065,r293,2007old<sup>b</sup>,Full-time master's students,First time,Number,3,na
6065,r294,2007old<sup>b</sup>,Full-time master's students,First time,Percent,3,na
6065,r295,2007old<sup>b</sup>,Full-time doctoral students,Total,,2,na
6065,r296,2007old<sup>b</sup>,Full-time doctoral students,First time,Number,3,na
6065,r297,2007old<sup>b</sup>,Full-time doctoral students,First time,Percent,3,na
6065,r298,2007new<sup>b</sup>,All full-time graduate students,Total,,2,437365
6065,r299,2007new<sup>b</sup>,All full-time graduate students,First time,Number,3,122449
6065,r300,2007new<sup>b</sup>,All full-time graduate students,First time,Percent,3,28.0
6065,r301,2007new<sup>b</sup>,Full-time master's students,Total,,2,na
6065,r302,2007new<sup>b</sup>,Full-time master's students,First time,Number,3,na
6065,r303,2007new<sup>b</sup>,Full-time master's students,First time,Percent,3,na
6065,r304,2007new<sup>b</sup>,Full-time doctoral students,Total,,2,na
6065,r305,2007new<sup>b</sup>,Full-time doctoral students,First time,Number,3,na
6065,r306,2007new<sup>b</sup>,Full-time doctoral students,First time,Percent,3,na
6065,r307,2008,All full-time graduate students,Total,,2,449613
6065,r308,2008,All full-time graduate students,First time,Number,3,130635
6065,r309,2008,All full-time graduate students,First time,Percent,3,29.1
6065,r310,2008,Full-time master's students,Total,,2,na
6065,r311,2008,Full-time master's students,First time,Number,3,na
6065,r312,2008,Full-time master's students,First time,Percent,3,na
6065,r313,2008,Full-time doctoral students,Total,,2,na
6065,r314,2008,Full-time doctoral students,First time,Number,3,na
6065,r315,2008,Full-time doctoral students,First time,Percent,3,na
6065,r316,2009,All full-time graduate students,Total,,2,456115
6065,r317,2009,All full-time graduate students,First time,Number,3,134756
6065,r318,2009,All full-time graduate students,First time,Percent,3,29.5
6065,r319,2009,Full-time master's students,Total,,2,na
6065,r320,2009,Full-time master's students,First time,Number,3,na
6065,r321,2009,Full-time master's students,First time,Percent,3,na
6065,r322,2009,Full-time doctoral students,Total,,2,na
6065,r323,2009,Full-time doctoral students,First time,Number,3,na
6065,r324,2009,Full-time doctoral students,First time,Percent,3,na
6065,r325,2010,All full-time graduate students,Total,,2,461185
6065,r326,2010,All full-time graduate students,First time,Number,3,136487
6065,r327,2010,All full-time graduate students,First time,Percent,3,29.6
6065,r328,2010,Full-time master's students,Total,,2,na
6065,r329,2010,Full-time master's students,First time,Number,3,na
6065,r330,2010,Full-time master's students,First time,Percent,3,na
6065,r331,2010,Full-time doctoral students,Total,,2,na
6065,r332,2010,Full-time doctoral students,First time,Number,3,na
6065,r333,2010,Full-time doctoral students,First time,Percent,3,na
6065,r334,2011,All full-time graduate students,Total,,2,457292
6065,r335,2011,All full-time graduate students,First time,Number,3,136610
6065,r336,2011,All full-time graduate students,First time,Percent,3,29.9
6065,r337,2011,Full-time master's students,Total,,2,na
6065,r338,2011,Full-time master's students,First time,Number,3,na
6065,r339,2011,Full-time master's students,First time,Percent,3,na
6065,r340,2011,Full-time doctoral students,Total,,2,na
6065,r341,2011,Full-time doctoral students,First time,Number,3,na
6065,r342,2011,Full-time doctoral students,First time,Percent,3,na
6065,r343,2012,All full-time graduate students,Total,,2,459498
6065,r344,2012,All full-time graduate students,First time,Number,3,137767
6065,r345,2012,All full-time graduate students,First time,Percent,3,30.0
6065,r346,2012,Full-time master's students,Total,,2,na
6065,r347,2012,Full-time master's students,First time,Number,3,na
6065,r348,2012,Full-time master's students,First time,Percent,3,na
6065,r349,2012,Full-time doctoral students,Total,,2,na
6065,r350,2012,Full-time doctoral students,First time,Number,3,na
6065,r351,2012,Full-time doctoral students,First time,Percent,3,na
6065,r352,2013,All full-time graduate students,Total,,2,468953
6065,r353,2013,All full-time graduate students,First time,Number,3,143326
6065,r354,2013,All full-time graduate students,First time,Percent,3,30.6
6065,r355,2013,Full-time master's students,Total,,2,na
6065,r356,2013,Full-time master's students,First time,Number,3,na
6065,r357,2013,Full-time master's students,First time,Percent,3,na
6065,r358,2013,Full-time doctoral students,Total,,2,na
6065,r359,2013,Full-time doctoral students,First time,Number,3,na
6065,r360,2013,Full-time doctoral students,First time,Percent,3,na
6065,r361,2014old<sup>c</sup>,All full-time graduate students,Total,,2,484880
6065,r362,2014old<sup>c</sup>,All full-time graduate students,First time,Number,3,150653
6065,r363,2014old<sup>c</sup>,All full-time graduate students,First time,Percent,3,31.1
6065,r364,2014old<sup>c</sup>,Full-time master's students,Total,,2,na
6065,r365,2014old<sup>c</sup>,Full-time master's students,First time,Number,3,na
6065,r366,2014old<sup>c</sup>,Full-time master's students,First time,Percent,3,na
6065,r367,2014old<sup>c</sup>,Full-time doctoral students,Total,,2,na
6065,r368,2014old<sup>c</sup>,Full-time doctoral students,First time,Number,3,na
6065,r369,2014old<sup>c</sup>,Full-time doctoral students,First time,Percent,3,na
6065,r370,2014new<sup>c</sup>,All full-time graduate students,Total,,2,492170
6065,r371,2014new<sup>c</sup>,All full-time graduate students,First time,Number,3,154219
6065,r372,2014new<sup>c</sup>,All full-time graduate students,First time,Percent,3,31.3
6065,r373,2014new<sup>c</sup>,Full-time master's students,Total,,2,na
6065,r374,2014new<sup>c</sup>,Full-time master's students,First time,Number,3,na
6065,r375,2014new<sup>c</sup>,Full-time master's students,First time,Percent,3,na
6065,r376,2014new<sup>c</sup>,Full-time doctoral students,Total,,2,na
6065,r377,2014new<sup>c</sup>,Full-time doctoral students,First time,Number,3,na
6065,r378,2014new<sup>c</sup>,Full-time doctoral students,First time,Percent,3,na
6065,r379,2015,All full-time graduate students,Total,,2,506262
6065,r380,2015,All full-time graduate students,First time,Number,3,161640
6065,r381,2015,All full-time graduate students,First time,Percent,3,31.9
6065,r382,2015,Full-time master's students,Total,,2,na
6065,r383,2015,Full-time master's students,First time,Number,3,na
6065,r384,2015,Full-time master's students,First time,Percent,3,na
6065,r385,2015,Full-time doctoral students,Total,,2,na
6065,r386,2015,Full-time doctoral students,First time,Number,3,na
6065,r387,2015,Full-time doctoral students,First time,Percent,3,na
6065,r388,2016,All full-time graduate students,Total,,2,508773
6065,r389,2016,All full-time graduate students,First time,Number,3,161824
6065,r390,2016,All full-time graduate students,First time,Percent,3,31.8
6065,r391,2016,Full-time master's students,Total,,2,na
6065,r392,2016,Full-time master's students,First time,Number,3,na
6065,r393,2016,Full-time master's students,First time,Percent,3,na
6065,r394,2016,Full-time doctoral students,Total,,2,na
6065,r395,2016,Full-time doctoral students,First time,Number,3,na
6065,r396,2016,Full-time doctoral students,First time,Percent,3,na
6065,r397,2017old<sup>d</sup>,All full-time graduate students,Total,,2,498619
6065,r398,2017old<sup>d</sup>,All full-time graduate students,First time,Number,3,162805
6065,r399,2017old<sup>d</sup>,All full-time graduate students,First time,Percent,3,32.7
6065,r400,2017old<sup>d</sup>,Full-time master's students,Total,,2,na
6065,r401,2017old<sup>d</sup>,Full-time master's students,First time,Number,3,na
6065,r402,2017old<sup>d</sup>,Full-time master's students,First time,Percent,3,na
6065,r403,2017old<sup>d</sup>,Full-time doctoral students,Total,,2,na
6065,r404,2017old<sup>d</sup>,Full-time doctoral students,First time,Number,3,na
6065,r405,2017old<sup>d</sup>,Full-time doctoral students,First time,Percent,3,na
6065,r406,2017new<sup>d</sup>,All full-time graduate students,Total,,2,480788
6065,r407,2017new<sup>d</sup>,All full-time graduate students,First time,Number,3,156157
6065,r408,2017new<sup>d</sup>,All full-time graduate students,First time,Percent,3,32.5
6065,r409,2017new<sup>d</sup>,Full-time master's students,Total,,2,245010
6065,r410,2017new<sup>d</sup>,Full-time master's students,First time,Number,3,110980
6065,r411,2017new<sup>d</sup>,Full-time master's students,First time,Percent,3,45.3
6065,r412,2017new<sup>d</sup>,Full-time doctoral students,Total,,2,235778
6065,r413,2017new<sup>d</sup>,Full-time doctoral students,First time,Number,3,45177
6065,r414,2017new<sup>d</sup>,Full-time doctoral students,First time,Percent,3,19.2
6065,r415,2018,All full-time graduate students,Total,,2,491449
6065,r416,2018,All full-time graduate students,First time,Number,3,159724
6065,r417,2018,All full-time graduate students,First time,Percent,3,32.5
6065,r418,2018,Full-time master's students,Total,,2,248552
6065,r419,2018,Full-time master's students,First time,Number,3,114214
6065,r420,2018,Full-time master's students,First time,Percent,3,46.0
6065,r421,2018,Full-time doctoral students,Total,,2,242897
6065,r422,2018,Full-time doctoral students,First time,Number,3,45510
6065,r423,2018,Full-time doctoral students,First time,Percent,3,18.7
6065,r424,2019,All full-time graduate students,Total,,2,502442
6065,r425,2019,All full-time graduate students,First time,Number,3,163032
6065,r426,2019,All full-time graduate students,First time,Percent,3,32.4
6065,r427,2019,Full-time master's students,Total,,2,254532
6065,r428,2019,Full-time master's students,First time,Number,3,116507
6065,r429,2019,Full-time master's students,First time,Percent,3,45.8
6065,r430,2019,Full-time doctoral students,Total,,2,247910
6065,r431,2019,Full-time doctoral students,First time,Number,3,46525
6065,r432,2019,Full-time doctoral students,First time,Percent,3,18.8
6065,r433,2020,All full-time graduate students,Total,,2,491515
6065,r434,2020,All full-time graduate students,First time,Number,3,143269
6065,r435,2020,All full-time graduate students,First time,Percent,3,29.1
6065,r436,2020,Full-time master's students,Total,,2,243859
6065,r437,2020,Full-time master's students,First time,Number,3,102096
6065,r438,2020,Full-time master's students,First time,Percent,3,41.9
6065,r439,2020,Full-time doctoral students,Total,,2,247656
6065,r440,2020,Full-time doctoral students,First time,Number,3,41173
6065,r441,2020,Full-time doctoral students,First time,Percent,3,16.6
