table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_companies_in_the_united_states,field_companies_outside_the_united_states_company_s_parent,field_companies_outside_the_united_states_unaffiliated_companies,field_u_s_federal_government_agencies,field_u_s_state_government_agencies,field_u_s_universities_colleges_and_academic_researchers,field_all_other_in_the_united_states,field_all_other_outside_the_united_states
1406,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['14', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['6', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['10', '  ']","['4', '  ']","['0', '  ']","['0', '  ']","['6', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['112', 'i ']","['89', 'i ']","['9', 'i ']","['*', 'i ']","['12', '  ']","['*', 'i ']","['0', '  ']","['*', 'i ']","['1', 'i']"
1406,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['886', '  ']","['159', '  ']","['529', '  ']","['16', 'i ']","['152', '  ']","['D', '&nbsp;']","['1', '  ']","['D', '&nbsp;']","['*', 'i']"
1406,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['12', '  ']","['1', 'i ']","['8', '  ']","['1', '  ']","['3', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['383', '  ']","['8', '  ']","['371', '  ']","['1', '  ']","['3', '  ']","['0', '  ']","['*', '  ']","['1', 'i ']","['0', ' ']"
1406,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['58', 'i ']","['5', '  ']","['11', '  ']","['*', '  ']","['41', 'i ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['432', '  ']","['145', '  ']","['139', '  ']","['14', 'i ']","['106', '  ']","['D', '&nbsp;']","['*', '  ']","['D', '&nbsp;']","['*', 'i']"
1406,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,869', '  ']","['1,272', '  ']","['2,791', '  ']","['268', '  ']","['4,410', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', ' ']"
1406,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['1,818', 'i ']","['254', 'i ']","['766', '  ']","['9', '  ']","['787', 'i ']","['0', '  ']","['0', '  ']","['3', '  ']","['0', ' ']"
1406,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['2,215', '  ']","['284', '  ']","['1,519', '  ']","['133', '  ']","['278', '  ']","['D', '  ']","['*', '  ']","['D', '  ']","['*', ' ']"
1406,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['4,753', '  ']","['724', '  ']","['475', '  ']","['111', '  ']","['3,320', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['D', ' ']"
1406,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517","['165', '  ']","['13', '  ']","['135', '  ']","['D', '  ']","['1', 'i ']","['0', '  ']","['D', '  ']","['D', '  ']","['0', ' ']"
1406,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",5,334511,"['4,412', '  ']","['D', '  ']","['D', '  ']","['D', '  ']","['3,274', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['D', ' ']"
1406,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices ,5,other 3345,"['176', '  ']","['D', '&nbsp;']","['D', '  ']","['D', '  ']","['45', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['*', ' ']"
1406,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['82', '  ']","['11', '  ']","['31', '  ']","['15', '  ']","['26', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['469', 'i ']","['9', 'i ']","['348', 'i ']","['45', 'i ']","['46', 'i ']","['0', '  ']","['0', '  ']","['D', '  ']","['D', '&nbsp;']"
1406,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['18,371', '  ']","['1,587', '  ']","['1,959', '  ']","['145', '  ']","['14,325', '  ']","['*', '  ']","['D', '  ']","['D', '  ']","['20', ' ']"
1406,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['2,749', '  ']","['D', '&nbsp;']","['1,937', '  ']","['94', 'i ']","['D', '&nbsp;']","['*', '  ']","['0', '  ']","['D', '  ']","['D', ' ']"
1406,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['14,373', '  ']","['1,110', '  ']","['D', '&nbsp;']","['D', '  ']","['12,904', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['D', ' ']"
1406,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,"['13,291', '  ']","['1,100', '  ']","['D', '&nbsp;']","['D', '  ']","['11,839', '  ']","['0', '  ']","['0', '  ']","['D', '  ']","['D', ' ']"
1406,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missiles, space vehicles, and related parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missiles, space vehicles, and related parts ",5,"336414–15, 336419","['1,083', 'i ']","['11', '  ']","['D', '&nbsp;']","['*', 'i ']","['1,065', 'i ']","['0', '  ']","['D', '  ']","['*', 'i ']","['*', 'i']"
1406,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicles, tanks, and tank components ",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicles, tanks, and tank components ",,4,336992,"['D', '  ']","['D', '  ']","['0', '  ']","['*', '  ']","['D', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['D', '&nbsp;']","['D', '  ']","['D', '  ']","['D', '  ']","['D', '&nbsp;']","['0', '  ']","['0', '  ']","['*', 'i ']","['0', ' ']"
1406,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', 'i ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', ' ']"
1406,r043,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['D', '  ']","['53', '  ']","['91', '  ']","['31', '  ']","['36', '  ']","['*', 'i ']","['2', '  ']","['D', '  ']","['0', ' ']"
1406,r044,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['194', '  ']","['48', '  ']","['88', '  ']","['12', '  ']","['27', '  ']","['0', '  ']","['2', '  ']","['17', '  ']","['0', ' ']"
1406,r045,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['D', '  ']","['5', '  ']","['3', '  ']","['19', 'i ']","['10', 'i ']","['*', 'i ']","['*', '  ']","['D', '&nbsp;']","['0', ' ']"
1406,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['18,061', '  ']","['9,427', 'i ']","['2,502', '  ']","['996', '  ']","['4,555', '  ']","['157', '  ']","['12', '  ']","['399', '  ']","['13', ' ']"
1406,r047,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['400', '  ']","['54', 'i ']","['*', '  ']","['337', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['5', ' ']"
1406,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['26', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['D', '  ']","['D', ' ']"
1406,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['10', 'i ']","['3', 'i ']","['5', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', 'i ']","['0', ' ']"
1406,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['674', '  ']","['142', '  ']","['375', '  ']","['128', '  ']","['25', '  ']","['3', '  ']","['0', '  ']","['1', '  ']","['0', ' ']"
1406,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['400', '  ']","['50', '  ']","['216', '  ']","['127', '  ']","['7', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['3', 'i ']","['*', 'i ']","['0', '  ']","['3', 'i ']","['*', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['397', '  ']","['50', '  ']","['216', '  ']","['125', '  ']","['7', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['D', '  ']","['*', 'i ']","['D', '  ']","['*', 'i ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['138', '  ']","['D', '  ']","['D', '  ']","['1', '  ']","['16', '  ']","['3', '  ']","['0', '  ']","['1', '  ']","['0', ' ']"
1406,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['D', '  ']","['D', '  ']","['D', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['94', '  ']","['*', '  ']","['8', 'i ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['86', '  ']","['0', ' ']"
1406,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', ' ']"
1406,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['16,750', '  ']","['9,174', 'i ']","['2,093', '  ']","['526', '  ']","['4,496', '  ']","['137', '  ']","['12', '  ']","['D', '  ']","['D', ' ']"
1406,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,596', '  ']","['275', '  ']","['137', 'i ']","['4', '  ']","['964', '  ']","['13', '  ']","['0', '  ']","['203', 'i ']","['*', ' ']"
1406,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['2,492', 'i ']","['432', '  ']","['1,433', '  ']","['1', '  ']","['583', '  ']","['43', 'i ']","['0', '  ']","['*', '  ']","['0', ' ']"
1406,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['12,031', '  ']","['8,374', 'i ']","['362', '  ']","['501', '  ']","['2,675', '  ']","['17', '  ']","['12', '  ']","['85', '  ']","['5', ' ']"
1406,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Biotechnology research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Biotechnology research and development,5,541711,"['3,714', '  ']","['3,253', '  ']","['43', '  ']","['297', '  ']","['93', '  ']","['*', '  ']","['3', '  ']","['22', '  ']","['3', ' ']"
1406,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Physical, engineering, and life sciences (except biotechnology) research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Physical, engineering, and life sciences (except biotechnology) research and development",5,541712,"['7,630', '  ']","['5,099', 'i ']","['316', '  ']","['204', 'i ']","['1,956', '  ']","['6', '  ']","['8', '  ']","['38', '  ']","['2', ' ']"
1406,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Social sciences and humanities research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Social sciences and humanities research and development,5,541720,"['687', '  ']","['22', 'i ']","['3', 'i ']","['*', 'i ']","['626', '  ']","['11', '  ']","['0', '  ']","['26', '  ']","['*', ' ']"
1406,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['632', '  ']","['93', '  ']","['161', 'i ']","['20', '  ']","['274', '  ']","['65', '  ']","['*', '  ']","['D', '&nbsp;']","['D', ' ']"
1406,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['66', '  ']","['46', '  ']","['8', 'i ']","['4', '  ']","['2', '  ']","['0', '  ']","['*', '  ']","['6', '  ']","['0', ' ']"
1406,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['38', '  ']","['8', '  ']","['10', '  ']","['0', '  ']","['D', '  ']","['D', '  ']","['*', '  ']","['0', '  ']","['0', ' ']"
1406,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['56,954', '  ']","['14,239', '  ']","['14,766', '  ']","['2,926', '  ']","['23,772', '  ']","['171', '  ']","['127', '  ']","['851', '  ']","['100', ' ']"
1406,r074,All companies (number of domestic employees) -> Micro companies<sup>a</sup>,All companies (number of domestic employees),Micro companies<sup>a</sup>,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1406,r075,All companies (number of domestic employees) -> Micro companies<sup>a</sup> -> 5&#8211;9,All companies (number of domestic employees),Micro companies<sup>a</sup>,5&#8211;9,,,3,–,"['536', 'i ']","['D', '&nbsp;']","['44', '  ']","['D', '&nbsp;']","['263', 'i ']","['10', 'i ']","['2', '  ']","['D', '&nbsp;']","['D', ' ']"
1406,r076,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1406,r077,All companies (number of domestic employees) -> Small companies -> 10&#8211;19,All companies (number of domestic employees),Small companies,10&#8211;19,,,3,–,"['1,071', 'i ']","['394', 'i ']","['203', 'i ']","['32', 'i ']","['393', 'i ']","['8', 'i ']","['3', '  ']","['32', 'i ']","['6', ' ']"
1406,r078,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['2,189', '  ']","['598', 'i ']","['417', 'i ']","['73', 'i ']","['899', '  ']","['63', '  ']","['3', '  ']","['127', '  ']","['9', ' ']"
1406,r079,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1406,r080,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['1,570', '  ']","['427', '  ']","['580', '  ']","['87', '  ']","['451', '  ']","['7', '  ']","['3', '  ']","['15', '  ']","['2', 'i']"
1406,r081,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['3,153', '  ']","['716', '  ']","['1,378', '  ']","['103', '  ']","['839', '  ']","['28', 'i ']","['4', '  ']","['85', 'i ']","['1', 'i']"
1406,r082,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
1406,r083,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['1,654', '  ']","['390', '  ']","['476', '  ']","['290', '  ']","['462', '  ']","['18', '  ']","['D', '  ']","['D', '  ']","['*', 'i']"
1406,r084,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['924', '  ']","['100', '  ']","['383', '  ']","['181', '  ']","['258', '  ']","['*', 'i ']","['0', '  ']","['2', '  ']","['1', 'i']"
