table_id,row_id,field_of_study_and_sex_full_path,field_of_study_and_sex_level_1,field_of_study_and_sex_level_2,field_of_study_and_sex_level_3,field_of_study_and_sex_level_4,field_of_study_and_sex_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_all_employed_10_number,field_all_employed_10_se,field_full_professor_number,field_full_professor_se,field_full_professor_10_number,field_full_professor_10_se,field_associate_professor_number,field_associate_professor_se,field_associate_professor_10_number,field_associate_professor_10_se,field_assistant_professor_number,field_assistant_professor_se,field_assistant_professor_10_number,field_assistant_professor_10_se,field_instructor_or_lecturer_number,field_instructor_or_lecturer_se,field_instructor_or_lecturer_10_number,field_instructor_or_lecturer_10_se,field_all_other_faculty_number,field_all_other_faculty_se,field_all_other_faculty_10_number,field_all_other_faculty_10_se,field_rank_not_applicable_number,field_rank_not_applicable_se,field_rank_not_applicable_10_number,field_rank_not_applicable_10_se
3686,r011,All fields -> Science -> Computer and information sciences -> Male,All fields,Science,Computer and information sciences,Male,4,3150,250,5150,375,S,S,2650,275,450,125,1750,250,1950,225,250,75,200,75,150,75,,,,,550,125,300,100
3686,r012,All fields -> Science -> Computer and information sciences -> Female,All fields,Science,Computer and information sciences,Female,4,1100,125,1300,175,S,S,650,125,200,75,300,75,650,125,50,25,50,50,100,50,,,,,150,50,S,S
3686,r013,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,5900,300,14300,500,,,7950,450,1100,150,4200,300,3300,225,850,150,900,150,700,125,,,,,600,125,500,100
3686,r014,All fields -> Science -> Mathematics and statistics -> Male,All fields,Science,Mathematics and statistics,Male,4,3800,250,11250,450,,,6700,400,700,150,3100,275,2150,175,700,150,500,100,350,75,,,,,400,100,350,100
3686,r015,All fields -> Science -> Mathematics and statistics -> Female,All fields,Science,Mathematics and statistics,Female,4,2100,175,3050,225,,,1250,150,350,75,1150,125,1150,125,150,50,400,100,350,100,,,,,150,50,150,50
3686,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,13500,500,33900,700,100,50,16000,575,800,125,7750,375,5300,375,2800,250,1350,175,2150,250,S,S,150,75,5850,325,5050,325
3686,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Male",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Male,4,9150,425,26500,675,,,13150,525,550,100,5750,350,3700,325,2150,250,750,150,1400,225,,,150,50,4100,300,3950,300
3686,r018,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Female",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Female,4,4350,225,7400,300,S,S,2900,250,300,75,2000,175,1600,150,650,100,600,100,750,125,S,S,,,1700,150,1100,125
3686,r019,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,11300,450,27850,750,100,50,12650,575,1700,225,7450,400,5500,350,2250,250,1050,150,1600,200,,,S,S,2950,275,3850,350
3686,r020,All fields -> Science -> Psychology -> Male,All fields,Science,Psychology,Male,4,3500,275,12350,550,S,S,6550,425,800,150,3000,300,1700,225,800,150,250,75,550,125,,,,,700,150,1400,250
3686,r021,All fields -> Science -> Psychology -> Female,All fields,Science,Psychology,Female,4,7800,375,15500,550,50,25,6100,375,950,150,4450,300,3800,275,1450,200,800,125,1050,150,,,,,2250,250,2450,250
3686,r022,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,18150,575,46000,850,250,75,23700,650,3250,275,14050,550,10100,425,2050,200,2100,225,2650,275,50,25,250,75,2350,200,3350,300
3686,r023,All fields -> Science -> Social sciences -> Male,All fields,Science,Social sciences,Male,4,9300,425,28450,750,150,75,16300,600,1950,225,7900,425,5350,350,850,125,950,150,1500,200,S,S,150,75,850,150,1750,225
3686,r024,All fields -> Science -> Social sciences -> Female,All fields,Science,Social sciences,Female,4,8850,325,17550,500,150,50,7400,350,1300,150,6100,350,4750,275,1200,150,1150,150,1150,150,,,100,50,1450,150,1600,225
3686,r025,All fields -> Engineering,All fields,Engineering,,,2,15250,550,30050,825,100,50,16550,675,1750,225,7450,450,7750,475,1750,225,1250,200,1200,200,50,50,250,100,4300,300,2850,275
3686,r026,All fields -> Engineering -> Male,All fields,Engineering,Male,,3,11500,475,25200,800,50,25,14450,650,1450,200,6100,425,6000,400,1400,225,850,175,850,175,,,250,100,3150,275,2150,250
3686,r027,All fields -> Engineering -> Female,All fields,Engineering,Female,,3,3700,275,4800,275,S,S,2100,200,300,75,1300,150,1750,225,300,75,400,75,350,100,,,,,1150,150,750,150
3686,r028,All fields -> Health,All fields,Health,,,2,8700,350,12500,475,300,100,5250,325,1750,175,4250,300,4700,275,1450,200,450,100,400,100,50,25,,,1450,150,1100,175
3686,r029,All fields -> Health -> Male,All fields,Health,Male,,3,2600,225,4250,250,100,50,2200,200,500,100,1400,175,1450,175,250,50,100,75,S,S,,,,,500,100,400,100
3686,r030,All fields -> Health -> Female,All fields,Health,Female,,3,6100,300,8250,375,200,75,3050,250,1300,150,2850,250,3300,250,1250,200,350,75,300,100,0.05,0.05,,,950,125,700,150
