table_id,row_id,_b_country_of_citizenship_b_full_path,_b_country_of_citizenship_b_level_1,_b_country_of_citizenship_b_level_2,_b_country_of_citizenship_b_level_3,_b_country_of_citizenship_b_hierarchy_depth,field_total_2014_20_number,field_total_2014_20_staying,field_2014_number,field_2014_staying,field_2015_number,field_2015_staying,field_2016_number,field_2016_staying,field_2017_number,field_2017_staying,field_2018_number,field_2018_staying,field_2019_number,field_2019_staying,field_2020_number,field_2020_staying
4690,r025,All temporary visa holders -> Asia -> China<sup>a</sup>,All temporary visa holders,Asia,China<sup>a</sup>,3,40277,80.7,4982,81.3,5374,81.1,5527,81.0,5553,83.3,6188,79.4,6316,79.2,6337,80.1
4690,r026,All temporary visa holders -> Asia -> India,All temporary visa holders,Asia,India,3,15067,86.7,2316,86.2,2229,84.6,2195,87.2,1970,88.5,2045,87.1,2056,85.9,2256,88.0
4690,r027,All temporary visa holders -> Asia -> South Korea,All temporary visa holders,Asia,South Korea,3,8136,64.9,1284,60.7,1234,62.9,1229,66.7,1128,68.5,1040,63.7,1167,65.3,1054,67.0
4690,r028,All temporary visa holders -> Asia -> Taiwan,All temporary visa holders,Asia,Taiwan,3,3868,74.3,668,68.6,614,70.4,592,77.9,520,76.7,514,78.0,492,73.4,468,76.9
4690,r029,All temporary visa holders -> Asia -> Bangladesh,All temporary visa holders,Asia,Bangladesh,3,1678,87.1,139,83.5,154,87.7,185,90.3,236,88.1,280,88.2,292,86.0,392,86.0
4690,r030,All temporary visa holders -> Asia -> Nepal,All temporary visa holders,Asia,Nepal,3,1484,89.8,172,84.9,177,88.1,222,88.7,221,91.9,225,88.9,241,89.6,226,94.7
4690,r031,All temporary visa holders -> Asia -> Thailand,All temporary visa holders,Asia,Thailand,3,1269,27.6,231,26.4,220,21.4,185,30.3,171,25.7,177,31.1,159,30.2,126,31.0
4690,r032,All temporary visa holders -> Asia -> Sri Lanka,All temporary visa holders,Asia,Sri Lanka,3,1025,81.9,139,81.3,133,76.7,132,78.0,146,81.5,150,85.3,151,83.4,174,85.1
4690,r033,All temporary visa holders -> Asia -> Vietnam,All temporary visa holders,Asia,Vietnam,3,992,75.6,142,76.8,134,74.6,124,71.8,133,75.9,122,80.3,168,76.2,169,74.0
4690,r034,All temporary visa holders -> Asia -> Japan,All temporary visa holders,Asia,Japan,3,980,49.8,173,48.6,164,39.6,166,53.6,117,58.1,118,50.0,128,51.6,114,50.0
4690,r035,All temporary visa holders -> Asia -> Pakistan,All temporary visa holders,Asia,Pakistan,3,845,57.0,127,47.2,124,54.0,102,45.1,113,54.0,110,59.1,112,64.3,157,70.7
4690,r036,All temporary visa holders -> Asia -> Singapore,All temporary visa holders,Asia,Singapore,3,679,38.7,97,38.1,102,36.3,91,38.5,101,41.6,81,25.9,100,38.0,107,49.5
4690,r037,All temporary visa holders -> Asia -> Indonesia,All temporary visa holders,Asia,Indonesia,3,530,41.9,78,38.5,53,37.7,92,43.5,69,50.7,81,34.6,79,43.0,78,44.9
4690,r038,All temporary visa holders -> Asia -> Malaysia,All temporary visa holders,Asia,Malaysia,3,517,49.9,88,46.6,79,38.0,72,55.6,65,47.7,83,59.0,71,50.7,59,52.5
4690,r039,All temporary visa holders -> Asia -> Philippines,All temporary visa holders,Asia,Philippines,3,348,70.4,70,67.1,40,75.0,51,76.5,47,70.2,57,73.7,38,65.8,45,64.4
4690,r040,All temporary visa holders -> Asia -> Other,All temporary visa holders,Asia,Other,3,366,62.0,46,56.5,54,63.0,51,60.8,50,58.0,53,62.3,51,68.6,61,63.9
4690,r041,All temporary visa holders -> Australia-Oceania,All temporary visa holders,Australia-Oceania,,2,518,60.0,64,45.3,83,55.4,65,61.5,79,62.0,66,57.6,81,71.6,80,63.8
4690,r042,All temporary visa holders -> Australia-Oceania -> Australia,All temporary visa holders,Australia-Oceania,Australia,3,326,62.3,44,43.2,52,48.1,42,66.7,47,72.3,37,64.9,53,73.6,51,66.7
4690,r043,All temporary visa holders -> Australia-Oceania -> New Zealand,All temporary visa holders,Australia-Oceania,New Zealand,3,176,56.3,,,26,65.4,23,52.2,,,23,56.5,,,,
4690,r044,All temporary visa holders -> Australia-Oceania -> Other,All temporary visa holders,Australia-Oceania,Other,3,16,56.3,,,5,80.0,0,0.0,,,6,16.7,,,,
4690,r045,All temporary visa holders -> Europe,All temporary visa holders,Europe,,2,12469,64.2,1802,63.4,1832,61.4,1776,62.7,1785,67.4,1807,63.3,1757,64.4,1710,67.3
4690,r046,All temporary visa holders -> Europe -> Turkey,All temporary visa holders,Europe,Turkey,3,3092,62.0,426,62.9,469,59.7,472,57.6,496,61.1,454,59.7,406,64.5,369,70.5
4690,r047,All temporary visa holders -> Europe -> Germany,All temporary visa holders,Europe,Germany,3,1181,56.6,203,51.2,195,51.3,183,61.2,154,68.2,144,54.2,152,57.9,150,54.0
4690,r048,All temporary visa holders -> Europe -> Italy,All temporary visa holders,Europe,Italy,3,1093,66.5,156,64.1,126,65.1,167,65.9,161,70.8,139,72.7,174,63.8,170,64.1
4690,r049,All temporary visa holders -> Europe -> Russian Federation (former USSR),All temporary visa holders,Europe,Russian Federation (former USSR),3,829,75.8,106,72.6,118,78.0,108,69.4,112,81.3,154,73.4,111,73.0,120,82.5
4690,r050,All temporary visa holders -> Europe -> France,All temporary visa holders,Europe,France,3,826,65.7,114,67.5,131,58.8,105,66.7,107,69.2,133,64.7,118,67.8,118,66.9
4690,r051,All temporary visa holders -> Europe -> United Kingdom,All temporary visa holders,Europe,United Kingdom,3,772,61.3,97,70.1,100,55.0,115,54.8,103,60.2,110,60.0,128,62.5,119,66.4
4690,r052,All temporary visa holders -> Europe -> Spain,All temporary visa holders,Europe,Spain,3,695,62.4,68,60.3,98,60.2,73,61.6,100,74.0,104,61.5,130,57.7,122,62.3
4690,r053,All temporary visa holders -> Europe -> Greece,All temporary visa holders,Europe,Greece,3,631,74.2,81,72.8,84,71.4,84,71.4,89,73.0,114,78.1,90,73.3,89,77.5
4690,r054,All temporary visa holders -> Europe -> Romania,All temporary visa holders,Europe,Romania,3,350,78.0,79,78.5,57,82.5,51,88.2,43,81.4,47,61.7,48,,25,
4690,r055,All temporary visa holders -> Europe -> Ukraine,All temporary visa holders,Europe,Ukraine,3,283,79.2,51,72.5,42,85.7,31,71.0,37,83.8,35,74.3,43,81.4,44,84.1
4690,r056,All temporary visa holders -> Europe -> Poland,All temporary visa holders,Europe,Poland,3,254,66.5,48,64.6,48,70.8,27,70.4,30,66.7,33,60.6,34,70.6,34,61.8
4690,r057,All temporary visa holders -> Europe -> Netherlands,All temporary visa holders,Europe,Netherlands,3,230,53.9,32,34.4,23,56.5,40,50.0,27,55.6,30,66.7,38,55.3,40,60.0
4690,r058,All temporary visa holders -> Europe -> Bulgaria,All temporary visa holders,Europe,Bulgaria,3,209,79.4,42,66.7,34,70.6,44,88.6,30,,23,78.3,21,,15,
4690,r059,All temporary visa holders -> Europe -> Switzerland,All temporary visa holders,Europe,Switzerland,3,183,53.6,25,64.0,23,65.2,18,44.4,32,65.6,42,38.1,21,38.1,22,63.6
4690,r060,All temporary visa holders -> Europe -> Portugal,All temporary visa holders,Europe,Portugal,3,180,52.8,22,63.6,24,45.8,33,39.4,32,56.3,25,52.0,24,62.5,20,55.0
4690,r061,All temporary visa holders -> Europe -> Hungary,All temporary visa holders,Europe,Hungary,3,150,58.7,26,61.5,23,56.5,20,45.0,20,,20,40.0,17,,24,66.7
4690,r062,All temporary visa holders -> Europe -> Sweden,All temporary visa holders,Europe,Sweden,3,107,53.3,15,46.7,18,50.0,19,63.2,14,64.3,14,64.3,12,,15,46.7
4690,r063,All temporary visa holders -> Europe -> Other,All temporary visa holders,Europe,Other,3,1404,61.3,211,59.7,219,53.9,186,64.5,198,,186,62.9,190,61.1,214,63.1
4690,r064,All temporary visa holders -> Middle East,All temporary visa holders,Middle East,,2,10811,61.3,938,65.9,1131,66.9,1309,63.9,1500,62.1,1752,62.3,2080,56.5,2101,58.0
4690,r065,All temporary visa holders -> Middle East -> Iran,All temporary visa holders,Middle East,Iran,3,5437,91.3,483,89.2,629,89.7,695,91.1,767,92.6,937,91.4,964,91.5,962,92.2
4690,r066,All temporary visa holders -> Middle East -> Saudi Arabia,All temporary visa holders,Middle East,Saudi Arabia,3,2390,13.2,105,17.1,134,14.2,238,10.1,339,10.3,404,14.9,555,12.8,615,14.3
4690,r067,All temporary visa holders -> Middle East -> Jordan,All temporary visa holders,Middle East,Jordan,3,730,47.9,110,40.9,128,44.5,98,44.9,114,44.7,77,57.1,89,56.2,114,51.8
4690,r068,All temporary visa holders -> Middle East -> Israel,All temporary visa holders,Middle East,Israel,3,540,54.1,81,61.7,86,59.3,83,51.8,77,49.4,64,50.0,80,53.8,69,50.7
4690,r069,All temporary visa holders -> Middle East -> Lebanon,All temporary visa holders,Middle East,Lebanon,3,341,74.2,50,66.0,39,64.1,57,70.2,52,78.8,51,76.5,53,79.2,39,84.6
4690,r070,All temporary visa holders -> Middle East -> Other,All temporary visa holders,Middle East,Other,3,1373,33.1,109,37.6,115,35.7,138,37.7,151,37.7,219,27.4,339,26.0,302,38.4
4690,r071,All temporary visa holders -> Country unknown,All temporary visa holders,Country unknown,,2,1698,44.6,93,24.7,69,47.8,155,12.9,139,62.6,418,45.5,508,49.4,316,48.4
