table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_hierarchy_depth,field_2017_actual,field_2018_preliminarya,field_2019_proposedb,field_2017_18_change_,field_2018_19_change_
1318,r011,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> Integrative Activities",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",Integrative Activities,,3,420,NA,537,NA,NA
1318,r012,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> International Science and Engineering",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",International Science and Engineering,,3,49,NA,49,NA,NA
1318,r013,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> Major Research Equipment and Facilities",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",Major Research Equipment and Facilities,,3,223,208,95,-6.8,-54.4
1318,r014,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> Mathematical and Physical Sciences",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",Mathematical and Physical Sciences,,3,1362,NA,1345,NA,NA
1318,r015,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> Social, Behavioral and Economic Sciences",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>","Social, Behavioral and Economic Sciences",,3,271,NA,246,NA,NA
1318,r016,"R&D and R&D plant -> National Science Foundation<sup>e,f,g</sup> -> Budget authority adjustment<sup>h</sup>",R&D and R&D plant,"National Science Foundation<sup>e,f,g</sup>",Budget authority adjustment<sup>h</sup>,,3,-688,NA,-463,NA,NA
1318,r017,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,2,9947,10050,9982,1.0,-0.7
1318,r018,R&D and R&D plant -> R&D -> Department of Energy,R&D and R&D plant,R&D,Department of Energy,,3,,,,,
1318,r019,"R&D and R&D plant -> R&D -> Department of Energy -> Office of Science<sup>c,d</sup>",R&D and R&D plant,R&D,Department of Energy,"Office of Science<sup>c,d</sup>",4,4429,4459,4302,0.7,-3.5
1318,r020,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup>",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",,3,5518,5591,5680,1.3,1.6
1318,r021,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> Arctic Research Commission",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",Arctic Research Commission,4,1,NA,1,NA,NA
1318,r022,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> Biological Sciences",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",Biological Sciences,4,742,NA,738,NA,NA
1318,r023,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> Computer and Information Science and Engineering",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",Computer and Information Science and Engineering,4,936,NA,925,NA,NA
1318,r024,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> Education and Human Resources",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",Education and Human Resources,4,873,874,873,0.1,-0.1
1318,r025,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> Engineering",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",Engineering,4,931,NA,921,NA,NA
1318,r026,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> Geosciences",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",Geosciences,4,826,NA,853,NA,NA
1318,r027,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> Integrative Activities",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",Integrative Activities,4,420,NA,537,NA,NA
1318,r028,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> International Science and Engineering",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",International Science and Engineering,4,49,NA,49,NA,NA
1318,r029,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> Major Research Equipment and Facilities",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",Major Research Equipment and Facilities,4,223,208,95,-6.8,-54.4
1318,r030,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> Mathematical and Physical Sciences",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",Mathematical and Physical Sciences,4,1362,NA,1345,NA,NA
1318,r031,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> Social, Behavioral and Economic Sciences",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>","Social, Behavioral and Economic Sciences",4,271,NA,246,NA,NA
1318,r032,"R&D and R&D plant -> R&D -> National Science Foundation<sup>i,f,g</sup> -> Budget authority adjustment<sup>j</sup>",R&D and R&D plant,R&D,"National Science Foundation<sup>i,f,g</sup>",Budget authority adjustment<sup>j</sup>,4,-1117,NA,-904,NA,NA
