table_id,row_id,characteristic_full_path,characteristic_level_1,characteristic_level_2,characteristic_hierarchy_depth,field_1993_extremely_dangerous_or_very_dangerous,field_1993_somewhat_dangerous,field_1993_not_very_dangerous_or_not_dangerous,field_1993_don_t_know,field_1994_extremely_dangerous_or_very_dangerous,field_1994_somewhat_dangerous,field_1994_not_very_dangerous_or_not_dangerous,field_1994_don_t_know,field_2010_extremely_dangerous_or_very_dangerous,field_2010_somewhat_dangerous,field_2010_not_very_dangerous_or_not_dangerous,field_2010_don_t_know,field_2016_extremely_dangerous_or_very_dangerous,field_2016_somewhat_dangerous,field_2016_not_very_dangerous_or_not_dangerous,field_2016_don_t_know,field_2018_extremely_dangerous_or_very_dangerous,field_2018_somewhat_dangerous,field_2018_not_very_dangerous_or_not_dangerous,field_2018_don_t_know
2264,r011,"Science and mathematics education<sup>a,b</sup>","Science and mathematics education<sup>a,b</sup>",,1,,,,,,,,,,,,,,,,,,,,
2264,r012,"Science and mathematics education<sup>a,b</sup> -> Low (<i>n</i> = na; na; 116; 500; 408)","Science and mathematics education<sup>a,b</sup>",Low (<i>n</i> = na; na; 116; 500; 408),2,na,na,na,na,na,na,na,na,36,41,13,10,58,29,10,2,61,30,7,3
2264,r013,"Science and mathematics education<sup>a,b</sup> -> Middle (<i>n</i> = na; na; 52; 180; 154)","Science and mathematics education<sup>a,b</sup>",Middle (<i>n</i> = na; na; 52; 180; 154),2,na,na,na,na,na,na,na,na,32,32,30,6,59,31,10,0,56,33,9,3
2264,r014,"Science and mathematics education<sup>a,b</sup> -> High (<i>n</i> = na; na; 54; 179; 159)","Science and mathematics education<sup>a,b</sup>",High (<i>n</i> = na; na; 54; 179; 159),2,na,na,na,na,na,na,na,na,34,29,35,2,44,33,23,0,44,35,21,0
2264,r015,Family income (quartile)<sup>a</sup>,Family income (quartile)<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,
2264,r016,Family income (quartile)<sup>a</sup> -> Bottom (<i>n</i> = na; na; na; 211; 184),Family income (quartile)<sup>a</sup>,Bottom (<i>n</i> = na; na; na; 211; 184),2,na,na,na,na,na,na,na,na,na,na,na,na,60,26,12,2,64,26,9,2
2264,r017,Family income (quartile)<sup>a</sup> -> Third (<i>n</i> = na; na; na; 184; 147),Family income (quartile)<sup>a</sup>,Third (<i>n</i> = na; na; na; 184; 147),2,na,na,na,na,na,na,na,na,na,na,na,na,56,33,10,1,63,31,6,0.05
2264,r018,Family income (quartile)<sup>a</sup> -> Second (<i>n</i> = na; na; na; 223; 190),Family income (quartile)<sup>a</sup>,Second (<i>n</i> = na; na; na; 223; 190),2,na,na,na,na,na,na,na,na,na,na,na,na,58,31,10,1,62,29,8,1
2264,r019,Family income (quartile)<sup>a</sup> -> Top (<i>n</i> = na; na; na; 211; 201),Family income (quartile)<sup>a</sup>,Top (<i>n</i> = na; na; na; 211; 201),2,na,na,na,na,na,na,na,na,na,na,na,na,49,31,20,0,43,39,16,2
2264,r020,Age (years)<sup>a</sup>,Age (years)<sup>a</sup>,,1,,,,,,,,,,,,,,,,,,,,
2264,r021,Age (years)<sup>a</sup> -> 18&#8211;24 (<i>n</i> = 132; 97; 137; 59; 57),Age (years)<sup>a</sup>,18&#8211;24 (<i>n</i> = 132; 97; 137; 59; 57),2,55,32,7,6,53,36,7,5,52,31,7,9,69,16,15,0,52,39,10,0
2264,r022,Age (years)<sup>a</sup> -> 25&#8211;34 (<i>n</i> = 325; 330; 246; 160; 148),Age (years)<sup>a</sup>,25&#8211;34 (<i>n</i> = 325; 330; 246; 160; 148),2,45,35,14,7,45,31,15,9,51,25,16,8,55,31,12,2,69,23,7,2
2264,r023,Age (years)<sup>a</sup> -> 35&#8211;44 (<i>n</i> = 383; 305; 263; 135; 139),Age (years)<sup>a</sup>,35&#8211;44 (<i>n</i> = 383; 305; 263; 135; 139),2,40,38,15,8,44,33,17,6,47,31,15,7,63,28,8,0,59,30,9,3
2264,r024,Age (years)<sup>a</sup> -> 45&#8211;54 (<i>n</i> = 251; 261; 260; 158; 130),Age (years)<sup>a</sup>,45&#8211;54 (<i>n</i> = 251; 261; 260; 158; 130),2,40,34,18,8,38,36,16,10,49,27,20,3,56,25,17,2,59,28,10,3
2264,r025,Age (years)<sup>a</sup> -> 55&#8211;64 (<i>n</i> = 171; 158; 234; 168; 114),Age (years)<sup>a</sup>,55&#8211;64 (<i>n</i> = 171; 158; 234; 168; 114),2,31,30,24,15,30,44,17,9,39,35,23,3,52,39,8,1,51,40,10,0
2264,r026,Age (years)<sup>a</sup> -> 65 or older (<i>n</i> = 291; 233; 287; 228; 195),Age (years)<sup>a</sup>,65 or older (<i>n</i> = 291; 233; 287; 228; 195),2,32,33,20,15,33,36,17,13,30,30,32,8,45,33,18,3,45,38,13,4
2264,r027,Correct answers to questions about basic scientific facts<sup>c</sup>,Correct answers to questions about basic scientific facts<sup>c</sup>,,1,,,,,,,,,,,,,,,,,,,,
2264,r028,Correct answers to questions about basic scientific facts<sup>c</sup> -> Low (<i>n</i> = na; na; 60; 168; 150),Correct answers to questions about basic scientific facts<sup>c</sup>,Low (<i>n</i> = na; na; 60; 168; 150),2,na,na,na,na,na,na,na,na,44,30,15,10,58,28,7,6,62,24,6,7
2264,r029,Correct answers to questions about basic scientific facts<sup>c</sup> -> Middle (<i>n</i> = na; na; 134; 397; 345),Correct answers to questions about basic scientific facts<sup>c</sup>,Middle (<i>n</i> = na; na; 134; 397; 345),2,na,na,na,na,na,na,na,na,46,34,11,9,62,28,9,1,65,29,4,1
2264,r030,Correct answers to questions about basic scientific facts<sup>c</sup> -> High (<i>n</i> = na; na; 133; 346; 290),Correct answers to questions about basic scientific facts<sup>c</sup>,High (<i>n</i> = na; na; 133; 346; 290),2,na,na,na,na,na,na,na,na,31,38,28,4,46,33,20,0.05,43,38,18,1
