table_id,row_id,occupation_full_path,occupation_level_1,occupation_level_2,occupation_level_3,occupation_level_4,occupation_hierarchy_depth,field_total,field_s_e_fields_total,field_s_e_fields_biological_agricultural_and_environmental_life_sciences,field_s_e_fields_computer_and_mathematical_sciences,field_s_e_fields_physical_and_related_sciences,field_s_e_fields_social_and_related_sciences,field_s_e_fields_engineering,field_s_e_related_fields,field_non_s_e_fields
7769,r012,All college graduates -> S&E occupations -> Physical and related scientists,All college graduates,S&E occupations,Physical and related scientists,,3,408000,374000,80000,3000,254000,10000,27000,14000,21000
7769,r013,"All college graduates -> S&E occupations -> Physical and related scientists -> Chemists, except biochemists",All college graduates,S&E occupations,Physical and related scientists,"Chemists, except biochemists",4,114000,101000,22000,0.05,69000,1000,9000,6000,6000
7769,r014,"All college graduates -> S&E occupations -> Physical and related scientists -> Earth, atmospheric, and ocean scientists",All college graduates,S&E occupations,Physical and related scientists,"Earth, atmospheric, and ocean scientists",4,91000,86000,5000,S,72000,3000,5000,,4000
7769,r015,All college graduates -> S&E occupations -> Physical and related scientists -> Physicists,All college graduates,S&E occupations,Physical and related scientists,Physicists,4,41000,40000,S,,34000,,5000,1000,
7769,r016,"All college graduates -> S&E occupations -> Physical and related scientists -> Other physical and related scientists, including astronomers",All college graduates,S&E occupations,Physical and related scientists,"Other physical and related scientists, including astronomers",4,82000,71000,40000,,19000,5000,6000,5000,7000
7769,r017,All college graduates -> S&E occupations -> Physical and related scientists -> Postsecondary teachers - physical and related sciences,All college graduates,S&E occupations,Physical and related scientists,Postsecondary teachers - physical and related sciences,4,80000,75000,12000,,59000,1000,S,,S
7769,r018,All college graduates -> S&E occupations -> Social and related scientists,All college graduates,S&E occupations,Social and related scientists,,3,712000,499000,18000,10000,4000,462000,5000,52000,160000
7769,r019,All college graduates -> S&E occupations -> Social and related scientists -> Economists,All college graduates,S&E occupations,Social and related scientists,Economists,4,47000,37000,1000,1000,,35000,0.05,S,9000
7769,r020,All college graduates -> S&E occupations -> Social and related scientists -> Political scientists,All college graduates,S&E occupations,Social and related scientists,Political scientists,4,39000,24000,,,,19000,,,15000
7769,r021,All college graduates -> S&E occupations -> Social and related scientists -> Psychologists,All college graduates,S&E occupations,Social and related scientists,Psychologists,4,233000,193000,4000,,,189000,,7000,33000
7769,r022,All college graduates -> S&E occupations -> Social and related scientists -> Anthropologists,All college graduates,S&E occupations,Social and related scientists,Anthropologists,4,13000,11000,,,,10000,,,2000
7769,r023,All college graduates -> S&E occupations -> Social and related scientists -> Other social and related scientists,All college graduates,S&E occupations,Social and related scientists,Other social and related scientists,4,191000,103000,9000,9000,3000,80000,S,40000,48000
7769,r024,All college graduates -> S&E occupations -> Social and related scientists -> Postsecondary teachers - social and related sciences,All college graduates,S&E occupations,Social and related scientists,Postsecondary teachers - social and related sciences,4,188000,131000,S,0.05,,129000,,3000,54000
7769,r025,All college graduates -> S&E occupations -> Engineers,All college graduates,S&E occupations,Engineers,,3,1949000,1686000,30000,51000,58000,25000,1522000,86000,177000
7769,r026,"All college graduates -> S&E occupations -> Engineers -> Aerospace, aeronautical, and astronautical engineers",All college graduates,S&E occupations,Engineers,"Aerospace, aeronautical, and astronautical engineers",4,127000,110000,,1000,6000,,101000,3000,15000
7769,r027,All college graduates -> S&E occupations -> Engineers -> Chemical engineers,All college graduates,S&E occupations,Engineers,Chemical engineers,4,80000,71000,1000,,6000,,64000,S,8000
7769,r028,"All college graduates -> S&E occupations -> Engineers -> Civil, architectural, and sanitary engineers",All college graduates,S&E occupations,Engineers,"Civil, architectural, and sanitary engineers",4,303000,274000,S,1000,1000,S,268000,12000,18000
7769,r029,All college graduates -> S&E occupations -> Engineers -> Electrical and computer hardware engineers,All college graduates,S&E occupations,Engineers,Electrical and computer hardware engineers,4,399000,365000,,23000,10000,S,329000,13000,22000
7769,r030,All college graduates -> S&E occupations -> Engineers -> Industrial engineers,All college graduates,S&E occupations,Engineers,Industrial engineers,4,96000,69000,3000,S,3000,S,57000,4000,22000
7769,r031,All college graduates -> S&E occupations -> Engineers -> Mechanical engineers,All college graduates,S&E occupations,Engineers,Mechanical engineers,4,388000,343000,S,S,3000,2000,332000,20000,24000
7769,r032,All college graduates -> S&E occupations -> Engineers -> Other engineers,All college graduates,S&E occupations,Engineers,Other engineers,4,501000,406000,20000,19000,27000,16000,324000,30000,65000
7769,r033,All college graduates -> S&E occupations -> Engineers -> Postsecondary teachers - engineering,All college graduates,S&E occupations,Engineers,Postsecondary teachers - engineering,4,55000,49000,0.05,S,2000,,46000,3000,3000
7769,r034,All college graduates -> S&E-related occupations,All college graduates,S&E-related occupations,,,2,9522000,2405000,667000,463000,148000,486000,641000,5519000,1597000
7769,r035,All college graduates -> S&E-related occupations -> Health-related occupations,All college graduates,S&E-related occupations,Health-related occupations,,3,6136000,764000,381000,45000,43000,283000,12000,4701000,671000
7769,r036,All college graduates -> S&E-related occupations -> S&E managers,All college graduates,S&E-related occupations,S&E managers,,3,1135000,587000,83000,136000,32000,77000,258000,303000,245000
7769,r037,All college graduates -> S&E-related occupations -> S&E precollege teachers,All college graduates,S&E-related occupations,S&E precollege teachers,,3,915000,225000,59000,64000,24000,67000,11000,235000,455000
7769,r038,All college graduates -> S&E-related occupations -> S&E technicians and technologists,All college graduates,S&E-related occupations,S&E technicians and technologists,,3,1088000,791000,142000,193000,49000,57000,350000,92000,205000
7769,r039,All college graduates -> S&E-related occupations -> Other S&E-related occupations,All college graduates,S&E-related occupations,Other S&E-related occupations,,3,248000,39000,S,25000,,2000,10000,188000,21000
7769,r040,All college graduates -> Non-S&E occupations,All college graduates,Non-S&E occupations,,,2,34349000,7944000,1136000,889000,297000,4529000,1093000,1863000,24541000
7769,r041,All college graduates -> Non-S&E occupations -> Non-S&E managers,All college graduates,Non-S&E occupations,Non-S&E managers,,3,4985000,1368000,176000,180000,58000,599000,354000,328000,3288000
7769,r042,All college graduates -> Non-S&E occupations -> Management-related occupations,All college graduates,Non-S&E occupations,Management-related occupations,,3,7868000,2012000,265000,313000,77000,1055000,303000,423000,5433000
7769,r043,All college graduates -> Non-S&E occupations -> Non-S&E precollege teachers,All college graduates,Non-S&E occupations,Non-S&E precollege teachers,,3,3919000,383000,48000,37000,12000,273000,13000,159000,3378000
7769,r044,All college graduates -> Non-S&E occupations -> Non-S&E postsecondary teachers,All college graduates,Non-S&E occupations,Non-S&E postsecondary teachers,,3,559000,75000,S,8000,S,56000,3000,28000,457000
7769,r045,All college graduates -> Non-S&E occupations -> Social services and related occupations,All college graduates,Non-S&E occupations,Social services and related occupations,,3,2072000,631000,22000,19000,6000,573000,10000,113000,1327000
7769,r046,All college graduates -> Non-S&E occupations -> Sales and marketing occupations,All college graduates,Non-S&E occupations,Sales and marketing occupations,,3,4448000,894000,141000,72000,28000,542000,110000,231000,3323000
7769,r047,"All college graduates -> Non-S&E occupations -> Art, humanities, and related occupations",All college graduates,Non-S&E occupations,"Art, humanities, and related occupations",,3,1408000,182000,36000,12000,S,118000,12000,54000,1172000
7769,r048,All college graduates -> Non-S&E occupations -> Other non-S&E occupations,All college graduates,Non-S&E occupations,Other non-S&E occupations,,3,9089000,2400000,440000,247000,112000,1312000,288000,527000,6162000
