table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_software_products_and_embedded_software_r_d_total_companiesb_number_,field_software_products_and_embedded_software_r_d_total_amount,field_software_products_and_embedded_software_r_d_paid_for_by_company_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_company_amount,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_amount,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_amount
2713,r039,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['3,472', '  ']","['20,714', '  ']","['2,813', 'i ']","['13,887', '  ']","['2,656', 'i ']","['11,873', '  ']","['283', 'i ']","['2,014', '  ']","['181', 'i ']","['400', '  ']"
2713,r040,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['229', '  ']","['1,476', '  ']","['22', 'i ']","['118', 'i ']","['20', 'i ']","['118', 'i ']","['D', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
2713,r041,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45, 48–49, 52–53, 55–56, 624, 71–72, 81","['1,015', '  ']","['23,191', 'i ']","['414', 'i ']","['21,184', 'i ']","['414', 'i ']","['21,087', 'i ']","['D', '  ']","['96', '  ']","['0', '  ']","['0', '  ']"
2713,r042,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['26,313', '  ']","['441,036', '  ']","['11,034', 'i ']","['165,576', '  ']","['10,185', 'i ']","['155,935', '  ']","['1,372', 'i ']","['9,641', '  ']","['790', 'i ']","['5,365', '  ']"
2713,r043,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2713,r044,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['4,294', '  ']","['4,390', '  ']","['2,128', 'i ']","['1,496', '  ']","['1,898', 'i ']","['1,335', '  ']","['367', 'i ']","['161', '  ']","['230', 'i ']","['101', '  ']"
2713,r045,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['7,386', '  ']","['11,252', '  ']","['3,316', 'i ']","['3,946', '  ']","['3,091', 'i ']","['3,538', '  ']","['358', 'i ']","['408', '  ']","['219', 'i ']","['252', '  ']"
2713,r046,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2713,r047,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['4,591', '  ']","['12,321', '  ']","['1,850', 'i ']","['3,677', '  ']","['1,776', 'i ']","['3,238', '  ']","['138', 'i ']","['439', '  ']","['60', '  ']","['235', '  ']"
2713,r048,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['5,004', '  ']","['18,547', '  ']","['1,797', 'i ']","['5,690', '  ']","['1,569', 'i ']","['4,599', '  ']","['292', 'i ']","['1,091', '  ']","['192', 'i ']","['539', '  ']"
2713,r049,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2713,r050,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,060', '  ']","['19,645', '  ']","['722', '  ']","['5,982', '  ']","['682', '  ']","['5,356', '  ']","['76', 'i ']","['626', '  ']","['33', 'i ']","['246', 'i ']"
2713,r051,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,152', '  ']","['17,657', '  ']","['429', '  ']","['5,730', '  ']","['407', '  ']","['5,387', '  ']","['38', '  ']","['343', '  ']","['11', 'i ']","['13', '  ']"
2713,r052,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['1,263', '  ']","['68,578', '  ']","['523', '  ']","['27,408', '  ']","['507', '  ']","['26,234', '  ']","['46', '  ']","['1,175', '  ']","['15', '  ']","['485', '  ']"
2713,r053,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['241', '  ']","['45,337', '  ']","['114', '  ']","['13,619', '  ']","['108', '  ']","['13,405', '  ']","['21', '  ']","['214', '  ']","['7', '  ']","['63', '  ']"
2713,r054,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['207', '  ']","['84,420', '  ']","['98', '  ']","['27,794', '  ']","['94', '  ']","['25,535', '  ']","['21', '  ']","['2,260', '  ']","['11', 'i ']","['812', 'i ']"
2713,r055,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['114', '  ']","['158,889', '  ']","['57', '  ']","['70,233', 'i ']","['55', '  ']","['67,310', 'i ']","['14', '  ']","['2,923', '  ']","['10', '  ']","['2,619', '  ']"
