table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
5783,r170,2019 -> Total  -> Indonesia,S&E,Biological sciences,2,170
5783,r171,2019 -> Total  -> Indonesia,S&E,Computer sciences,2,390
5783,r172,2019 -> Total  -> Indonesia,S&E,Mathematics and statistics,2,150
5783,r173,2019 -> Total  -> Indonesia,S&E,Physical sciences,2,50
5783,r174,2019 -> Total  -> Indonesia,S&E,Psychology,2,90
5783,r175,2019 -> Total  -> Indonesia,S&E,Social sciences,2,270
5783,r176,2019 -> Total  -> Indonesia,Non-S&E,,1,2710
5783,r177,2019 -> Total  -> Pakistan,All fields,,1,3270
5783,r178,2019 -> Total  -> Pakistan,S&E,All S&E fields,2,1700
5783,r179,2019 -> Total  -> Pakistan,S&E,Engineering,2,570
5783,r180,2019 -> Total  -> Pakistan,S&E,Agricultural sciences,2,10
5783,r181,2019 -> Total  -> Pakistan,S&E,Biological sciences,2,120
5783,r182,2019 -> Total  -> Pakistan,S&E,Computer sciences,2,530
5783,r183,2019 -> Total  -> Pakistan,S&E,Mathematics and statistics,2,60
5783,r184,2019 -> Total  -> Pakistan,S&E,Physical sciences,2,50
5783,r185,2019 -> Total  -> Pakistan,S&E,Psychology,2,50
5783,r186,2019 -> Total  -> Pakistan,S&E,Social sciences,2,300
5783,r187,2019 -> Total  -> Pakistan,Non-S&E,,1,1570
5783,r188,2019 -> Total  -> United Kingdom,All fields,,1,6210
5783,r189,2019 -> Total  -> United Kingdom,S&E,All S&E fields,2,1530
5783,r190,2019 -> Total  -> United Kingdom,S&E,Engineering,2,210
5783,r191,2019 -> Total  -> United Kingdom,S&E,Agricultural sciences,2,40
5783,r192,2019 -> Total  -> United Kingdom,S&E,Biological sciences,2,200
5783,r193,2019 -> Total  -> United Kingdom,S&E,Computer sciences,2,170
5783,r194,2019 -> Total  -> United Kingdom,S&E,Mathematics and statistics,2,80
5783,r195,2019 -> Total  -> United Kingdom,S&E,Physical sciences,2,80
5783,r196,2019 -> Total  -> United Kingdom,S&E,Psychology,2,280
5783,r197,2019 -> Total  -> United Kingdom,S&E,Social sciences,2,470
5783,r198,2019 -> Total  -> United Kingdom,Non-S&E,,1,4680
5783,r199,2019 -> Total  -> Turkey,All fields,,1,3200
5783,r200,2019 -> Total  -> Turkey,S&E,All S&E fields,2,1500
5783,r201,2019 -> Total  -> Turkey,S&E,Engineering,2,630
5783,r202,2019 -> Total  -> Turkey,S&E,Agricultural sciences,2,10
5783,r203,2019 -> Total  -> Turkey,S&E,Biological sciences,2,90
5783,r204,2019 -> Total  -> Turkey,S&E,Computer sciences,2,380
5783,r205,2019 -> Total  -> Turkey,S&E,Mathematics and statistics,2,40
