table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_level_4,_b_agency_b_level_5,_b_agency_b_hierarchy_depth,field_total,field_atmospheric_sciences,field_geological_sciences,field_oceanography,field_other_environmental_sciences
6357,r021,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration,All agencies,Departments,Department of Energy,National Nuclear Security Administration,,4,7073.0,600.0,4933.0,0.0,1540.0
6357,r022,All agencies -> Departments -> Department of Energy -> National Nuclear Security Administration -> Office of Defense Nuclear Nonproliferation,All agencies,Departments,Department of Energy,National Nuclear Security Administration,Office of Defense Nuclear Nonproliferation,5,7073.0,600.0,4933.0,0.0,1540.0
6357,r023,All agencies -> Departments -> Department of Energy -> Office of Science,All agencies,Departments,Department of Energy,Office of Science,,4,359764.0,252381.4,21802.9,0.0,85579.8
6357,r024,All agencies -> Departments -> Department of Health and Human Services,All agencies,Departments,Department of Health and Human Services,,,3,546810.8,0.0,0.0,0.0,546810.8
6357,r025,All agencies -> Departments -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Departments,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,,4,9602.3,0.0,0.0,0.0,9602.3
6357,r026,All agencies -> Departments -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Departments,Department of Health and Human Services,Centers for Disease Control and Prevention,,4,134534.9,0.0,0.0,0.0,134534.9
6357,r027,All agencies -> Departments -> Department of Health and Human Services -> National Institutes of Health,All agencies,Departments,Department of Health and Human Services,National Institutes of Health,,4,402673.7,0.0,0.0,0.0,402673.7
6357,r028,All agencies -> Departments -> Department of Homeland Security,All agencies,Departments,Department of Homeland Security,,,3,7902.0,0.0,0.0,4451.4,3450.6
6357,r029,All agencies -> Departments -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Departments,Department of Homeland Security,Science and Technology Directorate,,4,7699.0,0.0,0.0,4451.4,3247.6
6357,r030,All agencies -> Departments -> Department of Homeland Security -> U.S. Coast Guard,All agencies,Departments,Department of Homeland Security,U.S. Coast Guard,,4,203.1,0.0,0.0,0.0,203.1
6357,r031,All agencies -> Departments -> Department of the Interior,All agencies,Departments,Department of the Interior,,,3,460506.0,1786.9,39091.5,29731.8,389895.8
6357,r032,All agencies -> Departments -> Department of the Interior -> Bureau of Indian Affairs,All agencies,Departments,Department of the Interior,Bureau of Indian Affairs,,4,0.05,0.0,0.0,0.0,0.05
6357,r033,All agencies -> Departments -> Department of the Interior -> Bureau of Ocean Energy Management,All agencies,Departments,Department of the Interior,Bureau of Ocean Energy Management,,4,47686.9,452.1,9136.7,29391.6,8706.5
6357,r034,All agencies -> Departments -> Department of the Interior -> Bureau of Reclamation,All agencies,Departments,Department of the Interior,Bureau of Reclamation,,4,9573.6,0.0,0.0,0.0,9573.6
6357,r035,All agencies -> Departments -> Department of the Interior -> Bureau of Safety and Environmental Enforcement,All agencies,Departments,Department of the Interior,Bureau of Safety and Environmental Enforcement,,4,2169.4,0.0,0.0,30.9,2138.5
6357,r036,All agencies -> Departments -> Department of the Interior -> National Park Service,All agencies,Departments,Department of the Interior,National Park Service,,4,4766.2,1334.8,96.4,309.3,3025.7
6357,r037,All agencies -> Departments -> Department of the Interior -> Office of Surface Mining Reclamation and Enforcement,All agencies,Departments,Department of the Interior,Office of Surface Mining Reclamation and Enforcement,,4,562.0,0.0,0.0,0.0,562.0
6357,r038,All agencies -> Departments -> Department of the Interior -> U.S. Geological Survey,All agencies,Departments,Department of the Interior,U.S. Geological Survey,,4,395748.0,0.0,29858.3,0.0,365889.6
6357,r039,All agencies -> Departments -> Department of Justice,All agencies,Departments,Department of Justice,,,3,871.4,0.0,871.4,0.0,0.0
6357,r040,All agencies -> Departments -> Department of Justice -> Office of Justice Programs,All agencies,Departments,Department of Justice,Office of Justice Programs,,4,871.4,0.0,871.4,0.0,0.0
6357,r041,All agencies -> Departments -> Department of Transportation,All agencies,Departments,Department of Transportation,,,3,34727.1,21759.3,0.0,0.0,12967.8
6357,r042,All agencies -> Departments -> Department of Transportation -> Federal Aviation Administration,All agencies,Departments,Department of Transportation,Federal Aviation Administration,,4,21759.3,21759.3,0.0,0.0,0.0
6357,r043,All agencies -> Departments -> Department of Transportation -> National Highway Traffic Safety Administration,All agencies,Departments,Department of Transportation,National Highway Traffic Safety Administration,,4,12967.8,0.0,0.0,0.0,12967.8
6357,r044,All agencies -> Other agencies,All agencies,Other agencies,,,,2,,,,,
6357,r045,All agencies -> Other agencies -> Consumer Product Safety Commission,All agencies,Other agencies,Consumer Product Safety Commission,,,3,365.7,0.0,0.0,0.0,365.7
6357,r046,All agencies -> Other agencies -> Environmental Protection Agency,All agencies,Other agencies,Environmental Protection Agency,,,3,169788.1,59432.0,2676.5,14358.1,93321.4
6357,r047,All agencies -> Other agencies -> National Aeronautics and Space Administration,All agencies,Other agencies,National Aeronautics and Space Administration,,,3,1512537.2,0.0,0.0,0.0,1512537.2
6357,r048,All agencies -> Other agencies -> National Science Foundation,All agencies,Other agencies,National Science Foundation,,,3,950623.6,276643.2,212301.8,381132.5,80546.1
6357,r049,All agencies -> Other agencies -> RESTORE Act Centers of Excellence Research Grants Program,All agencies,Other agencies,RESTORE Act Centers of Excellence Research Grants Program,,,3,9220.3,0.0,0.0,0.0,9220.3
6357,r050,All agencies -> Other agencies -> Smithsonian Institution,All agencies,Other agencies,Smithsonian Institution,,,3,21827.6,0.0,21082.0,745.6,0.0
