table_id,row_id,_b_ethnicity_race_and_citizenship_status_b_full_path,_b_ethnicity_race_and_citizenship_status_b_level_1,_b_ethnicity_race_and_citizenship_status_b_level_2,_b_ethnicity_race_and_citizenship_status_b_level_3,_b_ethnicity_race_and_citizenship_status_b_level_4,_b_ethnicity_race_and_citizenship_status_b_hierarchy_depth,field_2010,field_2011,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
4656,r020,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Black or African American,Temporary visa holder,4,426,404,469,479,477,493,502,530,595,570,625
4656,r021,All doctorate recipients -> Not Hispanic or Latino -> Black or African American -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Black or African American,Unknown citizenship,4,15,10,4,4,5,5,6,22,6,10,12
4656,r022,All doctorate recipients -> Not Hispanic or Latino -> White,All doctorate recipients,Not Hispanic or Latino,White,,3,25964,26173,26982,27871,27947,28619,28766,28346,28558,28084,27783
4656,r023,All doctorate recipients -> Not Hispanic or Latino -> White -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,White,U.S. citizen or permanent resident,4,23100,23278,24010,24749,24829,25375,25502,24843,24926,24218,23944
4656,r024,All doctorate recipients -> Not Hispanic or Latino -> White -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,White,Temporary visa holder,4,2810,2841,2931,3070,3086,3180,3224,3428,3598,3771,3783
4656,r025,All doctorate recipients -> Not Hispanic or Latino -> White -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,White,Unknown citizenship,4,54,54,41,52,32,64,40,75,34,95,56
4656,r026,All doctorate recipients -> Not Hispanic or Latino -> More than one race,All doctorate recipients,Not Hispanic or Latino,More than one race,,3,711,780,868,929,939,971,1116,1110,1211,1266,1252
4656,r027,All doctorate recipients -> Not Hispanic or Latino -> More than one race -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,More than one race,U.S. citizen or permanent resident,4,654,722,807,858,879,903,1033,1015,1100,1121,1136
4656,r028,All doctorate recipients -> Not Hispanic or Latino -> More than one race -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,More than one race,Temporary visa holder,4,54,58,61,71,60,67,83,,,145,
4656,r029,All doctorate recipients -> Not Hispanic or Latino -> More than one race -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,More than one race,Unknown citizenship,4,3,0,0,0,0,1,0,,,0,
4656,r030,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,,3,441,464,462,447,411,458,470,788,861,894,831
4656,r031,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,U.S. citizen or permanent resident,4,272,248,293,279,272,249,272,471,371,381,353
4656,r032,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Temporary visa holder,4,160,212,,147,125,171,174,279,476,475,454
4656,r033,All doctorate recipients -> Not Hispanic or Latino -> Other race or race not reported -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Other race or race not reported,Unknown citizenship,4,9,4,,21,14,38,24,38,14,38,24
4656,r034,All doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported,All doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,,3,4118,3818,4082,4172,5223,4669,3831,3419,2895,2973,3010
4656,r035,All doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported -> U.S. citizen or permanent resident,All doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,U.S. citizen or permanent resident,4,940,630,625,760,677,617,753,862,516,618,435
4656,r036,All doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported -> Temporary visa holder,All doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,Temporary visa holder,4,503,339,355,465,479,503,539,228,324,495,395
4656,r037,All doctorate recipients -> Not Hispanic or Latino -> Ethnicity not reported -> Unknown citizenship,All doctorate recipients,Not Hispanic or Latino,Ethnicity not reported,Unknown citizenship,4,2675,2849,3102,2947,4067,3549,2539,2329,2055,1860,2180
