table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_r_d_expendituresa,field_intramural_performersb,field_extramural_performersc_total,field_extramural_performersc_academic_institutions,field_extramural_performersc_companies_and_individualsd,field_extramural_performersc_othere,field_r_d_plantf
9929,r024,United States<sup>g</sup> -> Michigan,United States<sup>g</sup>,Michigan,2,30525914,254848,30271066,13679420,619972,15971674,0
9929,r025,United States<sup>g</sup> -> Minnesota,United States<sup>g</sup>,Minnesota,2,25093959,3038564,22055395,14721856,4570534,2763005,0
9929,r026,United States<sup>g</sup> -> Mississippi,United States<sup>g</sup>,Mississippi,2,9788541,2820168,6968373,3754922,1028977,2184474,0
9929,r027,United States<sup>g</sup> -> Missouri,United States<sup>g</sup>,Missouri,2,12430684,4338958,8091726,6267780,1397709,426237,0
9929,r028,United States<sup>g</sup> -> Montana,United States<sup>g</sup>,Montana,2,9752216,3400729,6351487,4200739,0,2150748,0
9929,r029,United States<sup>g</sup> -> Nebraska,United States<sup>g</sup>,Nebraska,2,32687157,2114433,30572724,25706242,4758046,108436,10000
9929,r030,United States<sup>g</sup> -> Nevada,United States<sup>g</sup>,Nevada,2,3643395,208642,3434753,2200553,283100,951100,0
9929,r031,United States<sup>g</sup> -> New Hampshire,United States<sup>g</sup>,New Hampshire,2,9222505,136953,9085552,241647,7025864,1818041,0
9929,r032,United States<sup>g</sup> -> New Jersey,United States<sup>g</sup>,New Jersey,2,65020915,3317395,61703520,47835643,1504415,12363462,0
9929,r033,United States<sup>g</sup> -> New Mexico,United States<sup>g</sup>,New Mexico,2,3456227,1110427,2345800,1629579,374741,341480,0
9929,r034,United States<sup>g</sup> -> New York,United States<sup>g</sup>,New York,2,506283025,274950816,231332209,154930297,47930079,28471833,70000
9929,r035,United States<sup>g</sup> -> North Carolina,United States<sup>g</sup>,North Carolina,2,38818576,17505611,21312965,14454020,5333677,1525268,1000000
9929,r036,United States<sup>g</sup> -> North Dakota,United States<sup>g</sup>,North Dakota,2,17874336,131121,17743215,6647965,9559797,1535453,0
9929,r037,United States<sup>g</sup> -> Ohio,United States<sup>g</sup>,Ohio,2,70471571,1106388,69365183,18527266,49891610,946307,0
9929,r038,United States<sup>g</sup> -> Oklahoma,United States<sup>g</sup>,Oklahoma,2,27646238,1946574,25699664,17857716,3693891,4148057,0
9929,r039,United States<sup>g</sup> -> Oregon,United States<sup>g</sup>,Oregon,2,33801166,16703743,17097423,8564907,4287150,4245366,0
9929,r040,United States<sup>g</sup> -> Pennsylvania,United States<sup>g</sup>,Pennsylvania,2,88557830,13041479,75516351,38491630,6077281,30947440,0
9929,r041,United States<sup>g</sup> -> Rhode Island,United States<sup>g</sup>,Rhode Island,2,8361413,5438324,2923089,895354,836124,1191611,0
9929,r042,United States<sup>g</sup> -> South Carolina,United States<sup>g</sup>,South Carolina,2,50056315,29595672,20460643,5652030,1826919,12981694,2000000
9929,r043,United States<sup>g</sup> -> South Dakota,United States<sup>g</sup>,South Dakota,2,4595753,237313,4358440,2989627,624054,744759,500000
9929,r044,United States<sup>g</sup> -> Tennessee,United States<sup>g</sup>,Tennessee,2,38959330,314273,38645057,5999804,32645253,0,0
9929,r045,United States<sup>g</sup> -> Texas,United States<sup>g</sup>,Texas,2,247609284,2368161,245241123,200096480,43539743,1604900,0
9929,r046,United States<sup>g</sup> -> Utah,United States<sup>g</sup>,Utah,2,8837531,6375939,2461592,1559806,794455,107331,0
9929,r047,United States<sup>g</sup> -> Vermont,United States<sup>g</sup>,Vermont,2,1460157,1170646,289511,236262,52924,325,0
9929,r048,United States<sup>g</sup> -> Virginia,United States<sup>g</sup>,Virginia,2,40253504,15546707,24706797,13951050,8277124,2478623,50400
9929,r049,United States<sup>g</sup> -> Washington,United States<sup>g</sup>,Washington,2,60886219,24507566,36378653,16420916,15728140,4229597,8532580
9929,r050,United States<sup>g</sup> -> West Virginia,United States<sup>g</sup>,West Virginia,2,9180282,3803985,5376297,5131402,237000,7895,0
9929,r051,United States<sup>g</sup> -> Wisconsin,United States<sup>g</sup>,Wisconsin,2,19060693,5209332,13851361,3395186,7405745,3050430,0
9929,r052,United States<sup>g</sup> -> Wyoming,United States<sup>g</sup>,Wyoming,2,5657338,2228619,3428719,800222,2359722,268775,0
9929,r053,Puerto Rico<sup>h</sup>,Puerto Rico<sup>h</sup>,,1,17058786,11176340,5882446,2397243,3340203,145000,0
