table_id,row_id,sex_and_field_full_path,sex_and_field_level_1,sex_and_field_level_2,sex_and_field_level_3,sex_and_field_level_4,sex_and_field_level_5,sex_and_field_hierarchy_depth,field_all_u_s_citizens_and_permanent_residents,field_hispanic_or_latinoa,field_non_hispanic_or_latino_all_non_hispanic_or_latino,field_non_hispanic_or_latino_american_indian_or_alaska_native,field_non_hispanic_or_latino_asian,field_non_hispanic_or_latino_black_or_african_american,field_non_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_non_hispanic_or_latino_white,field_non_hispanic_or_latino_more_than_one_race,field_non_hispanic_or_latino_other_or_unknown_race_or_ethnicity
1170,r020,Male (number) -> All fields,Male (number),All fields,,,,2,100,100,100,100,100,100,100,100,100,100
1170,r021,Male (number) -> All fields -> S&E,Male (number),All fields,S&E,,,3,57.8,56.4,57.9,46.6,71.6,32.5,35.1,59.3,64.4,56.2
1170,r022,Male (number) -> All fields -> S&E -> Science,Male (number),All fields,S&E,Science,,4,42.7,43.3,42.7,39.8,43.8,24.9,27.0,44.6,43.1,42.0
1170,r023,Male (number) -> All fields -> S&E -> Science -> Agricultural sciences,Male (number),All fields,S&E,Science,Agricultural sciences,5,1.9,1.8,1.9,2.9,0.7,0.9,0.0,2.2,1.4,1.8
1170,r024,Male (number) -> All fields -> S&E -> Science -> Biological sciences,Male (number),All fields,S&E,Science,Biological sciences,5,11.8,11.4,11.8,11.7,17.0,5.5,13.5,12.2,13.0,9.3
1170,r025,Male (number) -> All fields -> S&E -> Science -> Computer sciences,Male (number),All fields,S&E,Science,Computer sciences,5,2.8,1.8,2.9,0.0,3.8,2.5,2.7,2.7,3.5,3.5
1170,r026,"Male (number) -> All fields -> S&E -> Science -> Earth, atmospheric, and ocean sciences",Male (number),All fields,S&E,Science,"Earth, atmospheric, and ocean sciences",5,1.5,0.9,1.5,2.9,0.9,0.3,0.0,1.8,1.2,1.2
1170,r027,Male (number) -> All fields -> S&E -> Science -> Mathematics and statistics,Male (number),All fields,S&E,Science,Mathematics and statistics,5,3.2,3.3,3.2,2.9,4.1,1.5,0.0,3.2,5.3,3.1
1170,r028,Male (number) -> All fields -> S&E -> Science -> Physical sciences,Male (number),All fields,S&E,Science,Physical sciences,5,9.0,6.2,9.2,2.9,9.0,3.0,5.4,10.1,6.7,8.3
1170,r029,Male (number) -> All fields -> S&E -> Science -> Psychology,Male (number),All fields,S&E,Science,Psychology,5,5.0,9.5,4.7,5.8,3.1,4.5,0.0,4.8,7.4,5.2
1170,r030,Male (number) -> All fields -> S&E -> Science -> Social sciences,Male (number),All fields,S&E,Science,Social sciences,5,7.6,8.2,7.6,10.7,5.2,6.6,5.4,7.7,4.6,9.5
1170,r031,Male (number) -> All fields -> S&E -> Engineering,Male (number),All fields,S&E,Engineering,,4,15.1,13.1,15.2,6.8,27.8,7.6,8.1,14.7,21.3,14.2
1170,r032,Male (number) -> All fields -> Non-S&E,Male (number),All fields,Non-S&E,,,3,42.2,43.6,42.1,53.4,28.4,67.5,64.9,40.7,35.6,43.8
1170,r033,Male (number) -> All fields -> Non-S&E -> Education,Male (number),All fields,Non-S&E,Education,,4,14.6,18.5,14.3,25.2,5.7,30.9,32.4,13.6,10.6,12.5
1170,r034,Male (number) -> All fields -> Non-S&E -> Health,Male (number),All fields,Non-S&E,Health,,4,5.2,4.1,5.3,6.8,7.1,6.9,8.1,4.9,6.9,4.6
1170,r035,Male (number) -> All fields -> Non-S&E -> Humanities,Male (number),All fields,Non-S&E,Humanities,,4,6.5,6.9,6.4,6.8,1.9,2.6,2.7,7.2,4.4,7.9
1170,r036,Male (number) -> All fields -> Non-S&E -> Other non-S&E<sup>b</sup>,Male (number),All fields,Non-S&E,Other non-S&E<sup>b</sup>,,4,15.9,14.0,16.1,14.6,13.6,27.1,21.6,14.9,13.7,18.8
