table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_outside_united_states,field_puerto_ricoa,field_canada,field_austria,field_belgium,field_czechia,field_denmark,field_finland,field_france,field_germany,field_hungary,field_ireland,field_italy,field_luxembourg,field_netherlands,field_norway,field_poland,field_russia,field_spain,field_sweden,field_switzerland,field_turkey,field_united_kingdom,field_other_european_locations
2748,r011,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['28,322', '  ']","['125 - 423', '  ']","['1,840', '  ']","['131', '  ']","['144', '  ']","['102', '  ']","['215', '  ']","['202', '  ']","['573', '  ']","['2,155', '  ']","['14', '  ']","['694', '  ']","['214', '  ']","['7', '  ']","['269', '  ']","['181', '  ']","['255', '  ']","['84', '  ']","['190', '  ']","['345', '  ']","['376', '  ']","['10', 'i ']","['1,636', '  ']","['258', '  ']"
2748,r012,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['1,693', '  ']","['*', '  ']","['268', 'i ']","['21', '  ']","['11', '  ']","['3', '  ']","['1', '  ']","['4', '  ']","['50', '  ']","['279', '  ']","['2', '  ']","['8', '  ']","['114', '  ']","['0', '  ']","['16', '  ']","['9', '  ']","['22', '  ']","['13', 'i ']","['6', '  ']","['8', '  ']","['77', '  ']","['2', '  ']","['98', '  ']","['29', '  ']"
2748,r013,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['7,446', '  ']","['0', '  ']","['249', '  ']","['5', 'i ']","['81', '  ']","['25', '  ']","['3', '  ']","['0', '  ']","['140', '  ']","['1,500', '  ']","['17', '  ']","['4', '  ']","['252', '  ']","['0 - 23', '  ']","['249', '  ']","['0', '  ']","['91', '  ']","['0 - 16', '  ']","['125', '  ']","['58', '  ']","['8', '  ']","['3', '  ']","['963', '  ']","['102', 'i ']"
2748,r014,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['3,270 - 3,274', '  ']","['0 - 247', '  ']","['41 - 230', '  ']","['30', '  ']","['32', '  ']","['0 - 21', 'i ']","['17', '  ']","['31', '  ']","['170', '  ']","['441', '  ']","['0', '  ']","['268', '  ']","['39', '  ']","['0 - 32', 'i ']","['115', '  ']","['25', '  ']","['9', 'i ']","['44', '  ']","['17', '  ']","['84', '  ']","['157', '  ']","['0 - 10', '  ']","['210', '  ']","['32', '  ']"
2748,r015,All industries -> Manufacturing industries -> Other manufacturing,All industries,Manufacturing industries,Other manufacturing,,,3,"312–16, 321–24, 331, 337","['1,180 - 1,191', '  ']","['0', '  ']","['0 - 179', '  ']","['0 - 5', '  ']","['61', '  ']","['0', '  ']","['2', '  ']","['1', '  ']","['65', '  ']","['43', '  ']","['0 - 7', '  ']","['0', '  ']","['33', '  ']","['0 - 18', '  ']","['8', '  ']","['3', 'i ']","['2', '  ']","['0 - 16', '  ']","['3', '  ']","['6', '  ']","['256', '  ']","['0 - 10', '  ']","['111', '  ']","['59', '  ']"
2748,r016,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['35,498', '  ']","['12', '  ']","['2,751', '  ']","['138', '  ']","['310', '  ']","['363', '  ']","['204', '  ']","['236', '  ']","['1,155', '  ']","['1,827', '  ']","['169', '  ']","['1,811', '  ']","['326', '  ']","['88', 'i ']","['881', '  ']","['101', '  ']","['349', '  ']","['205', '  ']","['452', '  ']","['553', '  ']","['1,663', '  ']","['51', '  ']","['5,979', '  ']","['1,265', '  ']"
2748,r017,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['32', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['6', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['*', '  ']"
2748,r018,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['17,156', '  ']","['0 - 13', '  ']","['1,588', '  ']","['79', '  ']","['137', '  ']","['202', '  ']","['143', '  ']","['192', '  ']","['442', '  ']","['645', '  ']","['95', '  ']","['742', '  ']","['56', '  ']","['0 - 29', '  ']","['315', '  ']","['79', '  ']","['138', '  ']","['74', '  ']","['161', '  ']","['446', '  ']","['1,038', '  ']","['1 - 26', '  ']","['2,868', '  ']","['687', '  ']"
2748,r019,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['131 - 138', '  ']","['0', '  ']","['20', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['19', '  ']","['4', '  ']","['0', '  ']","['3', '  ']","['0', '  ']","['*', '  ']","['3', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['1', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['19', '  ']","['8', '  ']"
2748,r020,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['4,739', '  ']","['0 - 10', '  ']","['315', '  ']","['56', '  ']","['8', '  ']","['103', '  ']","['15', '  ']","['12', '  ']","['132', '  ']","['177', '  ']","['56', '  ']","['334', '  ']","['24', '  ']","['*', '  ']","['89', '  ']","['23', '  ']","['52', '  ']","['29', '  ']","['38', '  ']","['35', '  ']","['46', '  ']","['2', 'i ']","['524', '  ']","['312', 'i ']"
2748,r021,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['12,278 - 12,287', '  ']","['0 - 13', '  ']","['1,253', '  ']","['23', '  ']","['128', '  ']","['99', '  ']","['127', '  ']","['179', '  ']","['291', '  ']","['464', '  ']","['39', '  ']","['406', '  ']","['32', '  ']","['0 - 29', '  ']","['223', '  ']","['56', '  ']","['86', '  ']","['43', '  ']","['122', '  ']","['411', '  ']","['992', '  ']","['0 - 25', '  ']","['2,325', '  ']","['366', '  ']"
2748,r022,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['13,307', '  ']","['0 - 8', 'i ']","['899', '  ']","['54', '  ']","['166', '  ']","['134', '  ']","['39', '  ']","['42', '  ']","['627', '  ']","['849', '  ']","['74', '  ']","['441', '  ']","['239', '  ']","['0', '  ']","['355', '  ']","['19', '  ']","['187', '  ']","['130', '  ']","['257', '  ']","['65', '  ']","['512', '  ']","['26', '  ']","['2,524', '  ']","['441', '  ']"
2748,r023,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['56 - 66', 'i ']","['0', '  ']","['14', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['3', 'i ']","['5', 'i ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['2', '  ']"
2748,r024,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['8,370 - 8,379', '  ']","['0 - 8', 'i ']","['420', '  ']","['46', '  ']","['156', '  ']","['65', '  ']","['33', '  ']","['42', '  ']","['483', '  ']","['516', '  ']","['73', '  ']","['127', '  ']","['199', '  ']","['0', '  ']","['310', 'i ']","['8', 'i ']","['156', '  ']","['125', '  ']","['212', '  ']","['58', '  ']","['440', '  ']","['24', '  ']","['2,081', '  ']","['339', '  ']"
2748,r025,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['2,590', '  ']","['0', '  ']","['78', '  ']","['4', '  ']","['60', '  ']","['24', '  ']","['9', '  ']","['5', '  ']","['142', '  ']","['194', '  ']","['26', '  ']","['23', '  ']","['72', '  ']","['0', '  ']","['45', '  ']","['4', '  ']","['64', '  ']","['33', '  ']","['81', '  ']","['20', '  ']","['394', '  ']","['6', '  ']","['594', '  ']","['111', '  ']"
2748,r026,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Other scientific research and development",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Other scientific research and development,5,other 5417,"['5,779 - 5,790', '  ']","['0 - 8', 'i ']","['342', '  ']","['42', '  ']","['96', '  ']","['41', 'i ']","['24', '  ']","['37', '  ']","['341', '  ']","['323', '  ']","['48', '  ']","['103', '  ']","['127', '  ']","['0', '  ']","['264', 'i ']","['4', 'i ']","['92', 'i ']","['92', '  ']","['131', '  ']","['38', '  ']","['47', '  ']","['17', '  ']","['1,487', '  ']","['228', '  ']"
2748,r027,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['4,871', '  ']","['0', '  ']","['466', '  ']","['8', '  ']","['10', '  ']","['69', '  ']","['6', '  ']","['*', '  ']","['141', '  ']","['328', '  ']","['1', '  ']","['314', '  ']","['40', '  ']","['0', '  ']","['45', '  ']","['11', '  ']","['31', '  ']","['5', '  ']","['45', '  ']","['7', '  ']","['71', '  ']","['2', '  ']","['442', '  ']","['99', '  ']"
2748,r028,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"21–23, 44–45, 48–49, 52–53, 55–56, 621–24, 71–72, 81","['5,002', 'i ']","['0 - 13', '  ']","['263', 'i ']","['4', 'i ']","['8', 'i ']","['26', '  ']","['22', '  ']","['2', 'i ']","['86', 'i ']","['327', 'i ']","['*', '  ']","['628', 'i ']","['31', 'i ']","['59 - 88', 'i ']","['210', '  ']","['3', 'i ']","['24', 'i ']","['2', '  ']","['34', 'i ']","['42', 'i ']","['113', 'i ']","['0 - 25', '  ']","['586', 'i ']","['138', 'i ']"
2748,r029,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['100,376', '  ']","['493', '  ']","['6,140', '  ']","['746', '  ']","['2,549', '  ']","['547', '  ']","['641', '  ']","['578', '  ']","['3,332', '  ']","['8,391', '  ']","['238', '  ']","['4,043', '  ']","['1,670', '  ']","['259', '  ']","['2,289', '  ']","['391', '  ']","['854', '  ']","['450', '  ']","['1,168', '  ']","['1,311', '  ']","['4,434', '  ']","['109', '  ']","['11,278', '  ']","['2,527', '  ']"
2748,r030,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2748,r031,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>b</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>b</sup>,,,3,–,"['128', '  ']","['0', '  ']","['4', '  ']","['5', '  ']","['0', '  ']","['2', '  ']","['0', '  ']","['*', '  ']","['2', '  ']","['7', '  ']","['0', '  ']","['2', '  ']","['2', '  ']","['0', '  ']","['1', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['5', '  ']","['10', '  ']","['0', '  ']","['8', '  ']","['6', '  ']"
2748,r032,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['569', '  ']","['0', '  ']","['43', '  ']","['44', '  ']","['20', 'i ']","['*', '  ']","['2', '  ']","['*', '  ']","['15', '  ']","['30', '  ']","['*', '  ']","['3', '  ']","['4', '  ']","['0', '  ']","['5', '  ']","['0', '  ']","['5', '  ']","['6', '  ']","['24', '  ']","['*', '  ']","['3', '  ']","['0', '  ']","['60', '  ']","['58', '  ']"
2748,r033,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2748,r034,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['692', '  ']","['*', '  ']","['30', 'i ']","['1', '  ']","['5', '  ']","['13', '  ']","['4', '  ']","['0', '  ']","['20', '  ']","['68', '  ']","['3', '  ']","['1', '  ']","['2', '  ']","['0', '  ']","['13', '  ']","['*', '  ']","['2', '  ']","['5', '  ']","['5', '  ']","['11', '  ']","['4', '  ']","['*', '  ']","['92', '  ']","['26', '  ']"
2748,r035,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['1,872', '  ']","['2', '  ']","['87', '  ']","['1', '  ']","['7', '  ']","['8', '  ']","['7', '  ']","['1', '  ']","['36', '  ']","['145', '  ']","['*', '  ']","['59', '  ']","['39', '  ']","['*', '  ']","['20', '  ']","['12', '  ']","['13', '  ']","['10', '  ']","['6', '  ']","['25', '  ']","['332', '  ']","['*', '  ']","['249', '  ']","['31', '  ']"
2748,r036,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2748,r037,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,179', '  ']","['*', '  ']","['162', '  ']","['4', '  ']","['2', '  ']","['3', '  ']","['4', '  ']","['3', '  ']","['40', '  ']","['89', '  ']","['2', '  ']","['154', '  ']","['28', '  ']","['0', '  ']","['72', '  ']","['8', '  ']","['4', '  ']","['7', '  ']","['18', '  ']","['11', '  ']","['72', '  ']","['*', '  ']","['322', '  ']","['79', '  ']"
2748,r038,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['2,557', '  ']","['0', '  ']","['115', '  ']","['9', '  ']","['19', '  ']","['41', '  ']","['24', '  ']","['20', '  ']","['87', '  ']","['151', '  ']","['14', '  ']","['72', '  ']","['29', '  ']","['4', '  ']","['17', '  ']","['18', '  ']","['32', '  ']","['34', '  ']","['37', '  ']","['19', '  ']","['40', '  ']","['8', '  ']","['579', '  ']","['144', '  ']"
2748,r039,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['15,184', '  ']","['28', '  ']","['2,095', '  ']","['36', '  ']","['214', '  ']","['44', '  ']","['232', '  ']","['121', '  ']","['702', '  ']","['1,335', '  ']","['75', '  ']","['494', '  ']","['204', '  ']","['0 - 43', '  ']","['469', '  ']","['36', '  ']","['101', '  ']","['75', '  ']","['132', '  ']","['324', '  ']","['647', '  ']","['0 - 37', '  ']","['1,286', '  ']","['566', '  ']"
2748,r040,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['15,538', '  ']","['9', '  ']","['886', '  ']","['118', '  ']","['183', '  ']","['148', '  ']","['104', '  ']","['63', 'i ']","['634', '  ']","['940', '  ']","['62', '  ']","['580', '  ']","['231', '  ']","['2', '  ']","['404', '  ']","['45', 'i ']","['226', '  ']","['96', 'i ']","['280', '  ']","['294', '  ']","['579', 'i ']","['42', '  ']","['1,923', '  ']","['373', 'i ']"
2748,r041,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['22,356', '  ']","['432', '  ']","['769', '  ']","['372', '  ']","['426', '  ']","['36', '  ']","['87', '  ']","['78', '  ']","['1,049', '  ']","['2,135', '  ']","['40', '  ']","['355', '  ']","['615', '  ']","['120 - 166', '  ']","['770', '  ']","['94', '  ']","['169', '  ']","['78', '  ']","['466', '  ']","['258', '  ']","['695', '  ']","['0 - 37', '  ']","['2,358', '  ']","['646', '  ']"
2748,r042,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['39,301', '  ']","['21', '  ']","['1,949', '  ']","['155', '  ']","['1,671', '  ']","['252', '  ']","['178', '  ']","['291', '  ']","['745', '  ']","['3,491', '  ']","['42', '  ']","['2,322', '  ']","['515', '  ']","['89', 'i ']","['518', '  ']","['177', '  ']","['301', '  ']","['138', '  ']","['199', '  ']","['365', '  ']","['2,052', '  ']","['24', '  ']","['4,400', '  ']","['597', '  ']"
