table_id,row_id,_b_state_b_full_path,_b_state_b_level_1,_b_state_b_level_2,_b_state_b_hierarchy_depth,field_all_intramural_r_d_expenditures,field_type_of_r_d_basic_research,field_type_of_r_d_applied_research,field_type_of_r_d_experimental_development
9934,r029,United States<sup>a</sup> -> Nebraska,United States<sup>a</sup>,Nebraska,2,2114433,0,2061933,52500
9934,r030,United States<sup>a</sup> -> Nevada,United States<sup>a</sup>,Nevada,2,208642,0,208642,0
9934,r031,United States<sup>a</sup> -> New Hampshire,United States<sup>a</sup>,New Hampshire,2,136953,0,82794,54159
9934,r032,United States<sup>a</sup> -> New Jersey,United States<sup>a</sup>,New Jersey,2,3317395,256138,2572825,488432
9934,r033,United States<sup>a</sup> -> New Mexico,United States<sup>a</sup>,New Mexico,2,1110427,459900,650527,0
9934,r034,United States<sup>a</sup> -> New York,United States<sup>a</sup>,New York,2,274950816,71806169,199458572,3686075
9934,r035,United States<sup>a</sup> -> North Carolina,United States<sup>a</sup>,North Carolina,2,17505611,2673526,14832085,0
9934,r036,United States<sup>a</sup> -> North Dakota,United States<sup>a</sup>,North Dakota,2,131121,93115,38006,0
9934,r037,United States<sup>a</sup> -> Ohio,United States<sup>a</sup>,Ohio,2,1106388,1050776,55612,0
9934,r038,United States<sup>a</sup> -> Oklahoma,United States<sup>a</sup>,Oklahoma,2,1946574,606661,554074,785839
9934,r039,United States<sup>a</sup> -> Oregon,United States<sup>a</sup>,Oregon,2,16703743,4466524,9681150,2556069
9934,r040,United States<sup>a</sup> -> Pennsylvania,United States<sup>a</sup>,Pennsylvania,2,13041479,52470,438592,12550417
9934,r041,United States<sup>a</sup> -> Rhode Island,United States<sup>a</sup>,Rhode Island,2,5438324,1905103,3533221,0
9934,r042,United States<sup>a</sup> -> South Carolina,United States<sup>a</sup>,South Carolina,2,29595672,1356617,27572156,666899
9934,r043,United States<sup>a</sup> -> South Dakota,United States<sup>a</sup>,South Dakota,2,237313,3000,231313,3000
9934,r044,United States<sup>a</sup> -> Tennessee,United States<sup>a</sup>,Tennessee,2,314273,0,314273,0
9934,r045,United States<sup>a</sup> -> Texas,United States<sup>a</sup>,Texas,2,2368161,377760,1903118,87283
9934,r046,United States<sup>a</sup> -> Utah,United States<sup>a</sup>,Utah,2,6375939,0,6375939,0
9934,r047,United States<sup>a</sup> -> Vermont,United States<sup>a</sup>,Vermont,2,1170646,103995,856380,210271
9934,r048,United States<sup>a</sup> -> Virginia,United States<sup>a</sup>,Virginia,2,15546707,1420441,12380960,1745306
9934,r049,United States<sup>a</sup> -> Washington,United States<sup>a</sup>,Washington,2,24507566,143571,22860464,1503531
9934,r050,United States<sup>a</sup> -> West Virginia,United States<sup>a</sup>,West Virginia,2,3803985,0,3623834,180151
9934,r051,United States<sup>a</sup> -> Wisconsin,United States<sup>a</sup>,Wisconsin,2,5209332,0,5179583,29749
9934,r052,United States<sup>a</sup> -> Wyoming,United States<sup>a</sup>,Wyoming,2,2228619,1569263,659356,0
9934,r053,Puerto Rico<sup>b</sup>,Puerto Rico<sup>b</sup>,,1,11176340,6273867,2902414,2000059
