table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_companies_number_,field_public_support_number_yes,field_public_support_number_no,field_public_support_percent_yes,field_public_support_percent_no
2647,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals ",,4,3253,"['    267 ', '&nbsp;']","['    14 ', '&nbsp;']","['    253 ', '&nbsp;']","['    5.2 ', '&nbsp;']","['    94.8 ', '&nbsp;']"
2647,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['    800 ', '&nbsp;']","['    94 ', '&nbsp;']","['    706 ', '&nbsp;']","['    11.8 ', '&nbsp;']","['    88.2 ', '&nbsp;']"
2647,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['    936 ', '&nbsp;']","['    43 ', '&nbsp;']","['    893 ', '&nbsp;']","['    4.6 ', '&nbsp;']","['    95.4 ', '&nbsp;']"
2647,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['    2,358 ', '&nbsp;']","['    253 ', '&nbsp;']","['    2,105 ', '&nbsp;']","['    10.7 ', '&nbsp;']","['    89.3 ', '&nbsp;']"
2647,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['    4,141 ', '&nbsp;']","['    465 ', '&nbsp;']","['    3,676 ', '&nbsp;']","['    11.2 ', '&nbsp;']","['    88.8 ', '&nbsp;']"
2647,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['    2,984 ', '&nbsp;']","['    199 ', '&nbsp;']","['    2,785 ', '&nbsp;']","['    6.7 ', '&nbsp;']","['    93.3 ', '&nbsp;']"
2647,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['    1,177 ', '&nbsp;']","['    109 ', '&nbsp;']","['    1,069 ', '&nbsp;']","['    9.2 ', '&nbsp;']","['    90.8 ', '&nbsp;']"
2647,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['    19,460 ', '&nbsp;']","['    1,116 ', '&nbsp;']","['    18,345 ', '&nbsp;']","['    5.7 ', '&nbsp;']","['    94.3 ', '&nbsp;']"
2647,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['    9,521 ', '&nbsp;']","['    1,032 ', '&nbsp;']","['    8,488 ', '&nbsp;']","['    10.8 ', '&nbsp;']","['    89.2 ', '&nbsp;']"
2647,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['    5,849 ', '&nbsp;']","['    724 ', '&nbsp;']","['    5,125 ', '&nbsp;']","['    12.4 ', '&nbsp;']","['    87.6 ', '&nbsp;']"
2647,r021,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['    605 ', '&nbsp;']","['    57 ', '&nbsp;']","['    548 ', '&nbsp;']","['    9.5 ', '&nbsp;']","['    90.5 ', '&nbsp;']"
2647,r022,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['    1,779 ', '&nbsp;']","['    261 ', '&nbsp;']","['    1,518 ', '&nbsp;']","['    14.7 ', '&nbsp;']","['    85.3 ', '&nbsp;']"
2647,r023,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['    2,528 ', '&nbsp;']","['    350 ', '&nbsp;']","['    2,178 ', '&nbsp;']","['    13.8 ', '&nbsp;']","['    86.2 ', '&nbsp;']"
2647,r024,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['    937 ', '&nbsp;']","['    56 ', '&nbsp;']","['    881 ', '&nbsp;']","['    6.0 ', '&nbsp;']","['    94.0 ', '&nbsp;']"
2647,r025,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['    2,280 ', '&nbsp;']","['    213 ', '&nbsp;']","['    2,066 ', '&nbsp;']","['    9.4 ', '&nbsp;']","['    90.6 ', '&nbsp;']"
2647,r026,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['    4,112 ', '&nbsp;']","['    331 ', '&nbsp;']","['    3,781 ', '&nbsp;']","['    8.1 ', '&nbsp;']","['    91.9 ', '&nbsp;']"
2647,r027,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['    2,617 ', '&nbsp;']","['    250 ', '&nbsp;']","['    2,367 ', '&nbsp;']","['    9.6 ', '&nbsp;']","['    90.4 ', '&nbsp;']"
2647,r028,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['    593 ', '&nbsp;']","['    37 ', '&nbsp;']","['    556 ', '&nbsp;']","['    6.3 ', '&nbsp;']","['    93.7 ', '&nbsp;']"
2647,r029,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['    901 ', '&nbsp;']","['    44 ', '&nbsp;']","['    858 ', '&nbsp;']","['    4.8 ', '&nbsp;']","['    95.2 ', '&nbsp;']"
2647,r030,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['    5,021 ', '&nbsp;']","['    183 ', '&nbsp;']","['    4,838 ', '&nbsp;']","['    3.6 ', '&nbsp;']","['    96.4 ', '&nbsp;']"
2647,r031,All industries -> Manufacturing industries -> Miscellaneous ,All industries,Manufacturing industries,Miscellaneous ,,,3,339,"['    10,456 ', '&nbsp;']","['    483 ', '&nbsp;']","['    9,972 ', '&nbsp;']","['    4.6 ', '&nbsp;']","['    95.4 ', '&nbsp;']"
2647,r032,All industries -> Manufacturing industries -> Miscellaneous  -> Medical equipment and supplies ,All industries,Manufacturing industries,Miscellaneous ,Medical equipment and supplies ,,4,3391,"['    3,712 ', '&nbsp;']","['    178 ', '&nbsp;']","['    3,534 ', '&nbsp;']","['    4.8 ', '&nbsp;']","['    95.2 ', '&nbsp;']"
2647,r033,All industries -> Manufacturing industries -> Miscellaneous  -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous ,Other miscellaneous manufacturing,,4,3399,"['    6,743 ', '&nbsp;']","['    305 ', '&nbsp;']","['    6,438 ', '&nbsp;']","['    4.5 ', '&nbsp;']","['    95.5 ', '&nbsp;']"
2647,r034,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"11, 21–23, 42–81","['    1,118,613 ', '&nbsp;']","['    31,878 ', '&nbsp;']","['    1,086,735 ', '&nbsp;']","['    2.8 ', '&nbsp;']","['    97.2 ', '&nbsp;']"
2647,r035,"All industries -> Nonmanufacturing industries -> Agriculture, forestry, fishing, and hunting",All industries,Nonmanufacturing industries,"Agriculture, forestry, fishing, and hunting",,,3,11,"['    3,816 ', '&nbsp;']","['    262 ', '&nbsp;']","['    3,554 ', '&nbsp;']","['    6.9 ', '&nbsp;']","['    93.1 ', '&nbsp;']"
2647,r036,"All industries -> Nonmanufacturing industries -> Mining, extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, extraction, and support activities",,,3,21,"['    2,375 ', '&nbsp;']","['    49 ', '&nbsp;']","['    2,326 ', '&nbsp;']","['    2.1 ', '&nbsp;']","['    97.9 ', '&nbsp;']"
2647,r037,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['    582 ', '&nbsp;']","['    29 ', '&nbsp;']","['    553 ', '&nbsp;']","['    5.0 ', '&nbsp;']","['    95.0 ', '&nbsp;']"
2647,r038,All industries -> Nonmanufacturing industries -> Construction,All industries,Nonmanufacturing industries,Construction,,,3,23,"['    112,877 ', '&nbsp;']","['    2,326 ', '&nbsp;']","['    110,551 ', '&nbsp;']","['    2.1 ', '&nbsp;']","['    97.9 ', '&nbsp;']"
2647,r039,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['    91,960 ', '&nbsp;']","['    2,583 ', '&nbsp;']","['    89,377 ', '&nbsp;']","['    2.8 ', '&nbsp;']","['    97.2 ', '&nbsp;']"
2647,r040,All industries -> Nonmanufacturing industries -> Retail trade,All industries,Nonmanufacturing industries,Retail trade,,,3,44–45,"['    152,920 ', '&nbsp;']","['    2,970 ', '&nbsp;']","['    149,950 ', '&nbsp;']","['    1.9 ', '&nbsp;']","['    98.1 ', '&nbsp;']"
2647,r041,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['    43,007 ', '&nbsp;']","['    901 ', '&nbsp;']","['    42,106 ', '&nbsp;']","['    2.1 ', '&nbsp;']","['    97.9 ', '&nbsp;']"
2647,r042,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['    24,979 ', '&nbsp;']","['    1,450 ', '&nbsp;']","['    23,529 ', '&nbsp;']","['    5.8 ', '&nbsp;']","['    94.2 ', '&nbsp;']"
2647,r043,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['    8,522 ', '&nbsp;']","['    537 ', '&nbsp;']","['    7,984 ', '&nbsp;']","['    6.3 ', '&nbsp;']","['    93.7 ', '&nbsp;']"
2647,r044,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['    3,653 ', '&nbsp;']","['    65 ', '&nbsp;']","['    3,589 ', '&nbsp;']","['    1.8 ', 'r']","['    98.2 ', '&nbsp;']"
2647,r045,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['    4,868 ', '&nbsp;']","['    473 ', '&nbsp;']","['    4,396 ', '&nbsp;']","['    9.7 ', '&nbsp;']","['    90.3 ', '&nbsp;']"
2647,r046,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['    2,555 ', '&nbsp;']","['    237 ', '&nbsp;']","['    2,318 ', '&nbsp;']","['    9.3 ', '&nbsp;']","['    90.7 ', '&nbsp;']"
2647,r047,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['    4,716 ', '&nbsp;']","['    362 ', '&nbsp;']","['    4,354 ', '&nbsp;']","['    7.7 ', '&nbsp;']","['    92.3 ', '&nbsp;']"
2647,r048,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['    9,187 ', '&nbsp;']","['    314 ', '&nbsp;']","['    8,873 ', '&nbsp;']","['    3.4 ', '&nbsp;']","['    96.6 ', '&nbsp;']"
2647,r049,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['    54,344 ', '&nbsp;']","['    589 ', '&nbsp;']","['    53,754 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    98.9 ', '&nbsp;']"
2647,r050,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['    40,451 ', '&nbsp;']","['    975 ', '&nbsp;']","['    39,476 ', '&nbsp;']","['    2.4 ', '&nbsp;']","['    97.6 ', '&nbsp;']"
2647,r051,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['    466 ', '&nbsp;']","['    10 ', 'r']","['    456 ', '&nbsp;']","['    2.2 ', 'r']","['    97.8 ', '&nbsp;']"
2647,r052,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['    39,985 ', '&nbsp;']","['    965 ', '&nbsp;']","['    39,020 ', '&nbsp;']","['    2.4 ', '&nbsp;']","['    97.6 ', '&nbsp;']"
2647,r053,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['    198,235 ', '&nbsp;']","['    7,904 ', '&nbsp;']","['    190,331 ', '&nbsp;']","['    4.0 ', '&nbsp;']","['    96.0 ', '&nbsp;']"
2647,r054,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Legal services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Legal services,,4,5411,"['    24,968 ', '&nbsp;']","['    325 ', '&nbsp;']","['    24,642 ', '&nbsp;']","['    1.3 ', '&nbsp;']","['    98.7 ', '&nbsp;']"
2647,r055,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Accounting, tax preparation, bookkeeping, and payroll services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Accounting, tax preparation, bookkeeping, and payroll services",,4,5412,"['    24,284 ', '&nbsp;']","['    263 ', '&nbsp;']","['    24,021 ', '&nbsp;']","['    1.1 ', '&nbsp;']","['    98.9 ', '&nbsp;']"
2647,r056,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['    26,410 ', '&nbsp;']","['    1,777 ', '&nbsp;']","['    24,634 ', '&nbsp;']","['    6.7 ', '&nbsp;']","['    93.3 ', '&nbsp;']"
2647,r057,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Specialized design services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Specialized design services,,4,5414,"['    8,363 ', '&nbsp;']","['    177 ', '&nbsp;']","['    8,187 ', '&nbsp;']","['    2.1 ', '&nbsp;']","['    97.9 ', '&nbsp;']"
2647,r058,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['    44,351 ', '&nbsp;']","['    2,169 ', '&nbsp;']","['    42,183 ', '&nbsp;']","['    4.9 ', '&nbsp;']","['    95.1 ', '&nbsp;']"
2647,r059,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Management, scientific, and technical consulting services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Management, scientific, and technical consulting services",,4,5416,"['    40,458 ', '&nbsp;']","['    1,326 ', '&nbsp;']","['    39,133 ', '&nbsp;']","['    3.3 ', '&nbsp;']","['    96.7 ', '&nbsp;']"
2647,r060,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['    3,929 ', '&nbsp;']","['    1,225 ', '&nbsp;']","['    2,704 ', '&nbsp;']","['    31.2 ', '&nbsp;']","['    68.8 ', '&nbsp;']"
2647,r061,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Advertising, public relations, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Advertising, public relations, and related services",,4,5418,"['    8,627 ', '&nbsp;']","['    197 ', '&nbsp;']","['    8,429 ', '&nbsp;']","['    2.3 ', '&nbsp;']","['    97.7 ', '&nbsp;']"
2647,r062,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,5419,"['    16,843 ', '&nbsp;']","['    445 ', '&nbsp;']","['    16,397 ', '&nbsp;']","['    2.6 ', '&nbsp;']","['    97.4 ', '&nbsp;']"
2647,r063,All industries -> Nonmanufacturing industries -> Management of companies and enterprises,All industries,Nonmanufacturing industries,Management of companies and enterprises,,,3,55,"['    324 ', '&nbsp;']","['    16 ', 'r']","['    308 ', '&nbsp;']","['    4.9 ', 'r']","['    95.1 ', '&nbsp;']"
2647,r064,All industries -> Nonmanufacturing industries -> Administrative and support and waste management and remediation services,All industries,Nonmanufacturing industries,Administrative and support and waste management and remediation services,,,3,56,"['    66,303 ', '&nbsp;']","['    1,103 ', '&nbsp;']","['    65,200 ', '&nbsp;']","['    1.7 ', '&nbsp;']","['    98.3 ', '&nbsp;']"
2647,r065,All industries -> Nonmanufacturing industries -> Educational services,All industries,Nonmanufacturing industries,Educational services,,,3,61,"['    20,079 ', '&nbsp;']","['    793 ', '&nbsp;']","['    19,287 ', '&nbsp;']","['    3.9 ', '&nbsp;']","['    96.1 ', '&nbsp;']"
2647,r066,All industries -> Nonmanufacturing industries -> Health care and social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,,,3,62,"['    125,904 ', '&nbsp;']","['    5,550 ', '&nbsp;']","['    120,354 ', '&nbsp;']","['    4.4 ', '&nbsp;']","['    95.6 ', '&nbsp;']"
2647,r067,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Health care services,All industries,Nonmanufacturing industries,Health care and social assistance,Health care services,,4,621–23,"['    111,310 ', '&nbsp;']","['    3,524 ', '&nbsp;']","['    107,785 ', '&nbsp;']","['    3.2 ', '&nbsp;']","['    96.8 ', '&nbsp;']"
2647,r068,All industries -> Nonmanufacturing industries -> Health care and social assistance -> Social assistance,All industries,Nonmanufacturing industries,Health care and social assistance,Social assistance,,4,624,"['    14,595 ', '&nbsp;']","['    2,026 ', '&nbsp;']","['    12,569 ', '&nbsp;']","['    13.9 ', '&nbsp;']","['    86.1 ', '&nbsp;']"
2647,r069,"All industries -> Nonmanufacturing industries -> Arts, entertainment, and recreation",All industries,Nonmanufacturing industries,"Arts, entertainment, and recreation",,,3,71,"['    20,632 ', '&nbsp;']","['    540 ', '&nbsp;']","['    20,093 ', '&nbsp;']","['    2.6 ', '&nbsp;']","['    97.4 ', '&nbsp;']"
2647,r070,All industries -> Nonmanufacturing industries -> Accommodation and food services,All industries,Nonmanufacturing industries,Accommodation and food services,,,3,72,"['    86,227 ', '&nbsp;']","['    2,321 ', '&nbsp;']","['    83,906 ', '&nbsp;']","['    2.7 ', '&nbsp;']","['    97.3 ', '&nbsp;']"
2647,r071,All industries -> Nonmanufacturing industries -> Other services,All industries,Nonmanufacturing industries,Other services,,,3,81,"['    73,598 ', '&nbsp;']","['    1,518 ', '&nbsp;']","['    72,080 ', '&nbsp;']","['    2.1 ', '&nbsp;']","['    97.9 ', '&nbsp;']"
