table_id,row_id,occupation_and_sex_full_path,occupation_and_sex_level_1,occupation_and_sex_level_2,occupation_and_sex_level_3,occupation_and_sex_level_4,occupation_and_sex_level_5,occupation_and_sex_hierarchy_depth,field_total,field_employed_at_4_year_educational_institution_relationship_between_principal_job_and_doctoral_degreea_closely_related,field_employed_at_4_year_educational_institution_relationship_between_principal_job_and_doctoral_degreea_somewhat_related,field_employed_at_4_year_educational_institution_relationship_between_principal_job_and_doctoral_degreea_not_related,field_employed_in_another_employment_sector_relationship_between_principal_job_and_doctoral_degree_closely_related,field_employed_in_another_employment_sector_relationship_between_principal_job_and_doctoral_degree_somewhat_related,field_employed_in_another_employment_sector_relationship_between_principal_job_and_doctoral_degree_not_related
3326,r020,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Physical scientist -> Female,All occupations,S&E occupations<sup>b</sup>,Scientist,Physical scientist,Female,5,20650,9350,1500,50,6150,3150,500
3326,r021,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Physical scientist -> Male,All occupations,S&E occupations<sup>b</sup>,Scientist,Physical scientist,Male,5,63850,27250,3600,250,22050,9400,1350
3326,r022,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Psychologist,All occupations,S&E occupations<sup>b</sup>,Scientist,Psychologist,,4,77600,24550,1250,,48450,2900,350
3326,r023,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Psychologist -> Female,All occupations,S&E occupations<sup>b</sup>,Scientist,Psychologist,Female,5,47850,14450,800,,30500,1900,100
3326,r024,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Psychologist -> Male,All occupations,S&E occupations<sup>b</sup>,Scientist,Psychologist,Male,5,29800,10050,500,,17950,1000,S
3326,r025,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Social scientist,All occupations,S&E occupations<sup>b</sup>,Scientist,Social scientist,,4,69500,46600,3200,400,13650,4900,750
3326,r026,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Social scientist -> Female,All occupations,S&E occupations<sup>b</sup>,Scientist,Social scientist,Female,5,30750,19800,1500,200,6300,2550,350
3326,r027,All occupations -> S&E occupations<sup>b</sup> -> Scientist -> Social scientist -> Male,All occupations,S&E occupations<sup>b</sup>,Scientist,Social scientist,Male,5,38750,26750,1700,200,7350,2300,400
3326,r028,All occupations -> S&E occupations<sup>b</sup> -> Engineer,All occupations,S&E occupations<sup>b</sup>,Engineer,,,3,120650,31200,4350,400,50750,29150,4850
3326,r029,All occupations -> S&E occupations<sup>b</sup> -> Engineer -> Female,All occupations,S&E occupations<sup>b</sup>,Engineer,Female,,4,19000,5200,700,50,6800,5250,1000
3326,r030,All occupations -> S&E occupations<sup>b</sup> -> Engineer -> Male,All occupations,S&E occupations<sup>b</sup>,Engineer,Male,,4,101600,26000,3650,300,43950,23900,3800
3326,r031,All occupations -> S&E-related occupations<sup>c</sup>,All occupations,S&E-related occupations<sup>c</sup>,,,,2,92350,25250,8700,1850,23700,23500,9350
3326,r032,All occupations -> S&E-related occupations<sup>c</sup> -> Female,All occupations,S&E-related occupations<sup>c</sup>,Female,,,3,40750,13750,4200,750,8750,9350,3950
3326,r033,All occupations -> S&E-related occupations<sup>c</sup> -> Male,All occupations,S&E-related occupations<sup>c</sup>,Male,,,3,51600,11500,4450,1100,14950,14150,5400
3326,r034,All occupations -> Non-S&E occupations<sup>d</sup>,All occupations,Non-S&E occupations<sup>d</sup>,,,,2,151500,25200,13500,3550,38000,44100,27150
3326,r035,All occupations -> Non-S&E occupations<sup>d</sup> -> Female,All occupations,Non-S&E occupations<sup>d</sup>,Female,,,3,62750,11100,6800,1850,14250,17650,11050
3326,r036,All occupations -> Non-S&E occupations<sup>d</sup> -> Male,All occupations,Non-S&E occupations<sup>d</sup>,Male,,,3,88750,14150,6700,1650,23700,26450,16100
