table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_domestic_r_d_companiesa_number_,field_domestic_r_d_amount,field_software_products_and_embedded_software_r_d_total_companiesb_number_,field_software_products_and_embedded_software_r_d_total_amount,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_the_company_amount,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_others_total_amount,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_companiesb_number_,field_software_products_and_embedded_software_r_d_paid_for_by_others_federally_funded_amount
6559,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['170', '']","['1,508', 'i']","['20', 'i']","['31', 'i']","['20', 'i']","['31', 'i']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['200', '']","['665', '']","['40', 'i']","['30', 'i']","['40', 'i']","['30', 'i']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['1,840', '']","['2,885', '']","['390', 'i']","['311', '']","['360', 'i']","['284', '']","['30', '']","['27', 'i']","['0', '']","['0', '']"
6559,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['2,240', '']","['15,184', '']","['810', 'i']","['1,631', '']","['770', 'i']","['1,552', 'i']","['60', '']","['80', '']","['10', '']","['34', '']"
6559,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['190', '']","['1,921', '']","['60', 'i']","['249', '']","['60', 'i']","['249', '']","['10', '']","['1', '']","['10', '']","['*', '']"
6559,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['80', '']","['4,459', '']","['60', '']","['365', 'i']","['40', '']","['348', 'i']","['30', '']","['17', '']","['0', '']","['0', '']"
6559,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['110', '']","['1,301', '']","['50', 'i']","['133', '']","['50', 'i']","['99', 'i']","['10', '']","['34', '']","['10', '']","['31', '']"
6559,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,880', '']","['7,503', '']","['650', 'i']","['884', '']","['640', 'i']","['856', 'i']","['20', '']","['28', '']","['10', 'i']","['3', 'i']"
6559,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,280', '']","['86,729', '']","['1,380', 'i']","['29,799', '']","['1,320', 'i']","['25,864', '']","['190', 'i']","['3,935', 'i']","['40', '']","['2,693', 'i']"
6559,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['300', '']","['12,595', '']","['240', 'i']","['8,231', 'i']","['240', 'i']","['8,168', 'i']","['10', '']","['63', '']","['10', '']","['37', '']"
6559,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['640', '']","['35,183', 'i']","['190', 'i']","['8,407', '']","['170', 'i']","['8,088', '']","['60', 'i']","['320', '']","['10', 'i']","['55', 'i']"
6559,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['1,140', '']","['17,562', '']","['760', 'i']","['7,037', 'i']","['730', 'i']","['3,544', '']","['120', 'i']","['3,493', 'i']","['30', '']","['2,583', 'i']"
6559,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['230', '']","['3,342', '']","['130', 'i']","['512', 'i']","['130', 'i']","['419', 'i']","['30', 'i']","['94', '']","['10', '']","['1', '']"
6559,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['190', '']","['9,662', '']","['140', 'i']","['5,192', 'i']","['130', 'i']","['1,853', '']","['30', '']","['3,339', 'i']","['30', '']","['2,580', 'i']"
6559,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['740', '']","['4,558', '']","['500', 'i']","['1,332', '']","['490', 'i']","['1,272', '']","['60', 'i']","['60', '']","['10', '']","['2', '']"
6559,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['220', '']","['21,388', '']","['200', 'i']","['6,124', '']","['190', 'i']","['6,065', '']","['10', '']","['59', '']","['10', '']","['18', '']"
6559,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['900', '']","['5,263', '']","['550', 'i']","['830', '']","['540', 'i']","['735', '']","['30', 'i']","['96', '']","['10', 'i']","['1', '']"
6559,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['1,090', '']","['45,375', '']","['260', 'i']","['3,881', 'i']","['250', 'i']","['3,262', 'i']","['130', '']","['619', 'i']","['90', 'i']","['265', 'i']"
6559,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['540', '']","['24,117', '']","['180', 'i']","['2,076', '']","['170', 'i']","['1,834', '']","['40', 'i']","['242', 'i']","['10', '']","['3', '']"
6559,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['380', 'i']","['18,358', 'i']","['60', '']","['1,658', 'i']","['60', '']","['1,282', 'i']","['90', '']","['376', 'i']","['90', 'i']","['261', 'i']"
6559,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['200', '']","['16,891', 'i']","['60', '']","['1,550', 'i']","['50', '']","['1,268', 'i']","['20', '']","['282', '']","['10', '']","['170', 'i']"
6559,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['190', 'i']","['1,467', '']","['10', '']","['108', 'i']","['10', '']","['14', '']","['80', '']","['95', 'i']","['80', 'i']","['90', 'i']"
6559,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['30', '']","['35', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['150', '']","['2,865', '']","['30', '']","['147', 'i']","['30', '']","['146', 'i']","['10', '']","['1', '']","['10', '']","['1', '']"
6559,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['190', '']","['409', '']","['50', 'i']","['66', 'i']","['50', 'i']","['66', 'i']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['1,310', '']","['18,596', '']","['460', 'i']","['2,665', '']","['440', 'i']","['2,635', '']","['70', 'i']","['30', '']","['10', '']","['*', '']"
6559,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['790', '']","['16,014', '']","['370', 'i']","['2,004', '']","['350', 'i']","['1,974', '']","['70', 'i']","['30', '']","['10', '']","['*', '']"
6559,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['520', '']","['2,582', '']","['90', '']","['661', '']","['90', '']","['661', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['13,100', '']","['207,283', '']","['8,050', 'i']","['159,754', '']","['7,420', 'i']","['153,272', '']","['940', 'i']","['6,482', '']","['570', 'i']","['2,094', '']"
6559,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['160', '']","['2,717', '']","['30', 'i']","['951', '']","['30', 'i']","['943', '']","['10', '']","['8', '']","['10', '']","['*', '']"
6559,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['40', '']","['275', '']","['20', '']","['45', '']","['20', '']","['45', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['1,560', '']","['1,191', '']","['290', 'i']","['70', 'i']","['280', 'i']","['7 - 71', 'i']","['10', 'i']","['0 - 62', 'i']","['0', '']","['0', '']"
6559,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['60', '']","['3,131 - 15,818', 'i']","['50', 'i']","['1,298 - 15,375', 'i']","['50', 'i']","['1,293 - 15,375', 'i']","['10', '']","['0 - 61', '']","['0', '']","['0', '']"
6559,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['130', '']","['9,890', 'i']","['50', '']","['8,194', 'i']","['50', '']","['8,194', 'i']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['3,090', '']","['110,227', '']","['2,830', '']","['102,561', '']","['2,760', '']","['101,780', '']","['130', '']","['781', '']","['10', '']","['10 - 31', '']"
6559,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['1,080', '']","['33,019', '']","['1,020', 'i']","['29,191', '']","['980', 'i']","['28,813', '']","['70', 'i']","['378', '']","['10', '']","['7', '']"
6559,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['40', '']","['61', '']","['10', '']","['16', '']","['10', '']","['16', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['1,040', '']","['32,958', '']","['1,010', 'i']","['29,175', '']","['970', 'i']","['28,797', '']","['70', 'i']","['378', '']","['10', '']","['7', '']"
6559,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['210', '']","['3,733', '']","['120', 'i']","['2,921', 'i']","['120', 'i']","['2,916', 'i']","['10', '']","['6', '']","['10', '']","['*', '']"
6559,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['1,480', '']","['30,558', '']","['1,430', '']","['28,571', '']","['1,390', '']","['28,305', '']","['60', '']","['266', '']","['10', '']","['2 - 25', '']"
6559,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['340', '']","['42,917', '']","['280', 'i']","['41,878', 'i']","['270', 'i']","['41,746', 'i']","['10', '']","['131', '']","['0', '']","['0', '']"
6559,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['220', '']","['8,917', '']","['190', '']","['8,136', '']","['190', '']","['8,136', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['50', '']","['1,371', '']","['20', '']","['1,216', '']","['20', '']","['1,216', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['20', '']","['45', '']","['10', 'i']","['7', '']","['10', 'i']","['7', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['30', '']","['1,326', '']","['10', '']","['1,209', '']","['10', '']","['1,209', '']","['0', '']","['0', '']","['0', '']","['0', '']"
6559,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['6,500', '']","['53,233', '']","['4,380', 'i']","['22,977', '']","['3,830', 'i']","['17,344', '']","['800', 'i']","['5,633', '']","['560', 'i']","['2,064', '']"
6559,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['1,450', '']","['4,207', '']","['500', 'i']","['732', 'i']","['350', 'i']","['253', '']","['190', 'i']","['479', 'i']","['160', 'i']","['369', '']"
6559,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['3,020', '']","['21,046', '']","['2,890', 'i']","['15,302', '']","['2,760', 'i']","['13,193', '']","['220', 'i']","['2,109', '']","['110', 'i']","['293', 'i']"
6559,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['1,230', '']","['21,669', '']","['520', 'i']","['3,206', 'i']","['300', 'i']","['478', '']","['330', 'i']","['2,729', 'i']","['260', 'i']","['1,259', '']"
6559,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['310', '']","['6,457', '']","['50', 'i']","['76', '']","['40', 'i']","['44', '']","['40', 'i']","['32', 'i']","['30', '']","['11', '']"
6559,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['900', '']","['14,446', 'i']","['460', 'i']","['3,091', 'i']","['270', 'i']","['430', '']","['290', 'i']","['2,661', 'i']","['230', 'i']","['1,213', '']"
6559,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['30', '']","['766', '']","['10', '']","['39', '']","['10', '']","['3', '']","['10', '']","['36', '']","['10', '']","['35', '']"
6559,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['810', '']","['6,312', '']","['490', 'i']","['3,736', 'i']","['440', 'i']","['3,420', 'i']","['70', '']","['316', '']","['40', '']","['143', 'i']"
6559,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['680', '']","['2,265', '']","['30', '']","['234', 'i']","['30', '']","['234', 'i']","['10', '']","['*', '']","['0', '']","['0', '']"
6559,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['680', '']","['1,380 - 14,067', '']","['210', 'i']","['0 - 14,067', '']","['210', 'i']","['0 - 14,012', '']","['10', '']","['0 - 58', '']","['10', '']","['0 - 19', '']"
6559,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['28,270', '']","['492,956', '']","['12,450', 'i']","['200,859', '']","['11,640', 'i']","['189,553', '']","['1,440', 'i']","['11,306', '']","['710', 'i']","['5,089', 'i']"
6559,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6559,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>c</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>c</sup>,,,3,–,"['5,490', '']","['5,501', '']","['2,520', 'i']","['1,437', 'i']","['2,330', 'i']","['1,123', 'i']","['390', 'i']","['314', 'i']","['260', 'i']","['189', 'i']"
6559,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['7,980', '']","['12,418', '']","['4,000', 'i']","['4,630', '']","['3,650', 'i']","['3,930', '']","['510', 'i']","['700', '']","['240', 'i']","['274', '']"
6559,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6559,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['4,960', '']","['14,021', '']","['2,060', 'i']","['3,716', '']","['1,960', 'i']","['3,107', '']","['160', '']","['609', '']","['80', '']","['296', '']"
6559,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['4,580', '']","['19,793', '']","['1,720', 'i']","['5,963', '']","['1,640', 'i']","['5,127', '']","['170', 'i']","['835', '']","['70', 'i']","['425', '']"
6559,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
6559,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['2,140', '']","['18,883', '']","['780', '']","['6,633', '']","['730', '']","['5,632', '']","['90', '']","['1,001', 'i']","['30', '']","['327', '']"
6559,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['1,230', '']","['23,969', '']","['510', '']","['8,157', '']","['500', '']","['7,714', '']","['40', '']","['443', '']","['20', 'i']","['64', 'i']"
6559,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['1,330', '']","['75,671', '']","['590', '']","['31,404', '']","['580', '']","['30,165', '']","['50', '']","['1,239', '']","['20', '']","['504', '']"
6559,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['240', '']","['50,811', '']","['120', '']","['15,174', 'i']","['120', '']","['14,470', 'i']","['30', '']","['704', 'i']","['10', '']","['140', '']"
6559,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['220', '']","['88,263', '']","['120', '']","['29,212', '']","['110', '']","['26,829', 'i']","['20', '']","['2,383', '']","['10', '']","['290', 'i']"
6559,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['130', '']","['183,626', '']","['80', '']","['94,534', 'i']","['80', '']","['91,455', 'i']","['20', '']","['3,079', 'i']","['10', '']","['2,579', 'i']"
