table_id,row_id,citizenship_status_and_major_field_of_study_full_path,citizenship_status_and_major_field_of_study_level_1,citizenship_status_and_major_field_of_study_level_2,citizenship_status_and_major_field_of_study_level_3,citizenship_status_and_major_field_of_study_hierarchy_depth,field_all_recipients,field_recipients_with_definite_commitments,field_location_of_definite_commitments_united_states_total,field_location_of_definite_commitments_united_states_postdoctoral_study,field_location_of_definite_commitments_united_states_academic_employment,field_location_of_definite_commitments_united_states_industry_employmenta,field_location_of_definite_commitments_united_states_otherb,field_location_of_definite_commitments_abroad,field_location_of_definite_commitments_unknown
995,r081,U.S. citizen or permanent resident -> Humanities and arts -> Foreign languages and literature,U.S. citizen or permanent resident,Humanities and arts,Foreign languages and literature,3,433,226,217,27,161,6,23,9,0
995,r082,U.S. citizen or permanent resident -> Humanities and arts -> History,U.S. citizen or permanent resident,Humanities and arts,History,3,895,476,434,,235,,86,42,0
995,r083,U.S. citizen or permanent resident -> Humanities and arts -> Letters,U.S. citizen or permanent resident,Humanities and arts,Letters,3,1274,710,686,,482,,54,23,1
995,r084,U.S. citizen or permanent resident -> Humanities and arts -> Other humanities and arts,U.S. citizen or permanent resident,Humanities and arts,Other humanities and arts,3,1688,837,785,,456,,154,52,0
995,r085,U.S. citizen or permanent resident -> Other<sup>d</sup>,U.S. citizen or permanent resident,Other<sup>d</sup>,,2,1921,1272,1222,89,874,121,138,50,0
995,r086,U.S. citizen or permanent resident -> Other<sup>d</sup> -> Business management and administration,U.S. citizen or permanent resident,Other<sup>d</sup>,Business management and administration,3,830,606,574,14,441,73,46,32,0
995,r087,U.S. citizen or permanent resident -> Other<sup>d</sup> -> Communication,U.S. citizen or permanent resident,Other<sup>d</sup>,Communication,3,463,286,279,33,219,15,12,7,0
995,r088,U.S. citizen or permanent resident -> Other<sup>d</sup> -> Non-S&E fields nec,U.S. citizen or permanent resident,Other<sup>d</sup>,Non-S&E fields nec,3,628,380,369,42,214,33,80,11,0
995,r089,Temporary visa holder,Temporary visa holder,,,1,16323,10213,7932,3750,1345,2604,233,2274,7
995,r090,Temporary visa holder -> Life sciences,Temporary visa holder,Life sciences,,2,3329,2071,1673,1235,124,270,44,398,0
995,r091,Temporary visa holder -> Life sciences -> Agricultural sciences and natural resources,Temporary visa holder,Life sciences,Agricultural sciences and natural resources,3,627,360,248,165,29,46,8,112,0
995,r092,Temporary visa holder -> Life sciences -> Biological and biomedical sciences,Temporary visa holder,Life sciences,Biological and biomedical sciences,3,2163,1377,1192,946,58,166,22,185,0
995,r093,Temporary visa holder -> Life sciences -> Health sciences,Temporary visa holder,Life sciences,Health sciences,3,539,334,233,124,37,58,14,101,0
995,r094,Temporary visa holder -> Physical sciences and earth sciences,Temporary visa holder,Physical sciences and earth sciences,,2,2156,1315,1072,712,52,292,16,241,2
995,r095,Temporary visa holder -> Physical sciences and earth sciences -> Chemistry,Temporary visa holder,Physical sciences and earth sciences,Chemistry,3,921,528,451,290,21,132,8,76,1
995,r096,"Temporary visa holder -> Physical sciences and earth sciences -> Geosciences, atmospheric sciences, and ocean sciences",Temporary visa holder,Physical sciences and earth sciences,"Geosciences, atmospheric sciences, and ocean sciences",3,332,210,152,118,5,25,4,57,1
995,r097,Temporary visa holder -> Physical sciences and earth sciences -> Physics and astronomy,Temporary visa holder,Physical sciences and earth sciences,Physics and astronomy,3,903,577,469,304,26,135,4,108,0
995,r098,Temporary visa holder -> Mathematics and computer sciences,Temporary visa holder,Mathematics and computer sciences,,2,1931,1371,1153,330,192,604,27,217,1
995,r099,Temporary visa holder -> Mathematics and computer sciences -> Computer and information sciences,Temporary visa holder,Mathematics and computer sciences,Computer and information sciences,3,1101,788,688,139,116,415,18,99,1
995,r100,Temporary visa holder -> Mathematics and computer sciences -> Mathematics and statistics,Temporary visa holder,Mathematics and computer sciences,Mathematics and statistics,3,830,583,465,191,76,189,9,118,0
995,r101,Temporary visa holder -> Psychology and social sciences,Temporary visa holder,Psychology and social sciences,,2,1680,1133,665,225,263,126,51,467,1
995,r102,Temporary visa holder -> Psychology and social sciences -> Psychology,Temporary visa holder,Psychology and social sciences,Psychology,3,295,186,146,84,44,10,8,40,0
995,r103,Temporary visa holder -> Psychology and social sciences -> Anthropology,Temporary visa holder,Psychology and social sciences,Anthropology,3,65,34,17,10,7,0,0,17,0
995,r104,Temporary visa holder -> Psychology and social sciences -> Economics,Temporary visa holder,Psychology and social sciences,Economics,3,647,508,278,47,105,,,229,1
995,r105,Temporary visa holder -> Psychology and social sciences -> Political science and government,Temporary visa holder,Psychology and social sciences,Political science and government,3,141,96,51,18,29,,,45,0
995,r106,Temporary visa holder -> Psychology and social sciences -> Sociology,Temporary visa holder,Psychology and social sciences,Sociology,3,94,53,24,11,10,,,29,0
995,r107,Temporary visa holder -> Psychology and social sciences -> Other social sciences,Temporary visa holder,Psychology and social sciences,Other social sciences,3,438,256,149,55,68,17,9,107,0
995,r108,Temporary visa holder -> Engineering,Temporary visa holder,Engineering,,2,5070,3048,2583,1096,168,1261,58,463,2
995,r109,"Temporary visa holder -> Engineering -> Aerospace, aeronautical, and astronautical engineering",Temporary visa holder,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,122,64,,31,,21,1,,0
995,r110,Temporary visa holder -> Engineering -> Bioengineering and biomedical engineering,Temporary visa holder,Engineering,Bioengineering and biomedical engineering,3,303,173,138,104,,,2,35,0
995,r111,Temporary visa holder -> Engineering -> Chemical engineering,Temporary visa holder,Engineering,Chemical engineering,3,429,241,210,109,6,91,4,31,0
995,r112,Temporary visa holder -> Engineering -> Civil engineering,Temporary visa holder,Engineering,Civil engineering,3,444,273,224,113,27,79,5,49,0
995,r113,"Temporary visa holder -> Engineering -> Electrical, electronics, and communications engineering",Temporary visa holder,Engineering,"Electrical, electronics, and communications engineering",3,1230,804,702,203,32,442,25,100,2
995,r114,Temporary visa holder -> Engineering -> Industrial and manufacturing engineering,Temporary visa holder,Engineering,Industrial and manufacturing engineering,3,161,82,,13,21,,3,,0
995,r115,Temporary visa holder -> Engineering -> Materials science engineering,Temporary visa holder,Engineering,Materials science engineering,3,433,246,216,117,5,93,1,30,0
995,r116,Temporary visa holder -> Engineering -> Mechanical engineering,Temporary visa holder,Engineering,Mechanical engineering,3,750,433,374,165,28,178,3,59,0
995,r117,Temporary visa holder -> Engineering -> Other engineering,Temporary visa holder,Engineering,Other engineering,3,1198,732,600,241,43,302,14,132,0
995,r118,Temporary visa holder -> Education,Temporary visa holder,Education,,2,536,283,136,33,,,20,147,0
995,r119,Temporary visa holder -> Education -> Education administration,Temporary visa holder,Education,Education administration,3,54,25,11,,,0,3,14,0
995,r120,Temporary visa holder -> Education -> Education research,Temporary visa holder,Education,Education research,3,305,155,78,,,7,15,77,0
995,r121,Temporary visa holder -> Education -> Teacher education,Temporary visa holder,Education,Teacher education,3,11,5,,0,,0,0,,0
995,r122,Temporary visa holder -> Education -> Teaching fields,Temporary visa holder,Education,Teaching fields,3,133,79,,8,25,,1,,0
995,r123,Temporary visa holder -> Education -> Other education,Temporary visa holder,Education,Other education,3,33,19,10,,,0,1,9,0
995,r124,Temporary visa holder -> Humanities and arts,Temporary visa holder,Humanities and arts,,2,693,365,203,67,,,11,162,0
995,r125,Temporary visa holder -> Humanities and arts -> Foreign languages and literature,Temporary visa holder,Humanities and arts,Foreign languages and literature,3,160,88,64,16,47,0,1,24,0
995,r126,Temporary visa holder -> Humanities and arts -> History,Temporary visa holder,Humanities and arts,History,3,125,76,37,,17,,1,39,0
995,r127,Temporary visa holder -> Humanities and arts -> Letters,Temporary visa holder,Humanities and arts,Letters,3,125,63,31,,20,,0,32,0
995,r128,Temporary visa holder -> Humanities and arts -> Other humanities and arts,Temporary visa holder,Humanities and arts,Other humanities and arts,3,283,138,71,,,0,9,67,0
995,r129,Temporary visa holder -> Other<sup>d</sup>,Temporary visa holder,Other<sup>d</sup>,,2,928,627,447,52,348,41,6,179,1
995,r130,Temporary visa holder -> Other<sup>d</sup> -> Business management and administration,Temporary visa holder,Other<sup>d</sup>,Business management and administration,3,576,428,312,16,268,25,3,115,1
995,r131,Temporary visa holder -> Other<sup>d</sup> -> Communication,Temporary visa holder,Other<sup>d</sup>,Communication,3,121,71,51,7,38,6,0,20,0
995,r132,Temporary visa holder -> Other<sup>d</sup> -> Non-S&E fields nec,Temporary visa holder,Other<sup>d</sup>,Non-S&E fields nec,3,231,128,84,29,42,10,3,44,0
