table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_domestic_r_d_total,field_domestic_r_d_land_acquisition,field_domestic_r_d_buildings_and_land_improvement,field_domestic_r_d_equipment,field_domestic_r_d_capitalized_software,field_domestic_r_d_all_other
2750,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['15,911', '  ']","['231', '  ']","['14', '  ']","['38', '  ']","['150', '  ']","['2', '  ']","['26', '  ']"
2750,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['3,895', '  ']","['214', '  ']","['*', '  ']","['26', '  ']","['162', '  ']","['3', '  ']","['22', '  ']"
2750,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['5,117', '  ']","['44', '  ']","['1', '  ']","['16', '  ']","['9', '  ']","['*', '  ']","['18', '  ']"
2750,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['22,286', '  ']","['4,275', '  ']","['76', '  ']","['1,394', '  ']","['1,972', '  ']","['360', '  ']","['473', '  ']"
2750,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['5,525', '  ']","['241', '  ']","['10', '  ']","['35', '  ']","['184', '  ']","['3', '  ']","['10', '  ']"
2750,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['4,087', '  ']","['429', '  ']","['0', '  ']","['195', '  ']","['214', '  ']","['*', '  ']","['19', '  ']"
2750,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['9,620', '  ']","['326', '  ']","['*', '  ']","['23', '  ']","['227', '  ']","['21', '  ']","['54', '  ']"
2750,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['4,805', '  ']","['168', '  ']","['0', '  ']","['30', '  ']","['98', '  ']","['1', '  ']","['39', '  ']"
2750,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['5,784', '  ']","['129', '  ']","['0', '  ']","['15', '  ']","['98', 'i ']","['1', '  ']","['15', '  ']"
2750,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['5,348', '  ']","['239', '  ']","['2', '  ']","['27', '  ']","['94', '  ']","['9', '  ']","['107', '  ']"
2750,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['13,194', '  ']","['1,066', '  ']","['5', '  ']","['228', '  ']","['620', '  ']","['101', '  ']","['112', '  ']"
2750,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,204', '  ']","['60', '  ']","['1', '  ']","['7', '  ']","['34', '  ']","['4', '  ']","['15', '  ']"
2750,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['1,164', '  ']","['504', '  ']","['*', '  ']","['172', '  ']","['275', '  ']","['40', '  ']","['17', '  ']"
2750,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,784', '  ']","['143', '  ']","['2', '  ']","['11', '  ']","['111', '  ']","['3', '  ']","['15', '  ']"
2750,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['9,041', '  ']","['358', '  ']","['2', '  ']","['38', '  ']","['199', '  ']","['54', '  ']","['65', '  ']"
2750,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['38,527', '  ']","['6,350', '  ']","['25', '  ']","['541', '  ']","['4,729', '  ']","['669', '  ']","['387', '  ']"
2750,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['3,862', '  ']","['788', '  ']","['*', 'i ']","['62', '  ']","['662', '  ']","['38', '  ']","['25', '  ']"
2750,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,,4,3344,"['19,366', 'i ']","['2,755', 'i ']","['10', 'i ']","['96', 'i ']","['2,089', 'i ']","['338', 'i ']","['222', 'i ']"
2750,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['5,833', '  ']","['707', '  ']","['8', '  ']","['137', '  ']","['373', '  ']","['60', '  ']","['128', '  ']"
2750,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatus",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatus",5,"334510, 334517","['1,113', '  ']","['155', 'i ']","['4', 'i ']","['78', 'i ']","['52', 'i ']","['5', 'i ']","['15', 'i ']"
2750,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical system and instrument",5,334511,"['2,078', '  ']","['321', '  ']","['0', '  ']","['19', '  ']","['192', '  ']","['50', '  ']","['61', '  ']"
2750,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling device",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling device,5,other 3345,"['2,641', '  ']","['231', '  ']","['5', '  ']","['40', '  ']","['129', '  ']","['5', '  ']","['53', '  ']"
2750,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['9,467', '  ']","['2,101', '  ']","['6', '  ']","['246', '  ']","['1,604', '  ']","['233', '  ']","['11', '  ']"
2750,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['4,318', '  ']","['404', '  ']","['56', '  ']","['76', '  ']","['159', '  ']","['5', '  ']","['107', '  ']"
2750,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['66,386', '  ']","['2,205', '  ']","['17', 'i ']","['138', '  ']","['1,643', '  ']","['178', '  ']","['229', '  ']"
2750,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Motor vehicles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Motor vehicles, bodies, trailers, and parts",,4,3361–63,"['52,122', '  ']","['1,571', '  ']","['15', 'i ']","['102', '  ']","['1,161', '  ']","['142', '  ']","['150', '  ']"
2750,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['10,893', '  ']","['492', '  ']","['*', '  ']","['27', '  ']","['398', '  ']","['7', '  ']","['60', '  ']"
2750,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engine, and aircraft parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engine, and aircraft parts",5,336411–13,"['9,900', '  ']","['369', '  ']","['*', '  ']","['20', '  ']","['284', '  ']","['6', '  ']","['59', '  ']"
2750,r039,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Guided missile, space vehicle, and related parts",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Guided missile, space vehicle, and related parts",5,"336414–15, 336419","['993', '  ']","['123', '  ']","['0', '  ']","['7', '  ']","['114', '  ']","['1', '  ']","['1', '  ']"
2750,r040,"All industries -> Manufacturing industries -> Transportation equipment -> Military armored vehicle, tank, and tank component",All industries,Manufacturing industries,Transportation equipment,"Military armored vehicle, tank, and tank component",,4,336992,"['13', '  ']","['*', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', '  ']"
2750,r041,All industries -> Manufacturing industries -> Transportation equipment -> Other transportation,All industries,Manufacturing industries,Transportation equipment,Other transportation,,4,other 336,"['3,358', '  ']","['142', '  ']","['2', '  ']","['9', '  ']","['84', 'i ']","['29', '  ']","['18', '  ']"
2750,r042,All industries -> Manufacturing industries -> Furniture and related products,All industries,Manufacturing industries,Furniture and related products,,,3,337,"['1,092', '  ']","['79', '  ']","['*', '  ']","['29', '  ']","['18', '  ']","['3', '  ']","['28', '  ']"
2750,r043,All industries -> Manufacturing industries -> Miscellaneous,All industries,Manufacturing industries,Miscellaneous,,,3,339,"['12,570', '  ']","['1,136', '  ']","['*', '  ']","['46', '  ']","['636', '  ']","['204', '  ']","['251', '  ']"
2750,r044,All industries -> Manufacturing industries -> Miscellaneous -> Medical equipment and supplies,All industries,Manufacturing industries,Miscellaneous,Medical equipment and supplies,,4,3391,"['8,679', '  ']","['714', '  ']","['*', '  ']","['40', '  ']","['365', '  ']","['148', '  ']","['161', '  ']"
2750,r045,All industries -> Manufacturing industries -> Miscellaneous -> Other miscellaneous manufacturing,All industries,Manufacturing industries,Miscellaneous,Other miscellaneous manufacturing,,4,3399,"['3,891', 'i ']","['423', 'i ']","['0', '  ']","['6', 'i ']","['271', 'i ']","['56', 'i ']","['90', 'i ']"
2750,r046,All industries -> Nonmanufacturing industries,All industries,Nonmanufacturing industries,,,,2,"21–23, 42–81","['381,747', '  ']","['16,161', '  ']","['419', '  ']","['1,016', '  ']","['4,852', '  ']","['7,908', '  ']","['1,965', '  ']"
2750,r047,"All industries -> Nonmanufacturing industries -> Mining, quarrying, oil and gas extraction, and support activities",All industries,Nonmanufacturing industries,"Mining, quarrying, oil and gas extraction, and support activities",,,3,21,"['35,207', '  ']","['354', '  ']","['0', '  ']","['6', 'i ']","['174', '  ']","['152', '  ']","['22', '  ']"
2750,r048,All industries -> Nonmanufacturing industries -> Utilities,All industries,Nonmanufacturing industries,Utilities,,,3,22,"['97,112', '  ']","['88', '  ']","['0', '  ']","['0', '  ']","['5', '  ']","['14', '  ']","['69', '  ']"
2750,r049,All industries -> Nonmanufacturing industries -> Wholesale trade,All industries,Nonmanufacturing industries,Wholesale trade,,,3,42,"['4,857', 'i ']","['75', 'i ']","['*', 'i ']","['3', 'i ']","['29', 'i ']","['14', 'i ']","['28', 'i ']"
2750,r050,All industries -> Nonmanufacturing industries -> Electronic shopping and electronic auctions,All industries,Nonmanufacturing industries,Electronic shopping and electronic auctions,,,3,454111–12,"['8,857', '  ']","['314', 'i ']","['0', '  ']","['5', 'i ']","['230', 'i ']","['74', 'i ']","['5', 'i ']"
2750,r051,All industries -> Nonmanufacturing industries -> Transportation and warehousing,All industries,Nonmanufacturing industries,Transportation and warehousing,,,3,48–49,"['27,967', '  ']","['611', 'i ']","['0', '  ']","['33', 'i ']","['287', 'i ']","['210', 'i ']","['81', 'i ']"
2750,r052,All industries -> Nonmanufacturing industries -> Information,All industries,Nonmanufacturing industries,Information,,,3,51,"['141,471', '  ']","['7,968', '  ']","['413', '  ']","['715', '  ']","['2,691', '  ']","['3,404', '  ']","['745', '  ']"
2750,r053,All industries -> Nonmanufacturing industries -> Information -> Publishing,All industries,Nonmanufacturing industries,Information,Publishing,,4,511,"['17,268', '  ']","['1,316', '  ']","['26', '  ']","['186', '  ']","['584', '  ']","['451', '  ']","['70', '  ']"
2750,r054,"All industries -> Nonmanufacturing industries -> Information -> Publishing -> Newspaper, periodical, book, and directory publishers",All industries,Nonmanufacturing industries,Information,Publishing,"Newspaper, periodical, book, and directory publishers",5,5111,"['77', '  ']","['20', '  ']","['0', '  ']","['*', 'i ']","['*', '  ']","['18', 'i ']","['3', '  ']"
2750,r055,All industries -> Nonmanufacturing industries -> Information -> Publishing -> Software publishers,All industries,Nonmanufacturing industries,Information,Publishing,Software publishers,5,5112,"['17,191', '  ']","['1,296', '  ']","['26', '  ']","['186', '  ']","['584', '  ']","['433', '  ']","['68', '  ']"
2750,r056,All industries -> Nonmanufacturing industries -> Information -> Telecommunications,All industries,Nonmanufacturing industries,Information,Telecommunications,,4,517,"['66,906', '  ']","['2,142', '  ']","['382', '  ']","['386', '  ']","['508', '  ']","['459', '  ']","['407', '  ']"
2750,r057,"All industries -> Nonmanufacturing industries -> Information -> Data processing, hosting, and related services",All industries,Nonmanufacturing industries,Information,"Data processing, hosting, and related services",,4,518,"['9,345', '  ']","['1,475', '  ']","['3', '  ']","['23', '  ']","['418', '  ']","['866', '  ']","['165', '  ']"
2750,r058,All industries -> Nonmanufacturing industries -> Information -> Other information,All industries,Nonmanufacturing industries,Information,Other information,,4,other 51,"['47,953', '  ']","['3,034', '  ']","['2', 'i ']","['120', '  ']","['1,181', '  ']","['1,629', '  ']","['103', '  ']"
2750,r059,All industries -> Nonmanufacturing industries -> Finance and insurance,All industries,Nonmanufacturing industries,Finance and insurance,,,3,52,"['16,534', '  ']","['2,865', '  ']","['0', '  ']","['29', '  ']","['291', '  ']","['2,119', '  ']","['425', '  ']"
2750,r060,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,,,3,53,"['423', '  ']","['55', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['54', '  ']","['*', '  ']"
2750,r061,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Lessors of nonfinancial intangible assets (except copyrighted works),All industries,Nonmanufacturing industries,Real estate and rental and leasing,Lessors of nonfinancial intangible assets (except copyrighted works),,4,533,"['7', '  ']","['*', '  ']","['0', '  ']","['0', '  ']","['*', '  ']","['0', '  ']","['0', '  ']"
2750,r062,All industries -> Nonmanufacturing industries -> Real estate and rental and leasing -> Other real estate and rental and leasing,All industries,Nonmanufacturing industries,Real estate and rental and leasing,Other real estate and rental and leasing,,4,other 53,"['416', '  ']","['55', '  ']","['0', '  ']","['0', '  ']","['1', '  ']","['54', '  ']","['*', '  ']"
2750,r063,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",,,3,54,"['15,422', '  ']","['2,438', '  ']","['5', '  ']","['176', '  ']","['859', '  ']","['854', '  ']","['543', '  ']"
2750,r064,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Architectural, engineering, and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Architectural, engineering, and related services",,4,5413,"['2,339', '  ']","['111', '  ']","['1', '  ']","['12', '  ']","['64', '  ']","['12', '  ']","['22', '  ']"
2750,r065,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Computer systems design and related services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Computer systems design and related services,,4,5415,"['6,508', '  ']","['1,210', '  ']","['4', '  ']","['73', '  ']","['450', '  ']","['357', '  ']","['325', '  ']"
2750,r066,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,,4,5417,"['2,647', '  ']","['682', '  ']","['*', '  ']","['88', '  ']","['260', '  ']","['190', '  ']","['144', '  ']"
2750,r067,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in biotechnology",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in biotechnology,5,541711,"['688', '  ']","['225', '  ']","['*', '  ']","['14', '  ']","['89', '  ']","['28', '  ']","['93', '  ']"
2750,r068,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the physical, engineering, and life sciences (except biotechnology)",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,"Research and development in the physical, engineering, and life sciences (except biotechnology)",5,541712,"['1,950', '  ']","['449', '  ']","['*', '  ']","['72', '  ']","['166', '  ']","['159', '  ']","['50', '  ']"
2750,r069,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Scientific research and development services -> Research and development in the social sciences and humanities",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services",Scientific research and development services,Research and development in the social sciences and humanities,5,541720,"['8', '  ']","['8', '  ']","['0', '  ']","['1', '  ']","['4', '  ']","['3', '  ']","['*', '  ']"
2750,r070,"All industries -> Nonmanufacturing industries -> Professional, scientific, and technical services -> Other professional, scientific, and technical services",All industries,Nonmanufacturing industries,"Professional, scientific, and technical services","Other professional, scientific, and technical services",,4,other 54,"['3,928', '  ']","['436', '  ']","['*', 'i ']","['3', '  ']","['86', '  ']","['295', '  ']","['52', '  ']"
2750,r071,All industries -> Nonmanufacturing industries -> Health care services,All industries,Nonmanufacturing industries,Health care services,,,3,621–23,"['2,952', 'i ']","['278', 'i ']","['*', 'i ']","['27', 'i ']","['224', 'i ']","['22', '  ']","['6', 'i ']"
2750,r072,All industries -> Nonmanufacturing industries -> Other nonmanufacturing,All industries,Nonmanufacturing industries,Other nonmanufacturing,,,3,"23, 44–45 (excluding 454111–12), 55–56, 624, 71–72, 81","['30,945', '  ']","['1,114', '  ']","['*', 'i ']","['21', '  ']","['62', 'i ']","['990', '  ']","['41', '  ']"
2750,r073,All companies (number of domestic employees),All companies (number of domestic employees),,,,,1,–,"['665,199', '  ']","['34,743', '  ']","['659', '  ']","['4,063', '  ']","['16,393', '  ']","['9,659', '  ']","['3,969', '  ']"
2750,r074,All companies (number of domestic employees) -> Small companies,All companies (number of domestic employees),Small companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2750,r075,All companies (number of domestic employees) -> Small companies -> 10&#8211;19<sup>a</sup>,All companies (number of domestic employees),Small companies,10&#8211;19<sup>a</sup>,,,3,–,"['1,136', '  ']","['359', '  ']","['3', '  ']","['42', '  ']","['197', '  ']","['35', '  ']","['82', '  ']"
2750,r076,All companies (number of domestic employees) -> Small companies -> 20&#8211;49,All companies (number of domestic employees),Small companies,20&#8211;49,,,3,–,"['6,080', '  ']","['1,077', '  ']","['2', '  ']","['84', '  ']","['530', '  ']","['142', '  ']","['319', '  ']"
2750,r077,All companies (number of domestic employees) -> Medium companies,All companies (number of domestic employees),Medium companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2750,r078,All companies (number of domestic employees) -> Medium companies -> 50&#8211;99,All companies (number of domestic employees),Medium companies,50&#8211;99,,,3,–,"['7,827', '  ']","['1,043', '  ']","['48', '  ']","['151', '  ']","['476', '  ']","['115', '  ']","['253', '  ']"
2750,r079,All companies (number of domestic employees) -> Medium companies -> 100&#8211;249,All companies (number of domestic employees),Medium companies,100&#8211;249,,,3,–,"['16,303', '  ']","['1,328', '  ']","['9', '  ']","['195', '  ']","['667', '  ']","['279', '  ']","['178', '  ']"
2750,r080,All companies (number of domestic employees) -> Large companies,All companies (number of domestic employees),Large companies,,,,2,,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
2750,r081,All companies (number of domestic employees) -> Large companies -> 250&#8211;499,All companies (number of domestic employees),Large companies,250&#8211;499,,,3,–,"['11,995', '  ']","['1,795', '  ']","['6', '  ']","['187', '  ']","['831', '  ']","['497', '  ']","['274', '  ']"
2750,r082,All companies (number of domestic employees) -> Large companies -> 500&#8211;999,All companies (number of domestic employees),Large companies,500&#8211;999,,,3,–,"['16,450', '  ']","['1,505', '  ']","['9', 'i ']","['137', '  ']","['633', '  ']","['409', '  ']","['318', '  ']"
2750,r083,"All companies (number of domestic employees) -> Large companies -> 1,000&#8211;4,999",All companies (number of domestic employees),Large companies,"1,000&#8211;4,999",,,3,–,"['76,061', '  ']","['5,562', '  ']","['66', '  ']","['792', '  ']","['2,237', '  ']","['1,868', '  ']","['599', '  ']"
2750,r084,"All companies (number of domestic employees) -> Large companies -> 5,000&#8211;9,999",All companies (number of domestic employees),Large companies,"5,000&#8211;9,999",,,3,–,"['69,863', '  ']","['3,630', '  ']","['21', '  ']","['501', '  ']","['1,910', '  ']","['998', '  ']","['199', '  ']"
2750,r085,"All companies (number of domestic employees) -> Large companies -> 10,000&#8211;24,999",All companies (number of domestic employees),Large companies,"10,000&#8211;24,999",,,3,–,"['159,038', '  ']","['6,719', '  ']","['90', '  ']","['894', '  ']","['2,887', '  ']","['2,015', '  ']","['834', '  ']"
2750,r086,"All companies (number of domestic employees) -> Large companies -> 25,000 or more",All companies (number of domestic employees),Large companies,"25,000 or more",,,3,–,"['300,447', '  ']","['11,724', '  ']","['405', '  ']","['1,081', '  ']","['6,024', '  ']","['3,301', '  ']","['913', '  ']"
