table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_level_3,_b_total_b_hierarchy_depth,value
11314,r178,2013,Federally financed,Basic research,Percent,3,23.6
11314,r179,2013,Federally financed,Applied research,Amount,3,6636
11314,r180,2013,Federally financed,Applied research,Percent,3,38.4
11314,r181,2013,Federally financed,Experimental development,Amount,3,6568
11314,r182,2013,Federally financed,Experimental development,Percent,3,38.0
11314,r183,2014,Total,All R&D expenditures,,2,17719
11314,r184,2014,Total,Basic research,Amount,3,4195
11314,r185,2014,Total,Basic research,Percent,3,23.7
11314,r186,2014,Total,Applied research,Amount,3,6839
11314,r187,2014,Total,Applied research,Percent,3,38.6
11314,r188,2014,Total,Experimental development,Amount,3,6684
11314,r189,2014,Total,Experimental development,Percent,3,37.7
11314,r190,2014,Federally financed,All R&D expenditures,,2,17331
11314,r191,2014,Federally financed,Basic research,Amount,3,4098
11314,r192,2014,Federally financed,Basic research,Percent,3,23.6
11314,r193,2014,Federally financed,Applied research,Amount,3,6648
11314,r194,2014,Federally financed,Applied research,Percent,3,38.4
11314,r195,2014,Federally financed,Experimental development,Amount,3,6585
11314,r196,2014,Federally financed,Experimental development,Percent,3,38.0
11314,r197,2015,Total,All R&D expenditures,,2,18458
11314,r198,2015,Total,Basic research,Amount,3,4094
11314,r199,2015,Total,Basic research,Percent,3,22.2
11314,r200,2015,Total,Applied research,Amount,3,7292
11314,r201,2015,Total,Applied research,Percent,3,39.5
11314,r202,2015,Total,Experimental development,Amount,3,7072
11314,r203,2015,Total,Experimental development,Percent,3,38.3
11314,r204,2015,Federally financed,All R&D expenditures,,2,18097
11314,r205,2015,Federally financed,Basic research,Amount,3,4012
11314,r206,2015,Federally financed,Basic research,Percent,3,22.2
11314,r207,2015,Federally financed,Applied research,Amount,3,7118
11314,r208,2015,Federally financed,Applied research,Percent,3,39.3
11314,r209,2015,Federally financed,Experimental development,Amount,3,6968
11314,r210,2015,Federally financed,Experimental development,Percent,3,38.5
11314,r211,2016,Total,All R&D expenditures,,2,19220
11314,r212,2016,Total,Basic research,Amount,3,4224
11314,r213,2016,Total,Basic research,Percent,3,22.0
11314,r214,2016,Total,Applied research,Amount,3,7527
11314,r215,2016,Total,Applied research,Percent,3,39.2
11314,r216,2016,Total,Experimental development,Amount,3,7468
11314,r217,2016,Total,Experimental development,Percent,3,38.9
11314,r218,2016,Federally financed,All R&D expenditures,,2,18856
11314,r219,2016,Federally financed,Basic research,Amount,3,4136
11314,r220,2016,Federally financed,Basic research,Percent,3,21.9
