table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_hierarchy_depth,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020,field_2021,field_2022,field_2023_preliminary_
10891,r028,All fields -> Psychology -> Biological aspects,All fields,Psychology,Biological aspects,3,1,5,4,0.05,1,1,1,0.05,11,NA
10891,r029,All fields -> Psychology -> Social aspects,All fields,Psychology,Social aspects,3,46,45,44,43,38,42,30,34,34,NA
10891,r030,All fields -> Psychology -> Other psychological sciences,All fields,Psychology,Other psychological sciences,3,883,945,983,1011,1141,1344,1634,1801,2255,NA
10891,r031,All fields -> Social sciences,All fields,Social sciences,,2,1049,792,849,668,665,704,698,832,1151,1338
10891,r032,All fields -> Social sciences -> Anthropology,All fields,Social sciences,Anthropology,3,2,2,2,3,4,2,1,20,21,NA
10891,r033,All fields -> Social sciences -> Economics,All fields,Social sciences,Economics,3,286,290,320,238,230,209,164,175,187,NA
10891,r034,All fields -> Social sciences -> Political science and government (formerly Political science),All fields,Social sciences,Political science and government (formerly Political science),3,1,4,1,5,2,4,8,9,8,NA
10891,r035,"All fields -> Social sciences -> Sociology, demography, and population studies (formerly Sociology)",All fields,Social sciences,"Sociology, demography, and population studies (formerly Sociology)",3,127,102,173,155,119,187,132,68,69,NA
10891,r036,All fields -> Social sciences -> Other social sciences<sup>a</sup>,All fields,Social sciences,Other social sciences<sup>a</sup>,3,632,395,352,267,311,302,393,560,866,NA
10891,r037,All fields -> Engineering,All fields,Engineering,,2,8343,8290,9314,9522,10173,11661,10324,11438,11758,12835
10891,r038,All fields -> Engineering -> Aeronautical engineering,All fields,Engineering,Aeronautical engineering,3,1386,1356,1357,1442,1019,1128,1023,NA,NA,NA
10891,r039,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",3,NA,NA,NA,NA,NA,NA,NA,2334,2099,NA
10891,r040,All fields -> Engineering -> Astronautical engineering,All fields,Engineering,Astronautical engineering,3,576,562,551,550,788,821,901,NA,NA,NA
10891,r041,All fields -> Engineering -> Bioengineering and biomedical engineering,All fields,Engineering,Bioengineering and biomedical engineering,3,NA,NA,NA,NA,NA,NA,NA,13,64,NA
10891,r042,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,3,432,314,303,226,621,379,694,612,624,NA
10891,r043,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,3,417,403,424,579,462,555,459,579,574,NA
10891,r044,"All fields -> Engineering -> Electrical, electronics, and communications engineering (formerly Electrical engineering)",All fields,Engineering,"Electrical, electronics, and communications engineering (formerly Electrical engineering)",3,992,669,835,878,772,751,675,691,661,NA
10891,r045,All fields -> Engineering -> Industrial and manufacturing engineering,All fields,Engineering,Industrial and manufacturing engineering,3,NA,NA,NA,NA,NA,NA,NA,250,2029,NA
10891,r046,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,3,374,198,251,326,388,527,407,175,294,NA
10891,r047,All fields -> Engineering -> Metallurgical and materials engineering (formerly Metallurgy and materials engineering),All fields,Engineering,Metallurgical and materials engineering (formerly Metallurgy and materials engineering),3,536,467,696,635,552,620,423,573,345,NA
10891,r048,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,3,3629,4320,4895,4886,5573,6881,5741,6212,5067,NA
10891,r049,All fields -> Other fields,All fields,Other fields,,2,NA,NA,NA,NA,NA,NA,NA,3145,3045,3475
10891,r050,All fields -> Other fields -> Business management and business administration,All fields,Other fields,Business management and business administration,3,NA,NA,NA,NA,NA,NA,NA,86,79,NA
10891,r051,All fields -> Other fields -> Communication and communications technologies,All fields,Other fields,Communication and communications technologies,3,NA,NA,NA,NA,NA,NA,NA,12,21,NA
10891,r052,All fields -> Other fields -> Education research,All fields,Other fields,Education research,3,NA,NA,NA,NA,NA,NA,NA,627,707,NA
10891,r053,"All fields -> Other fields -> Humanities, including History",All fields,Other fields,"Humanities, including History",3,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,NA
10891,r054,All fields -> Other fields -> Law,All fields,Other fields,Law,3,NA,NA,NA,NA,NA,NA,NA,0.05,0.05,NA
10891,r055,All fields -> Other fields -> Social work,All fields,Other fields,Social work,3,NA,NA,NA,NA,NA,NA,NA,0,0,NA
10891,r056,All fields -> Other fields -> Visual and performing arts,All fields,Other fields,Visual and performing arts,3,NA,NA,NA,NA,NA,NA,NA,0,0,NA
10891,r057,All fields -> Other fields -> All other fields,All fields,Other fields,All other fields,3,NA,NA,NA,NA,NA,NA,NA,2419,2238,NA
10891,r058,All fields -> Other sciences nec,All fields,Other sciences nec,,2,925,1364,1352,2176,1912,2168,2185,NA,NA,NA
