table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8454,r027,R&D and R&D plant -> R&D -> Air transportation (402) -> Department of Homeland Security,R&D and R&D plant,R&D,Air transportation (402),Department of Homeland Security,,4,30,30,34,0.0,13.3
8454,r028,R&D and R&D plant -> R&D -> Air transportation (402) -> Department of Homeland Security -> Transportation Security Administration,R&D and R&D plant,R&D,Air transportation (402),Department of Homeland Security,Transportation Security Administration,5,30,30,34,0.0,13.3
8454,r029,R&D and R&D plant -> R&D -> Ground transportation (401),R&D and R&D plant,R&D,Ground transportation (401),,,3,542,629,642,16.1,2.1
8454,r030,R&D and R&D plant -> R&D -> Ground transportation (401) ->    Department of Transportation<sup>b</sup>,R&D and R&D plant,R&D,Ground transportation (401),   Department of Transportation<sup>b</sup>,,4,542,629,642,16.1,2.1
8454,r031,R&D and R&D plant -> R&D -> Ground transportation (401) ->    Department of Transportation<sup>b</sup> -> Federal Highway Administration,R&D and R&D plant,R&D,Ground transportation (401),   Department of Transportation<sup>b</sup>,Federal Highway Administration,5,400,427,495,6.8,15.9
8454,r032,R&D and R&D plant -> R&D -> Ground transportation (401) ->    Department of Transportation<sup>b</sup> -> Federal Motor Carrier Safety Administration,R&D and R&D plant,R&D,Ground transportation (401),   Department of Transportation<sup>b</sup>,Federal Motor Carrier Safety Administration,5,9,14,14,55.6,0.0
8454,r033,R&D and R&D plant -> R&D -> Ground transportation (401) ->    Department of Transportation<sup>b</sup> -> Federal Railroad Administration,R&D and R&D plant,R&D,Ground transportation (401),   Department of Transportation<sup>b</sup>,Federal Railroad Administration,5,43,44,58,2.3,31.8
8454,r034,R&D and R&D plant -> R&D -> Ground transportation (401) ->    Department of Transportation<sup>b</sup> -> Federal Transit Administration,R&D and R&D plant,R&D,Ground transportation (401),   Department of Transportation<sup>b</sup>,Federal Transit Administration,5,28,28,58,0.0,107.1
8454,r035,R&D and R&D plant -> R&D -> Ground transportation (401) ->    Department of Transportation<sup>b</sup> -> National Highway Traffic Safety Administration,R&D and R&D plant,R&D,Ground transportation (401),   Department of Transportation<sup>b</sup>,National Highway Traffic Safety Administration,5,62,116,17,87.1,-85.3
8454,r036,R&D and R&D plant -> R&D -> Water transportation (403),R&D and R&D plant,R&D,Water transportation (403),,,3,10,10,7,0.0,-30.0
8454,r037,R&D and R&D plant -> R&D -> Water transportation (403) ->    Department of Transportation<sup>b</sup>,R&D and R&D plant,R&D,Water transportation (403),   Department of Transportation<sup>b</sup>,,4,10,10,7,0.0,-30.0
8454,r038,R&D and R&D plant -> R&D -> Water transportation (403) ->    Department of Transportation<sup>b</sup> -> Coast Guard,R&D and R&D plant,R&D,Water transportation (403),   Department of Transportation<sup>b</sup>,Coast Guard,5,10,10,7,0.0,-30.0
8454,r039,R&D and R&D plant -> R&D -> Other transportation (407),R&D and R&D plant,R&D,Other transportation (407),,,3,41,140,176,241.5,25.7
8454,r040,R&D and R&D plant -> R&D -> Other transportation (407) -> Department of Transportation<sup>b</sup>,R&D and R&D plant,R&D,Other transportation (407),Department of Transportation<sup>b</sup>,,4,41,140,176,241.5,25.7
