table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2023_actual,field_2024_preliminarya,field_2025_proposed,field_2023_24_change_,field_2024_25_change_
12571,r018,"R&D and R&D plant -> National Science Foundation -> Technology, Innovation, and Partnerships",R&D and R&D plant,National Science Foundation,"Technology, Innovation, and Partnerships",,,3,648,664,831,2.6,25.1
12571,r019,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,13715,13325,14208,-2.8,6.6
12571,r020,R&D and R&D plant -> R&D -> Department of Energy,R&D and R&D plant,R&D,Department of Energy,,,3,6585,6141,6727,-6.7,9.5
12571,r021,R&D and R&D plant -> R&D -> Department of Energy -> Office of Science,R&D and R&D plant,R&D,Department of Energy,Office of Science,,4,6585,6141,6727,-6.7,9.5
12571,r022,R&D and R&D plant -> R&D -> National Science Foundation,R&D and R&D plant,R&D,National Science Foundation,,,3,7130,7184,7481,0.8,4.1
12571,r023,R&D and R&D plant -> R&D -> National Science Foundation -> Arctic Research Commission,R&D and R&D plant,R&D,National Science Foundation,Arctic Research Commission,,4,0,0,0,-,-
12571,r024,R&D and R&D plant -> R&D -> National Science Foundation -> Biological Sciences,R&D and R&D plant,R&D,National Science Foundation,Biological Sciences,,4,722,730,760,1.2,4.0
12571,r025,R&D and R&D plant -> R&D -> National Science Foundation -> Biological Sciences -> CHIPS for America Workforce and Education R&D,R&D and R&D plant,R&D,National Science Foundation,Biological Sciences,CHIPS for America Workforce and Education R&D,5,16,16,10,0.0,-38.0
12571,r026,R&D and R&D plant -> R&D -> National Science Foundation -> Computer and Information Science and Engineering,R&D and R&D plant,R&D,National Science Foundation,Computer and Information Science and Engineering,,4,941,928,940,-1.4,1.2
12571,r027,R&D and R&D plant -> R&D -> National Science Foundation -> STEM Education<sup>b</sup>,R&D and R&D plant,R&D,National Science Foundation,STEM Education<sup>b</sup>,,4,522,518,523,-0.8,0.9
12571,r028,R&D and R&D plant -> R&D -> National Science Foundation -> Engineering,R&D and R&D plant,R&D,National Science Foundation,Engineering,,4,729,689,712,-5.5,3.3
12571,r029,R&D and R&D plant -> R&D -> National Science Foundation -> Geosciences,R&D and R&D plant,R&D,National Science Foundation,Geosciences,,4,987,954,945,-3.3,-0.9
12571,r030,R&D and R&D plant -> R&D -> National Science Foundation -> Integrative Activities,R&D and R&D plant,R&D,National Science Foundation,Integrative Activities,,4,301,430,457,42.9,6.3
12571,r031,R&D and R&D plant -> R&D -> National Science Foundation -> International Science and Engineering,R&D and R&D plant,R&D,National Science Foundation,International Science and Engineering,,4,43,60,60,37.4,0.8
12571,r032,R&D and R&D plant -> R&D -> National Science Foundation -> Major Research Equipment and Facilities Construction,R&D and R&D plant,R&D,National Science Foundation,Major Research Equipment and Facilities Construction,,4,0,0,0,-,-
12571,r033,R&D and R&D plant -> R&D -> National Science Foundation -> Mathematical and Physical Sciences,R&D and R&D plant,R&D,National Science Foundation,Mathematical and Physical Sciences,,4,1563,1484,1481,-5.0,-0.2
12571,r034,R&D and R&D plant -> R&D -> National Science Foundation -> Polar Programs,R&D and R&D plant,R&D,National Science Foundation,Polar Programs,,4,434,472,520,8.7,10.2
12571,r035,"R&D and R&D plant -> R&D -> National Science Foundation -> Social, Behavioral and Economic Sciences",R&D and R&D plant,R&D,National Science Foundation,"Social, Behavioral and Economic Sciences",,4,224,269,282,20.0,4.7
12571,r036,"R&D and R&D plant -> R&D -> National Science Foundation -> Technology, Innovation, and Partnerships",R&D and R&D plant,R&D,National Science Foundation,"Technology, Innovation, and Partnerships",,4,648,633,792,-2.2,25.1
