table_id,row_id,state_full_path,state_level_1,state_level_2,state_hierarchy_depth,field_all_r_d,field_r_d_rank,field_performer_source_of_funds_,field_federal,field_ffrdcs_total,field_ffrdcs_federal,field_ffrdcs_nonfederald,field_business_total,field_business_own,field_business_paid_by_others_nonfederale,field_business_paid_by_others_federal,field_higher_educationa_total,field_higher_educationa_federal,field_higher_educationa_other_government,field_higher_educationa_business,field_higher_educationa_higher_education,field_higher_educationa_npo,field_higher_educationa_other,field_npos_federalf,field_state_internalb_total,field_gdp,field_gdp_rank,field_r_d_intensityc_percent,field_r_d_intensityc_rank
5929,r047,States total<sup>h</sup> -> Utah,States total<sup>h</sup>,Utah,2,3962,29,,172,0,0,0,2857,2463,316,78,925,547,31,49,250,36,12,3,5,195088,30,2.03,28
5929,r048,States total<sup>h</sup> -> Vermont,States total<sup>h</sup>,Vermont,2,392,49,,8,0,0,0,244,218,19,7,139,93,1,3,32,9,1,0.05,1,34128,51,1.15,36
5929,r049,States total<sup>h</sup> -> Virginia,States total<sup>h</sup>,Virginia,2,11693,13,,2251,1435,1407,28,6061,4276,461,1324,1814,843,108,92,599,106,67,121,11,554306,13,2.11,25
5929,r050,States total<sup>h</sup> -> Washington,States total<sup>h</sup>,Washington,2,41085,2,,357,1012,994,18,37330,35823,1255,252,1830,1169,81,73,257,208,41,536,20,597874,10,6.87,2
5929,r051,States total<sup>h</sup> -> West Virginia,States total<sup>h</sup>,West Virginia,2,521,48,,47,0,0,0,246,219,17,10,213,97,12,6,76,6,16,12,3,79140,42,0.66,47
5929,r052,States total<sup>h</sup> -> Wisconsin,States total<sup>h</sup>,Wisconsin,2,8269,20,,55,0,0,0,6517,5679,741,97,1652,771,116,57,518,139,50,40,5,344725,21,2.4,20
5929,r053,States total<sup>h</sup> -> Wyoming,States total<sup>h</sup>,Wyoming,2,792,43,,25,0,0,0,686,670,11,5,80,52,5,4,18,2,1,0.05,1,39601,50,2.0,29
5929,r054,U.S. undistributed<sup>i</sup>,U.S. undistributed<sup>i</sup>,,1,2383,na,,1326,0,0,0,1034,916,84,34,0,0,0,0,0,0,0,23,0,0,na,na,na
5929,r055,Puerto Rico,Puerto Rico,,1,666,na,,6,0,0,0,539,519,NA,NA,121,80,2,5,30,1,3,0.05,na,111702,na,NA,na
5929,r056,Other<sup>j</sup><sup> </sup>,Other<sup>j</sup><sup> </sup>,,1,398,na,,371,0,0,0,0,0,0,0,25,21,2,0.05,3,0.05,0,1,na,na,na,na,na
