table_id,row_id,_b_agency_b_full_path,_b_agency_b_level_1,_b_agency_b_level_2,_b_agency_b_level_3,_b_agency_b_hierarchy_depth,field_all_federal_obligations,field_r_da_total,field_r_da_research,field_r_da_advanced_technology_development,field_r_da_major_systems_development,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
7307,r014,All agencies -> Department of Health and Human Services -> Agency for Toxic Substances and Disease Registry,All agencies,Department of Health and Human Services,Agency for Toxic Substances and Disease Registry,3,2102.3,2102.3,na,na,na,0.0,0.0,0.0,0.0,0.0
7307,r015,All agencies -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,3,274669.1,273539.5,na,na,na,0.0,0.0,629.6,0.0,500.0
7307,r016,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,3,168048.4,167951.2,na,na,na,0.0,0.0,97.2,0.0,0.0
7307,r017,All agencies -> Department of Health and Human Services -> Centers for Medicare and Medicaid Services,All agencies,Department of Health and Human Services,Centers for Medicare and Medicaid Services,3,9781.9,9781.9,na,na,na,0.0,0.0,0.0,0.0,0.0
7307,r018,All agencies -> Department of Health and Human Services -> Food and Drug Administration,All agencies,Department of Health and Human Services,Food and Drug Administration,3,75026.0,75026.0,na,na,na,0.0,0.0,0.0,0.0,0.0
7307,r019,All agencies -> Department of Health and Human Services -> Health Resources and Services Administration,All agencies,Department of Health and Human Services,Health Resources and Services Administration,3,361235.9,20510.8,na,na,na,0.0,0.0,340725.1,0.0,0.0
7307,r020,All agencies -> Department of Health and Human Services -> National Institutes of Health,All agencies,Department of Health and Human Services,National Institutes of Health,3,23834351.6,23026104.0,na,na,na,55043.1,0.0,662713.2,89177.7,1313.6
7307,r021,All agencies -> Department of Health and Human Services -> Office of the Assistant Secretary for Planning and Evaluation,All agencies,Department of Health and Human Services,Office of the Assistant Secretary for Planning and Evaluation,3,1600.0,0.0,na,na,na,0.0,0.0,1600.0,0.0,0.0
7307,r022,All agencies -> Department of Homeland Security,All agencies,Department of Homeland Security,,2,26129.6,26129.6,na,na,na,0.0,0.0,0.0,0.0,0.0
7307,r023,All agencies -> Department of Homeland Security -> Countering Weapons of Mass Destruction Office,All agencies,Department of Homeland Security,Countering Weapons of Mass Destruction Office,3,5364.5,5364.5,na,na,na,0.0,0.0,0.0,0.0,0.0
7307,r024,All agencies -> Department of Homeland Security -> Science and Technology Directorate,All agencies,Department of Homeland Security,Science and Technology Directorate,3,20765.1,20765.1,na,na,na,0.0,0.0,0.0,0.0,0.0
7307,r025,All agencies -> Department of the Interior,All agencies,Department of the Interior,,2,94447.7,94447.7,na,na,na,0.0,0.0,0.0,0.0,0.0
7307,r026,All agencies -> Department of Justice,All agencies,Department of Justice,,2,800.0,300.0,na,na,na,0.0,0.0,500.0,0.0,0.0
7307,r027,All agencies -> Department of Transportation,All agencies,Department of Transportation,,2,431269.1,268554.1,na,na,na,698.0,7000.0,15888.2,1032.0,138096.8
7307,r028,Other agencies,Other agencies,,,1,,,,,,,,,,
7307,r029,Other agencies -> Agency for International Development,Other agencies,Agency for International Development,,2,50494.1,50494.1,na,na,na,0.0,0.0,0.0,0.0,0.0
7307,r030,Other agencies -> Appalachian Regional Commission,Other agencies,Appalachian Regional Commission,,2,134.2,134.2,na,na,na,0.0,0.0,0.0,0.0,0.0
7307,r031,Other agencies -> Environmental Protection Agency,Other agencies,Environmental Protection Agency,,2,32792.0,28728.0,na,na,na,0.0,0.0,4064.0,0.0,0.0
7307,r032,Other agencies -> National Aeronautics and Space Administration,Other agencies,National Aeronautics and Space Administration,,2,1324030.5,1324030.5,na,na,na,0.0,0.0,0.0,0.0,0.0
7307,r033,Other agencies -> National Science Foundation,Other agencies,National Science Foundation,,2,6170452.2,5315823.3,na,na,na,304403.5,0.0,462458.7,0.0,87766.7
7307,r034,Other agencies -> Nuclear Regulatory Commission,Other agencies,Nuclear Regulatory Commission,,2,3464.5,3464.5,na,na,na,0.0,0.0,0.0,0.0,0.0
7307,r035,Other agencies -> Social Security Administration,Other agencies,Social Security Administration,,2,9328.4,8185.3,na,na,na,0.0,0.0,1143.1,0.0,0.0
