table_id,row_id,level_and_field_of_highest_degree_full_path,level_and_field_of_highest_degree_level_1,level_and_field_of_highest_degree_level_2,level_and_field_of_highest_degree_level_3,level_and_field_of_highest_degree_level_4,level_and_field_of_highest_degree_level_5,level_and_field_of_highest_degree_hierarchy_depth,field_total,field_business_or_industry_total,field_business_or_industry_for_profit_business_or_industry,field_business_or_industry_nonprofit_business_or_industry,field_business_or_industry_self_employed_not_incorporated,field_education_total,field_education_4_year_educational_institutiona,field_education_2_year_college_or_precollege_educational_institution,field_government_total,field_government_federal_government,field_government_state_or_local_government
5583,r031,All degrees -> S&E-related fields -> Science and mathematics teacher education,All degrees,S&E-related fields,Science and mathematics teacher education,,,3,469000,110000,79000,7000,24000,344000,23000,322000,S,,S
5583,r032,All degrees -> S&E-related fields -> Technology and technical fields,All degrees,S&E-related fields,Technology and technical fields,,,3,479000,401000,359000,18000,24000,34000,12000,22000,44000,25000,19000
5583,r033,All degrees -> S&E-related fields -> Other S&E-related fields,All degrees,S&E-related fields,Other S&E-related fields,,,3,501000,409000,342000,24000,44000,39000,25000,15000,53000,13000,40000
5583,r034,All degrees -> Non-S&E fields,All degrees,Non-S&E fields,,,,2,27734000,18208000,14000000,2291000,1917000,6706000,1307000,5398000,2820000,997000,1823000
5583,r035,All degrees -> Non-S&E fields -> Management and administration fields,All degrees,Non-S&E fields,Management and administration fields,,,3,9499000,7895000,6694000,565000,636000,750000,338000,412000,855000,385000,469000
5583,r036,"All degrees -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Non-S&E fields,"Education, except science and math teacher education",,,3,5285000,1190000,752000,278000,160000,3968000,244000,3724000,127000,29000,98000
5583,r037,All degrees -> Non-S&E fields -> Social service and related fields,All degrees,Non-S&E fields,Social service and related fields,,,3,1413000,1003000,376000,544000,84000,205000,90000,115000,205000,29000,176000
5583,r038,All degrees -> Non-S&E fields -> Sales and marketing fields,All degrees,Non-S&E fields,Sales and marketing fields,,,3,1299000,1158000,1017000,63000,78000,65000,20000,46000,75000,61000,14000
5583,r039,All degrees -> Non-S&E fields -> Art and humanities fields,All degrees,Non-S&E fields,Art and humanities fields,,,3,4487000,3116000,2232000,443000,441000,989000,328000,660000,382000,145000,237000
5583,r040,All degrees -> Non-S&E fields -> Other non-S&E fields,All degrees,Non-S&E fields,Other non-S&E fields,,,3,5750000,3845000,2929000,399000,517000,728000,287000,441000,1177000,348000,829000
5583,r041,All degrees -> Bachelor's,All degrees,Bachelor's,,,,2,31373000,23604000,18459000,3008000,2137000,4616000,1249000,3367000,3154000,1137000,2017000
5583,r042,All degrees -> Bachelor's -> S&E fields,All degrees,Bachelor's,S&E fields,,,3,10731000,8361000,6838000,865000,658000,1207000,541000,666000,1163000,466000,696000
5583,r043,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,1688000,1171000,835000,193000,144000,284000,157000,126000,233000,81000,153000
5583,r044,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,207000,159000,122000,15000,22000,23000,10000,13000,25000,17000,8000
5583,r045,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,1254000,858000,608000,169000,81000,235000,135000,100000,160000,50000,110000
5583,r046,"All degrees -> Bachelor's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Bachelor's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,228000,154000,105000,9000,S,26000,12000,14000,48000,13000,34000
5583,r047,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,,4,1896000,1545000,1381000,87000,77000,188000,70000,118000,162000,89000,73000
5583,r048,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,1478000,1240000,1113000,64000,63000,101000,48000,53000,137000,80000,57000
5583,r049,All degrees -> Bachelor's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Bachelor's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,418000,305000,269000,22000,14000,87000,22000,65000,26000,9000,16000
5583,r050,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences,All degrees,Bachelor's,S&E fields,Physical and related sciences,,4,520000,381000,323000,40000,17000,76000,44000,31000,63000,20000,43000
5583,r051,"All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Bachelor's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,257000,206000,179000,19000,7000,40000,25000,15000,11000,4000,7000
5583,r052,"All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Bachelor's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,163000,110000,90000,14000,6000,9000,4000,5000,44000,11000,33000
5583,r053,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Bachelor's,S&E fields,Physical and related sciences,Physics and astronomy,5,85000,54000,49000,3000,S,25000,15000,10000,7000,4000,S
5583,r054,All degrees -> Bachelor's -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Bachelor's,S&E fields,Physical and related sciences,Other physical sciences,5,16000,11000,6000,,,2000,,S,S,,
5583,r055,All degrees -> Bachelor's -> S&E fields -> Social and related sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,,4,4097000,3061000,2263000,481000,318000,564000,205000,359000,472000,159000,313000
5583,r056,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Economics,All degrees,Bachelor's,S&E fields,Social and related sciences,Economics,5,709000,595000,525000,19000,50000,37000,21000,16000,77000,29000,48000
5583,r057,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,Political and related sciences,5,760000,603000,480000,75000,49000,76000,29000,47000,81000,39000,42000
5583,r058,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Psychology,All degrees,Bachelor's,S&E fields,Social and related sciences,Psychology,5,1509000,1078000,695000,257000,127000,262000,80000,182000,169000,47000,122000
5583,r059,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Bachelor's,S&E fields,Social and related sciences,Sociology and anthropology,5,711000,516000,372000,89000,56000,85000,26000,59000,110000,31000,78000
5583,r060,All degrees -> Bachelor's -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Bachelor's,S&E fields,Social and related sciences,Other social sciences,5,407000,269000,190000,41000,37000,103000,49000,55000,35000,13000,23000
5583,r061,All degrees -> Bachelor's -> S&E fields -> Engineering,All degrees,Bachelor's,S&E fields,Engineering,,4,2530000,2203000,2035000,64000,103000,96000,65000,31000,232000,117000,115000
5583,r062,"All degrees -> Bachelor's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Bachelor's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,88000,74000,70000,3000,S,1000,S,,13000,9000,
5583,r063,All degrees -> Bachelor's -> S&E fields -> Engineering -> Chemical engineering,All degrees,Bachelor's,S&E fields,Engineering,Chemical engineering,5,186000,172000,159000,7000,S,7000,4000,3000,7000,5000,2000
5583,r064,All degrees -> Bachelor's -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Bachelor's,S&E fields,Engineering,Civil and architectural engineering,5,397000,313000,291000,6000,15000,9000,7000,S,75000,16000,59000
5583,r065,All degrees -> Bachelor's -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Bachelor's,S&E fields,Engineering,Electrical and computer engineering,5,840000,744000,684000,31000,29000,38000,29000,10000,57000,36000,22000
5583,r066,All degrees -> Bachelor's -> S&E fields -> Engineering -> Industrial engineering,All degrees,Bachelor's,S&E fields,Engineering,Industrial engineering,5,141000,130000,115000,4000,11000,8000,S,5000,3000,2000,
5583,r067,All degrees -> Bachelor's -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Bachelor's,S&E fields,Engineering,Mechanical engineering,5,563000,499000,473000,9000,17000,17000,9000,8000,47000,37000,10000
5583,r068,All degrees -> Bachelor's -> S&E fields -> Engineering -> Other engineering,All degrees,Bachelor's,S&E fields,Engineering,Other engineering,5,316000,271000,244000,5000,21000,14000,12000,2000,31000,12000,18000
5583,r069,All degrees -> Bachelor's -> S&E-related fields,All degrees,Bachelor's,S&E-related fields,,,3,3771000,3012000,1882000,886000,244000,485000,197000,288000,273000,99000,174000
5583,r070,All degrees -> Bachelor's -> S&E-related fields -> Health,All degrees,Bachelor's,S&E-related fields,Health,,4,2844000,2353000,1321000,857000,175000,295000,172000,123000,195000,65000,130000
5583,r071,All degrees -> Bachelor's -> S&E-related fields -> Science and mathematics teacher education,All degrees,Bachelor's,S&E-related fields,Science and mathematics teacher education,,4,206000,57000,42000,2000,14000,138000,S,136000,S,,S
5583,r072,All degrees -> Bachelor's -> S&E-related fields -> Technology and technical fields,All degrees,Bachelor's,S&E-related fields,Technology and technical fields,,4,388000,322000,284000,16000,22000,26000,S,19000,41000,23000,18000
5583,r073,All degrees -> Bachelor's -> S&E-related fields -> Other S&E-related fields,All degrees,Bachelor's,S&E-related fields,Other S&E-related fields,,4,332000,280000,235000,12000,33000,26000,15000,11000,27000,11000,16000
5583,r074,All degrees -> Bachelor's -> Non-S&E fields,All degrees,Bachelor's,Non-S&E fields,,,3,16871000,12231000,9739000,1257000,1235000,2923000,511000,2413000,1717000,571000,1146000
5583,r075,All degrees -> Bachelor's -> Non-S&E fields -> Management and administration fields,All degrees,Bachelor's,Non-S&E fields,Management and administration fields,,4,6264000,5205000,4421000,356000,428000,461000,186000,275000,597000,248000,349000
5583,r076,"All degrees -> Bachelor's -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Bachelor's,Non-S&E fields,"Education, except science and math teacher education",,4,2063000,690000,472000,156000,62000,1319000,S,1290000,55000,S,34000
5583,r077,All degrees -> Bachelor's -> Non-S&E fields -> Social service and related fields,All degrees,Bachelor's,Non-S&E fields,Social service and related fields,,4,554000,393000,186000,152000,55000,53000,23000,30000,108000,8000,100000
5583,r078,All degrees -> Bachelor's -> Non-S&E fields -> Sales and marketing fields,All degrees,Bachelor's,Non-S&E fields,Sales and marketing fields,,4,1057000,949000,830000,57000,62000,49000,,39000,59000,47000,11000
5583,r079,All degrees -> Bachelor's -> Non-S&E fields -> Art and humanities fields,All degrees,Bachelor's,Non-S&E fields,Art and humanities fields,,4,3581000,2644000,1986000,323000,336000,600000,137000,463000,337000,121000,216000
5583,r080,All degrees -> Bachelor's -> Non-S&E fields -> Other non-S&E fields,All degrees,Bachelor's,Non-S&E fields,Other non-S&E fields,,4,3352000,2350000,1845000,212000,293000,440000,126000,314000,562000,127000,435000
5583,r081,All degrees -> Master's,All degrees,Master's,,,,2,14158000,8353000,6142000,1493000,718000,4463000,976000,3487000,1342000,570000,773000
5583,r082,All degrees -> Master's -> S&E fields,All degrees,Master's,S&E fields,,,3,3350000,2366000,1953000,269000,144000,596000,293000,302000,388000,200000,188000
5583,r083,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",,4,388000,193000,137000,42000,13000,132000,66000,67000,63000,25000,37000
5583,r084,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,40000,25000,18000,S,S,9000,6000,3000,6000,2000,4000
5583,r085,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,280000,133000,95000,28000,9000,114000,54000,60000,33000,16000,18000
5583,r086,"All degrees -> Master's -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Master's,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,68000,36000,24000,9000,S,9000,5000,4000,23000,8000,16000
5583,r087,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences,All degrees,Master's,S&E fields,Computer and mathematical sciences,,4,829000,678000,613000,44000,21000,98000,51000,46000,53000,22000,31000
5583,r088,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Master's,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,668000,581000,529000,38000,13000,44000,33000,11000,44000,15000,28000
5583,r089,All degrees -> Master's -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Master's,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,161000,97000,83000,6000,8000,54000,18000,36000,10000,7000,3000
5583,r090,All degrees -> Master's -> S&E fields -> Physical and related sciences,All degrees,Master's,S&E fields,Physical and related sciences,,4,170000,109000,96000,S,7000,42000,26000,16000,19000,12000,7000
5583,r091,"All degrees -> Master's -> S&E fields -> Physical and related sciences -> Chemistry, except biochemistry",All degrees,Master's,S&E fields,Physical and related sciences,"Chemistry, except biochemistry",5,51000,37000,34000,0.05,S,10000,5000,4000,5000,3000,2000
5583,r092,"All degrees -> Master's -> S&E fields -> Physical and related sciences -> Earth, atmospheric, and ocean sciences",All degrees,Master's,S&E fields,Physical and related sciences,"Earth, atmospheric, and ocean sciences",5,60000,36000,30000,,S,14000,5000,9000,9000,4000,5000
5583,r093,All degrees -> Master's -> S&E fields -> Physical and related sciences -> Physics and astronomy,All degrees,Master's,S&E fields,Physical and related sciences,Physics and astronomy,5,56000,34000,32000,S,,18000,16000,3000,3000,3000,
5583,r094,All degrees -> Master's -> S&E fields -> Physical and related sciences -> Other physical sciences,All degrees,Master's,S&E fields,Physical and related sciences,Other physical sciences,5,3000,S,0.05,,,0.05,,0.05,,,
5583,r095,All degrees -> Master's -> S&E fields -> Social and related sciences,All degrees,Master's,S&E fields,Social and related sciences,,4,1001000,590000,354000,153000,83000,259000,102000,157000,151000,76000,75000
5583,r096,All degrees -> Master's -> S&E fields -> Social and related sciences -> Economics,All degrees,Master's,S&E fields,Social and related sciences,Economics,5,106000,71000,49000,7000,15000,17000,14000,3000,18000,13000,4000
5583,r097,All degrees -> Master's -> S&E fields -> Social and related sciences -> Political and related sciences,All degrees,Master's,S&E fields,Social and related sciences,Political and related sciences,5,171000,93000,60000,26000,7000,25000,13000,12000,53000,40000,13000
5583,r098,All degrees -> Master's -> S&E fields -> Social and related sciences -> Psychology,All degrees,Master's,S&E fields,Social and related sciences,Psychology,5,507000,302000,161000,93000,48000,163000,44000,119000,42000,9000,33000
5583,r099,All degrees -> Master's -> S&E fields -> Social and related sciences -> Sociology and anthropology,All degrees,Master's,S&E fields,Social and related sciences,Sociology and anthropology,5,67000,25000,19000,4000,S,24000,15000,9000,19000,3000,15000
5583,r100,All degrees -> Master's -> S&E fields -> Social and related sciences -> Other social sciences,All degrees,Master's,S&E fields,Social and related sciences,Other social sciences,5,150000,100000,66000,23000,11000,30000,16000,14000,20000,10000,10000
5583,r101,All degrees -> Master's -> S&E fields -> Engineering,All degrees,Master's,S&E fields,Engineering,,4,961000,796000,752000,24000,21000,64000,48000,16000,101000,65000,37000
5583,r102,"All degrees -> Master's -> S&E fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All degrees,Master's,S&E fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",5,44000,33000,32000,0.05,,5000,4000,,6000,6000,
5583,r103,All degrees -> Master's -> S&E fields -> Engineering -> Chemical engineering,All degrees,Master's,S&E fields,Engineering,Chemical engineering,5,30000,26000,23000,S,1000,S,S,,S,,S
5583,r104,All degrees -> Master's -> S&E fields -> Engineering -> Civil and architectural engineering,All degrees,Master's,S&E fields,Engineering,Civil and architectural engineering,5,126000,88000,84000,1000,3000,9000,5000,S,29000,5000,24000
5583,r105,All degrees -> Master's -> S&E fields -> Engineering -> Electrical and computer engineering,All degrees,Master's,S&E fields,Engineering,Electrical and computer engineering,5,381000,330000,314000,9000,7000,22000,17000,4000,29000,26000,3000
5583,r106,All degrees -> Master's -> S&E fields -> Engineering -> Industrial engineering,All degrees,Master's,S&E fields,Engineering,Industrial engineering,5,62000,59000,55000,2000,2000,2000,S,,2000,0.05,
5583,r107,All degrees -> Master's -> S&E fields -> Engineering -> Mechanical engineering,All degrees,Master's,S&E fields,Engineering,Mechanical engineering,5,147000,125000,118000,3000,S,9000,7000,2000,13000,12000,1000
5583,r108,All degrees -> Master's -> S&E fields -> Engineering -> Other engineering,All degrees,Master's,S&E fields,Engineering,Other engineering,5,171000,136000,125000,7000,3000,13000,12000,1000,22000,15000,7000
5583,r109,All degrees -> Master's -> S&E-related fields,All degrees,Master's,S&E-related fields,,,3,1920000,1197000,730000,358000,110000,522000,151000,371000,201000,79000,122000
5583,r110,All degrees -> Master's -> S&E-related fields -> Health,All degrees,Master's,S&E-related fields,Health,,4,1420000,944000,518000,340000,87000,306000,126000,180000,169000,75000,94000
5583,r111,All degrees -> Master's -> S&E-related fields -> Science and mathematics teacher education,All degrees,Master's,S&E-related fields,Science and mathematics teacher education,,4,252000,51000,37000,4000,10000,197000,13000,184000,4000,,4000
5583,r112,All degrees -> Master's -> S&E-related fields -> Technology and technical fields,All degrees,Master's,S&E-related fields,Technology and technical fields,,4,82000,73000,69000,S,S,7000,4000,S,2000,S,S
5583,r113,All degrees -> Master's -> S&E-related fields -> Other S&E-related fields,All degrees,Master's,S&E-related fields,Other S&E-related fields,,4,166000,129000,106000,12000,11000,11000,7000,S,26000,S,24000
5583,r114,All degrees -> Master's -> Non-S&E fields,All degrees,Master's,Non-S&E fields,,,3,8888000,4790000,3460000,866000,464000,3345000,531000,2814000,753000,291000,462000
5583,r115,All degrees -> Master's -> Non-S&E fields -> Management and administration fields,All degrees,Master's,Non-S&E fields,Management and administration fields,,4,3178000,2674000,2264000,206000,203000,250000,129000,121000,254000,135000,119000
5583,r116,"All degrees -> Master's -> Non-S&E fields -> Education, except science and math teacher education",All degrees,Master's,Non-S&E fields,"Education, except science and math teacher education",,4,3063000,472000,276000,105000,92000,2523000,161000,2362000,68000,9000,58000
5583,r117,All degrees -> Master's -> Non-S&E fields -> Social service and related fields,All degrees,Master's,Non-S&E fields,Social service and related fields,,4,769000,558000,183000,347000,28000,121000,42000,78000,90000,20000,70000
5583,r118,All degrees -> Master's -> Non-S&E fields -> Sales and marketing fields,All degrees,Master's,Non-S&E fields,Sales and marketing fields,,4,237000,209000,187000,6000,16000,11000,S,6000,S,S,S
5583,r119,All degrees -> Master's -> Non-S&E fields -> Art and humanities fields,All degrees,Master's,Non-S&E fields,Art and humanities fields,,4,739000,430000,231000,108000,91000,266000,102000,165000,43000,22000,20000
5583,r120,All degrees -> Master's -> Non-S&E fields -> Other non-S&E fields,All degrees,Master's,Non-S&E fields,Other non-S&E fields,,4,903000,447000,318000,95000,34000,174000,92000,82000,282000,90000,192000
5583,r121,All degrees -> Doctorate,All degrees,Doctorate,,,,2,2090000,985000,658000,233000,95000,955000,759000,196000,150000,100000,50000
5583,r122,All degrees -> Doctorate -> S&E fields,All degrees,Doctorate,S&E fields,,,3,1239000,603000,457000,86000,60000,526000,472000,54000,109000,82000,27000
5583,r123,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",,4,360000,155000,113000,29000,13000,173000,156000,17000,32000,25000,7000
5583,r124,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,5,20000,10000,10000,S,,9000,8000,S,1000,S,
5583,r125,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Biological sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Biological sciences,5,333000,143000,102000,28000,13000,161000,145000,16000,30000,23000,6000
5583,r126,"All degrees -> Doctorate -> S&E fields -> Biological, agricultural, and environmental life sciences -> Environmental life sciences",All degrees,Doctorate,S&E fields,"Biological, agricultural, and environmental life sciences",Environmental life sciences,5,7000,2000,1000,0.05,,3000,3000,,2000,S,1000
5583,r127,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,,4,112000,57000,53000,4000,S,51000,48000,3000,4000,4000,
5583,r128,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Computer and information sciences,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,Computer and information sciences,5,56000,38000,36000,,S,17000,17000,,1000,1000,
5583,r129,All degrees -> Doctorate -> S&E fields -> Computer and mathematical sciences -> Mathematics and statistics,All degrees,Doctorate,S&E fields,Computer and mathematical sciences,Mathematics and statistics,5,56000,19000,17000,2000,,33000,30000,S,3000,3000,
