table_id,row_id,supervisory_status_sex_ethnicity_race_and_disability_status_full_path,supervisory_status_sex_ethnicity_race_and_disability_status_level_1,supervisory_status_sex_ethnicity_race_and_disability_status_level_2,supervisory_status_sex_ethnicity_race_and_disability_status_level_3,supervisory_status_sex_ethnicity_race_and_disability_status_level_4,supervisory_status_sex_ethnicity_race_and_disability_status_hierarchy_depth,field_age_years_75_and_younger,field_age_years_younger_than_35,field_age_years_35_44,field_age_years_45_54,field_age_years_55_75
3306,r017,Total -> Not Hispanic or Latino,Total,Not Hispanic or Latino,,,2,,,,,
3306,r018,Total -> Not Hispanic or Latino -> American Indian or Alaska Native,Total,Not Hispanic or Latino,American Indian or Alaska Native,,3,S,2000,S,2000,3000
3306,r019,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Supervisors,Total,Not Hispanic or Latino,American Indian or Alaska Native,Supervisors,4,3000,0.05,,S,1000
3306,r020,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Nonsupervisors,Total,Not Hispanic or Latino,American Indian or Alaska Native,Nonsupervisors,4,S,1000,S,S,2000
3306,r021,Total -> Not Hispanic or Latino -> American Indian or Alaska Native -> Supervisors (%),Total,Not Hispanic or Latino,American Indian or Alaska Native,Supervisors (%),4,S,0.05,,S,29.7
3306,r022,Total -> Not Hispanic or Latino -> Asian,Total,Not Hispanic or Latino,Asian,,3,282000,63000,75000,83000,61000
3306,r023,Total -> Not Hispanic or Latino -> Asian -> Supervisors,Total,Not Hispanic or Latino,Asian,Supervisors,4,81000,15000,19000,28000,19000
3306,r024,Total -> Not Hispanic or Latino -> Asian -> Nonsupervisors,Total,Not Hispanic or Latino,Asian,Nonsupervisors,4,201000,48000,56000,55000,42000
3306,r025,Total -> Not Hispanic or Latino -> Asian -> Supervisors (%),Total,Not Hispanic or Latino,Asian,Supervisors (%),4,28.7,24.2,24.9,33.7,31.3
3306,r026,Total -> Not Hispanic or Latino -> Black or African American,Total,Not Hispanic or Latino,Black or African American,,3,384000,76000,108000,106000,94000
3306,r027,Total -> Not Hispanic or Latino -> Black or African American -> Supervisors,Total,Not Hispanic or Latino,Black or African American,Supervisors,4,110000,11000,37000,32000,31000
3306,r028,Total -> Not Hispanic or Latino -> Black or African American -> Nonsupervisors,Total,Not Hispanic or Latino,Black or African American,Nonsupervisors,4,274000,65000,72000,74000,63000
3306,r029,Total -> Not Hispanic or Latino -> Black or African American -> Supervisors (%),Total,Not Hispanic or Latino,Black or African American,Supervisors (%),4,28.7,14.2,33.8,30.0,32.8
3306,r030,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,3,11000,3000,S,2000,2000
3306,r031,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Supervisors,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Supervisors,4,S,S,,,
3306,r032,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Nonsupervisors,Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Nonsupervisors,4,9000,2000,S,1000,1000
3306,r033,Total -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander -> Supervisors (%),Total,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,Supervisors (%),4,S,S,,,
3306,r034,Total -> Not Hispanic or Latino -> White,Total,Not Hispanic or Latino,White,,3,1779000,401000,470000,412000,496000
3306,r035,Total -> Not Hispanic or Latino -> White -> Supervisors,Total,Not Hispanic or Latino,White,Supervisors,4,769000,144000,214000,190000,221000
3306,r036,Total -> Not Hispanic or Latino -> White -> Nonsupervisors,Total,Not Hispanic or Latino,White,Nonsupervisors,4,1010000,257000,256000,222000,275000
3306,r037,Total -> Not Hispanic or Latino -> White -> Supervisors (%),Total,Not Hispanic or Latino,White,Supervisors (%),4,43.2,35.8,45.6,46.1,44.5
3306,r038,Total -> Not Hispanic or Latino -> More than one race,Total,Not Hispanic or Latino,More than one race,,3,74000,32000,22000,11000,10000
3306,r039,Total -> Not Hispanic or Latino -> More than one race -> Supervisors,Total,Not Hispanic or Latino,More than one race,Supervisors,4,25000,7000,10000,5000,4000
3306,r040,Total -> Not Hispanic or Latino -> More than one race -> Nonsupervisors,Total,Not Hispanic or Latino,More than one race,Nonsupervisors,4,48000,25000,12000,6000,5000
3306,r041,Total -> Not Hispanic or Latino -> More than one race -> Supervisors (%),Total,Not Hispanic or Latino,More than one race,Supervisors (%),4,34.7,21.2,44.9,44.9,44.9
3306,r042,Total -> Without disability,Total,Without disability,,,2,2578000,652000,732000,615000,579000
3306,r043,Total -> Without disability -> Supervisors,Total,Without disability,Supervisors,,3,988000,203000,296000,247000,242000
3306,r044,Total -> Without disability -> Nonsupervisors,Total,Without disability,Nonsupervisors,,3,1590000,450000,436000,368000,337000
3306,r045,Total -> Without disability -> Supervisors (%),Total,Without disability,Supervisors (%),,3,38.3,31.1,40.5,40.2,41.8
3306,r046,Total -> With disability,Total,With disability,,,2,324000,48000,50000,86000,141000
3306,r047,Total -> With disability -> Supervisors,Total,With disability,Supervisors,,3,141000,17000,17000,49000,58000
3306,r048,Total -> With disability -> Nonsupervisors,Total,With disability,Nonsupervisors,,3,183000,31000,33000,37000,83000
3306,r049,Total -> With disability -> Supervisors (%),Total,With disability,Supervisors (%),,3,43.4,35.3,34.5,57.1,40.9
