table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_all_agencies,field_dhs,field_doc,field_dod,field_doe,field_doi,field_dot,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
10411,r134,All HHE institutions -> National U.,All HHE institutions,National U.,2,133,367,0,0,0,0,0,0,0,0,300,0,67,0,0
10411,r135,All HHE institutions -> Columbia Basin C.,All HHE institutions,Columbia Basin C.,2,134,350,0,0,0,0,0,0,0,0,0,0,200,0,150
10411,r136,"All HHE institutions -> CUNY, LaGuardia Community C.",All HHE institutions,"CUNY, LaGuardia Community C.",2,135,332,0,0,0,0,0,0,0,0,332,0,0,0,0
10411,r137,All HHE institutions -> El Paso Community C.,All HHE institutions,El Paso Community C.,2,136,324,0,0,0,0,0,0,0,0,324,0,0,0,0
10411,r138,"All HHE institutions -> Union County C., Cranford<sup>b</sup>",All HHE institutions,"Union County C., Cranford<sup>b</sup>",2,137,319,0,0,0,0,0,0,0,0,0,0,319,0,0
10411,r139,"All HHE institutions -> U. Puerto Rico, Cayey",All HHE institutions,"U. Puerto Rico, Cayey",2,138,310,0,0,0,0,0,0,0,0,310,0,0,0,0
10411,r140,All HHE institutions -> Angelo State U.,All HHE institutions,Angelo State U.,2,139,305,0,0,0,0,0,0,0,0,0,0,305,0,0
10411,r141,All HHE institutions -> Imperial Valley C.,All HHE institutions,Imperial Valley C.,2,140,300,0,0,0,0,0,0,0,0,0,0,300,0,0
10411,r142,"All HHE institutions -> El Camino C., Compton Center",All HHE institutions,"El Camino C., Compton Center",2,141,300,0,0,0,0,0,0,0,0,0,0,300,0,0
10411,r143,All HHE institutions -> Santa Barbara City C.,All HHE institutions,Santa Barbara City C.,2,142,300,0,0,0,0,0,0,0,0,0,0,300,0,0
10411,r144,All HHE institutions -> Huston-Tillotson U.,All HHE institutions,Huston-Tillotson U.,2,143,299,0,0,0,0,0,0,0,0,0,0,299,0,0
10411,r145,All HHE institutions -> Hudson County Community C.,All HHE institutions,Hudson County Community C.,2,144,299,0,0,0,0,0,0,0,0,0,0,299,0,0
10411,r146,All HHE institutions -> Central New Mexico Community C.,All HHE institutions,Central New Mexico Community C.,2,145,299,0,0,0,0,0,0,0,0,0,0,299,0,0
10411,r147,"All HHE institutions -> State U. New York, Purchase C.",All HHE institutions,"State U. New York, Purchase C.",2,146,288,0,0,0,0,0,0,0,0,288,0,0,0,0
10411,r148,All HHE institutions -> C. Southern Nevada,All HHE institutions,C. Southern Nevada,2,147,284,0,0,0,0,0,0,0,0,0,0,284,0,0
10411,r149,All HHE institutions -> Adams State U.,All HHE institutions,Adams State U.,2,148,275,0,0,0,0,0,0,0,0,0,0,0,275,0
10411,r150,All HHE institutions -> Marymount U.,All HHE institutions,Marymount U.,2,149,274,0,0,0,0,0,0,0,0,274,0,0,0,0
10411,r151,All HHE institutions -> Western New Mexico U.,All HHE institutions,Western New Mexico U.,2,150,254,0,0,0,0,0,0,0,0,0,0,254,0,0
10411,r152,All HHE institutions -> West Texas A&M U.,All HHE institutions,West Texas A&M U.,2,151,250,0,0,0,0,0,0,0,0,0,0,15,236,0
10411,r153,All HHE institutions -> Dominican C.,All HHE institutions,Dominican C.,2,152,250,0,0,0,0,0,0,0,0,250,0,0,0,0
10411,r154,"All HHE institutions -> St. Thomas U., Miami Gardens",All HHE institutions,"St. Thomas U., Miami Gardens",2,153,250,0,0,0,0,0,0,250,0,0,0,0,0,0
10411,r155,"All HHE institutions -> Universidad Ana G. Mendez, Carolina Campus",All HHE institutions,"Universidad Ana G. Mendez, Carolina Campus",2,154,250,0,0,0,0,0,0,250,0,0,0,0,0,0
10411,r156,All HHE institutions -> Georgia Gwinnett C.,All HHE institutions,Georgia Gwinnett C.,2,155,249,0,0,0,0,0,0,0,0,0,0,249,0,0
10411,r157,All HHE institutions -> U. Houston-Downtown,All HHE institutions,U. Houston-Downtown,2,156,248,0,0,0,0,0,0,248,0,0,0,0,0,0
10411,r158,All HHE institutions -> U. of Sacred Heart,All HHE institutions,U. of Sacred Heart,2,157,239,0,0,0,0,0,0,239,0,0,0,0,0,0
10411,r159,"All HHE institutions -> SUNY, Westchester Community C.",All HHE institutions,"SUNY, Westchester Community C.",2,158,238,0,0,0,0,0,0,0,0,0,0,238,0,0
10411,r160,"All HHE institutions -> U. Puerto Rico, Aguadilla",All HHE institutions,"U. Puerto Rico, Aguadilla",2,159,233,0,0,0,0,0,0,233,0,0,0,0,0,0
10411,r161,All HHE institutions -> U. Bridgeport,All HHE institutions,U. Bridgeport,2,160,216,0,0,0,0,0,0,0,0,216,0,0,0,0
10411,r162,"All HHE institutions -> CUNY, Bronx Community C.",All HHE institutions,"CUNY, Bronx Community C.",2,161,208,0,0,0,0,0,0,0,0,0,0,208,0,0
10411,r163,All HHE institutions -> Saint Augustine C.,All HHE institutions,Saint Augustine C.,2,162,200,0,0,0,0,0,0,0,0,0,0,200,0,0
10411,r164,"All HHE institutions -> Los Angeles Community C. District, West Los Angeles C.",All HHE institutions,"Los Angeles Community C. District, West Los Angeles C.",2,163,200,0,0,0,0,0,0,0,0,0,0,200,0,0
10411,r165,All HHE institutions -> C. Mount Saint Vincent,All HHE institutions,C. Mount Saint Vincent,2,164,199,0,0,0,0,0,0,0,0,0,0,199,0,0
10411,r166,All HHE institutions -> South Plains C.,All HHE institutions,South Plains C.,2,165,198,0,0,0,0,0,0,0,0,0,0,198,0,0
10411,r167,All HHE institutions -> Heritage U.,All HHE institutions,Heritage U.,2,166,179,0,0,0,0,0,0,0,0,0,0,179,0,0
10411,r168,"All HHE institutions -> American U. Puerto Rico, Bayamon",All HHE institutions,"American U. Puerto Rico, Bayamon",2,167,175,0,0,175,0,0,0,0,0,0,0,0,0,0
10411,r169,All HHE institutions -> St. Edward's U.,All HHE institutions,St. Edward's U.,2,168,154,0,0,0,0,0,0,0,0,120,0,35,0,0
10411,r170,All HHE institutions -> California Lutheran U.,All HHE institutions,California Lutheran U.,2,169,133,0,0,0,0,0,0,0,0,0,0,133,0,0
